name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales;CEP;CODIGO_CDO;TIPO_EDIFICACAO;GIRO_MEDIO_6M_CEL;PRESENCA_CONCORRENCIA_CEL;CLASSE_SOCIAL_DOMINANTE_CEL;PRIORIDADE
AC-16 (RBCR);177;AC;RIO BRANCO;RBO;RBCR;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;16 (RBCR) Secundária;Comunidade;48;185;185;169;0;0,2595;1200401;67;0,71641791;-67.7969385683737,-10.0452055781855,0 -67.7967588603705,-10.0455998629118,0 -67.79657378794769,-10.0455341487906,0 -67.79649198057299,-10.045880153754,0 -67.79673069717509,-10.0476209074039,0 -67.7972698211878,-10.0486240535764,0 -67.79672265054811,-10.04;ATIVAS;Sem Restrição de Vendas;69909790;CDOE-1601;HORIZONTAL;0.0071942446;0;D_E;5
AC-13 (RBCR);177;AC;RIO BRANCO;RBO;RBCR;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;13 (RBCR) Secundária;Comunidade;73;177;177;177;0;0,4124;1200401;64;1,140625;-67.7968259155856,-10.045470446321,0 -67.79840640724819,-10.0461416691272,0 -67.7984607219814,-10.0468611716956,0 -67.79992386699899,-10.047089830014,0 -67.79991045595411,-10.0476390123093,0 -67.8007352352263,-10.0476443767271,0 -67.8010490536807,-10.0482;ATIVAS;Sem Restrição de Vendas;69909744;CDOE-1306;HORIZONTAL;0.0283018868;0;D_E;2
AC-460 (RBCR);177;AC;RIO BRANCO;RBO;RBCR;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;460 (RBCR) Secundária;Comunidade;51;184;184;184;0;0,2772;1200401;67;0,76119403;-67.7970552444709,-10.0436411797821,0 -67.7971665561449,-10.0434561073608,0 -67.7976855635896,-10.0437162816351,0 -67.79764264823601,-10.0437994301112,0 -67.7991433441799,-10.0444860756197,0 -67.7997495234177,-10.0456796586307,0 -67.7990119159405,-10.0463;ATIVAS;Sem Restrição de Vendas;69909772;CDOE-46010;HORIZONTAL;0.0076923077;0;D_E;5
AC-181 (RBCE);289;AC;RIO BRANCO;RBO;RBCE;OURO;Sem Restrição de Vendas;Sem Restrição de Vendas;181 (RBCE) Secundária;Centro Regional;89;369;369;369;0;0,2412;1200401;55;1,618181818;-67.8229392512541,-9.95569244201738,0 -67.82268578250201,-9.9555368738945,0 -67.822282110044,-9.9563911574655,0 -67.82165983755201,-9.956133665400101,0 -67.821820770093,-9.955699147539701,0 -67.821298077968,-9.955486541102299,0 -67.82159389829999,-9.95486;ATIVAS;Sem Restrição de Vendas;69900604;CDOE-18125;HORIZONTAL;0;CLARO|CONTILNET TELECOM|SPACEX STARLINK;A_B;2
AC-208 (RBCE);289;AC;RIO BRANCO;RBO;RBCE;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;208 (RBCE) Secundária;Centro Regional;100;422;422;422;0;0,237;1200401;70;1,428571429;-67.82669340521041,-9.94736449178073,0 -67.8266521662468,-9.948158090372999,0 -67.82644203193431,-9.94919333923372,0 -67.8261997111136,-9.95011593531582,0 -67.82634538859079,-9.95053151007505,0 -67.8262987852092,-9.950686742921789,0 -67.8260979548093,-9.9;ATIVAS;Sem Restrição de Vendas;69918602;CDOE-20823;HORIZONTAL;0;CLARO|SEM FRONTEIRAS;D_E;2
AC-18 (RBCR);177;AC;RIO BRANCO;RBO;RBCR;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;18 (RBCR) Secundária;Defesa Oi;64;180;180;174;0;0,3556;1200401;67;0,955223881;-67.8015062927729,-10.0425456396678,0 -67.80147678847401,-10.042339109574,0 -67.80116297001901,-10.042459808979,0 -67.80074454541101,-10.039871477275,0 -67.800521922063,-10.0398982993651,0 -67.8005018054946,-10.0398003987361,0 -67.80307337338699,-10.03960;ATIVAS;Sem Restrição de Vendas;69909758;CDOE-1804;HORIZONTAL;0.0087719298;0;D_E;3
AC-24 (RBCR);173;AC;RIO BRANCO;RBO;RBCR;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;24 (RBCR) Secundária;Defesa Oi;13;73;73;73;0;0,1781;1200401;24;0,541666667;-67.80172765255089,-10.0307182967656,0 -67.8016901016252,-10.0318528711793,0 -67.79996611178051,-10.031788498163,0 -67.7999594062576,-10.031576603651,0 -67.7989824116239,-10.0315367057916,0 -67.7989696711312,-10.0312319397918,0 -67.7993937954316,-10.03133;ATIVAS;Sem Restrição de Vendas;69909669;CDOE-2404;HORIZONTAL;0;0;D_E;3
AC-68003 (RBCE);208;AC;RIO BRANCO;RBO;RBCE;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;68003 (RBCE) Secundária;IBGE 8;28;67;67;67;0;0,4179;1200401;10;2,8;-67.8190386295222,-9.92352314293424,0 -67.8177786618371,-9.92422387003948,0 -67.8184780478372,-9.92444984614894,0 -67.8184512257471,-9.92455780506177,0 -67.81844653188131,-9.92472879588645,0 -67.8183358907598,-9.924612790346581,0 -67.8182339668174,-9.9245;ATIVAS;Sem Restrição de Vendas;69903370;CDOE-6800304;HORIZONTAL;0.0285714286;0;D_E;4
AC-26 (RBCR);173;AC;RIO BRANCO;RBO;RBCR;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;26 (RBCR) Secundária;Defesa Oi;50;184;184;164;0;0,2717;1200401;68;0,735294118;-67.80491814017169,-10.0281594693653,0 -67.8053231537338,-10.0289158523071,0 -67.80400350689921,-10.0294737517819,0 -67.8033651411538,-10.030077248811,0 -67.8032712638382,-10.0307263433923,0 -67.8029762208465,-10.0311903655516,0 -67.80263155698761,-10.031;ATIVAS;Sem Restrição de Vendas;69909646;CDOE-2612;HORIZONTAL;0.0074626866;0;D_E;4
AC-84 (RBCE);315;AC;RIO BRANCO;RBO;RBCE;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;84 (RBCE) Secundária;Suburbio;172;626;626;626;0;0,2748;1200401;154;1,116883117;-67.825625208601,-9.9867983108148,0 -67.82483127473201,-9.9885578399286,0 -67.82289740203279,-9.98817696624849,0 -67.8229805505119,-9.98798384719943,0 -67.8226399099669,-9.98786851221181,0 -67.8223368203482,-9.987782681523351,0 -67.8222724473321,-9.988026;ATIVAS;Sem Restrição de Vendas;69903420;CDOE-8408;HORIZONTAL;0.0202702703;CLARO|CONTILNET TELECOM|SEM FRONTEIRAS;D_E;4
