name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales
AC-73 (RBCE),251,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,73 (RBCE) Secundária,Suburbio,304,736,736,736,0.413,1200401,166,1.831325301,"-67.82528859134401,-9.995300578113699,0 -67.8244571065494,-9.99472658538452,0 -67.82407220955569,-9.99477486514678,0 -67.8237989595123,-9.994576716955811,0 -67.8236321596392,-9.994081346478371,0 -67.8233688002415,-9.993965508576551,0 -67.82348748799031,-9.993612127538841,0 -67.8235412998088,-9.993474161412641,0 -67.8236165692992,-9.993258411225,0 -67.82369200642771,-9.99306830966106,0 -67.8239364227242,-9.992371270593321,0 -67.8241325592584,-9.991824435230409,0 -67.8243900513237,-9.9918941726648,0 -67.8245831703727,-9.99194915794962,0 -67.82471728082319,-9.991993414398371,0 -67.82478970046699,-9.992008166547951,0 -67.8249053707308,-9.992043705817389,0 -67.82514693718019,-9.99211914294594,0 -67.825175268013,-9.992128865953619,0 -67.8252134894916,-9.9921248426401,0 -67.8252476876564,-9.99206851625077,0 -67.82529932017979,-9.99199341439833,0 -67.8253945385995,-9.991840528484451,0 -67.8256426429337,-9.992055105205701,0 -67.82705884929349,-9.989957617756049,0 -67.8273377990311,-9.99015610122315,0 -67.8276998972479,-9.989694090720301,0 -67.828228292424,-9.990075634952699,0 -67.827809867818,-9.990719365116201,0 -67.82837849612901,-9.990815924640801,0 -67.828775463063,-9.9898717870675,0 -67.830127296407,-9.989957617756,0 -67.831253824193,-9.9909768571817,0 -67.830116567571,-9.992178486820301,0 -67.82984030004251,-9.99215702914818,0 -67.8293266570161,-9.99278734826669,0 -67.8293119048665,-9.992791371580211,0 -67.8293065404484,-9.992796735998271,0 -67.829065141637,-9.9928865900003,0 -67.82818537708,-9.993895100589899,0 -67.8280767476145,-9.993824022051021,0 -67.8276201015301,-9.99353434347738,0 -67.82751884813931,-9.993600057598229,0 -67.827431005794,-9.99365772509204,0 -67.82765027638089,-9.993904488321411,0 -67.82716546710181,-9.994231047269009,0 -67.82667261119499,-9.993830727573499,0 -67.82542806621299,-9.9954615106546,0 -67.825277862508,-9.9952791204416,0 -67.82528859134401,-9.995300578113699,0",ATIVAS,Sem restrição de Venda
AC-66 (RBCE),249,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,66 (RBCE) Secundária,Suburbio,241,728,728,728,0.331,1200401,182,1.324175824,"-67.82484904434099,-9.9958584775886,0 -67.8251414051235,-9.9954856505355,0 -67.8264302065548,-9.99649550222961,0 -67.8263182243283,-9.996634306546129,0 -67.82697335388001,-9.9971781244239,0 -67.8271986594375,-9.99717946552841,0 -67.8274990668473,-9.997427569862291,0 -67.827702914732,-9.9978647699317,0 -67.826951896208,-9.9988196363411,0 -67.826608573454,-9.9985085000953,0 -67.825439130324,-10.000053452488,0 -67.8256698002989,-10.0002733936276,0 -67.82508507873359,-10.0007910599668,0 -67.824838315505,-10.000568436619,0 -67.82439843322599,-10.000235842701,0 -67.824280416029,-10.000396775242,0 -67.8245741179168,-10.000631468531,0 -67.8242777338203,-10.0010244121514,0 -67.823990737456,-10.00078301334,0 -67.82370105888199,-10.001222895618,0 -67.818122064131,-9.9964271058998,0 -67.819548999327,-9.995429324146199,0 -67.82047436143699,-9.99570425057022,0 -67.820407306212,-9.996416377063699,0 -67.820621882933,-9.996834801669999,0 -67.821029578703,-9.997339056964799,0 -67.8211475959,-9.997489260669701,0 -67.821329986113,-9.997371243472999,0 -67.82085791732599,-9.9968991746864,0 -67.82120124008,-9.996480750080099,0 -67.821941529768,-9.9971459379158,0 -67.822531615752,-9.9978325834236,0 -67.82213464881799,-9.9982510080299,0 -67.823100244063,-9.9992058744392,0 -67.824859773177,-9.9969099035224,0 -67.8253465941128,-9.997294800516119,0 -67.82575160767421,-9.99677579307173,0 -67.82479271795179,-9.995933579440999,0 -67.82484904434099,-9.9958584775886,0",ATIVAS,Sem restrição de Venda
AC-83 (RBCE),251,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,83 (RBCE) Secundária,Suburbio,133,405,405,405,0.3284,1200401,100,1.33,"-67.823089179997,-9.9843179380231,0 -67.8230911916541,-9.98430720918712,0 -67.823228654866,-9.98433939569524,0 -67.8235052576705,-9.984387004905249,0 -67.8238006359382,-9.9844614362054,0 -67.82383248717031,-9.984452802845141,0 -67.8239441341205,-9.98446965047051,0 -67.8240463933392,-9.984485827543629,0 -67.8241191482587,-9.98450602793028,0 -67.8243297016664,-9.98453452640106,0 -67.8244671648784,-9.98455397241646,0 -67.82472784206701,-9.98458783530528,0 -67.8248644670887,-9.98460694604452,0 -67.8251310116095,-9.98464248531398,0 -67.8252342766568,-9.984656566911299,0 -67.82534156501769,-9.984688753419491,0 -67.8255058503199,-9.984742565237831,0 -67.8256681239655,-9.984793024294911,0 -67.8260101056151,-9.98490064793161,0 -67.8259893184949,-9.98501296543412,0 -67.8259685313747,-9.9851185774141,0 -67.8259645080613,-9.9851386939817,0 -67.82610398293011,-9.98517155104213,0 -67.8262434577989,-9.98520172589355,0 -67.82629978418829,-9.98521379583411,0 -67.8263326412487,-9.98524061792426,0 -67.8270856714296,-9.985878983669799,0 -67.82769453287609,-9.9864020144277,0 -67.827863512044,-9.9864744340711,0 -67.82762747765101,-9.9874293004804,0 -67.8272305107168,-9.987327376537831,0 -67.82349151135,-9.98604796283772,0 -67.8235163217833,-9.9859742020898,0 -67.8233113004318,-9.98590295591285,0 -67.8231921097687,-9.98585853182604,0 -67.8231848175129,-9.98585744217862,0 -67.8231936185113,-9.98582282491852,0 -67.82320451498541,-9.985781753592979,0 -67.82323267818001,-9.985672118299499,0 -67.822778043752,-9.9854873811536,0 -67.823089179997,-9.9843179380231,0",ATIVAS,Sem restrição de Venda
AC-72 (RBCE),251,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,72 (RBCE) Secundária,Suburbio,189,432,432,432,0.4375,1200401,149,1.268456376,"-67.82538112759801,-9.9918542748071,0 -67.825209466221,-9.9921117668726,0 -67.82518800854901,-9.9921224957086,0 -67.82412585377899,-9.9918006306268,0 -67.82356258988619,-9.99337106400505,0 -67.8235736539983,-9.99333468654528,0 -67.8235624222481,-9.993370812547949,0 -67.8231716579222,-9.99331172013059,0 -67.8229738450073,-9.99383843892589,0 -67.8221383368991,-9.99357759409919,0 -67.8221329724811,-9.993561500845081,0 -67.8222979283355,-9.99300527775063,0 -67.82156032085641,-9.992589870629461,0 -67.8214862248323,-9.99255181678906,0 -67.8213397091649,-9.99315749311223,0 -67.82109763980129,-9.993078703222411,0 -67.8210118091128,-9.993049869475501,0 -67.8209286606333,-9.993019694624079,0 -67.82089379191611,-9.99252750926985,0 -67.8209219551109,-9.992077568707611,0 -67.8209930336499,-9.991665179071569,0 -67.8211781060721,-9.99078139120118,0 -67.8213990530398,-9.990831347344081,0 -67.82165486872459,-9.99090276115909,0 -67.8221879577663,-9.99106168204321,0 -67.82269154250881,-9.99122328513635,0 -67.82318171620631,-9.991399640379059,0 -67.823696700337,-9.990652645168399,0 -67.82373693347211,-9.99060436540614,0 -67.8241271948838,-9.99088063293468,0 -67.8245281851314,-9.99115690046321,0 -67.8247548317932,-9.99132856184017,0 -67.8249922072909,-9.99150022321713,0 -67.8251833146832,-9.991663837967041,0 -67.82535832882139,-9.991822088298919,0 -67.82538112759801,-9.9918542748071,0",ATIVAS,Sem restrição de Venda
AC-68 (RBCE),249,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,68 (RBCE) Secundária,Suburbio,255,703,703,703,0.3627,1200401,242,1.053719008,"-67.8162931329035,-9.99211780184265,0 -67.8181747025273,-9.99272263997551,0 -67.8182203000805,-9.992590876457649,0 -67.8183705037854,-9.99264552646633,0 -67.81832222402301,-9.992829928336111,0 -67.81902831554621,-9.993047857818571,0 -67.8190407207632,-9.99301533603423,0 -67.8190591609504,-9.99296873265256,0 -67.81912286341451,-9.99281249397745,0 -67.8191885775353,-9.99268374794474,0 -67.81934951007619,-9.99274275654308,0 -67.8193991309431,-9.99290637129301,0 -67.819446069601,-9.993053892788851,0 -67.819816214445,-9.993327478108361,0 -67.8203285163666,-9.99183616989604,0 -67.8205913728498,-9.991927365002541,0 -67.8208864158412,-9.992082933125401,0 -67.8207844918991,-9.99214730614176,0 -67.8200066512842,-9.99388537758346,0 -67.8195533579608,-9.995390096840801,0 -67.81896058976869,-9.99583266132826,0 -67.81879429281,-9.995698550877499,0 -67.814931911828,-9.993134359059299,0 -67.8149560517093,-9.99245844238755,0 -67.81491581857421,-9.99239406937118,0 -67.8148997253204,-9.99158940666671,0 -67.8162931329035,-9.99211780184265,0",ATIVAS,Sem restrição de Venda
AC-71 (RBCE),251,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,71 (RBCE) Secundária,Suburbio,233,730,730,730,0.3192,1200401,180,1.294444444,"-67.8220431184323,-9.987948978479521,0 -67.8220437889846,-9.987954342897551,0 -67.82228049393009,-9.98804553800405,0 -67.8223542546781,-9.98779810422243,0 -67.82261644060929,-9.987874882455481,0 -67.8229647925051,-9.98799239673794,0 -67.8229497050794,-9.98802676254094,0 -67.82286923880891,-9.98819037729084,0 -67.82482725138971,-9.988606119688139,0 -67.8246716832668,-9.9890325909215,0 -67.8245845114737,-9.9892672842103,0 -67.8244651531725,-9.989544892843339,0 -67.82437664027491,-9.98976751619157,0 -67.8255340134648,-9.99065666848,0 -67.8264231657532,-9.98967900329407,0 -67.8270534848717,-9.98994454198653,0 -67.82563727851191,-9.992031300600161,0 -67.8255031680612,-9.9919132834035,0 -67.82503713424479,-9.991518998678311,0 -67.8245281850842,-9.991132760580159,0 -67.82406013961111,-9.990816259916411,0 -67.82372352237979,-9.990576202209571,0 -67.8231817161587,-9.991384888227561,0 -67.8229611044673,-9.991307439442259,0 -67.82248568291941,-9.99114281886397,0 -67.8215287692571,-9.990867073725999,0 -67.82134383922011,-9.99081855056658,0 -67.821175418039,-9.99078082165909,0 -67.8220431184323,-9.987948978479521,0",ATIVAS,Sem restrição de Venda
AC-90 (RBCE),247,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,90 (RBCE) Secundária,Suburbio,128,336,336,336,0.381,1200401,83,1.542168675,"-67.8340236076552,-9.98305576324405,0 -67.8345023819636,-9.98512240528998,0 -67.8327884504029,-9.985754065512999,0 -67.8325510749052,-9.985433541535709,0 -67.83211186317919,-9.98474555492337,0 -67.8319288024142,-9.98472812056475,0 -67.8318925925924,-9.98423191189706,0 -67.83185101835249,-9.983789347409569,0 -67.8316069373321,-9.98319523811276,0 -67.8315988907049,-9.98310001969273,0 -67.8327708484064,-9.98298015847738,0 -67.83276732800699,-9.98285158008273,0 -67.8328119197318,-9.98284990370208,0 -67.8328102433512,-9.98298032611542,0 -67.8339565524288,-9.982817046641641,0 -67.8340236076552,-9.98305576324405,0",ATIVAS,Sem restrição de Venda
AC-18 (RBCR),113,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,18 (RBCR) Secundária,Defesa Oi,52,180,180,163,0.2889,1200401,43,1.209302326,"-67.8015062927729,-10.0425456396678,0 -67.80147678847401,-10.042339109574,0 -67.80116297001901,-10.042459808979,0 -67.80074454541101,-10.039871477275,0 -67.800521922063,-10.0398982993651,0 -67.8005018054946,-10.0398003987361,0 -67.80307337338699,-10.0396052680252,0 -67.8041505317634,-10.0395654539845,0 -67.8041521243249,-10.039201092653,0 -67.80429210210769,-10.039201930842,0 -67.8051983534782,-10.0391593507713,0 -67.8054283529009,-10.0408900461379,0 -67.8059466059739,-10.0407120983336,0 -67.80588550189979,-10.0405717014554,0 -67.80612807417749,-10.0404786623301,0 -67.8062001585445,-10.0406332246245,0 -67.8059913758139,-10.0407126457764,0 -67.80609372932901,-10.0409798215594,0 -67.8058531896627,-10.0410742908468,0 -67.8053452882401,-10.0412685938397,0 -67.80522534320571,-10.0409759187358,0 -67.80491571570261,-10.0411094005439,0 -67.8050206571304,-10.0412315248734,0 -67.80418984288811,-10.0415240532946,0 -67.80416436190281,-10.0413661382398,0 -67.8039149164649,-10.0414687327366,0 -67.80383445019559,-10.0417382947465,0 -67.8015062927729,-10.0425456396678,0",ATIVAS,Sem restrição de Venda
AC-460 (RBCR),113,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,460 (RBCR) Secundária,Comunidade,62,183,183,183,0.3388,1200401,66,0.939393939,"-67.7970552444709,-10.0436411797821,0 -67.7971665561449,-10.0434561073608,0 -67.7976855635896,-10.0437162816351,0 -67.79764264823601,-10.0437994301112,0 -67.7991433441799,-10.0444860756197,0 -67.7997495234177,-10.0456796586307,0 -67.7990119159405,-10.046394467332,0 -67.79682591559479,-10.0454664230119,0 -67.79694393279109,-10.04520088432,0 -67.7966354787542,-10.0451049953472,0 -67.7965308726025,-10.0453252717623,0 -67.7960641682338,-10.0451660156018,0 -67.79653070496219,-10.0438104942201,0 -67.7963176369832,-10.0437122583148,0 -67.7965094149281,-10.0433742999788,0 -67.7970552444709,-10.0436411797821,0",ATIVAS,Sem restrição de Venda
AC-16 (RBCR),113,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,16 (RBCR) Secundária,Comunidade,57,185,185,185,0.3081,1200401,70,0.814285714,"-67.7969385683737,-10.0452055781855,0 -67.7967588603705,-10.0455998629118,0 -67.79657378794769,-10.0455341487906,0 -67.79649198057299,-10.045880153754,0 -67.79673069717509,-10.0476209074039,0 -67.7972698211878,-10.0486240535764,0 -67.79672265054811,-10.0489539652843,0 -67.79640547933271,-10.0492476671717,0 -67.79620364310421,-10.0491631775879,0 -67.7960252762044,-10.0492570549037,0 -67.7952058613505,-10.0488802045368,0 -67.795014083406,-10.0492785125751,0 -67.7937547862731,-10.0489284842988,0 -67.79371924700359,-10.0487631931683,0 -67.79404178263761,-10.0483524799128,0 -67.7948477864467,-10.0479293614407,0 -67.79385671021571,-10.0465151667375,0 -67.79301382603271,-10.0471391156097,0 -67.7929393947327,-10.0470174103756,0 -67.79328766280931,-10.04670191554,0 -67.7933179214797,-10.0466003268736,0 -67.7935609966715,-10.0463602691666,0 -67.7938213385839,-10.0460484623686,0 -67.7939475700456,-10.045806393005,0 -67.79421126471939,-10.0455938279407,0 -67.7954543009598,-10.0458044651675,0 -67.7960750647087,-10.0451728887636,0 -67.79653791340191,-10.0453346594947,0 -67.7966374904116,-10.045111030318,0 -67.7969385683737,-10.0452055781855,0",ATIVAS,Sem restrição de Venda
