name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
AL-89 (AIR);0;AL;ARAPIRACA;AIR;AIR;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;89 (AIR) Secundária;BAIXO;7;251;244;244;0;2,78884462151394E-02;;62,75;0,111553784860558;-36.6393140284516,-9.75186196952947,0 -36.639567497205,-9.751831124125401,0 -36.639492395352,-9.752029607592601,0 -36.639299276304,-9.752592871485801,0 -36.63937840147,-9.7526129880534,0 -36.639700266551,-9.752627740203,0 -36.639786097239,-9.7524922886477,0 -36.640081140232,-9.752497653065801,0 -36.641695830059,-9.7524708309756,0 -36.642280551624,-9.752545932828101,0 -36.643200549316,-9.7522026100742,0 -36.643240782451,-9.752755145131299,0 -36.643554600906,-9.752771238385399,0 -36.643562647533,-9.752604941426499,0 -36.644238564205,-9.7525968947994,0 -36.644386085701,-9.7525861659634,0 -36.644514831733,-9.7525995770084,0 -36.644879612159,-9.752629081307701,0 -36.6455689398756,-9.752634445725731,0 -36.6455421177853,-9.752835611401879,0 -36.6454804269776,-9.75321648508187,0 -36.643938156794,-9.7531440654387,0 -36.642049881648,-9.7530635991682,0 -36.64141688032,-9.753042141496101,0 -36.640177699755,-9.752993861733801,0 -36.639501783083,-9.752891937791199,0 -36.639389130304,-9.752913395463301,0 -36.639061900805,-9.752891937791199,0 -36.638847324083,-9.7528222003568,0 -36.63790318651,-9.7522482076276,0 -36.63790318651,-9.7521033683408,0 -36.638986798952,-9.7519317069639,0 -36.639002892206,-9.751786867677099,0 -36.639222833345,-9.751776138841,0 -36.6393140284516,-9.75186196952947,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-88 (AIR);0;AL;ARAPIRACA;AIR;AIR;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;88 (AIR) Secundária;BAIXO;2;161;159;159;0;1,24223602484472E-02;;40,25;4,96894409937888E-02;-36.644388097348,-9.751057977377499,0 -36.64446923417,-9.7511109510057,0 -36.643519732178,-9.7517747977368,0 -36.642108890236,-9.7521020272368,0 -36.641690465629,-9.752434621154601,0 -36.640435191812,-9.7524748542897,0 -36.639770003976,-9.7524748542897,0 -36.639689537706,-9.752622375785499,0 -36.639383765878,-9.752608964740499,0 -36.639305981816,-9.752592871486399,0 -36.639582249346,-9.7518311241262,0 -36.639614435854,-9.7517131069295,0 -36.639888021173,-9.751675556003301,0 -36.639995309534,-9.7519330480687,0 -36.642645332042,-9.7514126995198,0 -36.643395009461,-9.7510385313622,0 -36.644062879506,-9.7507032552354,0 -36.644144686881,-9.7508561411492,0 -36.644211071553,-9.750899727045701,0 -36.644245269718,-9.7509386190764,0 -36.64428751451,-9.750919173061,0 -36.644390109005,-9.751042554675699,0 -36.644388097348,-9.751057977377499,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-87 (AIR);0;AL;ARAPIRACA;AIR;AIR;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;87 (AIR) Secundária;BAIXO;1;238;237;237;0;4,20168067226891E-03;;59,5;1,68067226890756E-02;-36.64316433951,-9.752193222342401,0 -36.642300668207,-9.752525816260199,0 -36.641710582224,-9.752456078825899,0 -36.642112913576,-9.752112756072,0 -36.643566670862,-9.7517801621541,0 -36.644494715181,-9.7511203387365,0 -36.64457786366,-9.751050601302101,0 -36.644969466177,-9.751026461420899,0 -36.645070049015,-9.7509741583451,0 -36.645076754537,-9.750954041777501,0 -36.645180019584,-9.7509339252099,0 -36.645232993212,-9.7509030798062,0 -36.645399290172,-9.7507984736546,0 -36.645489144174,-9.7509459951505,0 -36.645475733129,-9.7509915927037,0 -36.645521330683,-9.751045236884,0 -36.645890804976,-9.750827977953699,0 -36.646054419726,-9.750937948523299,0 -36.64599004671,-9.7519276836498,0 -36.645200136155,-9.752266983090299,0 -36.644646259993,-9.7523072162255,0 -36.644276115149,-9.752343426047201,0 -36.64359215185,-9.752354154883299,0 -36.643584105223,-9.7521824935063,0 -36.64316433951,-9.752193222342401,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-86 (AIR);0;AL;ARAPIRACA;AIR;AIR;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;86 (AIR) Secundária;BAIXO;0;200;200;200;0;0;;50;0;-36.645507249086,-9.753225872812999,0 -36.645488473621,-9.753200391827299,0 -36.645540776697,-9.752889255581501,0 -36.645581009833,-9.7526196935755,0 -36.644862177817,-9.7526196935755,0 -36.644654306618,-9.7526062825305,0 -36.644404861179,-9.7525821426494,0 -36.644301596132,-9.752586165962899,0 -36.643553259817,-9.752599577007899,0 -36.643539848772,-9.7527605095488,0 -36.643252852407,-9.7527470985038,0 -36.643216642585,-9.7522026100737,0 -36.643569353071,-9.752189199028701,0 -36.643578740802,-9.7523595193011,0 -36.644292208399,-9.7523554959875,0 -36.64519074842,-9.752299169598199,0 -36.646011504379,-9.751966575680401,0 -36.64606850132,-9.750941971836699,0 -36.646148297038,-9.750966111717799,0 -36.64640780076,-9.7509372779709,0 -36.646404447999,-9.7509848871809,0 -36.646367567625,-9.7510807761532,0 -36.6463662265207,-9.751130397019971,0 -36.646358850446,-9.7511947700363,0 -36.646424564567,-9.7512517669779,0 -36.646397742477,-9.751603136358799,0 -36.646285089699,-9.751627276240001,0 -36.646287771908,-9.751922319231699,0 -36.646370920387,-9.752064476309499,0 -36.64639237806,-9.752689431009999,0 -36.646440657823,-9.752882550059001,0 -36.646290454118,-9.7529442408664,0 -36.646319958417,-9.7532044151408,0 -36.646124157159,-9.7532500126941,0 -36.645507249086,-9.753225872812999,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-16 (FA);0;AL;MACEIO;FA;FA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;16 (FA) Secundária;MEDIO;53;381;328;328;0;0,139107611548556;;95,25;0,556430446194226;-35.718882828832,-9.6075228787941,0 -35.717455893636,-9.6074048615974,0 -35.717530995489,-9.606632385401101,0 -35.718464404226,-9.606610927728999,0 -35.7197250424632,-9.60477093234476,0 -35.7223214207894,-9.604931864885719,0 -35.7222798465496,-9.604775290934469,0 -35.7222248612648,-9.604763556270029,0 -35.7221095262772,-9.604509416965859,0 -35.7220786808736,-9.604280758647331,0 -35.7220424710519,-9.60394212975919,0 -35.7217903434045,-9.603199157862029,0 -35.720964223028,-9.6018902398627,0 -35.722025036693,-9.6007596887628,0 -35.722362995029,-9.60063496604352,0 -35.72270229447,-9.599918816236601,0 -35.7224494962703,-9.599594939498051,0 -35.7225346564065,-9.59913158789074,0 -35.7228766380559,-9.599224124101751,0 -35.723080485941,-9.59951380267537,0 -35.7232668994676,-9.59995636716282,0 -35.7233460246336,-9.600314442066299,0 -35.72341039765,-9.6013618446866,0 -35.723067074896,-9.602204058317399,0 -35.722782760741,-9.6036739088576,0 -35.72248503554,-9.60502574220116,0 -35.718882828832,-9.6075228787941,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-21 (FA);0;AL;MACEIO;FA;FA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;21 (FA) Secundária;MEDIO;13;272;259;259;0;4,77941176470588E-02;;68;0,191176470588235;-35.712969899119,-9.6083677746362,0 -35.714119896234,-9.607099760324351,0 -35.7143534160564,-9.60717502981484,0 -35.7144393305639,-9.607199588791129,0 -35.7144883646974,-9.60722682997644,0 -35.715872049273,-9.608212206513301,0 -35.714214444101,-9.6095747686929,0 -35.712969899119,-9.6083677746362,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-20 (FA);0;AL;MACEIO;FA;FA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;20 (FA) Secundária;MEDIO;17;355;338;338;0;0,047887323943662;;88,75;0,191549295774648;-35.714112520163,-9.607074949891601,0 -35.714579224532,-9.606259558351001,0 -35.7153785228183,-9.605004284532059,0 -35.7155984639576,-9.604899678380511,0 -35.7159270345619,-9.60523495450737,0 -35.7164098321846,-9.605579618365789,0 -35.7166780530861,-9.605664107949771,0 -35.7168376445225,-9.6057217754436,0 -35.716113448088,-9.6078045107436,0 -35.714112520163,-9.607074949891601,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-22 (JT);0;AL;MACEIO;JT;JT;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;22 (JT) Secundária;MEDIO;33;415;382;382;0;7,95180722891566E-02;;103,75;0,318072289156626;-35.7117697962829,-9.65460016366287,0 -35.7124108442381,-9.654463371003059,0 -35.712389554204,-9.654420288020759,0 -35.712381675215,-9.654336971903239,0 -35.7124383368804,-9.65382969912331,0 -35.7124917296036,-9.653833638617799,0 -35.7128307775869,-9.65382550817173,0 -35.7134085421726,-9.653837494293271,0 -35.7135764526478,-9.65383412057724,0 -35.7136773078977,-9.653808618636839,0 -35.7137647835347,-9.65381061981623,0 -35.7140467193253,-9.653792504428001,0 -35.7140815251782,-9.653841433787759,0 -35.7140465307324,-9.65392772548091,0 -35.7138693792089,-9.65412666995269,0 -35.7138248713031,-9.654195988291921,0 -35.7142830261304,-9.65420453783315,0 -35.714358463259,-9.65448281701844,0 -35.7146342278733,-9.654574515039149,0 -35.7146616768595,-9.654686180392581,0 -35.7146726169898,-9.654819434249831,0 -35.7147121013935,-9.655043937213019,0 -35.7147163314347,-9.65514676536681,0 -35.71473665473,-9.655291167760319,0 -35.7141557888402,-9.655270213002391,0 -35.7137036689831,-9.655261328185031,0 -35.7127568054276,-9.65545922491892,0 -35.7124241677365,-9.65550021242543,0 -35.7120029733746,-9.65535151746316,0 -35.7120115731878,-9.655257618251079,0 -35.7120430314169,-9.655109112823441,0 -35.7120612373398,-9.65503018800349,0 -35.7120680140548,-9.654947453447569,0 -35.7125188373027,-9.654941097271839,0 -35.7125150261226,-9.654842204885099,0 -35.7121506699633,-9.654842903578709,0 -35.7117726151004,-9.654857163157329,0 -35.7117697962829,-9.65460016366287,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-9 (FA);0;AL;MACEIO;FA;FA;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;9 (FA) Secundária;ALTO;50;345;295;295;0;0,144927536231884;;86,25;0,579710144927536;-35.727432187966,-9.6052288099762,0 -35.727239068917,-9.605829624795501,0 -35.7262520159989,-9.60584571804965,0 -35.7261943485051,-9.606994374060269,0 -35.7236154045373,-9.60760658826791,0 -35.7231749228991,-9.607229307389741,0 -35.7231445626115,-9.607122629571229,0 -35.7230256894264,-9.60709641802317,0 -35.7228415872365,-9.60653973963224,0 -35.7227151881367,-9.60655373741054,0 -35.7227177027076,-9.6061939442169,0 -35.7227966602355,-9.605844879859321,0 -35.7227329577714,-9.605501389467349,0 -35.7226994301587,-9.60541472058855,0 -35.7225968356639,-9.605420210735129,0 -35.7226149405748,-9.60490132901929,0 -35.7227262522489,-9.604921571315449,0 -35.7229341234475,-9.604974000119791,0 -35.7231956388265,-9.604682309889419,0 -35.7235865707904,-9.60428970154487,0 -35.7238326634675,-9.60392525639497,0 -35.7240740622789,-9.603647312485791,0 -35.7245139445573,-9.60333986427746,0 -35.7246949936658,-9.603207430207339,0 -35.7247839256585,-9.6030972291354,0 -35.7253100577206,-9.60242376417032,0 -35.7261969468951,-9.602786972989501,0 -35.7264561991602,-9.603324525394649,0 -35.7258812006027,-9.604020977729171,0 -35.7254366244585,-9.6045636221405,0 -35.72570484536,-9.6047138258453,0 -35.727432187966,-9.6052288099762,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
AL-5 (FA);0;AL;MACEIO;FA;FA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;5 (FA) Secundária;MEDIO;60;482;422;422;0;0,12448132780083;;120,5;0,49792531120332;-35.71109542854,-9.621199997549081,0 -35.7109396804788,-9.621282757122829,0 -35.7107306574148,-9.62137701384354,0 -35.7102622845666,-9.621613259202469,0 -35.7100922772359,-9.62167615186284,0 -35.7099046190397,-9.621716964038169,0 -35.7096120699219,-9.62181197838062,0 -35.7091454151162,-9.62208839919437,0 -35.7091551418805,-9.62213185598215,0 -35.709230175189,-9.622395770112851,0 -35.7093150048203,-9.62271831131784,0 -35.709510220538,-9.6233957381249,0 -35.7078684158506,-9.623470253940461,0 -35.7077562872392,-9.622382995718739,0 -35.7063483895899,-9.622019074611879,0 -35.7044469654819,-9.621869730226219,0 -35.7044721536973,-9.62163176869155,0 -35.7060744808135,-9.621731765492759,0 -35.7061399021641,-9.621150481204181,0 -35.7066044484909,-9.621160246469559,0 -35.7065432818507,-9.621770826554281,0 -35.7072643834972,-9.62191712330133,0 -35.7079789859105,-9.621416278945681,0 -35.7086399441434,-9.62094225668017,0 -35.7096319719659,-9.620323632393911,0 -35.7097016949935,-9.620240701577879,0 -35.7097456306005,-9.620238652064479,0 -35.7097926880614,-9.620246898455379,0 -35.7098588111987,-9.6202705646485,0 -35.7099487185828,-9.62029788959633,0 -35.7100233870231,-9.62033156410412,0 -35.7101668343023,-9.6204294042291,0 -35.7102866969919,-9.620510891906759,0 -35.7104186238454,-9.620608888440289,0 -35.710553795063,-9.62070516453282,0 -35.7107908110531,-9.62087308564897,0 -35.7111644020403,-9.621156570452451,0 -35.71109542854,-9.621199997549081,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
