name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
AM-349 (CN);0;AM;MANAUS;CN;CN;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;349 (CN) Secundária;MEDIO;13;228;215;215;0;5,70175438596491E-02;;57;0,228070175438596;-59.977139345426,-3.02851442126519,0 -59.9771554386801,-3.028973079006731,0 -59.9775121724791,-3.02895698575258,0 -59.9775121724792,-3.029243982117169,0 -59.9784858143511,-3.029243982117189,0 -59.9791375911415,-3.02909914283036,0 -59.9795291936581,-3.02904818085909,0 -59.979542604703,-3.02980724601031,0 -59.977718702573,-3.02985150245905,0 -59.977322406191,-3.02984387492716,0 -59.9773136890118,-3.029546568821671,0 -59.9769730484668,-3.02955277143001,0 -59.9769844478552,-3.02985552577257,0 -59.97591089369699,-3.0298796656537,0 -59.97581165196349,-3.03041342524769,0 -59.975728503484,-3.0309525492597,0 -59.9757968998138,-3.03162578372246,0 -59.9760208642665,-3.03221586970576,0 -59.9758036053364,-3.03227353719958,0 -59.9757231390661,-3.03233388690241,0 -59.9755139267632,-3.03248677281624,0 -59.975041857976,-3.03249481944334,0 -59.97497748496,-3.0325511458326,0 -59.97475486161171,-3.0325270059515,0 -59.9745000517552,-3.032518959324479,0 -59.974183551091,-3.0324760439802,0 -59.973690024633,-3.0324653151442,0 -59.97320990921871,-3.03245190409913,0 -59.9733788883869,-3.03232584027534,0 -59.9735398209279,-3.03219441203367,0 -59.9741755044643,-3.032126015703811,0 -59.975039175767,-3.03211394576326,0 -59.9749640739148,-3.03054753569849,0 -59.9748380100908,-3.030338323395339,0 -59.9747924125378,-3.03005400923978,0 -59.9757968998134,-3.03004059819468,0 -59.97579421760471,-3.0293271305967,0 -59.9757741010375,-3.02858684090857,0 -59.9767598128504,-3.02852246789222,0 -59.977139345426,-3.02851442126519,0;ATIVAS;Sem restrição de vendas
AM-369 (CN);0;AM;MANAUS;CN;CN;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;369 (CN) Secundária;BAIXO;31;253;222;222;0;0,122529644268775;;63,25;0,490118577075099;-59.99524272122001,-3.042435455593699,0 -59.995374820014,-3.0423690709205,0 -59.99551228322601,-3.04247971204228,0 -59.9966944668493,-3.04247770038543,0 -59.99685472883801,-3.04266344335963,0 -59.9968520466289,-3.0439643147319,0 -59.9963732723197,-3.04397102025442,0 -59.99637193121519,-3.04410647180966,0 -59.9960634771784,-3.04407160309244,0 -59.9960044685801,-3.04403673437541,0 -59.995988375326,-3.0437711956831,0 -59.99580062069501,-3.043575394425,0 -59.99566382803499,-3.0435673477979,0 -59.99548412003099,-3.0436907294126,0 -59.99522394575699,-3.0436531784864,0 -59.99524272122001,-3.042435455593699,0;ATIVAS;Sem restrição de vendas
AM-386 (CN);0;AM;MANAUS;CN;CN;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;386 (CN) Secundária;MEDIO;37;444;407;407;0;8,33333333333333E-02;;111;0,333333333333333;-59.9808334947971,-3.00423549612804,0 -59.9815717728284,-3.003761750960789,0 -59.9838818253424,-3.00212929149911,0 -59.98495537950059,-3.00490370144889,0 -59.9828773380663,-3.00493152936742,0 -59.9828907491113,-3.00581598779009,0 -59.9825273097898,-3.00584247460412,0 -59.9825098754312,-3.00498115023421,0 -59.98153757466319,-3.00499724348832,0 -59.98153422190191,-3.00477462014009,0 -59.9798732639694,-3.00482558211138,0 -59.9808334947971,-3.00423549612804,0;ATIVAS;Sem restrição de vendas
AM-349 (PA);0;AM;MANAUS;PA;PA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;349 (PA) Secundária;MEDIO;1;3;2;2;0;0,333333333333333;;0,75;1,33333333333333;-60.01766674219009,-3.09501998126588,0 -60.01823537050209,-3.09473566711024,0 -60.018197819576,-3.0952989310034,0 -60.01848213373099,-3.0953887850053,0 -60.018551200613,-3.09564828872753,0 -60.01856662331459,-3.09567846357899,0 -60.01856528221,-3.0957254022368,0 -60.018476769312,-3.0960097163924,0 -60.01824073492001,-3.096390590072501,0 -60.017348900422,-3.096391931177001,0 -60.01731537280901,-3.0962417274722,0 -60.0173126906,-3.096176013351299,0 -60.01711554823699,-3.096122369171,0 -60.01699618993651,-3.09603117406454,0 -60.0171108543723,-3.09556145221082,0 -60.0171799212544,-3.09547930955974,0 -60.01720003782191,-3.09503473341553,0 -60.01766674219009,-3.09501998126588,0;ATIVAS;Sem restrição de vendas
AM-349 (PA);0;AM;MANAUS;PA;PA;MEDIO;BLOQUEADO;BLOQUEADO;349 (PA) Secundária;MEDIO;9;272;263;263;272;3,30882352941176E-02;;68;0,132352941176471;-60.01766674219009,-3.09501998126588,0 -60.01823537050209,-3.09473566711024,0 -60.018197819576,-3.0952989310034,0 -60.01848213373099,-3.0953887850053,0 -60.018551200613,-3.09564828872753,0 -60.01856662331459,-3.09567846357899,0 -60.01856528221,-3.0957254022368,0 -60.018476769312,-3.0960097163924,0 -60.01824073492001,-3.096390590072501,0 -60.017348900422,-3.096391931177001,0 -60.01731537280901,-3.0962417274722,0 -60.0173126906,-3.096176013351299,0 -60.01711554823699,-3.096122369171,0 -60.01699618993651,-3.09603117406454,0 -60.0171108543723,-3.09556145221082,0 -60.0171799212544,-3.09547930955974,0 -60.01720003782191,-3.09503473341553,0 -60.01766674219009,-3.09501998126588,0;ATIVAS;Bloqueado
AM-226 (CE);0;AM;MANAUS;CE;CE;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;226 (CE) Secundária;MEDIO;42;214;172;172;0;0,196261682242991;;53,5;0,785046728971963;-60.0673442706,-3.0958839010938,0 -60.068038962735,-3.0957176041349,0 -60.068937502754,-3.095197255586,0 -60.069817267311,-3.096618826364001,0 -60.071920119178,-3.0978097271667,0 -60.070954523933,-3.0998052906737,0 -60.069637559308,-3.0988396954283,0 -60.069286189927,-3.0986143898711,0 -60.068964324845,-3.0984427284941,0 -60.069001875771,-3.0984078597769,0 -60.06905551995099,-3.0982630204901,0 -60.06902869786099,-3.0982361984,0 -60.069467239035,-3.0976005148634,0 -60.069353245151,-3.0975602817281,0 -60.069299600971,-3.0976622056707,0 -60.068987794174,-3.097432876799901,0 -60.068923421158,-3.0973503988727,0 -60.068662576331,-3.0971472215399,0 -60.068688057316,-3.0970439564928,0 -60.068342052353,-3.0969017994149,0 -60.06831925357699,-3.0968199920399,0 -60.068315230263,-3.0967100214703,0 -60.068252198351,-3.0966764938576,0 -60.068135522259,-3.0968615662797,0 -60.067843161477,-3.0969929945214,0 -60.067702345504,-3.0969769012672,0 -60.067696981086,-3.096952761386,0 -60.0673442706,-3.0958839010938,0;ATIVAS;Sem restrição de vendas
AM-77 (CE);0;AM;MANAUS;CE;CE;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;77 (CE) Secundária;MEDIO;70;413;343;343;0;0,169491525423729;;103,25;0,677966101694915;-60.014786720245,-3.1318239122559,0 -60.015339255306,-3.1330362707304,0 -60.014995932548,-3.1330469995667,0 -60.01316666599999,-3.1331113725831,0 -60.012748241394,-3.1330309063126,0 -60.0121125578576,-3.13300944864055,0 -60.01203477379601,-3.1331221014191,0 -60.011948943108,-3.1333474069764,0 -60.011653900116,-3.133465424173,0 -60.011004805534,-3.1335458904435,0 -60.010511279076,-3.1333849579026,0 -60.01037716862499,-3.1318668276002,0 -60.011991858452,-3.1318078190018,0 -60.013649463623,-3.1317970901658,0 -60.014196634262,-3.1318507343461,0 -60.014786720245,-3.1318239122559,0;ATIVAS;Sem restrição de vendas
AM-171 (TQ);0;AM;MANAUS;TQ;TQ;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;171 (TQ) Secundária;MEDIO;47;467;420;420;0;0,100642398286938;;116,75;0,402569593147752;-60.0646889753569,-2.99801283069305,0 -60.06620710566,-2.997996737439001,0 -60.066550428414,-2.9990910787171,0 -60.063825304054,-3.0015157956665,0 -60.0623983688583,-3.00136290975265,0 -60.06229242160239,-3.0010289747303,0 -60.0600112028356,-3.00095253177335,0 -60.06001388504429,-2.99964629598312,0 -60.06013458444959,-2.9994236726349,0 -60.062226707482,-2.9993485707825,0 -60.0626880474323,-2.99933784194641,0 -60.06258612348951,-2.99878530688932,0 -60.0633854217761,-2.99865387864761,0 -60.06457632257881,-2.99865656085665,0 -60.0646889753569,-2.99801283069305,0;ATIVAS;Sem restrição de vendas
AM-101 (CN);0;AM;MANAUS;CN;CN;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;101 (CN) Secundária;BAIXO;104;455;351;351;0;0,228571428571429;;113,75;0,914285714285714;-59.959074556815,-3.0480980873093,0 -59.95923023453499,-3.0482036987419,0 -59.959222187908,-3.0482560018177,0 -59.959185978086,-3.0484115699406,0 -59.959084054144,-3.048777691471099,0 -59.959126592451,-3.0488108131629,0 -59.959192627874,-3.0488927224862,0 -59.959181845175,-3.0489503592242,0 -59.9592784047,-3.049008026718,0 -59.95935887097,-3.0490844696749,0 -59.959306567894,-3.0492521077384,0 -59.95908528565,-3.049465343355,0 -59.959148317562,-3.0495163053263,0 -59.95931729673,-3.0496651679266,0 -59.959116131055,-3.0501291900862,0 -59.95926231144599,-3.0502190440882,0 -59.95917782186201,-3.0503062158811,0 -59.959381669747,-3.0504671484221,0 -59.959490299212,-3.0505067110051,0 -59.95944604276301,-3.0505871772755,0 -59.958999454963,-3.0505804717529,0 -59.957714676845,-3.05060461163409,0 -59.95756313203569,-3.04994344711178,0 -59.9567893147347,-3.04927155375354,0 -59.9559082090736,-3.048470914362429,0 -59.956223368633,-3.0481503903852,0 -59.956661909806,-3.0484253168092,0 -59.956916719662,-3.048128932713,0 -59.957433044898,-3.0485191941248,0 -59.957851469504,-3.0481597781167,0 -59.95832353829,-3.048575520513999,0 -59.958481788622,-3.0484896898255,0 -59.958669543253,-3.0484870076165,0 -59.959074556815,-3.0480980873093,0;ATIVAS;Sem restrição de vendas
AM-66 (CN);0;AM;MANAUS;CN;CN;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;66 (CN) Secundária;MEDIO;75;458;383;383;0;0,163755458515284;;114,5;0,655021834061135;-59.96164559030701,-3.053349853822,0 -59.961870895864,-3.0534061802113,0 -59.96223835849899,-3.0534383667195,0 -59.962356375696,-3.0535027397358,0 -59.962707745077,-3.0536341679776,0 -59.9630161991135,-3.05371463424803,0 -59.96335683965879,-3.0528643739903,0 -59.96370820903989,-3.053044081994281,0 -59.9640562256591,-3.05316411084775,0 -59.9642486741554,-3.05324122435698,0 -59.963873164895,-3.0548116577352,0 -59.963570075276,-3.055635095902701,0 -59.963470833543,-3.0558148039067,0 -59.96313555741601,-3.0557128799641,0 -59.962789552453,-3.0557316554273,0 -59.96258034014999,-3.055710197755101,0 -59.96227456832201,-3.0559328211034,0 -59.96202244067499,-3.0558469904149,0 -59.961958067658,-3.0559033168042,0 -59.961805181744,-3.055865765878,0 -59.961547689678,-3.0559247744764,0 -59.961464541198,-3.0558684480871,0 -59.961263375522,-3.0559194100584,0 -59.960960285904,-3.0559462321485,0 -59.96082617545301,-3.0559220922674,0 -59.960702793838,-3.0559596431936,0 -59.960592823268,-3.0559194100584,0 -59.96097906136701,-3.054999412366199,0 -59.961166815998,-3.0544978392805,0 -59.9616201093202,-3.05332034952283,0 -59.96164559030701,-3.053349853822,0;ATIVAS;Sem restrição de vendas
