name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
AP-80 (CTO);249;AP;MACAPA;MPA;CTO;OURO;Sem Restrição de Vendas;Sem Restrição de Vendas;80 (CTO) Secundária;Sangria;122;428;428;428;0;0,285;1600303;42;2,9047619047619;-51.05302482843199,0.0334408879280155,0 -51.053016781805,0.032000541687014,0 -51.05315625667399,0.031721591949465,0 -51.05317234992599,0.031210631132128,0 -51.053106635805,0.03105506300927,0 -51.053156256672,0.030235648155207,0 -51.052244305607,0.030190050601954,0 -51.052158474918,0.030281245708461,0 -51.05198949575,0.030243694782252,0 -51.05198949575,0.03014981746673,0 -51.05094879866201,0.03007739782332799,0 -51.050731539731,0.03016591072082,0 -51.0505437851,0.032064914703369,0 -51.049964427953,0.03204882144928,0 -51.049900054937,0.033228993415836,0 -51.05106413364581,0.0333201885223438,0 -51.0510292649267,0.0339370965957714,0 -51.05205520987401,0.0340738892555316,0 -51.0529705136999,0.0340859591960988,0 -51.0531867668015,0.0341000407934271,0 -51.0532197914999,0.0334553048014706,0 -51.05302482843199,0.0334408879280155,0;ATIVAS;Sem Restrição de Vendas
AP-101 (CTO);237;AP;MACAPA;MPA;CTO;OURO;Sem Restrição de Vendas;Sem Restrição de Vendas;101 (CTO) Secundária;Sangria;125;446;446;446;0;0,2803;1600303;72;1,73611111111111;-51.0618486255125,0.0453304499385128,0 -51.06371074912451,0.0454524904486955,0 -51.0637390799581,0.0451155379411998,0 -51.0638042073462,0.0450811721381969,0 -51.06382641938999,0.0448912382123299,0 -51.06385399585189,0.0446704588827916,0 -51.0655820928292,0.0447983667251902,0 -51.06560459823941,0.0444599892941545,0 -51.0655815060964,0.0438721664247332,0 -51.0656433854976,0.0438565341753199,0 -51.0657079471079,0.0436343718317593,0 -51.0660704225127,0.0436621159312605,0 -51.06609053908021,0.0432396680114022,0 -51.0675040632333,0.0433281809089024,0 -51.0675174742785,0.0430599600074193,0 -51.06765963135659,0.0429902225730318,0 -51.06766901908799,0.0423531979319917,0 -51.0676475614158,0.0417201966044692,0 -51.06776423750819,0.0416236370799318,0 -51.06777362523971,0.0414425879714282,0 -51.0663802176681,0.0413433462378916,0 -51.0661119967671,0.0412789732215346,0 -51.0640949755871,0.0411716848609386,0 -51.0623247176439,0.0410375744101998,0 -51.0620799660716,0.0424256175754111,0 -51.0620953887754,0.0424638390538785,0 -51.0620269924459,0.0425852090118006,0 -51.061938479549,0.0432745367286292,0 -51.062005534774,0.0436124950645073,0 -51.0618767887429,0.04451639950252019,0 -51.0618848353699,0.0446370989081899,0 -51.0618486255125,0.0453304499385128,0;ATIVAS;Sem Restrição de Vendas
AP-106 (CTO);233;AP;MACAPA;MPA;CTO;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;106 (CTO) Secundária;Mercado Novo;134;404;404;404;0;0,3317;1600303;91;1,47252747252747;-51.08202017857799,0.041400343179326,0 -51.082052365099,0.041231364011401,0 -51.0817868264073,0.0408773124214342,0 -51.0822240264765,0.0408934056755234,0 -51.0822830350745,0.0401584804054406,0 -51.082744375023,0.040196031331646,0 -51.083425656113,0.039938539266216,0 -51.08340419844,0.039788335561382,0 -51.083608046326,0.039772242307292,0 -51.083667054924,0.039369910955057,0 -51.083543673309,0.039316266774759,0 -51.08286239221901,0.039321631192789,0 -51.08283020571099,0.039498656987772,0 -51.082492247375,0.039600580930339,0 -51.082368865761,0.039482563733683,0 -51.082368865761,0.039182156324014,0 -51.08213819578399,0.03918752074204,0 -51.080754175932,0.039074867963415,0 -51.08031965807199,0.039010494947057,0 -51.080308929236,0.039139240979772,0 -51.08005143717101,0.039123147725683,0 -51.079847589285,0.039048045873266,0 -51.078852489738,0.039002448320013,0 -51.078758612422,0.039230436086279,0 -51.078257039337,0.039238482713324,0 -51.0783589632791,0.0393404066558892,0 -51.07836164548801,0.03947183489762,0 -51.0782704503819,0.039785653352366,0 -51.07817254975241,0.0398822128768994,0 -51.0780666024966,0.0403355062004188,0 -51.07797406628541,0.040411949157343,0 -51.0780598969744,0.040566176175699,0 -51.07799686505601,0.041105300187687,0 -51.0778734834409,0.0412555038925212,0 -51.078152433178,0.0413627922531172,0 -51.07814706876,0.041518360375982,0 -51.07798077180099,0.041867047547918,0 -51.077905669949,0.042290836572273,0 -51.07874788357999,0.04236057400666,0 -51.07901610448099,0.042891651391611,0 -51.079273596547,0.043063312768564,0 -51.08202017857799,0.041400343179326,0;ATIVAS;Sem Restrição de Vendas
AP-26 (CJF);211;AP;MACAPA;MPA;CJF;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;26 (CJF) Secundária;Mercado Novo;116;372;372;322;0;0,3118;1600303;93;1,24731182795699;-51.102534383605,0.06055265665690699,0 -51.102781146834,0.060659945017503,0 -51.10627874739001,0.05857855082194,0 -51.106117814849,0.056647360331212,0 -51.10521659262,0.055542290217073,0 -51.103875488112,0.055960714823398,0 -51.10079631216299,0.05804210901895999,0 -51.101150363753,0.058567821985881,0 -51.10126838095,0.05878239870707299,0 -51.101558059523,0.05924373865763499,0 -51.102137416671,0.060048401362105,0 -51.102534383605,0.06055265665690699,0;ATIVAS;Sem Restrição de Vendas
AP-5 (CTO);284;AP;MACAPA;MPA;CTO;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;5 (CTO) Secundária;Comunidade;193;477;477;466;0;0,4046;1600303;119;1,6218487394958;-51.0807830095217,0.0262632966042455,0 -51.0809305310177,0.026398748159498,0 -51.0810257494378,0.0268500298262549,0 -51.08128525315999,0.02694424241790319,0 -51.0815313458372,0.0266656279564805,0 -51.081732511513,0.026469826698392,0 -51.0817351937223,0.0263062119484832,0 -51.0817083716323,0.0260822474957391,0 -51.0814911127023,0.0261291861534999,0 -51.0813596844601,0.0259843468666953,0 -51.0809332132269,0.0255310535431776,0 -51.080659627907,0.0251930952073,0 -51.0803431272438,0.0247585773468858,0 -51.0801875591204,0.0245225429535746,0 -51.080176830285,0.023970007896506,0 -51.0801553726128,0.0236856937409258,0 -51.0798442363668,0.0237232446671352,0 -51.07946336268689,0.0237500667572836,0 -51.079329252236,0.023701786995016,0 -51.079146862023,0.023487210273824,0 -51.07911735772299,0.023353099823079,0 -51.078975200645,0.023277997970661,0 -51.07861310242799,0.0232994556427805,0 -51.0778996348298,0.0233061611653178,0 -51.0776582360181,0.0233075022698252,0 -51.0776394605471,0.0233665108681589,0 -51.0773980617358,0.0234577059746655,0 -51.0771935432984,0.0234530121088892,0 -51.07711508868469,0.0237835943699754,0 -51.0766765475107,0.0237098336220652,0 -51.07551783321931,0.023683011531909,0 -51.0753059387069,0.0236642360688051,0 -51.075295209871,0.024063885212025,0 -51.075177192675,0.024074614048085,0 -51.07512891291199,0.024342834949575,0 -51.075112819658,0.024552047252737,0 -51.07508599756801,0.024755895137869,0 -51.074871420847,0.024755895137869,0 -51.074844598757,0.024911463260734,0 -51.075021624552,0.024916827678763,0 -51.074973344789,0.025195777416313,0 -51.07472658156,0.025185048580253,0 -51.074737310396,0.025292336940849,0 -51.07498407363099,0.025362074375238,0 -51.074957251541,0.025539100170221,0 -51.074646115295,0.025506913662043,0 -51.074630022041,0.025646388530818,0 -51.07484996318,0.025694668293086,0 -51.07483923434399,0.025909245014278,0 -51.074828505508,0.025962889194576,0 -51.074608564369,0.025978982448665,0 -51.074613928787,0.02610772848138,0 -51.074930429451,0.026134550571529,0 -51.07515037059,0.026043355465023,0 -51.07527911662301,0.025630295276728,0 -51.076357364647,0.025673210620966,0 -51.076357364647,0.025775134563533,0 -51.076464653007,0.025769770145503,0 -51.077049374573,0.025383532047357,0 -51.077210307113,0.025319159031,0 -51.077430248253,0.025345981121149,0 -51.077789664261,0.025410354137506,0 -51.078186631195,0.025404989719476,0 -51.078787446018,0.025394260883417,0 -51.079452633854,0.025480091571894,0 -51.08021974563201,0.025517642498103,0 -51.08050405979,0.025638341903775,0 -51.080600619315,0.025718808174222,0 -51.080648899077,0.025780498981565,0 -51.080691814421,0.025842189788908,0 -51.0807830095217,0.0262632966042455,0;ATIVAS;Sem Restrição de Vendas
AP-94 (CTO);241;AP;MACAPA;MPA;CTO;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;94 (CTO) Secundária;Mercado Novo;157;442;442;442;0;0,3552;1600303;111;1,41441441441441;-51.0452254673058,0.043511903995881,0 -51.0448090402024,0.0445727432588624,0 -51.0449036370917,0.0447688455503178,0 -51.0448994119319,0.04567810557867499,0 -51.0453029377295,0.0457249832900459,0 -51.0456415011075,0.0457461738356687,0 -51.04563138312609,0.0460820901118573,0 -51.0457216824511,0.04620609404214,0 -51.045699461405,0.0466184990899722,0 -51.04559265220559,0.0466390313496574,0 -51.0455848482272,0.04690605537489,0 -51.0459710418452,0.0469206914408643,0 -51.04604583704729,0.0470174886912992,0 -51.0463247853821,0.0470183734773378,0 -51.0464269129928,0.0469543240720007,0 -51.0468359010197,0.0469703735499775,0 -51.047004641124,0.0470460110007638,0 -51.0471576964201,0.046992852021123,0 -51.0472918572418,0.04697718422589011,0 -51.0475949113049,0.04698887436203819,0 -51.0476107639506,0.0462191267848561,0 -51.0475800548219,0.0461761138195738,0 -51.0474385860234,0.0461703006548424,0 -51.04741183793121,0.0459355213441625,0 -51.04754891915899,0.0458447605818578,0 -51.0475929391098,0.04507376123625979,0 -51.0476479399766,0.0446461212015779,0 -51.0465189526045,0.0445741435338152,0 -51.04664342876031,0.0433836315619222,0 -51.0459381899965,0.0433250679681815,0 -51.0457117273874,0.0432666818757937,0 -51.04541002292891,0.0432523137978998,0 -51.0452254673058,0.043511903995881,0;ATIVAS;Sem Restrição de Vendas
AP-93 (CTO);242;AP;MACAPA;MPA;CTO;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;93 (CTO) Secundária;Mercado Novo;133;463;463;463;0;0,2873;1600303;116;1,14655172413793;-51.0506095074729,0.0495648106698988,0 -51.05070740810099,0.048918398297317,0 -51.050704725891,0.048599215424542,0 -51.050554522186,0.048561664498333,0 -51.05051697126001,0.0478723367815041,0 -51.0500663601461,0.0477516373758374,0 -51.05007708898201,0.047183009064678,0 -51.04855493537,0.047378810322765,0 -51.04853750101099,0.047519626296042,0 -51.0479568027571,0.04748475757885,0 -51.0478924297401,0.04732918945598661,0 -51.0475893401211,0.0472782274847028,0 -51.0473640345679,0.0473841747407886,0 -51.04731173149209,0.0487842878465659,0 -51.047712721739,0.0487883111600894,0 -51.04793266287599,0.04953262416171979,0 -51.0483135365566,0.0495782217149733,0 -51.0486863636097,0.0494360646371838,0 -51.0487225734311,0.0492456277971256,0 -51.04912624588761,0.04925367442417,0 -51.0491423391421,0.04948702660846609,0 -51.0506095074729,0.0495648106698988,0;ATIVAS;Sem Restrição de Vendas
AP-100 (CTO);238;AP;MACAPA;MPA;CTO;OURO;Sem Restrição de Vendas;Sem Restrição de Vendas;100 (CTO) Secundária;Sangria;139;454;454;454;0;0,3062;1600303;73;1,9041095890411;-51.06184260131899,0.044646812322546,0 -51.061860035655,0.044571710470127,0 -51.0614577043,0.04453415954391599,0 -51.059735726112,0.04441614234726,0 -51.059451411957,0.044378591421052,0 -51.058442901364,0.044330311658778,0 -51.057648967495,0.044308853986658,0 -51.057509492626,0.044212294462122,0 -51.05734319566699,0.04426057422439,0 -51.05594844697999,0.044158650281824,0 -51.055535386791,0.044088912847436,0 -51.055336903324,0.044105006101526,0 -51.055336903324,0.044872117879787,0 -51.055471013775,0.044866753461758,0 -51.055755327931,0.044721914174953,0 -51.05594844697999,0.044738007429042,0 -51.056045006501,0.045097423437035,0 -51.05596454023001,0.04529590690413799,0 -51.05595917581199,0.045408559682764,0 -51.055948446976,0.045548034551539,0 -51.05594308255801,0.046036196592251,0 -51.056581448304,0.046111298444668,0 -51.056629728066,0.045671416166224,0 -51.05664582132,0.045671416166224,0 -51.056828211533,0.045708967092433,0 -51.05754838469,0.04574115360062201,0 -51.058699052357,0.04580552661698199,0 -51.059275727295,0.04585648858826501,0 -51.059581499122,0.04585648858826501,0 -51.06014744522399,0.046194446924145,0 -51.061265926383,0.04623199785035399,0 -51.061252515338,0.046771121862349,0 -51.061330299399,0.046787215116438,0 -51.06132225277201,0.046988380792556,0 -51.061445634387,0.046942783239302,0 -51.061560969375,0.04698569858354099,0 -51.06172726633369,0.0469159611491537,0 -51.0623334455696,0.0469387599257789,0 -51.0635632384015,0.0470554360179251,0 -51.0654769945336,0.0471600421695066,0 -51.065647314806,0.0465578862456616,0 -51.0660892087412,0.0464499273328118,0 -51.06640235664371,0.0456338652400286,0 -51.06181577922861,0.0453441866664197,0 -51.06184260131899,0.044646812322546,0;ATIVAS;Sem Restrição de Vendas
AP-83 (CTO);247;AP;MACAPA;MPA;CTO;OURO;Sem Restrição de Vendas;Sem Restrição de Vendas;83 (CTO) Secundária;Sangria;111;433;349;349;0;0,2564;1600303;65;1,70769230769231;-51.0546196126036,0.0390376024005794,0 -51.0545901083064,0.0387901686189566,0 -51.0549951218697,0.0388055913207939,0 -51.05597681037321,0.0388739876506773,0 -51.05602509013501,0.038696961855694,0 -51.05608946315,0.037903027987282,0 -51.05579442015801,0.037903027987282,0 -51.05582124224801,0.037441688036719,0 -51.055198969755,0.037414865946567,0 -51.05482882491,0.037361221766269,0 -51.05466789237001,0.037452416872775,0 -51.053342881114,0.037382679438387,0 -51.05316049090099,0.037371950602327,0 -51.053090753466,0.037312942003999,0 -51.052795710475,0.03730221316794,0 -51.05264550677,0.037162738299165,0 -51.052248539836,0.037146645045075,0 -51.052286090762,0.036363440012724,0 -51.05196422568,0.03620787188986,0 -51.051151516346,0.036213236307891,0 -51.05099863043199,0.03622396514395,0 -51.050521197228,0.036140816664489,0 -51.05039781561301,0.03611399457434,0 -51.049856009392,0.036068397021086,0 -51.049759449867,0.036170320963653,0 -51.04918545713801,0.036159592127593,0 -51.049056711105,0.036100583529265,0 -51.04928738108001,0.036744313692841,0 -51.049705805687,0.036808686709199,0 -51.049748721031,0.036905246233735,0 -51.04971653452299,0.03758116290549,0 -51.04941612711201,0.0375650696514,0 -51.04948318234199,0.037953989958565,0 -51.0495851062846,0.0394077472446408,0 -51.05044341317,0.0394184760806998,0 -51.0505453371112,0.0387720637081065,0 -51.0518247508101,0.0389034919498342,0 -51.0524872564367,0.0389410428760429,0 -51.0546196126036,0.0390376024005794,0;ATIVAS;Sem Restrição de Vendas
AP-68 (CTO);254;AP;MACAPA;MPA;CTO;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;68 (CTO) Secundária;Mercado Novo;145;444;444;444;0;0,3266;1600303;100;1,45;-51.073002591694,0.022712722417323,0 -51.071500554643,0.022701993581264,0 -51.071299388967,0.02265371381899599,0 -51.069226041396,0.022449865933863,0 -51.0675255208807,0.022358670827357,0 -51.0673619061307,0.0225115567412047,0 -51.0674665122822,0.0226912647452044,0 -51.0674450546107,0.0230935960974396,0 -51.06734849508609,0.0232706218924222,0 -51.0670521109901,0.0232464820113011,0 -51.0669703874341,0.0230565480854327,0 -51.0666472650669,0.0230650976266669,0 -51.0667466744385,0.023548901077728,0 -51.06682211156709,0.0236152857508436,0 -51.0670319944225,0.0239143520559988,0 -51.068002954086,0.023908987637969,0 -51.06882907446199,0.023962631818267,0 -51.069075837692,0.024064555760833,0 -51.069285049995,0.023984089490386,0 -51.07110895212501,0.024016275998565,0 -51.071253791412,0.024284496900055,0 -51.071473732551,0.024305954572174,0 -51.071645393928,0.024069920178863,0 -51.07307232912899,0.02413965761325,0 -51.075094714726,0.024348869916412,0 -51.075148358906,0.024069920178863,0 -51.07523955401301,0.024048462506744,0 -51.075293198193,0.023817792531462,0 -51.07523418959499,0.023635402318449,0 -51.075202003086,0.023485198613615,0 -51.07531465586501,0.023313537236661,0 -51.07530929144699,0.023216977712125,0 -51.075271740521,0.023157969113797,0 -51.075250282849,0.022846832868068,0 -51.073002591694,0.022712722417323,0;ATIVAS;Sem Restrição de Vendas
