name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
BA-29 (BES);0;BA;BARREIRAS;BES;BES;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;29 (BES) Secundária;BAIXO;43;420;377;377;0;0,1023;;105;0,4095;-44.976797496697,-12.136561699495,0 -44.977537786385,-12.136797733888,0 -44.977586066147,-12.137006946191,0 -44.97763434591,-12.137006946191,0 -44.977940117737,-12.137055225953,0 -44.978691136261,-12.137312718019,0 -44.978605305573,-12.137650676355,0 -44.978573119065,-12.137977905855,0 -44.978465830704,-12.138144202813,0 -44.978390728852,-12.138428516969,0 -44.9783679300753,-12.1385934728235,0 -44.9782753938642,-12.138919361219,0 -44.9775015765633,-12.1385934728238,0 -44.9772829765286,-12.1386940556619,0 -44.976914172789,-12.1385693329424,0 -44.9769363010134,-12.1384211408942,0 -44.976126609167,-12.1381405147759,0 -44.9756573902275,-12.1380203182844,0 -44.9756039136852,-12.1379081684199,0 -44.9743959976203,-12.1373858920314,0 -44.9742609651613,-12.1375046635974,0 -44.9739734658826,-12.1373626741575,0 -44.9740078316857,-12.1372448245987,0 -44.9740421974888,-12.1371645259662,0 -44.9741635674471,-12.137020357231,0 -44.974244033718,-12.136744089703,0 -44.974260126972,-12.136652894596,0 -44.974410330677,-12.136459775547,0 -44.974394237423,-12.136282749752,0 -44.974587356472,-12.136009164432,0 -44.974742924595,-12.135955520252,0 -44.974957501316,-12.135805316547,0 -44.975729977512,-12.136105723957,0 -44.976507818126,-12.136502690891,0 -44.976529275798,-12.13656169949,0 -44.976641928577,-12.136567063908,0 -44.976797496697,-12.136561699495,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-87 (BDEA);0;BA;SALVADOR;BDEA;BDEA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;87 (BDEA) Secundária;BAIXO;3;117;114;114;0;0,0256;;29,25;0,1025;-38.4452816130458,-12.9472861334958,0 -38.445245403224,-12.947071556774,0 -38.444781381067,-12.946926717483,0 -38.4448558123671,-12.9466685548655,0 -38.4450053455197,-12.9465552315349,0 -38.4451434792839,-12.9463661357997,0 -38.4453848780957,-12.9460630461803,0 -38.4453111173475,-12.9457760498154,0 -38.4454365106188,-12.9457411810981,0 -38.4455873848758,-12.9449284717665,0 -38.4458006204923,-12.9449606582745,0 -38.446031290468,-12.9455748841382,0 -38.446084934648,-12.945738498889,0 -38.445983010705,-12.945784096442,0 -38.445924002107,-12.945945028983,0 -38.445988375123,-12.94614351245,0 -38.446310240207,-12.946103279312,0 -38.4469063611603,-12.9460107431015,0 -38.446894961772,-12.946159605702,0 -38.4468688102343,-12.9462870106301,0 -38.446613329826,-12.946398322304,0 -38.446685749469,-12.946653132161,0 -38.446811813297,-12.947127883153,0 -38.4468942912245,-12.9471399530934,0 -38.4469211133144,-12.9471781745719,0 -38.4469237955233,-12.9472572997385,0 -38.446779626789,-12.947323684411,0 -38.446763533535,-12.947425608354,0 -38.446728664817,-12.94757312985,0 -38.446827906551,-12.947712604718,0 -38.446849364223,-12.947755520063,0 -38.446774262373,-12.947876219466,0 -38.4466044450147,-12.9479364853499,0 -38.4463648902219,-12.9481523193567,0 -38.4458571145278,-12.9480731103717,0 -38.4458743393388,-12.9479849117956,0 -38.4459687824328,-12.9479595879706,0 -38.4459894647789,-12.9478920193537,0 -38.4459119898002,-12.9478711038859,0 -38.4458633485683,-12.9477992264469,0 -38.4457694188659,-12.9477466666754,0 -38.4457049410757,-12.947738777209,0 -38.4456483357259,-12.9477040545206,0 -38.4455340628822,-12.9475687489942,0 -38.4454101233465,-12.9475341723348,0 -38.4453272001294,-12.9476098583027,0 -38.4452194664789,-12.9475259528342,0 -38.4451305082915,-12.9474795982919,0 -38.4452816130458,-12.9472861334958,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-92 (ROMA);0;BA;SALVADOR;ROMA;ROMA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;92 (ROMA) Secundária;BAIXO;72;455;383;383;0;0,1582;;113,75;0,6329;-38.4828804540892,-12.9379120192227,0 -38.482574682262,-12.937743040054,0 -38.482813398864,-12.937649162739,0 -38.483247916724,-12.937547238796,0 -38.483365933921,-12.937496276825,0 -38.483373980548,-12.937490912407,0 -38.483301560905,-12.937300475567,0 -38.483446400192,-12.937367530792,0 -38.483679752376,-12.937740357845,0 -38.483851413753,-12.937874468296,0 -38.484200100925,-12.937622340649,0 -38.484135727908,-12.937850328415,0 -38.484237651851,-12.937861057251,0 -38.484487097291,-12.937971027818,0 -38.4843918788715,-12.9384363910825,0 -38.4844616163056,-12.9386938831475,0 -38.4843945610805,-12.938853474584,0 -38.4844642985149,-12.9391511997844,0 -38.4843462813182,-12.9392834662163,0 -38.484118293552,-12.9392825442069,0 -38.4840592849536,-12.9398560759314,0 -38.4838286149783,-12.9402435398829,0 -38.4837796646638,-12.9403316886914,0 -38.4837849452628,-12.940345244619,0 -38.4837935786231,-12.9403641649646,0 -38.483796093194,-12.9403959706856,0 -38.4837635714097,-12.9404468416346,0 -38.4836542713924,-12.9404412951721,0 -38.4834759044929,-12.9402840218558,0 -38.4836354959293,-12.9400516466871,0 -38.4837910640521,-12.9393835461401,0 -38.4834437179847,-12.9392859807869,0 -38.4832438934134,-12.9389802089582,0 -38.4833686161327,-12.9384913763648,0 -38.4831003952317,-12.9380273542054,0 -38.4828804540892,-12.9379120192227,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-448 (BRRR);0;BA;SALVADOR;BRRR;BRRR;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;448 (BRRR) Secundária;MEDIO;7;61;54;54;0;0,1147;;15,25;0,4590;-38.497193319734,-12.954582732068,0 -38.4971007835232,-12.9546135774717,0 -38.4970981013144,-12.954643081771,0 -38.4968157988158,-12.954722206937,0 -38.496778918442,-12.954711478101,0 -38.4966521840646,-12.9547141603096,0 -38.4965036567412,-12.9544928780652,0 -38.496381951508,-12.954282324657,0 -38.4963296484319,-12.9541294387424,0 -38.4962920975054,-12.9540127626495,0 -38.4962384533253,-12.953826349123,0 -38.496226383385,-12.953649323328,0 -38.4963202607,-12.953579585894,0 -38.496357811627,-12.953638594492,0 -38.496446324524,-12.95394436632,0 -38.496600551541,-12.95444996272,0 -38.496648831303,-12.954594802007,0 -38.497161133225,-12.954436551675,0 -38.497193319734,-12.954582732068,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-84 (TAF);0;BA;TEIXEIRA DE FREITAS;TAF;TAF;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;84 (TAF) Secundária;MEDIO;36;357;321;321;0;0,1008;;89,25;0,4033;-39.7203571520529,-17.5413311592779,0 -39.720786305495,-17.54143308322,0 -39.720968695708,-17.541250693007,0 -39.722460003921,-17.541674482032,0 -39.722371491023,-17.542151915237,0 -39.722419770785,-17.542261885807,0 -39.722384902068,-17.542594479724,0 -39.722312482425,-17.542599844142,0 -39.722304435797,-17.542717861339,0 -39.722449275083,-17.542830514118,0 -39.722261520452,-17.543388413593,0 -39.722325893469,-17.543468879863,0 -39.722315164633,-17.543608354732,0 -39.722374173231,-17.543661998912,0 -39.72224006278,-17.543957041903,0 -39.722218605107,-17.544064330263,0 -39.722486826009,-17.54420916955,0 -39.7224667094418,-17.544370102091,0 -39.7226973794167,-17.5444331340023,0 -39.7225894205045,-17.5448428414293,0 -39.7226330064009,-17.5448810629078,0 -39.7225934438179,-17.5450788758227,0 -39.7227436475226,-17.545116426749,0 -39.7225981376833,-17.5459365121556,0 -39.722896449617,-17.5460914935449,0 -39.7230123713376,-17.5477646052366,0 -39.7231497507304,-17.5480724725397,0 -39.7239273071458,-17.5478745247286,0 -39.7240074892173,-17.5488299267939,0 -39.7245862779668,-17.5492708803844,0 -39.7245475902449,-17.5496056169262,0 -39.724857589695,-17.5498008785992,0 -39.7246794271044,-17.5499210384199,0 -39.7218317383661,-17.5511902471528,0 -39.719751161406,-17.547483958163,0 -39.7187913391964,-17.5457944284181,0 -39.7185286870219,-17.5453439482708,0 -39.7184806115685,-17.5445930607139,0 -39.7192348152157,-17.5444175436609,0 -39.7194295687366,-17.5435426825181,0 -39.7198281701425,-17.5436521920837,0 -39.7203571520529,-17.5413311592779,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-13 (ILH);0;BA;ILHEUS;ILH;ILH;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;13 (ILH) Secundária;MEDIO;16;184;168;168;0;0,0869;;46;0,3478;-39.035267594224,-14.799312714776,0 -39.03532526172,-14.799137030087,0 -39.035508993037,-14.799010966264,0 -39.035598847038,-14.798616681538,0 -39.035789283878,-14.798473183356,0 -39.035817447073,-14.798752133093,0 -39.036387416489,-14.798730675422,0 -39.036502751476,-14.798730675422,0 -39.036510798103,-14.798078898631,0 -39.036427649624,-14.798003796779,0 -39.036537620193,-14.797858957492,0 -39.036864849693,-14.797990385734,0 -39.036703917152,-14.798124496185,0 -39.036730739243,-14.798336390697,0 -39.037704381116,-14.798862103664,0 -39.037790211804,-14.798671666824,0 -39.037870678075,-14.798569742881,0 -39.037508579858,-14.798288110934,0 -39.037766071924,-14.797869686328,0 -39.037817033896,-14.797767762385,0 -39.037843855986,-14.797657791815,0 -39.037986013063,-14.797394935332,0 -39.038093301424,-14.797309104644,0 -39.038181814322,-14.79712939664,0 -39.038152310022,-14.797097210132,0 -39.038219365248,-14.796949688636,0 -39.038409802087,-14.796626482449,0 -39.038737031587,-14.796650622331,0 -39.0385962156139,-14.7970368604282,0 -39.0383460996229,-14.7975397746178,0 -39.0387869877295,-14.7976571212618,0 -39.038664611943,-14.797994409045,0 -39.0387745825139,-14.7980775575236,0 -39.0385385481191,-14.7984383146367,0 -39.038983794814,-14.798847351512,0 -39.038935515052,-14.798903677902,0 -39.03887248314,-14.7989626865,0 -39.039148750669,-14.799118254623,0 -39.039222511416,-14.79926309391,0 -39.039205077058,-14.799316738089,0 -39.039188983804,-14.799464259585,0 -39.03939014948,-14.799488399466,0 -39.0397864458619,-14.7998736317359,0 -39.0399788943588,-14.8003339658583,0 -39.040471079713,-14.801608685693,0 -39.040159943468,-14.80178034707,0 -39.039044144517,-14.799967173776,0 -39.037123682863,-14.799538020333,0 -39.035267594224,-14.799312714776,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-150 (BRRR);0;BA;SALVADOR;BRRR;BRRR;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;150 (BRRR) Secundária;MEDIO;4;33;29;29;0;0,1212;;8,25;0,4848;-38.497852735857,-12.993018694323,0 -38.498324804644,-12.993565864962,0 -38.4969206682247,-12.994720555943,0 -38.4967778405946,-12.9948519841847,0 -38.4965946121912,-12.9949619547543,0 -38.4964006549518,-12.9949485437093,0 -38.496155484284,-12.9947983400044,0 -38.4960090314808,-12.9945656583723,0 -38.4958894007678,-12.9943329767403,0 -38.4959117961654,-12.9940085970875,0 -38.4959082417145,-12.993806174126,0 -38.496062032612,-12.9934555172068,0 -38.4962855609438,-12.9937807769593,0 -38.4965596806097,-12.9941619859156,0 -38.4967109530072,-12.9945059792217,0 -38.4967852166692,-12.9945032970127,0 -38.497745447497,-12.993694610995,0 -38.49792783771,-12.993501491946,0 -38.497530870776,-12.993201084536,0 -38.497852735857,-12.993018694323,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-26 (CPIS);0;BA;SALVADOR;CPIS;CPIS;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;26 (CPIS) Secundária;BAIXO;134;426;292;292;0;0,3145;;106,5;1,2582;-38.4825283977666,-12.91827381663,0 -38.4824837819989,-12.9183394297388,0 -38.4824224033612,-12.918485789984,0 -38.4824320001038,-12.9185397689723,0 -38.4827157482126,-12.9185667584664,0 -38.4826843367622,-12.9187466338744,0 -38.4826981658294,-12.918846545224,0 -38.4827182823964,-12.918851909642,0 -38.4826834136791,-12.9196994876905,0 -38.4826592737979,-12.9206302142184,0 -38.4825318688697,-12.9207750535053,0 -38.4822053099222,-12.9206704473537,0 -38.4819806749173,-12.920528290276,0 -38.4817070895978,-12.9203613227649,0 -38.4816829497168,-12.920144734387,0 -38.4812759244988,-12.9202741509719,0 -38.480895721371,-12.9204652583643,0 -38.4809111440729,-12.9205906516357,0 -38.480884992535,-12.9207079982802,0 -38.4808011735034,-12.9207321381613,0 -38.4807012612177,-12.9204451417968,0 -38.480419629271,-12.9194071269081,0 -38.4804705912421,-12.9178702211426,0 -38.4810043508361,-12.9178219413801,0 -38.4814039999793,-12.9179828739207,0 -38.4819364184687,-12.9180324947877,0 -38.482383952927,-12.9179479667192,0 -38.4825283977666,-12.91827381663,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-3 (BRRR);0;BA;SALVADOR;BRRR;BRRR;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;3 (BRRR) Secundária;ALTO;148;442;294;294;0;0,3348;;110,5;1,3393;-38.492771089047,-12.9699875415772,0 -38.4926235675452,-12.9701377453118,0 -38.4925471245882,-12.9702168704776,0 -38.4924767166014,-12.97038719075,0 -38.4924545883769,-12.970556169918,0 -38.4925035386914,-12.9706889392643,0 -38.492410331928,-12.9708673061638,0 -38.4921099245189,-12.9708860816266,0 -38.4920086711287,-12.9708659650591,0 -38.4918608143567,-12.9706943036821,0 -38.4916358440756,-12.9706775398758,0 -38.491499721968,-12.9706822337416,0 -38.4912965446351,-12.9706466944722,0 -38.4912757575153,-12.9706433417109,0 -38.4912583231565,-12.9706393183973,0 -38.491109460556,-12.970607131889,0 -38.491088002884,-12.97046765702,0 -38.491039723128,-12.969834655663,0 -38.491763919562,-12.968779206416,0 -38.4920911490622,-12.969357222459,0 -38.4917572140391,-12.9701444508045,0 -38.4920066594778,-12.9702074827163,0 -38.492670506209,-12.969491332909,0 -38.493571728438,-12.969620078942,0 -38.49356636402,-12.970092147729,0 -38.4932458400432,-12.9700921477291,0 -38.4931801259219,-12.9700022937272,0 -38.493109047383,-12.9699245096651,0 -38.4928964823185,-12.9698634894101,0 -38.492771089047,-12.9699875415772,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
BA-294 (ROMA);0;BA;SALVADOR;ROMA;ROMA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;294 (ROMA) Secundária;BAIXO;81;387;306;306;0;0,2093;;96,75;0,8372;-38.4788159716671,-12.9401772255456,0 -38.4787734930948,-12.9401339749258,0 -38.4789698427225,-12.939961714189,0 -38.479214279706,-12.940223158376,0 -38.479424833113,-12.940445781724,0 -38.4794208098,-12.940503449218,0 -38.479454337412,-12.940549046772,0 -38.479548214727,-12.940578551071,0 -38.479682325178,-12.940659017342,0 -38.480221449191,-12.940712661521,0 -38.480210720355,-12.940881640689,0 -38.480159758383,-12.940889687316,0 -38.479687689597,-12.940862865226,0 -38.4794597018301,-12.94077167012,0 -38.4793077356424,-12.9408476916976,0 -38.4792082447349,-12.9409312615556,0 -38.4796006854414,-12.9412429007156,0 -38.4794162207073,-12.9414696102416,0 -38.4794951410732,-12.9415719852026,0 -38.4799790750004,-12.9418567503766,0 -38.4799679365643,-12.9419783518191,0 -38.4796988964628,-12.9419747914748,0 -38.4796194740012,-12.9418898867247,0 -38.4794659934961,-12.9418971030194,0 -38.4792046300391,-12.9419517687442,0 -38.4790359547152,-12.9418921210257,0 -38.4787957712798,-12.9416803522421,0 -38.4785487565933,-12.941822760777,0 -38.4783593255817,-12.9414375285073,0 -38.4780708204745,-12.9412589939698,0 -38.4784186694562,-12.9409704888626,0 -38.4783412206709,-12.9407341191933,0 -38.4784897123989,-12.9406534956281,0 -38.4785966298872,-12.9408008598291,0 -38.4787017930894,-12.9407492099758,0 -38.479124425703,-12.940488697069,0 -38.4788159716671,-12.9401772255456,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
