name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
CE-117 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;117 (BAR) SECUNDÁRIA;;0;236;236;236;236;0;0;59;0;-38.600846188345,-3.7348657330145,0 -38.602020995893,-3.7370597799888,0 -38.601945894041,-3.737446018086899,0 -38.599655287542,-3.737140246259301,0 -38.599505083837,-3.7378698071113,0 -38.598196165838,-3.7373011788002,0 -38.597976224699,-3.7372260769478,0 -38.598222987929,-3.7365877112022,0 -38.59843756465,-3.735648938047,0 -38.599585550106,-3.7351929625144,0 -38.599708931721,-3.7351071318259,0 -38.599856453216,-3.735112496244,0 -38.599864499844,-3.7350803097358,0 -38.599977152622,-3.7350910385719,0 -38.600014703548,-3.7349166949859,0 -38.600480066812,-3.734943517076,0 -38.600781815326,-3.734855004178499,0 -38.600846188345,-3.7348657330145,0;ATIVAS;Bloqueado
CE-116 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;116 (BAR) SECUNDÁRIA;;0;209;209;209;209;0;0;52,25;0;-38.599443476846,-3.7330135419612,0 -38.599636595895,-3.7329585566764,0 -38.599924933365,-3.7339845016245,0 -38.6000295395156,-3.73435196425943,0 -38.5998043349702,-3.73441204074551,0 -38.5997854584947,-3.73434659984138,0 -38.599711697747,-3.7342607691529,0 -38.598814498832,-3.7345061912777,0 -38.598742079189,-3.7343077078106,0 -38.598693799427,-3.7340797200444,0 -38.598633449723,-3.733891294861,0 -38.598602604319,-3.733838321233001,0 -38.598603274873,-3.7336894586326,0 -38.598546948484,-3.7334748819113,0 -38.598482575468,-3.7334406837464,0 -38.598482575467,-3.7333515002967,0 -38.598487269333,-3.7332502469065,0 -38.599328141859,-3.7330477401259,0 -38.599361669471,-3.7330370112898,0 -38.599443476846,-3.7330135419612,0;ATIVAS;Bloqueado
CE-52 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;52 (BAR) SECUNDÁRIA;;28;506;478;478;506;5,53359683794466E-02;0;126,5;0,221343873517787;-38.5991069519081,-3.73178096287175,0 -38.598237916187,-3.73202236168314,0 -38.5979911529578,-3.73111309282705,0 -38.5970523798028,-3.73137594931055,0 -38.5959499918978,-3.73168976776534,0 -38.5956522666968,-3.73064370624945,0 -38.5961967551268,-3.72945280544685,0 -38.5972186767611,-3.729219453262591,0 -38.5977054976974,-3.72880639307427,0 -38.5980850302731,-3.72845234148428,0 -38.5984645628486,-3.72990609877038,0 -38.5985772156276,-3.72988464109831,0 -38.5987046205556,-3.73033927552629,0 -38.5988414132152,-3.73083950750752,0 -38.5985812389412,-3.7309132682555,0 -38.5986241542851,-3.731091635155,0 -38.5988883518736,-3.73101116888457,0 -38.5991069519081,-3.73178096287175,0;ATIVAS;Bloqueado
CE-126 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;126 (BAR) SECUNDÁRIA;;0;241;241;241;241;0;0;60,25;0;-38.599225669077,-3.739070399507801,0 -38.599099605253,-3.739148183569299,0 -38.599096923045,-3.7389657933563,0 -38.598960130386,-3.7384293515533,0 -38.598721413784,-3.7381477196068,0 -38.598525612525,-3.7379653293938,0 -38.598273484878,-3.7377990324349,0 -38.597093312911,-3.7373323280663,0 -38.5961827029503,-3.736943407759091,0 -38.5953036089454,-3.73655851076547,0 -38.595398156813,-3.73645926903193,0 -38.596135764292,-3.73670200894771,0 -38.596216230563,-3.7366094727367,0 -38.596469699315,-3.7366094727367,0 -38.596695004872,-3.736606790527699,0 -38.597132204942,-3.7364552457184,0 -38.597472845487,-3.7364364702553,0 -38.59754526513,-3.7363157708496,0 -38.597582816056,-3.7361655671447,0 -38.597765206269,-3.7361762959808,0 -38.597901998931,-3.7361789781898,0 -38.597915409976,-3.7362527389377,0 -38.597900657827,-3.7363425929397,0 -38.597833602602,-3.736744924292,0 -38.597910045559,-3.7367596764416,0 -38.598129986698,-3.7368119795174,0 -38.597955643113,-3.7372397918552,0 -38.598194359716,-3.7373256225437,0 -38.599484502252,-3.7378808398098,0 -38.599225669077,-3.739070399507801,0;ATIVAS;Bloqueado
CE-102 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;102 (BAR) SECUNDÁRIA;;7;198;191;191;198;3,53535353535354E-02;0;49,5;0,141414141414141;-38.599151616602,-3.7298606287626,0 -38.599220683483,-3.7300544183641,0 -38.59941380253,-3.7306579153923,0 -38.599624355938,-3.7313472431092,0 -38.599810769464,-3.7314773302464,0 -38.599952926542,-3.7314585547833,0 -38.600002547409,-3.731497446814,0 -38.60016347995,-3.7314438026337,0 -38.600146045591,-3.7313163977055,0 -38.600515184607,-3.73121682069573,0 -38.6005825751088,-3.731486047425499,0 -38.60044310024,-3.731518233933699,0 -38.600463216807,-3.7316630732205,0 -38.6001735382334,-3.731763656058491,0 -38.6002861910136,-3.73227327577145,0 -38.5997862573074,-3.7324205365401,0 -38.5997159830009,-3.73223383496659,0 -38.599443157732,-3.732302385702949,0 -38.599296455887,-3.7316979419377,0 -38.599376922158,-3.7316577088025,0 -38.599132841139,-3.730818177381,0 -38.598859255819,-3.7298364888815,0 -38.599114065676,-3.7297855269102,0 -38.599151616602,-3.7298606287626,0;ATIVAS;Bloqueado
CE-109 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;109 (BAR) SECUNDÁRIA;;4;202;198;198;202;1,98019801980198E-02;0;50,5;7,92079207920792E-02;-38.601793134019,-3.729097877059,0 -38.60293575506,-3.7287196855879,0 -38.602986046479,-3.7288705598449,0 -38.603229456948,-3.728791434679,0 -38.603313946532,-3.7288061868286,0 -38.603336745308,-3.7289215218162,0 -38.603410506056,-3.7291709672546,0 -38.603466832446,-3.7293131243323,0 -38.603457444715,-3.7293587218856,0 -38.603162401723,-3.7294673513507,0 -38.603222751426,-3.7297503244017,0 -38.602735930489,-3.7298254262541,0 -38.601714008855,-3.7301928888892,0 -38.601712667751,-3.7303015183543,0 -38.601587945032,-3.730340410384899,0 -38.601520889807,-3.7302089821432,0 -38.601385438252,-3.7302599441145,0 -38.6002387938985,-3.730630088958541,0 -38.6000268993863,-3.72992466798768,0 -38.6001864908226,-3.72988175264345,0 -38.6000912724024,-3.72953842988955,0 -38.600669288445,-3.7293788384532,0 -38.600859725285,-3.7298187207316,0 -38.601082348633,-3.7297623943423,0 -38.601821297216,-3.7295585464573,0 -38.601764970827,-3.7293748151398,0 -38.60170328002,-3.7291253697014,0 -38.601793134019,-3.729097877059,0;ATIVAS;Bloqueado
CE-106 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;106 (BAR) SECUNDÁRIA;;1;221;220;220;221;4,52488687782806E-03;0;55,25;1,80995475113122E-02;-38.6033501563705,-3.72890609911428,0 -38.604215168778,-3.728688840184,0 -38.604416334454,-3.7286191027496,0 -38.604767703835,-3.7287478487824,0 -38.60393621904,-3.73049664906021,0 -38.6037954030663,-3.73054224661345,0 -38.6034903017907,-3.73049262574667,0 -38.6033437861231,-3.73002927413935,0 -38.6033607175675,-3.72996590695137,0 -38.6032522557404,-3.7298153679704,0 -38.6031731305749,-3.72946869245522,0 -38.6034802435075,-3.72935805133333,0 -38.6033501563705,-3.72890609911428,0;ATIVAS;Bloqueado
CE-114 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;114 (BAR) SECUNDÁRIA;;0;197;197;197;197;0;0;49,25;0;-38.5987450810987,-3.7349654475766,0 -38.598973739419,-3.7354200820045,0 -38.598425227675,-3.7356480697708,0 -38.598299163851,-3.7356614808158,0 -38.5979357245289,-3.73578754463945,0 -38.5978574375532,-3.73560565734064,0 -38.5977630573235,-3.73545059213197,0 -38.5977915557942,-3.73537649610796,0 -38.5971404495551,-3.73508614698222,0 -38.5965101304356,-3.73483133712593,0 -38.596777010232,-3.7342345456201,0 -38.596952694923,-3.7342935542184,0 -38.597853917152,-3.7345953027324,0 -38.597920972377,-3.734876934679,0 -38.598161030084,-3.7348098794536,0 -38.5981764527857,-3.73476025858685,0 -38.5985858249371,-3.73464358249473,0 -38.5986238787777,-3.73475154140759,0 -38.598634439976,-3.73484139540961,0 -38.5987712326362,-3.73484374234252,0 -38.5987450810987,-3.7349654475766,0;ATIVAS;Bloqueado
CE-104 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;104 (BAR) SECUNDÁRIA;;3;213;210;210;213;1,40845070422535E-02;0;53,25;5,63380281690141E-02;-38.601619919424,-3.73090065530826,0 -38.601650764828,-3.7309737455039,0 -38.601684292441,-3.7310072731166,0 -38.601726537233,-3.7312627535251,0 -38.601774816995,-3.731398205080401,0 -38.601491173391,-3.7315028112319,0 -38.6014938556,-3.7316483210709,0 -38.601621931079,-3.7319675039438,0 -38.6017654292621,-3.7324476193574,0 -38.6008984051983,-3.73266688994434,0 -38.6007123269477,-3.73266856632501,0 -38.6006320283156,-3.73234921581414,0 -38.6005892806098,-3.73220957330728,0 -38.600291555409,-3.7322705935624,0 -38.600235564296,-3.732029194751,0 -38.600201701406,-3.7318820085313,0 -38.600185608154,-3.7317686852004,0 -38.600475286727,-3.7316681023624,0 -38.600448393444,-3.7315198275684,0 -38.600585940339,-3.731487772828101,0 -38.600539672233,-3.7313027004061,0 -38.600516873456,-3.7312168697176,0 -38.601619919424,-3.73090065530826,0;ATIVAS;Bloqueado
CE-67 (BAR);0;CE;FORTALEZA;BAR;BAR;;Bloqueado;Bloqueado;67 (BAR) SECUNDÁRIA;;4;439;435;435;439;9,11161731207289E-03;0;109,75;3,64464692482916E-02;-38.604391887732,-3.7233033031233,0 -38.604466989584,-3.72325770557,0 -38.604637309857,-3.7232255190619,0 -38.604812994547,-3.7237378209837,0 -38.604937717266,-3.724066391588,0 -38.604833111114,-3.7240972369917,0 -38.604768738098,-3.7241602689036,0 -38.604094162531,-3.7243681401022,0 -38.604006990738,-3.7241629511125,0 -38.603803142852,-3.7242326885469,0 -38.603573813982,-3.7242688983687,0 -38.60300786788,-3.7244553118952,0 -38.602861016937,-3.7244787812241,0 -38.602154925414,-3.7246786057957,0 -38.601878657886,-3.7246745824821,0 -38.601752594061,-3.7242212891588,0 -38.601656034537,-3.7242427468309,0 -38.601639941283,-3.7241555750379,0 -38.601733818598,-3.7241140007982,0 -38.60221929843,-3.723978549243,0 -38.602289035864,-3.7239074707041,0 -38.603344485112,-3.723612427712299,0 -38.604331538029,-3.7233039736755,0 -38.604391887732,-3.7233033031233,0;ATIVAS;Bloqueado
