name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales
DF-17 (ETCO),290,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,17 (ETCO) Secundária,Nobre,137,519,519,501,0.264,5300108,51,2.68627451,"-47.8841579707874,-15.777266316518,0 -47.8839496310642,-15.7801445777222,0 -47.88274802850539,-15.780088567635,0 -47.8827158555371,-15.780516538124,0 -47.8818307401021,-15.7804938974985,0 -47.8818639825456,-15.7800307777645,0 -47.8808511634732,-15.7799914470548,0 -47.8809283771962,-15.778936461554,0 -47.88155487342879,-15.7789508000923,0 -47.8816706092717,-15.7775310843008,0 -47.8825553061341,-15.7775668162977,0 -47.8825709672756,-15.77715193718,0 -47.8841579707874,-15.777266316518,0",ATIVAS,Sem restrição de Venda
DF-23 (ETCO),287,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,23 (ETCO) Secundária,Nobre,129,513,513,513,0.2515,5300108,50,2.58,"-47.8767519976939,-15.7834990160992,0 -47.8740404982785,-15.7834809736173,0 -47.8740684064886,-15.7826120590163,0 -47.8739482501429,-15.7826107784717,0 -47.87402925947341,-15.7813287431225,0 -47.8752316586377,-15.7813498491532,0 -47.8752120796407,-15.7826013432057,0 -47.8767819366097,-15.7826093538332,0 -47.876804518078,-15.7833036304046,0 -47.8767519976939,-15.7834990160992,0",ATIVAS,Sem restrição de Venda
DF-30 (ETCO),286,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,30 (ETCO) Secundária,Nobre,146,678,678,678,0.2153,5300108,66,2.212121212,"-47.8848573080047,-15.7794519920446,0 -47.886234887512,-15.7795113381778,0 -47.8862483183062,-15.7792009801218,0 -47.88704718812559,-15.7792379320276,0 -47.8870031112562,-15.7799283395551,0 -47.8863411995647,-15.7799064329871,0 -47.8863187855002,-15.7806448464165,0 -47.884476757714,-15.7805066833436,0 -47.8844947097805,-15.7801227531853,0 -47.88481881324731,-15.7801410834466,0 -47.8848573080047,-15.7794519920446,0",ATIVAS,Sem restrição de Venda
DF-22 (ETCO),285,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,22 (ETCO) Secundária,Nobre,156,676,676,670,0.2308,5300108,66,2.363636364,"-47.8910463063546,-15.7755115627188,0 -47.8908333759108,-15.7778784013589,0 -47.8902021272571,-15.7778196753329,0 -47.89022204713871,-15.7774406545018,0 -47.8899093731024,-15.7773942275887,0 -47.88893265564891,-15.7772906449262,0 -47.8888728603065,-15.7779095999779,0 -47.8896705851046,-15.7779780669509,0 -47.88966207371,-15.7782276536754,0 -47.8907867424259,-15.7783569648526,0 -47.89057009384139,-15.7806230098392,0 -47.8883081320223,-15.7804999385073,0 -47.8888143986911,-15.775197383374,0 -47.8910463063546,-15.7755115627188,0",ATIVAS,Sem restrição de Venda
DF-7 (ETCO),283,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,7 (ETCO) Secundária,Nobre,132,771,771,771,0.1712,5300108,47,2.808510638,"-47.8871752701155,-15.7771857134287,0 -47.8847217194188,-15.7769962824175,0 -47.8849792114843,-15.774304350394,0 -47.88692247191591,-15.7745377025783,0 -47.8867467872256,-15.7762717507066,0 -47.8872443369977,-15.7763180188124,0 -47.8871752701155,-15.7771857134287,0",ATIVAS,Sem restrição de Venda
DF-18 (ETCO),282,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,18 (ETCO) Secundária,Nobre,58,252,252,252,0.2302,5300108,25,2.32,"-47.8793989121888,-15.7805778086188,0 -47.8793801367258,-15.7817056775094,0 -47.8780135512326,-15.7816989719871,0 -47.8779885123122,-15.7827681675554,0 -47.8776172548509,-15.7827758789063,0 -47.87761266777401,-15.7832479476928,0 -47.87723906337919,-15.7832519710062,0 -47.87729337811169,-15.7805335521702,0 -47.8793989121888,-15.7805778086188,0",ATIVAS,Sem restrição de Venda
DF-24 (ETCO),282,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,24 (ETCO) Secundária,Nobre,126,706,706,656,0.1785,5300108,69,1.826086957,"-47.8875280171745,-15.7828482985618,0 -47.8868068569556,-15.7828302761772,0 -47.8868098931706,-15.7830858391121,0 -47.8848472241838,-15.7831141673592,0 -47.88486881203401,-15.7826172907249,0 -47.885214947175,-15.7826166227584,0 -47.8852179646603,-15.7821784168603,0 -47.8857738524788,-15.7821871340392,0 -47.885779216897,-15.7817687094329,0 -47.8869701176997,-15.781779438269,0 -47.8869781643266,-15.7809935510276,0 -47.8875628858918,-15.7810391485809,0 -47.8875280171745,-15.7828482985618,0",ATIVAS,Sem restrição de Venda
DF-24 (ETCO),282,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,24 (ETCO) Secundária,Nobre,126,706,706,656,0.1785,5300108,69,1.826086957,"-47.8838252276244,-15.7808795571368,0 -47.88374744356219,-15.7833713293115,0 -47.8822159022151,-15.7834196090735,0 -47.8821944445432,-15.7830508053338,0 -47.8813763707939,-15.7830709219013,0 -47.8814139217197,-15.7807883620299,0 -47.8838252276244,-15.7808795571368,0",ATIVAS,Sem restrição de Venda
DF-4 (ETCO),282,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,4 (ETCO) Secundária,Nobre,123,439,439,439,0.2802,5300108,43,2.860465116,"-47.8770425915698,-15.7778285443793,0 -47.8753004968146,-15.7777225971232,0 -47.87522003054419,-15.7784960791479,0 -47.8750430047492,-15.7784863561402,0 -47.87496790289669,-15.7794485986243,0 -47.8743496537181,-15.7794231176387,0 -47.8748002648325,-15.7745817303673,0 -47.8774670511457,-15.774795636536,0 -47.87747073918311,-15.7747423276317,0 -47.8777493536445,-15.7747654616843,0 -47.8776834663431,-15.7756141571508,0 -47.8772527986156,-15.7755777236423,0 -47.8770425915698,-15.7778285443793,0",ATIVAS,Sem restrição de Venda
DF-5 (ETCO),281,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,5 (ETCO) Secundária,Nobre,142,601,601,601,0.2363,5300108,37,3.837837838,"-47.89148540260631,-15.8097301828024,0 -47.8918153143151,-15.8100825580117,0 -47.8922605610115,-15.8097305180784,0 -47.8931617832405,-15.8107215943094,0 -47.8909248209224,-15.8126373620987,0 -47.8888427561743,-15.8103869887346,0 -47.8902080005629,-15.8093087407108,0 -47.8909901997669,-15.8101667123195,0 -47.89148540260631,-15.8097301828024,0",ATIVAS,Sem restrição de Venda
DF-9 (ETCO),281,DF,BRASILIA,BSA,ETCO,OURO,Sem Restrição de Vendas,9 (ETCO) Secundária,Nobre,51,249,249,249,0.2048,5300108,24,2.125,"-47.8864179280138,-15.7771380206151,0 -47.886375951154,-15.7778141208441,0 -47.88602820246639,-15.7777928467293,0 -47.8859697297323,-15.7785844655033,0 -47.8848980602403,-15.7785210372238,0 -47.8848133474607,-15.7801358742444,0 -47.8844891354459,-15.7801177794347,0 -47.8844745458839,-15.7804307546488,0 -47.8841680727161,-15.7804170896215,0 -47.8844087466755,-15.7769831791515,0 -47.8864179280138,-15.7771380206151,0",ATIVAS,Sem restrição de Venda
