name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
ES-94 (CIVT);0;ES;SERRA;CIVT;CIVT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;94 (CIVT) Secundária;MEDIO;100;453;353;353;0;0,22075055187638;;113,25;0,883002207505519;-40.2446843061733,-20.1723210861423,0 -40.2436033759405,-20.1723116984106,0 -40.2436006937317,-20.1724632432198,0 -40.242454049378,-20.1724833597874,0 -40.2422059450441,-20.1725101818775,0 -40.240344491988,-20.1714896013476,0 -40.2403471741965,-20.1707251717784,0 -40.2441143367577,-20.1707211484649,0 -40.244131771116,-20.1681153824069,0 -40.2454447124289,-20.1681153824071,0 -40.2453682694731,-20.172240619872,0 -40.2446843061733,-20.1723210861423,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-93 (JAIP);0;ES;SERRA;JAIP;JAIP;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;93 (JAIP) Secundária;BAIXO;60;256;196;196;0;0,234375;;64;0,9375;-40.2051446623552,-20.1794014261992,0 -40.2053827940233,-20.179317668259,0 -40.207756087218,-20.178380683082,0 -40.208149030838,-20.179291293041,0 -40.2055838230914,-20.1802815361328,0 -40.2054625041232,-20.1801289349888,0 -40.2051446623552,-20.1794014261992,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-18 (SEA);0;ES;SERRA;SEA;SEA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;18 (SEA) Secundária;MEDIO;14;232;218;218;0;6,03448275862069E-02;;58;0,241379310344828;-40.305110216146,-20.126795768747,0 -40.303758382803,-20.1269174840831,0 -40.3030755778183,-20.1269789209081,0 -40.3023925188511,-20.1270403577331,0 -40.301768183714,-20.126967430124,0 -40.3017641604006,-20.1268715411523,0 -40.301768183714,-20.126428306112,0 -40.301896929747,-20.125993788252,0 -40.3024615347446,-20.1258479431369,0 -40.3029926121295,-20.1258120685913,0 -40.3030382096826,-20.1255418360332,0 -40.3033238649431,-20.1255083084199,0 -40.3034693747823,-20.1258442550995,0 -40.3050780296384,-20.1258529722792,0 -40.3050166741072,-20.1257544010975,0 -40.3048453480064,-20.1256853342151,0 -40.304725319153,-20.1253983378498,0 -40.305394530302,-20.125336647043,0 -40.3055601567088,-20.125578045854,0 -40.3054991364537,-20.1257041096777,0 -40.3054421395121,-20.1258325204342,0 -40.3053690493164,-20.1260360330432,0 -40.3052161634025,-20.1260548085062,0 -40.305204093462,-20.1262941956606,0 -40.305491089827,-20.126838684091,0 -40.305110216146,-20.126795768747,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-79 (SFCO);0;ES;VIANA;SFCO;SFCO;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;79 (SFCO) Secundária;MEDIO;20;251;231;231;0;7,96812749003984E-02;;62,75;0,318725099601594;-40.409736144701,-20.357835492474,0 -40.4097074119734,-20.3581871870269,0 -40.4097985060626,-20.3585999220425,0 -40.4095470489666,-20.3589714079909,0 -40.409168857496,-20.3588426619576,0 -40.4089854831084,-20.3588351194229,0 -40.4087303682779,-20.3587475685874,0 -40.4084948100951,-20.3586668752714,0 -40.4082845669516,-20.3586497285789,0 -40.4077164468444,-20.3584428641745,0 -40.4076809710855,-20.3584291335168,0 -40.4076454953266,-20.3584161648068,0 -40.4075745438089,-20.3583899734041,0 -40.4074318788258,-20.3583393684766,0 -40.4072894678252,-20.3582881285928,0 -40.4071471838159,-20.3582368887089,0 -40.4072279014235,-20.3580363938249,0 -40.4072679427492,-20.3579361463829,0 -40.4073076031011,-20.3578370418622,0 -40.4073214709121,-20.3578022278906,0 -40.407330513055,-20.357783160836,0 -40.4073559628343,-20.3577292798098,0 -40.4074066084103,-20.35762177174,0 -40.4075078995623,-20.3574070095828,0 -40.4079658155597,-20.3575400588854,0 -40.4083916874317,-20.3568169236002,0 -40.409736144701,-20.357835492474,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-40 (JAIP);0;ES;SERRA;JAIP;JAIP;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;40 (JAIP) Secundária;MEDIO;148;667;519;519;0;0,221889055472264;;166,75;0,887556221889055;-40.190524905992,-20.133880153515,0 -40.19085749991,-20.135156885006,0 -40.191050618959,-20.139566436626,0 -40.188239663912,-20.139587894299,0 -40.18791779883,-20.136036649563,0 -40.187628120256,-20.134953037121,0 -40.190524905992,-20.133880153515,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-220 (CRPN);0;ES;SERRA;CRPN;CRPN;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;220 (CRPN) Secundária;MEDIO;52;273;221;221;0;0,19047619047619;;68,25;0,761904761904762;-40.2109596505748,-20.2165351062901,0 -40.2120001947046,-20.217735893171,0 -40.211011283099,-20.2186084538592,0 -40.211081020533,-20.219182446588,0 -40.209967903792,-20.21953113376,0 -40.2096764151177,-20.2180869926929,0 -40.2093886043796,-20.2166395546634,0 -40.2109596505748,-20.2165351062901,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-65 (CIVT);0;ES;SERRA;CIVT;CIVT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;65 (CIVT) Secundária;MEDIO;103;344;241;241;0;0,299418604651163;;86;1,19767441860465;-40.2554357052104,-20.1341550797313,0 -40.2543755620972,-20.135164260873,0 -40.2539115399377,-20.1351461559625,0 -40.2536439895884,-20.1348946988675,0 -40.253072008516,-20.134863853464,0 -40.250706300165,-20.132412314424,0 -40.25232635441,-20.131033658991,0 -40.253104195024,-20.131795406351,0 -40.253372415926,-20.132305026064,0 -40.2554357052104,-20.1341550797313,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-132 (JAMC);0;ES;CARIACICA;JAMC;JAMC;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;132 (JAMC) Secundária;MEDIO;59;494;435;435;0;0,119433198380567;;123,5;0,477732793522267;-40.3719384681761,-20.3552220174583,0 -40.3713975701277,-20.3565969170187,0 -40.3704775724362,-20.3566478789903,0 -40.3699813637683,-20.3566800654977,0 -40.369413406009,-20.3567699194998,0 -40.369081482643,-20.3567578495594,0 -40.3691294271293,-20.3563162909003,0 -40.3692189458553,-20.3561509997699,0 -40.3693121526188,-20.3560403586482,0 -40.3694878373094,-20.3556353450873,0 -40.3695528808779,-20.3553007395126,0 -40.3699558827824,-20.3552397192575,0 -40.3698278073018,-20.3549165130711,0 -40.3697235364263,-20.3547294289923,0 -40.3694435808603,-20.3545973301983,0 -40.3692591789906,-20.3544806541061,0 -40.3688444424217,-20.3544417620753,0 -40.3685706894641,-20.3545564265107,0 -40.3684323880618,-20.3544431031798,0 -40.3675301094986,-20.353787089498,0 -40.3679410454648,-20.3535217047435,0 -40.3682555758446,-20.3531896688128,0 -40.3687181087379,-20.3533729787521,0 -40.369029179568,-20.3537256950142,0 -40.3694837966657,-20.353985222779,0 -40.3697691748844,-20.354213200944,0 -40.3700596327511,-20.354436099461,0 -40.3709402477139,-20.3551041310931,0 -40.3714102808011,-20.3550491515852,0 -40.3719384681761,-20.3552220174583,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-74 (CIVT);0;ES;SERRA;CIVT;CIVT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;74 (CIVT) Secundária;BAIXO;130;372;242;242;0;0,349462365591398;;93;1,39784946236559;-40.239861422947,-20.1446891204,0 -40.238284284047,-20.14651302253,0 -40.235859567097,-20.148079432595,0 -40.2351246418273,-20.1483047381521,0 -40.2350227178848,-20.1479909196973,0 -40.235221201352,-20.147931911099,0 -40.2351756037988,-20.1477669552445,0 -40.2336977066316,-20.1480579749226,0 -40.2338049949922,-20.1487285271763,0 -40.232855493001,-20.149034299004,0 -40.232598000935,-20.148615874398,0 -40.232458526066,-20.147038735497,0 -40.229218417576,-20.147049464335,0 -40.226396733692,-20.146985091319,0 -40.224057847431,-20.148701705088,0 -40.222813302448,-20.149334706414,0 -40.222309047153,-20.14782194053,0 -40.224175864628,-20.146899260629,0 -40.2242402376441,-20.1461267844327,0 -40.2249885739591,-20.1458746567853,0 -40.2252018095757,-20.146888531793,0 -40.2258441986347,-20.1464969292768,0 -40.229977482727,-20.1457620040066,0 -40.2302336336881,-20.1455071941501,0 -40.2304415048869,-20.1454615965968,0 -40.23065071719,-20.1464915648584,0 -40.233204180172,-20.1463574544075,0 -40.233311468532,-20.1465331390981,0 -40.2341214956547,-20.1465250924711,0 -40.2346659840848,-20.1464191452151,0 -40.235215836935,-20.146298445809,0 -40.238498860769,-20.143970288384,0 -40.239861422947,-20.1446891204,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
ES-45 (CIM);0;ES;CACHOEIRO DE ITAPEMIRIM;CIM;CIM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;45 (CIM) Secundária;MEDIO;67;479;412;412;0;0,139874739039666;;119,75;0,559498956158664;-41.129664841038,-20.823280580737,0 -41.129517319537,-20.822288163381,0 -41.129721167422,-20.820496447759,0 -41.1312661198142,-20.8208397705135,0 -41.1322491494179,-20.8211763877468,0 -41.132406058645,-20.8214700896357,0 -41.1328808096404,-20.8218268234366,0 -41.133390429353,-20.822105773176,0 -41.1342192319386,-20.8214593608036,0 -41.1350319412702,-20.8211616356031,0 -41.135246517991,-20.821537144865,0 -41.133401158189,-20.822824605192,0 -41.1332563189017,-20.8229050714624,0 -41.1331678060074,-20.8229426223879,0 -41.1330605176467,-20.8229667622697,0 -41.1329693225405,-20.8229667622694,0 -41.1328861740609,-20.8229587156422,0 -41.1328271654618,-20.8229184825067,0 -41.1327413347758,-20.8228541094935,0 -41.13249457155,-20.823159881325,0 -41.131950083119,-20.823428102229,0 -41.131459238869,-20.823512591813,0 -41.130403789622,-20.8236265857,0 -41.130079242331,-20.823472358682,0 -41.129786881548,-20.823493816354,0 -41.129664841038,-20.823280580737,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
