name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
MA-10 (ANL);0;MA;SAO LUIS;ANL;ANL;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;10 (ANL) Secundária;BAIXO;230;575;345;345;0;0,4;;143,7;1,6;-44.2183770462342,-2.56515567634858,0 -44.2183877750703,-2.5653756174879,0 -44.218482322938,-2.56564316783719,0 -44.2184947281547,-2.56572598104055,0 -44.2185011799369,-2.5657471700625,0 -44.2183393818062,-2.56579629714823,0 -44.218081316376,-2.56585748289512,0 -44.2179318332613,-2.56587985358048,0 -44.2174983043673,-2.56594624785486,0 -44.2175033166473,-2.56607634459335,0 -44.2173598184652,-2.56608673815307,0 -44.2173658534358,-2.56593418751514,0 -44.2173623330364,-2.56583662216221,0 -44.2172729819487,-2.56563914452348,0 -44.2171720638345,-2.5653514776066,0 -44.2170347473058,-2.5649900289871,0 -44.2168994424338,-2.56462925091984,0 -44.2168011646192,-2.56437104639265,0 -44.216670029744,-2.56404276915494,0 -44.216465134121,-2.56353143115196,0 -44.2163020222853,-2.56318995241675,0 -44.2161528244089,-2.56283623610291,0 -44.2159446179341,-2.56236559223983,0 -44.2158953323434,-2.5622389416829,0 -44.2157270237278,-2.56187030558142,0 -44.2156157120537,-2.56159755845221,0 -44.2154963537525,-2.56131810580047,0 -44.215662650711,-2.5612289223508,0 -44.215877227433,-2.5616795334653,0 -44.216113261826,-2.5618511948422,0 -44.217175416596,-2.5617117199734,0 -44.217486552842,-2.5616795334653,0 -44.2184367253853,-2.56191154454504,0 -44.2185567542388,-2.56324057911195,0 -44.2187133281901,-2.56394935284415,0 -44.2188377156332,-2.56466080878536,0 -44.2190207763981,-2.5649410996274,0 -44.2183770462342,-2.56515567634858,0;ATIVAS;Sem restrição de vendas
MA-126 (ITZ);0;MA;IMPERATRIZ;ITZ;ITZ;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;126 (ITZ) Secundária;MEDIO;4;178;174;174;0;0,022;;44,5;0,089;-47.4750861655991,-5.53783668540082,0 -47.47439080291191,-5.53688014261089,0 -47.4740193169632,-5.53714501075112,0 -47.473871795467,-5.5374601703104,0 -47.473351446918,-5.5378008108553,0 -47.473214654259,-5.5375996451791,0 -47.473279027275,-5.5375272255357,0 -47.47348287516,-5.5373582463678,0 -47.473673312,-5.537036381286,0 -47.473796693615,-5.5371168475565,0 -47.473995177082,-5.537044427913,0 -47.474287537865,-5.5367547493394,0 -47.474461881451,-5.5365884523806,0 -47.47475692444301,-5.5363631468233,0 -47.475192783407,-5.5360613983092,0 -47.475345669321,-5.5359527688441,0 -47.475397972397,-5.5358897369323,0 -47.475798292093,-5.5356315743146,0 -47.47582109086899,-5.5356208454786,0 -47.475880099468,-5.5356007289109,0 -47.475987387828,-5.5354572307285,0 -47.476094676189,-5.5352962981877,0 -47.47650907748201,-5.5350844036754,0 -47.47661234252901,-5.535101838034,0 -47.47671694868099,-5.5350321005996,0 -47.47682826035499,-5.5351648699458,0 -47.47692347877501,-5.5351407300647,0 -47.4775108825481,-5.53560743443331,0 -47.47866456770139,-5.53487485609614,0 -47.479088775821,-5.53547558709644,0 -47.4792286697849,-5.53539503700696,0 -47.4794300030991,-5.53542906753383,0 -47.4795547258182,-5.53540693930944,0 -47.4799409639163,-5.53578446022826,0 -47.4787232410232,-5.53666422478515,0 -47.47891904228099,-5.5368519794162,0 -47.478699101141,-5.5370236407932,0 -47.47840942256799,-5.5369270812687,0 -47.47797490470699,-5.537345505875,0 -47.477937353781,-5.5377371083912,0 -47.47771204822401,-5.5379516851123,0 -47.477572573355,-5.5379087697681,0 -47.477101845673,-5.5374527942355,0 -47.475905580452,-5.5381018888171,0 -47.47556561046,-5.53817849941212,0 -47.4752427395501,-5.53782520219345,0 -47.4750861655991,-5.53783668540082,0;ATIVAS;Sem restrição de vendas
MA-48 (ITZ);0;MA;IMPERATRIZ;ITZ;ITZ;MEDIO;BLOQUEADO;BLOQUEADO;48 (ITZ) Secundária;MEDIO;0;243;243;243;243;0;;60,75;0;-47.495599158489,-5.5186996106257,0 -47.495693035804,-5.5185494069209,0 -47.495907612525,-5.5186915639987,0 -47.49586737939,-5.5200541261783,0 -47.4954596836183,-5.52004876176024,0 -47.4954181093765,-5.52152397671858,0 -47.4952853400301,-5.52152397671852,0 -47.4952290136412,-5.5214046184174,0 -47.49447933621439,-5.52079843917988,0 -47.49370216615241,-5.52017080227039,0 -47.4936703149211,-5.52003870347627,0 -47.4935351986428,-5.52000986972922,0 -47.4934064526099,-5.51990928689113,0 -47.4934855777757,-5.51983016172515,0 -47.4935814667484,-5.51984022000896,0 -47.4940689582366,-5.51926622727977,0 -47.4942084331055,-5.51914888063557,0 -47.494410269333,-5.5193312708486,0 -47.49464228041199,-5.519128764068,0 -47.494729452205,-5.519057685529,0 -47.495186768842,-5.5188793186295,0 -47.495260891329,-5.5188399224745,0 -47.495599158489,-5.5186996106257,0;ATIVAS;Bloqueado
MA-185 (CTO);0;MA;SAO LUIS;CTO;CTO;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;185 (CTO) Secundária;MEDIO;114;464;350;350;0;0,245;;116;0,982;-44.2521032661211,-2.54482054242779,0 -44.2518891923141,-2.5445586917727,0 -44.2517419222753,-2.54436674619006,0 -44.2519125018629,-2.54425392053469,0 -44.2524317686224,-2.54391847153108,0 -44.2525154357321,-2.54382693067106,0 -44.252752507386,-2.54367603545922,0 -44.2531609365727,-2.54344130026092,0 -44.2534929856667,-2.54329503605057,0 -44.2536419111313,-2.5432311659484,0 -44.253778064671,-2.54314961003053,0 -44.2538662580084,-2.54314772410232,0 -44.2539130368862,-2.54323261182669,0 -44.2539236059422,-2.543306770715,0 -44.2539599414924,-2.54341506490398,0 -44.2540473647424,-2.54360751340079,0 -44.2540606081493,-2.54361354837108,0 -44.254150126875,-2.54369669685054,0 -44.254301671685,-2.5437000496118,0 -44.254537706078,-2.5437563760011,0 -44.254953448475,-2.5440138680665,0 -44.255063419036,-2.5440822643966,0 -44.255573038749,-2.5445020301074,0 -44.255886857204,-2.5448547405931,0 -44.256134961538,-2.5455105406975,0 -44.2562516376299,-2.54571237692587,0 -44.2554134473124,-2.54627899358027,0 -44.2551680251926,-2.54643590280821,0 -44.254815314707,-2.5470554930906,0 -44.254488085207,-2.5476321680288,0 -44.253948961198,-2.54871578047133,0 -44.2538041219114,-2.54877478906972,0 -44.2529565438629,-2.54777164289813,0 -44.252487157292,-2.54723251888634,0 -44.2526185855338,-2.54685969183332,0 -44.2527205094763,-2.54657805988709,0 -44.2520848259399,-2.54599333832191,0 -44.2515510663459,-2.5454998118631,0 -44.251367335028,-2.54533619711362,0 -44.2515638068357,-2.54519538113895,0 -44.2517961531904,-2.54503914246318,0 -44.2521032661211,-2.54482054242779,0;ATIVAS;Sem restrição de vendas
MA-160 (COP);0;MA;SAO LUIS;COP;COP;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;160 (COP) Secundária;BAIXO;24;241;217;217;0;0,099;;60,25;0,398;-44.232687990946,-2.5988156320542,0 -44.233122508806,-2.5987217547387,0 -44.233511429113,-2.5987566234558,0 -44.233508746904,-2.5988826872795,0 -44.233320992273,-2.5989229204148,0 -44.23311177997,-2.5988665940255,0 -44.232580702585,-2.5990463020295,0 -44.232261519712,-2.5991857768982,0 -44.232068400664,-2.5992139400929,0 -44.231966476722,-2.5991522492855,0 -44.231680821461,-2.599327933976,0 -44.231485020203,-2.599325251767,0 -44.231388460679,-2.5994446100682,0 -44.231104146524,-2.5993775548428,0 -44.230986129327,-2.5994365634411,0 -44.230476509615,-2.5991012873142,0 -44.2306937685454,-2.59884379524873,0 -44.2308251967868,-2.59869627375292,0 -44.230664264246,-2.59849779028583,0 -44.2312516680205,-2.59802303929019,0 -44.23095126061,-2.5976582588641,0 -44.230471145196,-2.5970601262539,0 -44.230653535409,-2.5968670072048,0 -44.231012951417,-2.5966095151394,0 -44.231167178436,-2.5964539470166,0 -44.231262396856,-2.5963748218506,0 -44.231538664384,-2.5967208268135,0 -44.23208181171,-2.5974222244709,0 -44.232280295177,-2.5976622821777,0 -44.232021462007,-2.5978621067493,0 -44.232425134462,-2.5983529509991,0 -44.232666533274,-2.5986131252736,0 -44.232571314854,-2.5986815216035,0 -44.2326490989155,-2.59881563205417,0 -44.232687990946,-2.5988156320542,0;ATIVAS;Sem restrição de vendas
MA-25 (VHS);0;MA;SAO LUIS;VHS;VHS;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;25 (VHS) Secundária;ALTO;21;233;212;212;0;0,090;;58,25;0,360;-44.237406096858,-2.5199399829134,0 -44.238260413997,-2.521817462872,0 -44.2383931833439,-2.52193279785962,0 -44.2380565661122,-2.52229757828569,0 -44.237922455661,-2.52248801512573,0 -44.2375844973256,-2.52294935507633,0 -44.2372197168995,-2.5232873134122,0 -44.235776688448,-2.5220964126094,0 -44.235175873629,-2.5228045157894,0 -44.2338142003879,-2.52174458144057,0 -44.234666300129,-2.5207605955506,0 -44.236341081898,-2.5207995298905,0 -44.237087584537,-2.5201612651572,0 -44.237406096858,-2.5199399829134,0;ATIVAS;Sem restrição de vendas
MA-157 (ANL);0;MA;SAO LUIS;ANL;ANL;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;157 (ANL) Secundária;MEDIO;77;444;367;367;0;0,173;;111;0,693;-44.1966441692921,-2.54033437417888,0 -44.1954653384295,-2.54009163426304,0 -44.196043354473,-2.5374201540842,0 -44.1966763557895,-2.53452605055755,0 -44.1971672000393,-2.53462596284335,0 -44.197443467568,-2.53469368862097,0 -44.1978431167113,-2.53478253679458,0 -44.1983446897972,-2.53490357147638,0 -44.1991118015755,-2.53508143546168,0 -44.1988704027642,-2.53615515725795,0 -44.1987067880143,-2.53691774280849,0 -44.1984975757111,-2.53779658535603,0 -44.1972463252057,-2.53753414796773,0 -44.197188657717,-2.53780303942127,0 -44.1966441692921,-2.54033437417888,0;ATIVAS;Sem restrição de vendas
MA-66 (ODA);0;MA;SAO LUIS;ODA;ODA;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;66 (ODA) Secundária;ALTO;6;141;135;135;0;0,042;;35,25;0,170;-44.230948948176,-2.4830977679675,0 -44.230970405846,-2.4832265140004,0 -44.230015539437,-2.4830655814595,0 -44.227789305955,-2.482614970345,0 -44.225729369431,-2.4822180034108,0 -44.225600623399,-2.4824111224599,0 -44.2216309540566,-2.48158500208334,0 -44.2217033737001,-2.48100028051805,0 -44.2238035433588,-2.4816118241734,0 -44.22423806122,-2.4803511859364,0 -44.2243909471339,-2.47948282076782,0 -44.2268183462923,-2.48026669635242,0 -44.2272957794969,-2.47988179935878,0 -44.2285725109879,-2.48018488897747,0 -44.2287656300368,-2.47937486185497,0 -44.231823348315,-2.4803994656985,0 -44.2306217186766,-2.48153672232082,0 -44.2309650414308,-2.48209462179593,0 -44.230948948176,-2.4830977679675,0;ATIVAS;Sem restrição de vendas
MA-5 (TMN);0;MA;TIMON;TMN;TMN;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;5 (TMN) Secundária;MEDIO;3;250;247;247;0;0,012;;62,5;0,048;-42.828985080149,-5.0974948704105,0 -42.828883156206,-5.0976558029514,0 -42.827697619822,-5.0971032678944,0 -42.826485261347,-5.0964434444767,0 -42.826683744814,-5.0959767401081,0 -42.827743217375,-5.0939516723019,0 -42.828370854285,-5.0942735373837,0 -42.8292023390793,-5.0947187840802,0 -42.8291339427494,-5.09483881293362,0 -42.8294571489357,-5.09501785038537,0 -42.8295349329971,-5.09494140742845,0 -42.8299158066771,-5.09515330194064,0 -42.829787060644,-5.0953973829609,0 -42.829395458127,-5.0960572063786,0 -42.829355224992,-5.096126943813,0 -42.829341813947,-5.0962878763538,0 -42.829103097345,-5.0966124236447,0 -42.828716859247,-5.09724810718113,0 -42.828977033522,-5.097398310886,0 -42.828985080149,-5.0974948704105,0;ATIVAS;Sem restrição de vendas
MA-136 (ITZ);0;MA;IMPERATRIZ;ITZ;ITZ;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;136 (ITZ) Secundária;MEDIO;1;235;234;234;0;0,004;;58,75;0,017;-47.4750322117319,-5.53616263437175,0 -47.474558801841,-5.5364965693941,0 -47.47442469139,-5.5366038577547,0 -47.474073322009,-5.5369471805086,0 -47.473974080276,-5.5370437400332,0 -47.473813147735,-5.5371054308405,0 -47.47367903728399,-5.537019600152,0 -47.47374609250901,-5.5368693964472,0 -47.474156470489,-5.5364026920786,0 -47.47375413913601,-5.5360513226976,0 -47.47374609250901,-5.5360372411003,0 -47.473753468584,-5.5359983490696,0 -47.473719940971,-5.535970185875,0 -47.473606617641,-5.5358112649909,0 -47.473515422534,-5.5358441220513,0 -47.473477201055,-5.5358877079477,0 -47.47326798875201,-5.5356328980913,0 -47.47330822188701,-5.535571207284,0 -47.47323043782501,-5.5355054931631,0 -47.473125831674,-5.5354451434602,0 -47.47297026355,-5.5354994581925,0 -47.472793237755,-5.5353251146065,0 -47.47287370402599,-5.5352017329919,0 -47.47283347089,-5.5351427243935,0 -47.472672538349,-5.5351024912583,0 -47.472793237756,-5.5349522875535,0 -47.472731546948,-5.5349120544182,0 -47.472663150618,-5.5348436580883,0 -47.472761051247,-5.5346854077564,0 -47.47287504513,-5.5345459328877,0 -47.472976969072,-5.5344158457504,0 -47.473141924926,-5.5344574199902,0 -47.4732800586903,-5.53423479664184,0 -47.4733591838563,-5.53433806168892,0 -47.4734852476804,-5.53440645801879,0 -47.4738674624668,-5.53472027647351,0 -47.47424833614641,-5.53499520289757,0 -47.47426912326571,-5.53508304524275,0 -47.4746426208705,-5.53536668884602,0 -47.4749027951452,-5.53564027416551,0 -47.4753239019599,-5.53596213924719,0 -47.4750322117319,-5.53616263437175,0;ATIVAS;Sem restrição de vendas
