name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
MS-46 (CPBA);0;MS;CAMPO GRANDE;CPBA;CPBA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;46 (CPBA) Secundária;MEDIO;51;244;193;193;0;0,209;;61;0,836;-54.67148116100701,-20.5401782193713,0 -54.671682326683,-20.540891686969,0 -54.6692649858087,-20.5414958545504,0 -54.6687513427825,-20.5416393527325,0 -54.6690001176681,-20.5425023534825,0 -54.6650572704165,-20.5435363450579,0 -54.6648379998293,-20.5427963906459,0 -54.665128348955,-20.5427108952336,0 -54.6648936556658,-20.5419954159789,0 -54.67148116100701,-20.5401782193713,0;ATIVAS;Sem restrição de vendas
MS-67018 (CPCE);0;MS;CAMPO GRANDE;CPCE;CPCE;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;67018 (CPCE) Secundária;ALTO;3;131;128;128;0;0,022;;32,75;0,091;-54.6103264134333,-20.4621019085849,0 -54.610186268012,-20.4628502449001,0 -54.61076931319641,-20.4629414400067,0 -54.6106147509018,-20.4638118168321,0 -54.6100434403817,-20.4637286683528,0 -54.6099830906788,-20.4640243818967,0 -54.609637085716,-20.4639660438508,0 -54.6097229164044,-20.4634966572732,0 -54.61006758026301,-20.4635489603491,0 -54.6101326238316,-20.4632039612146,0 -54.6100229885381,-20.4631870297702,0 -54.61007160357649,-20.4628777375432,0 -54.60978393665961,-20.4628331458183,0 -54.6097205694717,-20.463194405845,0 -54.60907239689939,-20.4630875784891,0 -54.60905072967969,-20.4631917445907,0 -54.6086656231385,-20.4631229082109,0 -54.6085673034143,-20.463631647824,0 -54.607894990961,-20.4635275026771,0 -54.6080934744284,-20.4625230154007,0 -54.60933533720231,-20.4627496620623,0 -54.60946408323499,-20.4619758447614,0 -54.6103264134333,-20.4621019085849,0;ATIVAS;Sem restrição de vendas
MS-33 (MCCE);0;MS;MARACAJU;MCCE;MCCE;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;33 (MCCE) Secundária;MEDIO;21;213;192;192;0;0,098;;53,25;0,394;-55.1714273247589,-21.6167083351825,0 -55.1702645871514,-21.6176041929933,0 -55.1690401587363,-21.6162040798879,0 -55.16849567030619,-21.6166144578668,0 -55.1678290575468,-21.6158185961606,0 -55.16766938229111,-21.6157415664704,0 -55.16739286330549,-21.615399836278,0 -55.16748112474599,-21.6153316914051,0 -55.1670584253651,-21.614793824682,0 -55.16691752557151,-21.6145716204301,0 -55.1663820895918,-21.6138571470083,0 -55.16684611175069,-21.6133984892668,0 -55.1680923331143,-21.6132665581109,0 -55.16819425705711,-21.6133845753075,0 -55.16836424205341,-21.6132456033528,0 -55.1685726161664,-21.6134787878991,0 -55.1689594409978,-21.6131782966703,0 -55.1699169057972,-21.6139721467197,0 -55.1702142957217,-21.6143010526005,0 -55.1699923429259,-21.6144888072312,0 -55.17013114724241,-21.6146410225925,0 -55.170373216606,-21.614986357003,0 -55.17047111723479,-21.6152076392477,0 -55.17054219577629,-21.6153363852781,0 -55.1713428351698,-21.6162697940131,0 -55.1711725148987,-21.6164085983285,0 -55.1713401529634,-21.6166117756602,0 -55.1714273247589,-21.6167083351825,0;ATIVAS;Sem restrição de vendas
MS-303 (CPBA);0;MS;CAMPO GRANDE;CPBA;CPBA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;303 (CPBA) Secundária;MEDIO;69;287;218;218;0;0,240;;71,75;0,961;-54.66380789873491,-20.478681474918,0 -54.6640452742384,-20.4786559939355,0 -54.6641934662862,-20.4786687344283,0 -54.6643295883935,-20.4786814749212,0 -54.6646031737127,-20.4786761105029,0 -54.66495051978,-20.4785996675458,0 -54.6651255339181,-20.4784943908419,0 -54.66575912197881,-20.4784371424432,0 -54.66639539224861,-20.4783865995671,0 -54.6674058306758,-20.4782220628078,0 -54.6676411106979,-20.4782023653353,0 -54.6676694228678,-20.478450628467,0 -54.6693848445079,-20.4790717186517,0 -54.6695190713559,-20.4792786215113,0 -54.66973778778771,-20.4796089059857,0 -54.6701685151289,-20.4802708160388,0 -54.6699106131361,-20.4804622233461,0 -54.669808279266,-20.4806318377052,0 -54.669705945396,-20.4808027931687,0 -54.6696412737743,-20.4807617480366,0 -54.66950418250919,-20.4809845652163,0 -54.6693603857217,-20.4812087235006,0 -54.6691341110069,-20.4811750544433,0 -54.6689172240236,-20.4811366915202,0 -54.6688549360057,-20.4811578663031,0 -54.6687184367125,-20.4810896795208,0 -54.6686282055249,-20.4810463031719,0 -54.6685728430544,-20.4809271544183,0 -54.6683203801309,-20.4808081313934,0 -54.6680598705803,-20.4806998372046,0 -54.66773062942149,-20.4806797206356,0 -54.6674033999195,-20.4806622862756,0 -54.6673008054243,-20.4808279126823,0 -54.6671888231976,-20.481006950134,0 -54.66715194282371,-20.4810632765232,0 -54.6671301498755,-20.4810451716126,0 -54.6669018268331,-20.4814213514271,0 -54.6666631102306,-20.4818075895256,0 -54.6657659113156,-20.4812858998716,0 -54.6655808388935,-20.4815728962363,0 -54.6653882227586,-20.4814666137041,0 -54.6651895716534,-20.4813549667538,0 -54.6649148128674,-20.4812034219445,0 -54.664826383789,-20.4811299964727,0 -54.66448649761531,-20.4807863384428,0 -54.6644100546584,-20.4806528985443,0 -54.66405365613549,-20.4807290062251,0 -54.6638260036454,-20.480734035367,0 -54.6637009456501,-20.4800718650164,0 -54.66370329258301,-20.4798790812434,0 -54.6639956533658,-20.4798428714216,0 -54.66380789873491,-20.478681474918,0;ATIVAS;Sem restrição de vendas
MS-67057 (CPCE);0;MS;CAMPO GRANDE;CPCE;CPCE;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;67057 (CPCE) Secundária;ALTO;9;80;71;71;0;0,112;;20;0,45;-54.61065100973499,-20.453180551741,0 -54.6128611499635,-20.4535232039428,0 -54.6128839487402,-20.4534055220223,0 -54.6133372420637,-20.4534755947329,0 -54.6134726936187,-20.4527393283576,0 -54.614131175932,-20.4528271707028,0 -54.6139742667048,-20.4537250401704,0 -54.61382808631361,-20.454541772816,0 -54.61351024454509,-20.454485446426,0 -54.6134854341118,-20.4546108396978,0 -54.61301940029509,-20.4545310439801,0 -54.61308377331199,-20.4542145433155,0 -54.611839228329,-20.454014718744,0 -54.61188616698641,-20.4537625910965,0 -54.61137654727369,-20.4536787720649,0 -54.6113939816324,-20.4535778539508,0 -54.610597365555,-20.453440726015,0 -54.61065100973499,-20.453180551741,0;ATIVAS;Sem restrição de vendas
MS-170 (DOCE);0;MS;DOURADOS;DOCE;DOCE;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;170 (DOCE) Secundária;MEDIO;125;415;290;290;0;0,301;;103,7;1,204;-54.8075871144478,-22.2413797228715,0 -54.80751804756459,-22.2420221119296,0 -54.8079837461042,-22.2420596628553,0 -54.8080616978034,-22.2421407996778,0 -54.8081094746512,-22.2421488463046,0 -54.80781845497201,-22.2441960423343,0 -54.8080434252525,-22.2442335932601,0 -54.8079371427197,-22.2451696842058,0 -54.80334654199019,-22.2447110264641,0 -54.8035182033694,-22.2432760446434,0 -54.8040331875014,-22.2433095722573,0 -54.8043121372401,-22.2410471289543,0 -54.8075871144478,-22.2413797228715,0;ATIVAS;Sem restrição de vendas
MS-799 (CPBA);0;MS;CAMPO GRANDE;CPBA;CPBA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;799 (CPBA) Secundária;MEDIO;92;471;379;379;0;0,195;;117,7;0,781;-54.6672397852027,-20.5493563413668,0 -54.66686427594,-20.549490451817,0 -54.666384160527,-20.547953546052,0 -54.66546416283801,-20.54481267931,0 -54.665075242525,-20.543549358862,0 -54.669001996531,-20.542511343977,0 -54.669401645678,-20.54398387673,0 -54.669407010096,-20.544002652193,0 -54.670801758782,-20.543616414091,0 -54.6711343527,-20.544713437578,0 -54.67045038940021,-20.5449293554091,0 -54.6704047918471,-20.5447912216446,0 -54.6701432764682,-20.5448827520272,0 -54.6701680869017,-20.5449580215177,0 -54.6699085831795,-20.5450601130983,0 -54.6699541807328,-20.5452026054521,0 -54.669787883774,-20.5452592671175,0 -54.6702224016217,-20.546556115171,0 -54.667840600017,-20.547398328802,0 -54.66675698757749,-20.547757744802,0 -54.6672397852027,-20.5493563413668,0;ATIVAS;Sem restrição de vendas
MS-606 (CPBA);0;MS;CAMPO GRANDE;CPBA;CPBA;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;606 (CPBA) Secundária;MEDIO;38;261;223;223;0;0,145;;65,25;0,582;-54.6428252692018,-20.5091582412867,0 -54.6430483954642,-20.5090940359084,0 -54.6430649916326,-20.5091639409808,0 -54.643433460096,-20.5090543056873,0 -54.6434860984481,-20.5092249612359,0 -54.64493331784959,-20.5088100570285,0 -54.6449702820425,-20.5089177644842,0 -54.64643149922241,-20.5085024411819,0 -54.64656963298669,-20.5090187664174,0 -54.6447578007972,-20.5095552082204,0 -54.64492139983109,-20.5100468854218,0 -54.6458749094198,-20.5098103428756,0 -54.6459373526339,-20.510036087828,0 -54.6460306412517,-20.5100097051329,0 -54.6460911546636,-20.5102251606442,0 -54.6461357385304,-20.5102161893885,0 -54.64630403142999,-20.5107936972783,0 -54.6450822223595,-20.5111323052118,0 -54.6451010606868,-20.5112121218849,0 -54.64335765625921,-20.5117187345901,0 -54.642865486621,-20.509964407495,0 -54.64307269512539,-20.509902635488,0 -54.64296130650801,-20.5095206849298,0 -54.6429248038108,-20.5095312410528,0 -54.6428252692018,-20.5091582412867,0;ATIVAS;Sem restrição de vendas
MS-41 (CPMO);0;MS;CAMPO GRANDE;CPMO;CPMO;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;41 (CPMO) Secundária;BAIXO;72;280;208;208;0;0,257;;70;1,028;-54.62291359899501,-20.522893667212,0 -54.62083220479901,-20.525726079932,0 -54.61935162542301,-20.524964332572,0 -54.6187481283941,-20.5245968699362,0 -54.61916118858259,-20.5240067839538,0 -54.6192483603757,-20.5238652974281,0 -54.6192966401382,-20.5237948894413,0 -54.61937710640819,-20.5236701667223,0 -54.6197164058488,-20.5229171365406,0 -54.6196044236224,-20.5225439742116,0 -54.6196890808445,-20.5223816167473,0 -54.61993659844509,-20.5224399128839,0 -54.620221666972,-20.52203686907,0 -54.620113372783,-20.521938800803,0 -54.620521068553,-20.521445274344,0 -54.62058544156999,-20.52145600318,0 -54.62291359899501,-20.522893667212,0;ATIVAS;Sem restrição de vendas
MS-700 (CPCE);0;MS;CAMPO GRANDE;CPCE;CPCE;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;700 (CPCE) Secundária;ALTO;14;241;227;227;0;0,058;;60,25;0,232;-54.5981072261152,-20.471128613963,0 -54.5981394126238,-20.4723248791842,0 -54.5968090369524,-20.4724844706206,0 -54.59691632531261,-20.473529191032,0 -54.59675405166729,-20.4735452842857,0 -54.5967661216079,-20.4736150217197,0 -54.59585953496109,-20.4738295984413,0 -54.59590949110409,-20.4739221346524,0 -54.5935407652675,-20.4746235323094,0 -54.5920065417188,-20.4739154291165,0 -54.5918938889409,-20.4741286647337,0 -54.5914033799673,-20.4740314346569,0 -54.5913795753623,-20.4741796267048,0 -54.589089639416,-20.4736673247828,0 -54.5899895205459,-20.4723584067774,0 -54.59140975022481,-20.4707383525263,0 -54.5923349237417,-20.4706668548926,0 -54.5955771486613,-20.4697818097379,0 -54.59653260180269,-20.4697653812093,0 -54.5965445041027,-20.4703306567623,0 -54.5965656264938,-20.4712090802209,0 -54.5981072261152,-20.471128613963,0;ATIVAS;Sem restrição de vendas
