name,aging,uf,city,locality,station,cell_classification,cell_sales_status,survey_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,blocked_hp_sale,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales
MT-20 (EROI),283,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,20 (EROI) Secundária,Suburbio,128,398,398,398,0,0.3216,5107602,100,1.28,"-54.6179085969384,-16.4457093178735,0 -54.617246091205,-16.445931941164,0 -54.616855829804,-16.446064710517,0 -54.61674451812999,-16.446170657773,0 -54.617010056835,-16.446318179276,0 -54.617374837261,-16.446500569489,0 -54.61755722747401,-16.446606516745,0 -54.61742714033599,-16.446843892243,0 -54.617181718212,-16.44671514621,0 -54.6169668062174,-16.4470832793972,0 -54.616802185639,-16.4470232649705,0 -54.6166908739653,-16.4472147076388,0 -54.6165759353455,-16.4474076843027,0 -54.61665767152739,-16.4474577929326,0 -54.616756151316,-16.4475291254552,0 -54.6168066611223,-16.4475650456989,0 -54.616832931955,-16.4475837677679,0 -54.61685920278781,-16.447603759749,0 -54.61685573842979,-16.4477476898944,0 -54.6168558298255,-16.4478926359694,0 -54.6167036144646,-16.4479677378212,0 -54.6158828585067,-16.4490345864563,0 -54.615681022278,-16.448946744111,0 -54.6154708041448,-16.4493018015289,0 -54.6150956301722,-16.4490895717511,0 -54.61517861101689,-16.4489402062392,0 -54.6148575422168,-16.448757019746,0 -54.6145358028644,-16.4485724921484,0 -54.61443949479861,-16.4487271382632,0 -54.6142661570477,-16.4486409723039,0 -54.61413070549261,-16.4485668762797,0 -54.6141374110153,-16.4483358710281,0 -54.6141836791207,-16.4482218771453,0 -54.6136224268837,-16.4479355513325,0 -54.6136827765857,-16.4478182046864,0 -54.6135915814784,-16.4477679132657,0 -54.6137518434662,-16.4475137739598,0 -54.6137981115714,-16.4475355669072,0 -54.6140006183518,-16.4472292921648,0 -54.6139536796939,-16.4471697806519,0 -54.6140944956671,-16.4469243585271,0 -54.61421318341599,-16.4469143002434,0 -54.6144177018534,-16.4466708897753,0 -54.6147610246075,-16.4465153216524,0 -54.61519017805,-16.446641385476,0 -54.6153765915728,-16.446320861495,0 -54.6155200897551,-16.446162611163,0 -54.615672975669,-16.445737481034,0 -54.6157447247619,-16.4455839245665,0 -54.61566358794089,-16.4452479778861,0 -54.615520089762,-16.445099115283,0 -54.6153829618259,-16.444734334857,0 -54.6157925854374,-16.4445890764776,0 -54.616202544325,-16.4444498530686,0 -54.6170284970706,-16.4441720768027,0 -54.6170395611969,-16.4442032574929,0 -54.6171039342161,-16.4443936943342,0 -54.617194458771,-16.4443633518451,0 -54.6172527968179,-16.4444718136725,0 -54.6172923594022,-16.4445392041746,0 -54.6174331753777,-16.4446900784337,0 -54.6174690499243,-16.4448141306016,0 -54.6175532042333,-16.4447879790647,0 -54.6176497637632,-16.4450675993607,0 -54.6174945309191,-16.4451048150138,0 -54.6175819038007,-16.445302248997,0 -54.6176987140817,-16.4454529992731,0 -54.6178026496824,-16.445416957091,0 -54.6179085969384,-16.4457093178735,0",ATIVAS,Sem Restrição de Vendas
MT-90 (EROI),283,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,90 (EROI) Secundária,Suburbio,173,497,497,497,0,0.3481,5107602,171,1.011695906,"-54.61752034707111,-16.4465857296042,0 -54.6175934372668,-16.4465005694671,0 -54.6179253606332,-16.4466695486357,0 -54.6196842191999,-16.4475721119907,0 -54.6198277173824,-16.4473709463145,0 -54.619906842548,-16.447460800316,0 -54.620102643806,-16.447699516919,0 -54.619831740696,-16.448198407795,0 -54.618962704978,-16.449595838706,0 -54.618587195718,-16.450175195862,0 -54.618538915958,-16.450459510023,0 -54.617981016483,-16.451363414461,0 -54.618090987052,-16.451425105277,0 -54.61803197845399,-16.451521664801,0 -54.6182894705199,-16.451674550715,0 -54.6177020667465,-16.4526595919797,0 -54.61745597406949,-16.4525791257092,0 -54.6173071114693,-16.4525301753945,0 -54.6172662077821,-16.4525073766185,0 -54.6171542255556,-16.4524604379605,0 -54.61702011510461,-16.4523953943916,0 -54.6169299258264,-16.4523605256742,0 -54.61690142735549,-16.4523746072713,0 -54.61719026773931,-16.4518711901678,0 -54.617203511147,-16.4518472179257,0 -54.6175585685666,-16.4512467383845,0 -54.6179937569828,-16.4504863321414,0 -54.6176889909832,-16.4503398164741,0 -54.61735405013219,-16.4501785486573,0 -54.6172766013471,-16.4501406624549,0 -54.6171984820098,-16.4500967412823,0 -54.6170020101998,-16.4499988406532,0 -54.6168491242868,-16.4499230682497,0 -54.6166245191022,-16.4498089973985,0 -54.6164765637392,-16.4497407347898,0 -54.6163443192041,-16.4496738532137,0 -54.6163247274477,-16.449713589446,0 -54.6162333122848,-16.4496678610614,0 -54.61615687764181,-16.4496299508162,0 -54.6160844663124,-16.4495927111233,0 -54.6161021923881,-16.4495602100257,0 -54.6161212595683,-16.4495277089281,0 -54.6159876421568,-16.4494581735182,0 -54.6158403671805,-16.4493818315736,0 -54.6156876045265,-16.4492994041525,0 -54.61570113883129,-16.4492692798072,0 -54.6155381946344,-16.44918344912,0 -54.615682363369,-16.4489480852785,0 -54.61588352904499,-16.449035257072,0 -54.6167042850031,-16.4479704200958,0 -54.6168585120211,-16.4478926360371,0 -54.61685717091639,-16.4477457850944,0 -54.6168611942298,-16.4476016163607,0 -54.61667209849399,-16.4474661648071,0 -54.616578221178,-16.447407156209,0 -54.61680352673599,-16.4470229297677,0 -54.6169664709337,-16.4470832794702,0 -54.61718171820699,-16.4467144757307,0 -54.61742579923,-16.4468445628702,0 -54.61750425384389,-16.4467024057928,0 -54.6175565569197,-16.4466065168206,0 -54.61752034707111,-16.4465857296042,0",ATIVAS,Sem Restrição de Vendas
MT-19 (EROI),282,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,19 (EROI) Secundária,Suburbio,115,332,332,332,0,0.3464,5107602,114,1.00877193,"-54.62237553920931,-16.4389978164103,0 -54.6219339386408,-16.4391612635222,0 -54.62190405715591,-16.4390886762407,0 -54.6217588406834,-16.4391327650514,0 -54.6216075892407,-16.4391768538621,0 -54.62014628824181,-16.4396214300063,0 -54.6199126007813,-16.4397863858607,0 -54.6196356627005,-16.4398775809673,0 -54.6191394540327,-16.4400613122848,0 -54.6191682877796,-16.440130379167,0 -54.61886318650411,-16.440232973662,0 -54.6182073863997,-16.4383862727555,0 -54.6180907103076,-16.4380349033745,0 -54.6190187546268,-16.4377479070099,0 -54.6189563932672,-16.4375635051401,0 -54.6188967141166,-16.4373817854793,0 -54.6191267135395,-16.4372905903729,0 -54.61907239880689,-16.4371336811455,0 -54.6193862172615,-16.4370129817398,0 -54.6193593951713,-16.4369432443053,0 -54.62093653407219,-16.4364252426894,0 -54.6209821316254,-16.4365506359609,0 -54.6210297408354,-16.4366777056129,0 -54.6213992151274,-16.4365519770653,0 -54.6214582237258,-16.4367420786293,0 -54.6219007882134,-16.4365999215516,0 -54.6222628864305,-16.4364765399369,0 -54.6224422591583,-16.4369618521306,0 -54.621677494313,-16.4372272231849,0 -54.6218699428098,-16.4378759824904,0 -54.62245064106149,-16.4376701229485,0 -54.6226303490656,-16.4380952530772,0 -54.6221073183077,-16.4383058064848,0 -54.62237553920931,-16.4389978164103,0",ATIVAS,Sem Restrição de Vendas
MT-92 (EROI),281,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,92 (EROI) Secundária,Suburbio,143,412,412,412,0,0.3471,5107602,142,1.007042254,"-54.6227426081119,-16.4388683437527,0 -54.6227882056651,-16.4389997719945,0 -54.6232093124804,-16.4388495682896,0 -54.62337024502111,-16.4393350481214,0 -54.62384767822561,-16.4407566188993,0 -54.6232549100332,-16.4409752189342,0 -54.6233890204838,-16.4412830024187,0 -54.6231234817913,-16.4413641392415,0 -54.6230738609246,-16.4412675797171,0 -54.62247304610549,-16.4415009319015,0 -54.62266214184109,-16.4421211927361,0 -54.6225012093002,-16.4421835540957,0 -54.6223483233863,-16.4422348513431,0 -54.6221900730545,-16.4422888307995,0 -54.6221293880755,-16.4423079415388,0 -54.62208613745519,-16.4423337578006,0 -54.62205931536499,-16.4423806964583,0 -54.6218336745317,-16.4424443989224,0 -54.62134450666261,-16.4426106958813,0 -54.6210886909779,-16.4425734802313,0 -54.6207431051101,-16.4426771643735,0 -54.6206516585466,-16.4428465626366,0 -54.6199960260805,-16.4430713652797,0 -54.6197666972097,-16.4425349234768,0 -54.6194857358153,-16.4417507126161,0 -54.6194468437846,-16.4416429213413,0 -54.61920410386869,-16.4417175202795,0 -54.6191933750326,-16.4416910334655,0 -54.61942940942579,-16.4416010118255,0 -54.6189392357284,-16.4402161537835,0 -54.6190159222844,-16.4401910211707,0 -54.619108773287,-16.4401568567889,0 -54.6191852770212,-16.4401288995821,0 -54.6191606091748,-16.4400614269419,0 -54.6193354692461,-16.4400003407316,0 -54.6198094868252,-16.4398287841285,0 -54.6198959252016,-16.4398007257076,0 -54.6199555414879,-16.4397753494957,0 -54.6200223452562,-16.4397248066196,0 -54.620085125711,-16.4396742637434,0 -54.6201532705838,-16.4396478607484,0 -54.62034806601359,-16.4395851641126,0 -54.62089054278691,-16.4394088088697,0 -54.6212658005919,-16.4392833736887,0 -54.6214962191101,-16.4392129237925,0 -54.6218993886526,-16.4390948227768,0 -54.6219278871234,-16.4391643925731,0 -54.6220036595281,-16.4391425996247,0 -54.6227426081119,-16.4388683437527,0",ATIVAS,Sem Restrição de Vendas
MT-162 (EROI),280,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,162 (EROI) Secundária,Suburbio,250,590,590,590,0,0.4237,5107602,148,1.689189189,"-54.618210993001,-16.4386607963827,0 -54.618050368888,-16.43871223442,0 -54.6179326601193,-16.4387489203077,0 -54.61749556744301,-16.4388869601848,0 -54.6177730686832,-16.4396290201408,0 -54.6173848189286,-16.4397671539054,0 -54.6175256349015,-16.4401668030489,0 -54.6173880040514,-16.440212735878,0 -54.6171752713489,-16.4402908552153,0 -54.6168235666917,-16.4404189306953,0 -54.61675986422829,-16.4402828085882,0 -54.61671191974231,-16.4401845726832,0 -54.61659624947881,-16.4399468619095,0 -54.6161972708894,-16.4401031005818,0 -54.6159572131841,-16.4402003306557,0 -54.61536109223039,-16.4404491055418,0 -54.61551867201,-16.4408682007004,0 -54.61539394929551,-16.4411297160712,0 -54.61535338088441,-16.4412366691548,0 -54.6153154946823,-16.4413382578204,0 -54.61516964956739,-16.4416624698343,0 -54.61502983942269,-16.4418894517713,0 -54.61500536426581,-16.4419276732495,0 -54.6149413265259,-16.4420202094601,0 -54.6148568369428,-16.4421777892396,0 -54.61483554690889,-16.4422202435788,0 -54.61481157466601,-16.4422720856496,0 -54.614781064539,-16.4423395599693,0 -54.6146796435108,-16.4425556873422,0 -54.6146439366035,-16.4426068588607,0 -54.6143418528136,-16.4429519418137,0 -54.6142298705881,-16.4430701266469,0 -54.61417153254279,-16.4431293028819,0 -54.61410330385101,-16.4431980344879,0 -54.61417391507189,-16.4434016538857,0 -54.6140394337487,-16.4434506042003,0 -54.6140726260853,-16.4435584563245,0 -54.61411788836231,-16.4436979311933,0 -54.6142265178272,-16.4440211373797,0 -54.6138654254394,-16.4441639650104,0 -54.6137323208178,-16.4442075509076,0 -54.613604245339,-16.4440117496509,0 -54.613317248974,-16.443837406065,0 -54.61291491762201,-16.4436764735239,0 -54.6121598757845,-16.4433304685608,0 -54.6119506634814,-16.4432272035139,0 -54.61178973094021,-16.4431534427663,0 -54.6117414511778,-16.4431708771252,0 -54.61155906096499,-16.4430810231231,0 -54.61116477624011,-16.4428946095964,0 -54.6111228667246,-16.4428754988584,0 -54.6110918117734,-16.442862045904,0 -54.6110473457772,-16.4428432285315,0 -54.6110323840801,-16.4428327930622,0 -54.6109906002929,-16.4428076054433,0 -54.6100061457655,-16.4423458463978,0 -54.61000069752851,-16.4423306751534,0 -54.6101374901893,-16.4421556610177,0 -54.6110816277628,-16.4409862178876,0 -54.6116321511629,-16.4412758964612,0 -54.61202475950711,-16.440653623973,0 -54.61231342072221,-16.4401748496669,0 -54.61235281181089,-16.4401072798856,0 -54.6123902027727,-16.4400356971778,0 -54.6124870923993,-16.4398724215504,0 -54.6125323585327,-16.4397969882779,0 -54.6125756181834,-16.4397202152382,0 -54.6126708366055,-16.4395458716598,0 -54.61293034032749,-16.439543189451,0 -54.6129422527389,-16.4395828224392,0 -54.6129598111478,-16.4396210405515,0 -54.6130007483139,-16.4396068919149,0 -54.6132314182892,-16.4395244139872,0 -54.6136315636348,-16.4393905851571,0 -54.6135813795268,-16.4392386246244,0 -54.6138736731072,-16.4391429234114,0 -54.6139865406722,-16.4394217122631,0 -54.6168408133001,-16.4384405065439,0 -54.6168708805948,-16.4384273905021,0 -54.61674304658441,-16.4380727756715,0 -54.6173376658391,-16.4378699470002,0 -54.6177504846404,-16.4377275082826,0 -54.6179621377657,-16.4379525322,0 -54.618210993001,-16.4386607963827,0",ATIVAS,Sem Restrição de Vendas
MT-163 (EROI),280,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,163 (EROI) Secundária,Suburbio,159,576,576,576,0,0.276,5107602,198,0.803030303,"-54.6197763435511,-16.4431869703904,0 -54.6197428159396,-16.4432158041383,0 -54.6193585894988,-16.4433482382088,0 -54.6189448587588,-16.4434942257094,0 -54.61844362094939,-16.443669600377,0 -54.6178941033778,-16.4438612106837,0 -54.61716844172099,-16.4441206340807,0 -54.61702674403939,-16.4441710058262,0 -54.6164805792299,-16.4443530607639,0 -54.6158743999937,-16.4445575792022,0 -54.61537919715489,-16.4447282347512,0 -54.61519043669599,-16.4447969663577,0 -54.6146157734158,-16.4439681637728,0 -54.6145688347579,-16.4439946505869,0 -54.6142161242725,-16.4431011397088,0 -54.6143220715285,-16.4429858047213,0 -54.61467612311829,-16.4425774383989,0 -54.6147485427617,-16.4424191880672,0 -54.6147968225241,-16.4423199463336,0 -54.6148290090325,-16.4422455150334,0 -54.61492959187079,-16.4420436788051,0 -54.615031515811,-16.441894145651,0 -54.6151736728887,-16.4416634756756,0 -54.61531448886191,-16.4413603860567,0 -54.6154325060582,-16.4410599786467,0 -54.6155250422694,-16.4408722240163,0 -54.6153667919378,-16.4404511172006,0 -54.6160044871311,-16.4401862490604,0 -54.61659390256211,-16.4399508852194,0 -54.6167910449246,-16.4403612631986,0 -54.61682189032819,-16.4404242951103,0 -54.617391859744,-16.440215082807,0 -54.617529993508,-16.4401688147014,0 -54.6173891775344,-16.4397684950058,0 -54.61777675673721,-16.4396303612403,0 -54.61750183031329,-16.4388914126554,0 -54.618111697588,-16.4386972877779,0 -54.6192023508176,-16.4416581112483,0 -54.6191788814888,-16.4416913035848,0 -54.6191902808772,-16.4417338836529,0 -54.619229172908,-16.4417372364141,0 -54.6197763435511,-16.4431869703904,0",ATIVAS,Sem Restrição de Vendas
MT-17 (EROI),280,MT,RONDONOPOLIS,ROI,EROI,PRATA,Sem Restrição de Vendas,Sem Restrição de Vendas,17 (EROI) Secundária,Suburbio,88,390,390,390,0,0.2256,5107602,96,0.916666667,"-54.61993379783431,-16.4431044862696,0 -54.6200374092269,-16.4433963487053,0 -54.6201346393036,-16.4436719456817,0 -54.6202278460668,-16.443934131613,0 -54.6203867669511,-16.4443813899659,0 -54.62051551298411,-16.4447441587348,0 -54.6207227136297,-16.4453302214045,0 -54.6208338117264,-16.4456451317901,0 -54.620944274867,-16.4459555974837,0 -54.6212551321193,-16.4468255529305,0 -54.62133693949401,-16.4470682928462,0 -54.62125244991021,-16.4470964560407,0 -54.6211853946848,-16.447119254818,0 -54.6211585725946,-16.4471286425497,0 -54.6205188657442,-16.4473619947355,0 -54.6204303528474,-16.4473914990343,0 -54.62032842890441,-16.4474277088563,0 -54.6202278460662,-16.4474659303348,0 -54.6200950767197,-16.4475121984403,0 -54.6199904705687,-16.4475497493666,0 -54.6198281969235,-16.4473552892126,0 -54.6197557772801,-16.447451848737,0 -54.6196779932186,-16.4475618193066,0 -54.6175952579182,-16.4465010056412,0 -54.617522838275,-16.4465841541209,0 -54.6170018191735,-16.4463145921151,0 -54.6167436565555,-16.446171093933,0 -54.6168563093347,-16.4460651466765,0 -54.61790907637289,-16.4457097539821,0 -54.6178017880161,-16.4454173932071,0 -54.6176985229697,-16.445452261924,0 -54.6175815116012,-16.4453033993236,0 -54.61749400453189,-16.445106256961,0 -54.6176502432065,-16.4450660238252,0 -54.61755368368251,-16.4447910974016,0 -54.6174705352035,-16.4448138961782,0 -54.6174314180417,-16.4446883643462,0 -54.6172905655357,-16.444536805095,0 -54.6172614710612,-16.4444848156727,0 -54.6172372628759,-16.4444433852623,0 -54.61721573689969,-16.4444032959565,0 -54.6171941426193,-16.44436335048,0 -54.6171044136729,-16.4443927893632,0 -54.617027970715,-16.4441728482231,0 -54.6177608843285,-16.4439106622921,0 -54.61811560647081,-16.4437852690208,0 -54.6184683169564,-16.4436645696152,0 -54.6187891762099,-16.4435525873889,0 -54.61911539988139,-16.443436581849,0 -54.6194288830602,-16.443325270175,0 -54.6197463895524,-16.4432166407099,0 -54.6197792466125,-16.4431878069629,0 -54.61977187053741,-16.4431670198428,0 -54.61993379783431,-16.4431044862696,0",ATIVAS,Sem Restrição de Vendas
MT-123 (EROI),279,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,123 (EROI) Secundária,Suburbio,166,614,614,605,0,0.2704,5107602,154,1.077922078,"-54.6199976817777,-16.4430822307297,0 -54.6203019448627,-16.4429794330005,0 -54.6204861710344,-16.4429234441706,0 -54.62066825471769,-16.4428551121834,0 -54.62075534269161,-16.4426837022636,0 -54.6210865116859,-16.4425887353007,0 -54.62134785942671,-16.4426274596934,0 -54.621466253809,-16.4425913336907,0 -54.6215779426688,-16.4425505138223,0 -54.6217289007448,-16.4424977078323,0 -54.62182621464071,-16.4424643478577,0 -54.6220606564723,-16.4423810317401,0 -54.6220864727341,-16.442333003435,0 -54.6221283822499,-16.4423087797348,0 -54.622342623695,-16.4422375335579,0 -54.622460431344,-16.4421969651465,0 -54.622504142969,-16.4421828835492,0 -54.6226069889209,-16.4421433209662,0 -54.6226166281096,-16.4421386271005,0 -54.6226242556415,-16.4421392976527,0 -54.6226339786492,-16.4421372859959,0 -54.6226480602467,-16.4421325921302,0 -54.6226654946055,-16.4421235396748,0 -54.6226802467552,-16.4421166665143,0 -54.6226889639345,-16.4421135652101,0 -54.622700698599,-16.4421100029012,0 -54.6227077393977,-16.4421097933536,0 -54.6227184682334,-16.4421081169731,0 -54.6227734535178,-16.4422599970588,0 -54.62286934249,-16.4424913375862,0 -54.6230081468066,-16.4428272842651,0 -54.6231174468239,-16.4431162922864,0 -54.6232616155583,-16.4434804021601,0 -54.62333671741079,-16.4436574279553,0 -54.6233984082181,-16.4438049494512,0 -54.623487926944,-16.444042660225,0 -54.6235528028745,-16.4440730027144,0 -54.62360938072089,-16.4442196022008,0 -54.6236498653132,-16.4443822949413,0 -54.62387718252711,-16.4450253545523,0 -54.62406091384459,-16.4455805718177,0 -54.62441228322569,-16.445505469965,0 -54.62478242806991,-16.4464361964929,0 -54.6257158368069,-16.4461438357108,0 -54.6258258073769,-16.4461089669938,0 -54.6261463313543,-16.4470182358496,0 -54.62594650678291,-16.4470799266566,0 -54.62597735218641,-16.4472113548983,0 -54.6253483741723,-16.4474608003367,0 -54.6252665667973,-16.4472576230038,0 -54.6252196281395,-16.4472680165638,0 -54.62528668336481,-16.4474782346953,0 -54.62492659680451,-16.4475613831747,0 -54.6248991041621,-16.4476019515861,0 -54.624626859947,-16.447699516939,0 -54.6248333900411,-16.4482386409511,0 -54.6245235948999,-16.4485578238237,0 -54.6244927494962,-16.4492766558395,0 -54.6242862194021,-16.4493168889745,0 -54.6235955505807,-16.45149350159,0 -54.62295852593969,-16.4516960083705,0 -54.6211617811761,-16.4471282064184,0 -54.62133914224751,-16.4470665156113,0 -54.6199343352764,-16.4431022106878,0 -54.6199370174853,-16.4431022106879,0 -54.6199976817777,-16.4430822307297,0",ATIVAS,Sem Restrição de Vendas
MT-143 (EROI),279,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,143 (EROI) Secundária,Suburbio,158,545,545,545,0,0.2899,5107602,188,0.840425532,"-54.6209030160277,-16.4356164628212,0 -54.62408210426301,-16.434575430447,0 -54.624645368156,-16.436007730061,0 -54.624377147255,-16.4360975840634,0 -54.62446247502939,-16.4362978277312,0 -54.6243549352118,-16.4363590575344,0 -54.62414547145159,-16.4368226186898,0 -54.62417983725469,-16.4369464194007,0 -54.6246717711519,-16.4368393405883,0 -54.62528708666381,-16.4384327822912,0 -54.6259070122226,-16.44003624037,0 -54.62615679293731,-16.440776027146,0 -54.62561632782099,-16.4409765222697,0 -54.6254246864849,-16.4405358568738,0 -54.6250403917395,-16.4406681336494,0 -54.6246726058499,-16.440794060865,0 -54.624901293988,-16.4415150055496,0 -54.6236180821053,-16.4418871322324,0 -54.623348520099,-16.4411656180074,0 -54.6232640305148,-16.4409845688989,0 -54.6238581398121,-16.4407606044462,0 -54.6232130685441,-16.4388414839063,0 -54.6231460133206,-16.4388659590648,0 -54.6227926322838,-16.4389975549452,0 -54.6227436819701,-16.4388649532377,0 -54.62238828927929,-16.4389890054072,0 -54.6221227505864,-16.4383164414967,0 -54.62263505250839,-16.438095829806,0 -54.6224526622952,-16.4376653352584,0 -54.6218907395073,-16.4378611365169,0 -54.6216922560394,-16.437241546243,0 -54.6224593678181,-16.4369679609231,0 -54.62227161318701,-16.43645834121,0 -54.621469632692,-16.43673192653,0 -54.6214012363621,-16.4365495363164,0 -54.6210310915177,-16.4366756001409,0 -54.62076756448331,-16.4359648147534,0 -54.6210029283258,-16.4358870306935,0 -54.6209023454905,-16.4356188097951,0 -54.6209023454792,-16.4356178039359,0 -54.6209030160277,-16.4356164628212,0",ATIVAS,Sem Restrição de Vendas
MT-161 (EROI),279,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,Sem Restrição de Vendas,161 (EROI) Secundária,Suburbio,103,355,355,355,0,0.2901,5107602,80,1.2875,"-54.6126648782035,-16.4493544398915,0 -54.6127209112262,-16.4493733201284,0 -54.6129997142804,-16.4488986215197,0 -54.61295806669909,-16.4488584145779,0 -54.6130217508277,-16.4487457683476,0 -54.6130639772843,-16.4487752791951,0 -54.6131189258983,-16.4486680039313,0 -54.6139337307056,-16.4490826147717,0 -54.61381990446061,-16.4492707884979,0 -54.61393004266829,-16.4493369217139,0 -54.6140133587858,-16.4493923260939,0 -54.6135875581048,-16.4501208811175,0 -54.61426515115719,-16.4504717475842,0 -54.6145538239025,-16.4506093784343,0 -54.6153802795552,-16.4511426351141,0 -54.6170650420927,-16.4520782231461,0 -54.6169000862383,-16.4523759483468,0 -54.6168424187444,-16.4524892716776,0 -54.61690469628489,-16.4525249785852,0 -54.6168389402545,-16.4526283274513,0 -54.61682615785221,-16.4526605977785,0 -54.6167763693474,-16.4527038483988,0 -54.6167089788459,-16.4528533815514,0 -54.61670596136079,-16.4529693870913,0 -54.6165594456933,-16.4532409607541,0 -54.6157500891231,-16.452802084304,0 -54.6149246392987,-16.4523310213458,0 -54.6143251655839,-16.4533361791741,0 -54.6138839422016,-16.4531115441697,0 -54.61360096915,-16.452957987703,0 -54.61132612062929,-16.4518032967221,0 -54.6116436271216,-16.4512762426506,0 -54.6117080001381,-16.4511676131864,0 -54.6119302882102,-16.4507605879682,0 -54.6118402665701,-16.4507113023774,0 -54.61194985995411,-16.4505172613189,0 -54.6120180676911,-16.4505577040017,0 -54.61217555317431,-16.4502862351127,0 -54.6123048754629,-16.4500724337176,0 -54.6122542068582,-16.4500453601703,0 -54.6123173854534,-16.4499419693947,0 -54.6123690913186,-16.4499640347548,0 -54.612651467159,-16.4494858681336,0 -54.6126065401577,-16.449447646655,0 -54.6126648782035,-16.4493544398915,0",ATIVAS,Sem Restrição de Vendas
