name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
PA-3 (ANN);319;PA;ANANINDEUA;AIU;ANN;PRATA;Sem Restrição de Vendas;Com Restrição de Vendas;3 (ANN) Secundária;Suburbio;84;451;12;12;12;0,1863;1500800;113;0,743362831858407;-48.38855896155,-1.3747087866016,0 -48.39026082315799,-1.3757280260304,0 -48.392020352267,-1.3768438249802,0 -48.392835743808,-1.3773051649308,0 -48.3962367848382,-1.37922562658545,0 -48.39590955533951,-1.37979425489662,0 -48.39568424978231,-1.37966014444588,0 -48.39547771968811,-1.37954346835372,0 -48.3941285685537,-1.37879379093405,0 -48.390765078449,-1.3767150789475,0 -48.39027155199,-1.3763073831773,0 -48.38988531389201,-1.37896813452,0 -48.390400298023,-1.379311457274,0 -48.390550501727,-1.3787964731431,0 -48.39136589326801,-1.3787964731431,0 -48.391065485858,-1.3816932588792,0 -48.390550501727,-1.3817790895676,0 -48.3901133016612,-1.38223774730918,0 -48.3899728209689,-1.38226121663747,0 -48.3896182664673,-1.38227295130161,0 -48.38937368253521,-1.38225249945758,0 -48.3892169409483,-1.38218376785128,0 -48.3890446928394,-1.3821440376301,0 -48.3889572276804,-1.38213624246007,0 -48.3889609576279,-1.38223573565065,0 -48.3889080678202,-1.38256950303479,0 -48.3889406315146,-1.3827256578908,0 -48.3887986630299,-1.3832167955071,0 -48.3885989327549,-1.38318877899573,0 -48.3885865511123,-1.38302754784953,0 -48.3886653645763,-1.3826624688182,0 -48.38877100013039,-1.38212304620091,0 -48.3886298724551,-1.3821039721325,0 -48.3884790820183,-1.38210916891231,0 -48.3883551136716,-1.3820714503479,0 -48.389224149392,-1.3765756040763,0 -48.389256335898,-1.3759211450764,0 -48.388762809439,-1.3758353143879,0 -48.388827182456,-1.3752237707325,0 -48.387614823977,-1.3747946172901,0 -48.387014009158,-1.3745371252247,0 -48.38617715994501,-1.373871937389,0 -48.382625915209,-1.3717798143573,0 -48.382969237963,-1.3713184744068,0 -48.38855896155,-1.3747087866016,0;ATIVAS;Bloqueado
PA-4 (ANN);319;PA;ANANINDEUA;AIU;ANN;PRATA;Sem Restrição de Vendas;Com Restrição de Vendas;4 (ANN) Secundária;Suburbio;53;396;60;60;60;0,1338;1500800;99;0,535353535353535;-48.388401716956,-1.3821096718273,0 -48.388487547645,-1.3821217417678,0 -48.388539850721,-1.3821190595588,0 -48.38864713908101,-1.3821472227535,0 -48.388582766065,-1.3824690878353,0 -48.388549238453,-1.3827131688553,0 -48.388498276482,-1.3829679787117,0 -48.38844731451,-1.3832415640312,0 -48.388846963654,-1.3832710683304,0 -48.388951569805,-1.3831771910149,0 -48.389005213986,-1.3826729357201,0 -48.38907763362901,-1.3822652399498,0 -48.389139324432,-1.3821820914696,0 -48.38926807046499,-1.3822169601868,0 -48.389319032436,-1.3822384178589,0 -48.389348536736,-1.3822840154121,0 -48.389544337994,-1.3822947442482,0 -48.38957920671099,-1.3822893798302,0 -48.389702588326,-1.3822786509941,0 -48.389834016567,-1.3822706043671,0 -48.389898389584,-1.3822706043671,0 -48.38997617364501,-1.3823403418014,0 -48.389901071793,-1.3827641308258,0 -48.389860838657,-1.3829384744105,0 -48.389850109821,-1.3832925260004,0 -48.38980451226801,-1.3837002217707,0 -48.38980451226801,-1.3838584721018,0 -48.389707952743,-1.3843841850687,0 -48.389732092625,-1.3844995200564,0 -48.389606028801,-1.3846550881793,0 -48.38959261773301,-1.3847221434048,0 -48.389978855831,-1.3848830759457,0 -48.389683812839,-1.3858057558468,0 -48.38951751588,-1.3860471546582,0 -48.38872894643,-1.3857413828305,0 -48.38802888987719,-1.38543024658476,0 -48.38813081381449,-1.38521835207262,0 -48.3882179856049,-1.38508960603993,0 -48.38838964697919,-1.38491258024496,0 -48.3883095159823,-1.38458602129742,0 -48.3882426283936,-1.38450052588508,0 -48.3881167322067,-1.38448476790713,0 -48.3878652751063,-1.38428494333556,0 -48.387929648121,-1.3841213285859,0 -48.388095945079,-1.3834454119141,0 -48.388208597858,-1.3833542168076,0 -48.388401716956,-1.3821096718273,0;ATIVAS;Bloqueado
PA-1 (ANN);318;PA;ANANINDEUA;AIU;ANN;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;1 (ANN) Secundária;Suburbio;140;662;573;573;0;0,2115;1500800;99;1,41414141414141;-48.3794059770898,-1.38043946662997,0 -48.378015251715,-1.38025707641691,0 -48.3780846538731,-1.37944034377186,0 -48.3781808781214,-1.37848950067607,0 -48.37839478429011,-1.37658781448448,0 -48.3784967082326,-1.37593201438034,0 -48.3786093610112,-1.37521184125985,0 -48.3787126260583,-1.37448798010196,0 -48.3787086027448,-1.37376411894406,0 -48.3788789230173,-1.3730992663845,0 -48.3789955991094,-1.37237004080858,0 -48.3791444617097,-1.3718349401101,0 -48.3793067353552,-1.36925465503777,0 -48.3827453273125,-1.3712877694711,0 -48.381457866987,-1.3738895122154,0 -48.382251800855,-1.3742972079857,0 -48.381779732069,-1.3751233283622,0 -48.38490182336201,-1.3769579593284,0 -48.384488763174,-1.37778407970506,0 -48.383426608404,-1.37708134094315,0 -48.3818950670564,-1.37609160581665,0 -48.37987134035469,-1.37500665227012,0 -48.3794059770898,-1.38043946662997,0;ATIVAS;Sem Restrição de Vendas
PA-2 (ANN);318;PA;ANANINDEUA;AIU;ANN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;2 (ANN) Secundária;Suburbio;204;588;588;588;0;0,3469;1500800;147;1,38775510204082;-48.38363911958281,-1.36672385036323,0 -48.3836686238812,-1.3669116049942,0 -48.3842238411474,-1.36695586144299,0 -48.38439818473361,-1.36627592145776,0 -48.3845282718711,-1.36594600974892,0 -48.3848353848036,-1.36594064533088,0 -48.384703956562,-1.3670698553252,0 -48.384650312382,-1.3676787167716,0 -48.38448937984199,-1.368022039524,0 -48.384459875543,-1.3684082776221,0 -48.384387455899,-1.3686872273597,0 -48.384500108678,-1.3687194138678,0 -48.384443782288,-1.3688454776915,0 -48.384333811719,-1.3688454776915,0 -48.384312354047,-1.3690278679046,0 -48.38422652336,-1.3693577796125,0 -48.38432040067601,-1.3693738728665,0 -48.38432040067601,-1.3694918900632,0 -48.38422652336,-1.3695053011083,0 -48.384162150344,-1.3699290901326,0 -48.38406290861,-1.3703421503204,0 -48.383877836188,-1.3703421503204,0 -48.3837222680655,-1.3703180104393,0 -48.3839489147279,-1.37084372340533,0 -48.3844784833704,-1.37178417294106,0 -48.3842731267427,-1.37195214628051,0 -48.38330451401241,-1.3713868707304,0 -48.3828924596528,-1.3711823522928,0 -48.3812331781013,-1.37012757359748,0 -48.3814558014494,-1.36984728275543,0 -48.3825997635941,-1.37042865155942,0 -48.382863961182,-1.3692451268316,0 -48.38287200780899,-1.369151249516,0 -48.382981978378,-1.3686630874736,0 -48.383073173485,-1.3682580739124,0 -48.383062444649,-1.368008628474,0 -48.38313486429101,-1.3676545768832,0 -48.38323410602499,-1.3675231486414,0 -48.38333871217699,-1.366908922777,0 -48.383215330562,-1.3668767362688,0 -48.383226059398,-1.3667935877894,0 -48.383260928114,-1.3667560368624,0 -48.383365534266,-1.3667640834895,0 -48.38337089868361,-1.36669434605506,0 -48.38363911958281,-1.36672385036323,0;ATIVAS;Sem Restrição de Vendas
PA-22 (ANN);318;PA;ANANINDEUA;AIU;ANN;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;22 (ANN) Secundária;Suburbio;168;536;360;360;0;0,3134;1500800;121;1,38842975206612;-48.3968744800415,-1.37964407214413,0 -48.39666392663369,-1.3801603973795,0 -48.3966035769308,-1.38103077420483,0 -48.3962897584758,-1.38306657084715,0 -48.3954797313533,-1.38299146899472,0 -48.39568626144739,-1.3812272460152,0 -48.3957908675991,-1.38052517780557,0 -48.3958391473614,-1.38031898298756,0 -48.3959357068859,-1.37982310959594,0 -48.3962468431317,-1.3792605162551,0 -48.3968744800415,-1.37964407214413,0;ATIVAS;Sem Restrição de Vendas
PA-5 (ANN);318;PA;ANANINDEUA;AIU;ANN;PRATA;Sem Restrição de Vendas;Com Restrição de Vendas;5 (ANN) Secundária;Suburbio;122;396;67;67;67;0,3081;1500800;59;2,06779661016949;-48.382833450955,-1.3861517608096,0 -48.383005112332,-1.3846175372531,0 -48.38268324725,-1.3844780623843,0 -48.382940739316,-1.3835446536471,0 -48.38333770625,-1.3836733996798,0 -48.3851079642,-1.3838665187289,0 -48.385397642773,-1.384059637778,0 -48.38597699992,-1.3841776549746,0 -48.38633105151,-1.3840489089419,0 -48.387779444378,-1.3842849433352,0 -48.38776871554199,-1.3844458758761,0 -48.388042300862,-1.3844780623844,0 -48.38823273770199,-1.3845209777286,0 -48.388240784329,-1.3848160207202,0 -48.388350754899,-1.3849125802448,0 -48.388256877583,-1.3850305974414,0 -48.388197868985,-1.3850708305766,0 -48.388093262834,-1.3852766901177,0 -48.38800944380199,-1.3853819668215,0 -48.387965857905,-1.3854101300162,0 -48.387926295319,-1.3855878263642,0 -48.387861922302,-1.3859391957452,0 -48.387837782421,-1.3861886411835,0 -48.387872651137,-1.3862744718715,0 -48.3879209308995,-1.38665802776061,0 -48.38814087203891,-1.38719178735456,0 -48.3887001126185,-1.38742245732986,0 -48.3884225039855,-1.38822175561631,0 -48.38822301469,-1.38828478752816,0 -48.3881898223534,-1.38863749801362,0 -48.38797859839351,-1.38909615575518,0 -48.38725775472071,-1.38885207473483,0 -48.3871655537858,-1.38867639004436,0 -48.3861614017859,-1.38853289186207,0 -48.3851099758521,-1.38833977281297,0 -48.38390834620601,-1.38816811143609,0 -48.3843294530213,-1.38714350759238,0 -48.3832485227881,-1.38694502412525,0 -48.3827102369694,-1.38686740770201,0 -48.38240798554411,-1.38665031640999,0 -48.382833450955,-1.3861517608096,0;ATIVAS;Bloqueado
PA-6 (ANN);318;PA;ANANINDEUA;AIU;ANN;BRONZE;Sem Restrição de Vendas;Com Restrição de Vendas;6 (ANN) Secundária;Suburbio;6;394;17;17;17;0,0152;1500800;99;6,06060606060606E-02;-48.389624133629,-1.3861564546763,0 -48.389924541038,-1.3857487589061,0 -48.390364423317,-1.386102810496,0 -48.39022494844801,-1.386639252299,0 -48.389806523842,-1.3876799493968,0 -48.390482440513,-1.3878837972819,0 -48.390643373054,-1.3870898634135,0 -48.390933051628,-1.3872507959544,0 -48.390815034431,-1.3879803568065,0 -48.390804305595,-1.3883022218882,0 -48.39060045771,-1.3886670023143,0 -48.390525355858,-1.38862408697,0 -48.390321507975,-1.3893536478223,0 -48.3915445952849,-1.38981498777291,0 -48.39213468126831,-1.39027632772348,0 -48.3916411548096,-1.39056600629709,0 -48.3911959081131,-1.39032997190378,0 -48.3909303694207,-1.39111317693613,0 -48.39203879229609,-1.3916469365301,0 -48.39184198520961,-1.3919352739992,0 -48.3904006331402,-1.39175154268168,0 -48.39024305336061,-1.39150209724329,0 -48.3896868302661,-1.39181725680254,0 -48.38894285254071,-1.39164425432109,0 -48.3882186561065,-1.39164961873906,0 -48.38781498364979,-1.39195002614873,0 -48.3874274044472,-1.39185883104223,0 -48.3876191823918,-1.39112122356313,0 -48.38775731615609,-1.39074839651007,0 -48.38751457624029,-1.3905914872827,0 -48.38763125233249,-1.39042921363731,0 -48.3885405211887,-1.39052309095283,0 -48.38874436907399,-1.3897398859205,0 -48.38891603045099,-1.3892785459699,0 -48.38812209658199,-1.3890425115766,0 -48.388315215631,-1.38857044279,0 -48.388529792353,-1.3881734758558,0 -48.388551250025,-1.3879588991346,0 -48.38863708071301,-1.3877228647413,0 -48.388661220593,-1.3875941187081,0 -48.38874973349,-1.387387588614,0 -48.389471247715,-1.3876182585893,0 -48.38986821465,-1.3863307982621,0 -48.389624133629,-1.3861564546763,0;ATIVAS;Bloqueado
PA-7 (ANN);318;PA;ANANINDEUA;AIU;ANN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;7 (ANN) Secundária;Suburbio;281;575;575;575;0;0,4887;1500800;130;2,16153846153846;-48.38651478296,-1.3565307855563,0 -48.385903239303,-1.3601759076075,0 -48.385557234342,-1.361463367935,0 -48.384272456224,-1.3612836599309,0 -48.383886218126,-1.3613051176031,0 -48.38392913347001,-1.360929608341,0 -48.383821845109,-1.3603502511935,0 -48.383961319978,-1.3590198755221,0 -48.384605050141,-1.3565522432284,0 -48.385302424485,-1.3561767339663,0 -48.38651478296,-1.3565307855563,0;ATIVAS;Sem Restrição de Vendas
PA-8 (ANN);318;PA;ANANINDEUA;AIU;ANN;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;8 (ANN) Secundária;Suburbio;137;410;391;391;0;0,3341;1500800;103;1,33009708737864;-48.390549160579,-1.362477913492,0 -48.39063499126701,-1.3612548261812,0 -48.390012718776,-1.3611475378206,0 -48.39009854946399,-1.360493078821,0 -48.390313126185,-1.3604394346407,0 -48.390066362956,-1.3600961118868,0 -48.389744497874,-1.3600317388704,0 -48.38975522671,-1.3597527891329,0 -48.39007709179199,-1.3597527891329,0 -48.389969803431,-1.3593021780184,0 -48.390377499202,-1.3592163473299,0 -48.390570618251,-1.3598493486574,0 -48.390742279628,-1.3602355867556,0 -48.39134309444701,-1.3605038076571,0 -48.39184734974201,-1.3607076555422,0 -48.39184734974201,-1.3610617071322,0 -48.3919962123417,-1.36126153170379,0 -48.3919895068198,-1.36142112314015,0 -48.3919197693853,-1.36146940290238,0 -48.3918527141601,-1.36151097714212,0 -48.3917172626049,-1.36151701211241,0 -48.39173067365009,-1.36170946060922,0 -48.39187953625,-1.3623277097872,0 -48.39171860371,-1.3631001859838,0 -48.391182161907,-1.3631860166723,0 -48.390989042858,-1.3634435087377,0 -48.390935398677,-1.3645378500158,0 -48.391139246563,-1.3645593076879,0 -48.391042687038,-1.3661364465887,0 -48.390828110318,-1.3670054823097,0 -48.390956856351,-1.3676599413093,0 -48.391042687039,-1.3685504347023,0 -48.391117788891,-1.3692692667183,0 -48.391031958205,-1.3700739294233,0 -48.390999771697,-1.3712541013898,0 -48.390871025664,-1.3729385286512,0 -48.390742279631,-1.3738182932082,0 -48.390688635451,-1.3749770075026,0 -48.390677906615,-1.3755241781417,0 -48.3924092725382,-1.37646429240092,0 -48.3924186602719,-1.37629665433726,0 -48.3928773180144,-1.37634694575617,0 -48.3928491548203,-1.3768837228352,0 -48.3940802887584,-1.37761143966852,0 -48.39460130785969,-1.37786331585881,0 -48.3945855498818,-1.37824875767615,0 -48.391729164919,-1.37661489424567,0 -48.3904177323488,-1.37576825916106,0 -48.3892724291,-1.3750842958622,0 -48.388896919838,-1.3748053461247,0 -48.387673832529,-1.3740972429448,0 -48.38595721876,-1.3730243593389,0 -48.385195471399,-1.3725737482244,0 -48.38436935102269,-1.37206949292953,0 -48.3845839277437,-1.3718066364461,0 -48.3840152994325,-1.37076057493033,0 -48.3845249191488,-1.36929608880835,0 -48.386815525651,-1.3697627931771,0 -48.3902058378528,-1.3700417429159,0 -48.390398956903,-1.3683251291465,0 -48.39046332992001,-1.3674775510978,0 -48.390602804789,-1.3652781397055,0 -48.39029166854301,-1.3652459531974,0 -48.390388228067,-1.3647309690665,0 -48.390559889445,-1.3632825761989,0 -48.390549160579,-1.362477913492,0;ATIVAS;Sem Restrição de Vendas
PA-9 (ANN);318;PA;ANANINDEUA;AIU;ANN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;9 (ANN) Secundária;Suburbio;226;480;480;479;0;0,4708;1500800;120;1,88333333333333;-48.384645283261,-1.3613587617825,0 -48.385471403638,-1.3614633679341,0 -48.38546872142901,-1.3617128133724,0 -48.38539898399399,-1.3620641827534,0 -48.385361433068,-1.3623028993549,0 -48.38533192876899,-1.3625711202564,0 -48.38524609808001,-1.3629707693996,0 -48.38520586494501,-1.3633006811075,0 -48.3851052821025,-1.36405169963186,0 -48.3849725127566,-1.36508032678909,0 -48.38484644892971,-1.36580452322349,0 -48.3847968280613,-1.36591449379328,0 -48.3845537528689,-1.36593461036094,0 -48.3843321353487,-1.36596545576466,0 -48.3842977695455,-1.36610627173796,0 -48.38422585281609,-1.36678621172327,0 -48.3841276169105,-1.36694446205519,0 -48.38386073711361,-1.366912275547,0 -48.3836857229754,-1.36690825223348,0 -48.3836505189821,-1.36669300496003,0 -48.3834049292192,-1.36668194084784,0 -48.3834457490876,-1.36633040382883,0 -48.38351339104619,-1.36598423122784,0 -48.3832914382488,-1.36549741029184,0 -48.3833269775168,-1.36446341871679,0 -48.383385986116,-1.36418983339723,0 -48.3834235370421,-1.36384114622531,0 -48.3836139738827,-1.3627709448278,0 -48.3844132721687,-1.36284068226216,0 -48.3844776451854,-1.36252418159841,0 -48.3842737973005,-1.36239007114768,0 -48.3843757212429,-1.36230424045915,0 -48.384531289366,-1.361660510295,0 -48.384645283261,-1.3613587617825,0;ATIVAS;Sem Restrição de Vendas
