name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
PB-1 (SLZ);0;PB;SANTA LUZIA;SLZ;SLZ;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;1 (SLZ) Secundária;MEDIO;1;220;219;219;0;4,54545454545454E-03;;55;1,81818181818182E-02;-36.9210169101327,-6.87193542654792,0 -36.9215406002893,-6.872134476524651,0 -36.9211709374416,-6.873452579243611,0 -36.9207883916462,-6.8736703361592,0 -36.9205883133525,-6.87397414468791,0 -36.9202562598091,-6.8741255392437,0 -36.9197226574247,-6.87417036698378,0 -36.9194696391653,-6.874368327606821,0 -36.9181109530825,-6.873389788906161,0 -36.9179753952429,-6.87317355951479,0 -36.9191786163954,-6.87313058605326,0 -36.9191643899186,-6.87246835778503,0 -36.9196928481648,-6.87237137419639,0 -36.9199249498493,-6.87235739831662,0 -36.9201051074201,-6.87199408825205,0 -36.9206860304552,-6.87218526027283,0 -36.9205561681014,-6.87261246668692,0 -36.9207513162589,-6.872685497827111,0 -36.9210169101327,-6.87193542654792,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-12 (EPS);0;PB;JOAO PESSOA;EPS;EPS;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;12 (EPS) Secundária;MEDIO;37;463;426;426;0;7,99136069114471E-02;;115,75;0,319654427645788;-34.855255993431,-7.0990197576263,0 -34.854743691517,-7.0990599907615,0 -34.8546793185,-7.0998163737036,0 -34.854617627693,-7.1004869259573,0 -34.854370864464,-7.1009133971905,0 -34.854440601899,-7.1014793432926,0 -34.854338677956,-7.1014873899199,0 -34.854279669358,-7.101390830395399,0 -34.854236754013,-7.1008973039366,0 -34.854252847267,-7.1003179467894,0 -34.854301127025,-7.1001945651749,0 -34.854199203082,-7.1001945651749,0 -34.854161652156,-7.1001301921585,0 -34.854188474246,-7.100146285412601,0 -34.854274304935,-7.0999638951996,0 -34.854252847263,-7.0999424375275,0 -34.8542045675,-7.0997439540603,0 -34.854247482845,-7.0996634877899,0 -34.854220660754,-7.0995991147735,0 -34.854172380992,-7.0995293773392,0 -34.854220660754,-7.099448911068701,0 -34.854268940517,-7.0993738092163,0 -34.854193838664,-7.099304071781899,0 -34.85417774541,-7.099266520855701,0 -34.854081185886,-7.0992504276016,0 -34.853641303607,-7.099255792019601,0 -34.853517921993,-7.0994381822326,0 -34.853475006648,-7.0994918264129,0 -34.853432091304,-7.099674216626,0 -34.853421362468,-7.0998190559128,0 -34.853308709689,-7.099802962658701,0 -34.853276523181,-7.0999746240356,0 -34.853185328075,-7.099990717289699,0 -34.853153141567,-7.0998405135849,0 -34.852782996723,-7.099797598240599,0 -34.852745445796,-7.099701038716101,0 -34.852600606508,-7.0992182410934,0 -34.852589877671,-7.0990412152985,0 -34.852686437196,-7.0989017404297,0 -34.85264888627,-7.0987193502167,0 -34.854274304933,-7.098241917012,0 -34.854531796998,-7.097802034733599,0 -34.85384515149,-7.098241917012,0 -34.851785214966,-7.098799816487099,0 -34.850218804902,-7.098542324421701,0 -34.850229533738,-7.098327747700499,0 -34.851044925278,-7.098445764897099,0 -34.852396758622,-7.098456493733199,0 -34.852546962327,-7.098177543995701,0 -34.852568419999,-7.097952238438399,0 -34.853641303605,-7.0978127635696,0 -34.853888066834,-7.097855678913901,0 -34.855036052292,-7.0974265254715,0 -34.854993136948,-7.0976196445206,0 -34.854810746735,-7.0978664077499,0 -34.856666835374,-7.09715830457,0 -34.856763394897,-7.0979683316925,0 -34.856521996086,-7.099153868077,0 -34.856221588676,-7.099105588314801,0 -34.855255993431,-7.0990197576263,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-90 (VPT);0;PB;JOAO PESSOA;VPT;VPT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;90 (VPT) Secundária;BAIXO;3;90;87;87;0;3,33333333333333E-02;;22,5;0,133333333333333;-34.9300880730348,-7.17371642589723,0 -34.9291640520293,-7.174274325372361,0 -34.928064346332,-7.171688675882,0 -34.929029941578,-7.1711844205872,0 -34.9300880730348,-7.17371642589723,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-66 (VPT);0;PB;JOAO PESSOA;VPT;VPT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;66 (VPT) Secundária;MEDIO;29;615;586;586;0;4,71544715447154E-02;;153,75;0,188617886178862;-34.884409155145,-7.1281821077052,0 -34.88443865944,-7.1280158107461,0 -34.884395744096,-7.127986306446901,0 -34.884422566186,-7.1279058401765,0 -34.884519125711,-7.1279112045945,0 -34.8846559183684,-7.12765371252906,0 -34.8848195331179,-7.12706094433677,0 -34.8848517196258,-7.12672298600093,0 -34.884878541717,-7.126240188378301,0 -34.8847256558037,-7.12581572880174,0 -34.883497204075,-7.1258754079522,0 -34.882958080063,-7.1258995478334,0 -34.8830211119745,-7.12537517597089,0 -34.882877802385,-7.1253655158275,0 -34.8829845144898,-7.12508844154079,0 -34.8830620104233,-7.12465217919678,0 -34.8831289215847,-7.12426640996135,0 -34.8832924643027,-7.12427737322876,0 -34.8833296619448,-7.12408297168302,0 -34.8835640019494,-7.12409241802241,0 -34.8835176978279,-7.12438087270719,0 -34.8833008160834,-7.125575251999641,0 -34.8833806956207,-7.125639876473129,0 -34.884025934527,-7.125594781834151,0 -34.885529249816,-7.125580008729851,0 -34.8855999302145,-7.12549851567626,0 -34.8857412910115,-7.125460252288289,0 -34.8861903095644,-7.12550442491801,0 -34.8866323711377,-7.125458659726691,0 -34.8867788868053,-7.12553879072103,0 -34.886689032803,-7.1256822889033,0 -34.88680705,-7.1258271281901,0 -34.886882151852,-7.125811034936,0 -34.886919702778,-7.1259934251491,0 -34.886876787434,-7.1260524337474,0 -34.886694397225,-7.1268007700626,0 -34.8868110733166,-7.12684972037709,0 -34.8868365543023,-7.12689330627359,0 -34.8868177788393,-7.12692281057277,0 -34.8867688285249,-7.126999253529721,0 -34.886809732212,-7.1270314400379,0 -34.886876787438,-7.1269992535297,0 -34.886957253709,-7.127060944337,0 -34.886571015611,-7.1277422254268,0 -34.886361803307,-7.1284449641887,0 -34.8863329695601,-7.12844630529319,0 -34.8863202290673,-7.12880706240567,0 -34.8864142740209,-7.1288266760591,0 -34.8865110011835,-7.128832878667449,0 -34.8864979254146,-7.12893916119967,0 -34.8865790622373,-7.12894251396095,0 -34.8865666779754,-7.1290738793384,0 -34.8866843808507,-7.12906308763807,0 -34.8867078920891,-7.12884838518834,0 -34.8867254102667,-7.12852492754495,0 -34.8867275057425,-7.12823700917101,0 -34.8870648773452,-7.128218652803071,0 -34.8869485365291,-7.12932942261137,0 -34.8869518892904,-7.129997963208339,0 -34.8866306947609,-7.12995974172988,0 -34.8861914830347,-7.129693532485141,0 -34.8860640781065,-7.129295224446419,0 -34.885997022881,-7.128638083237701,0 -34.885954107537,-7.1285254304591,0 -34.885911192193,-7.128546888131201,0 -34.885707344308,-7.128579074639401,0 -34.885385479226,-7.1285254304591,0 -34.88529428412,-7.1287292783443,0 -34.884988512292,-7.1289116685573,0 -34.884752477899,-7.1288472955409,0 -34.884870495095,-7.1283484046641,0 -34.884409155145,-7.1281821077052,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-4 (BOD);0;PB;CAMPINA GRANDE;BOD;BOD;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;4 (BOD) Secundária;ALTO;22;344;322;322;0;0,063953488372093;;86;0,255813953488372;-35.9099721162792,-7.21713066096456,0 -35.9123110025391,-7.216819524718711,0 -35.9126650541285,-7.21767246718547,0 -35.9133195131285,-7.2183966636195,0 -35.9134026616079,-7.21858441825053,0 -35.9133168309193,-7.21911281342647,0 -35.9130003302567,-7.219529896928329,0 -35.9123834221842,-7.22021520133163,0 -35.9117852895736,-7.22075164313461,0 -35.91119520359,-7.2203654050365,0 -35.911018177795,-7.2205746173397,0 -35.909596607018,-7.219378352119,0 -35.909880921173,-7.219174504234,0 -35.909816548157,-7.2187989949719,0 -35.909923836517,-7.2187668084637,0 -35.909843370247,-7.2183752059475,0 -35.909601971436,-7.2183859347836,0 -35.909553691673,-7.2181499003903,0 -35.910009667206,-7.2180908917919,0 -35.909827276993,-7.2176831960217,0 -35.9099721162792,-7.21713066096456,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-27 (EPS);0;PB;JOAO PESSOA;EPS;EPS;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;27 (EPS) Secundária;ALTO;30;542;512;512;0;5,53505535055351E-02;;135,5;0,22140221402214;-34.855850102733,-7.1089739381922,0 -34.857684733699,-7.1094084560526,0 -34.857641818355,-7.1095532953394,0 -34.857743742298,-7.1096766769541,0 -34.857663276027,-7.1099448978556,0 -34.857454063724,-7.11001463529,0 -34.857459428142,-7.110213118757099,0 -34.857582809757,-7.1102345764292,0 -34.857582809757,-7.1103365003717,0 -34.85741114838,-7.110374051297999,0 -34.857432606052,-7.110524255002799,0 -34.857652547191,-7.1105027973307,0 -34.857749106716,-7.1105778991831,0 -34.858022692035,-7.110615450109299,0 -34.857893946003,-7.1111626207484,0 -34.858307006191,-7.111125069822201,0 -34.858516218494,-7.1112323581828,0 -34.858467938732,-7.111495214666199,0 -34.858644964527,-7.111618596280901,0 -34.858317735027,-7.1117044269694,0 -34.85588765366,-7.111747342313599,0 -34.855249287914,-7.111586409772701,0 -34.853146436047,-7.1116936981333,0 -34.851649763417,-7.1116025030268,0 -34.851161601376,-7.1115917741907,0 -34.849906327557,-7.111645418370999,0 -34.849949242902,-7.110470610822401,0 -34.849906327558,-7.110197025502901,0 -34.850866558385,-7.1102989494455,0 -34.850957753492,-7.1098054229867,0 -34.85169804318,-7.109912711347299,0 -34.851590754819,-7.110309678281501,0 -34.853135707212,-7.1103311359536,0 -34.853296639753,-7.110207754339,0 -34.853436114622,-7.1103311359536,0 -34.855469229055,-7.1103365003717,0 -34.855850102733,-7.1089739381922,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-4 (VPT);0;PB;JOAO PESSOA;VPT;VPT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;4 (VPT) Secundária;MEDIO;27;429;402;402;0;0,062937062937063;;107,25;0,251748251748252;-34.875779291472,-7.129329123114641,0 -34.8758530522194,-7.12944043478875,0 -34.8763210976921,-7.12934655747321,0 -34.87632914432,-7.129653670405499,0 -34.876522263369,-7.1296483059874,0 -34.876562496504,-7.1293371697417,0 -34.876929959139,-7.1293318053237,0 -34.877538820585,-7.1292969366065,0 -34.877560278257,-7.1294927378646,0 -34.877557596048,-7.1295973440161,0 -34.877707799753,-7.1295919795981,0 -34.877871414504,-7.1295919795981,0 -34.877879461131,-7.1296617170325,0 -34.877597829185,-7.1297234078398,0 -34.877600511394,-7.130377866839499,0 -34.877487858615,-7.1303564091674,0 -34.877200862251,-7.130391277884501,0 -34.876541038833,-7.1304154177657,0 -34.876023372495,-7.1304073711386,0 -34.875639816606,-7.1303966423025,0 -34.875470837438,-7.130294718359899,0 -34.87538500675,-7.130294718359899,0 -34.875304540479,-7.130479790781899,0 -34.874711772287,-7.130479790781899,0 -34.874545475332,-7.130377866839499,0 -34.8731641376895,-7.130466379736999,0 -34.8717345202847,-7.13049051961814,0 -34.8713737631718,-7.13197914562139,0 -34.8712108189743,-7.131648563360319,0 -34.8712145070118,-7.13188694468652,0 -34.8708652750162,-7.131998214451131,0 -34.8707121166905,-7.13148522102227,0 -34.8708168878608,-7.13127591180336,0 -34.8707834427574,-7.13114711731276,0 -34.870093485743,-7.13138580968615,0 -34.8699721570398,-7.13103709828528,0 -34.8696533042045,-7.1312407523389,0 -34.8697076084596,-7.13143348372495,0 -34.8692551114169,-7.13159839766985,0 -34.868765063448,-7.1317364895246,0 -34.8683313418684,-7.13133277515835,0 -34.868068249644,-7.1302929110122,0 -34.8680680139029,-7.13003088748036,0 -34.8676386247195,-7.12926594975824,0 -34.8674506343474,-7.12926544160536,0 -34.8673424030228,-7.12908101878083,0 -34.8679669386281,-7.12873358889437,0 -34.8680994984267,-7.128750310791191,0 -34.869420276819,-7.12797309881961,0 -34.8698298166079,-7.12813118151342,0 -34.8708983416242,-7.1275917222253,0 -34.8710827434939,-7.129227199172119,0 -34.8716567362232,-7.129248656844229,0 -34.872123440592,-7.1292271991721,0 -34.872528454154,-7.1292567034713,0 -34.872533818572,-7.1292969366065,0 -34.872603556006,-7.129288889979499,0 -34.872954925387,-7.12919769487296,0 -34.873258507577,-7.129183156300929,0 -34.8733701097971,-7.12920715379701,0 -34.8734223416811,-7.129161063672839,0 -34.874000986903,-7.1292567034713,0 -34.874395271628,-7.1293023010245,0 -34.875779291472,-7.129329123114641,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-56 (EPS);0;PB;JOAO PESSOA;EPS;EPS;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;56 (EPS) Secundária;MEDIO;6;200;194;194;0;0,03;;50;0,12;-34.859352233959,-7.132500325967599,0 -34.859175208164,-7.133117234041001,0 -34.857276204182,-7.1315776460665,0 -34.8564862936295,-7.13090977602238,0 -34.8566767304696,-7.13072470360037,0 -34.8568363219059,-7.13068715267419,0 -34.857280227498,-7.13105562113761,0 -34.8577046870748,-7.13139726751087,0 -34.8581874846976,-7.13073643826482,0 -34.857651713447,-7.13025531702277,0 -34.8571742802421,-7.12954989605189,0 -34.8580379515479,-7.129171704581601,0 -34.8582511871643,-7.129511004021991,0 -34.8584885626618,-7.12989858322465,0 -34.8589364915682,-7.130308961203929,0 -34.8580594092222,-7.131524001887909,0 -34.859352233959,-7.132500325967599,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-53 (EPS);0;PB;JOAO PESSOA;EPS;EPS;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;53 (EPS) Secundária;ALTO;23;741;718;718;0;3,10391363022942E-02;;185,25;0,124156545209177;-34.863592299043,-7.119841075657801,0 -34.866982611237,-7.119851804493901,0 -34.867197187959,-7.1198571689119,0 -34.867427857934,-7.1201092965593,0 -34.867647799073,-7.120404339551,0 -34.867705466567,-7.1204834647169,0 -34.867625000296,-7.120531744479199,0 -34.867419811307,-7.120629645108201,0 -34.866770716725,-7.1205330855837,0 -34.866647335111,-7.1205947763911,0 -34.866333516656,-7.120747662305001,0 -34.86632278782,-7.1208173997393,0 -34.866199406206,-7.1208120353213,0 -34.865019234239,-7.1213538415423,0 -34.864823432981,-7.1214557654849,0 -34.865150662481,-7.1220458514682,0 -34.865139933644,-7.1221933729639,0 -34.864997776567,-7.122238970517201,0 -34.864887805997,-7.122214830636,0 -34.864740284501,-7.1219653851976,0 -34.864375504075,-7.1221263177385,0 -34.864544483242,-7.122383809804,0 -34.863769324837,-7.1227405436029,0 -34.863074632701,-7.1230114467135,0 -34.862980755386,-7.1231267817011,0 -34.862900289115,-7.123142874955201,0 -34.86272326332,-7.123156286000301,0 -34.862412127074,-7.123341358422299,0 -34.862025888976,-7.1225125558367,0 -34.861465307294,-7.1212760574808,0 -34.861272188245,-7.1211982734195,0 -34.861253412782,-7.121104396104,0 -34.861197086393,-7.1210051543704,0 -34.861213179647,-7.120905912636901,0 -34.861172946512,-7.1203185088626,0 -34.859252484857,-7.120339966534699,0 -34.859220298349,-7.1197498805514,0 -34.863592299043,-7.119841075657801,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PB-64 (EPS);0;PB;JOAO PESSOA;EPS;EPS;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;64 (EPS) Secundária;ALTO;0;66;66;66;0;0;;16,5;0;-34.8353861890495,-7.118000074433201,0 -34.8351246736711,-7.118002756642201,0 -34.8349798343843,-7.116986199425591,0 -34.8361533008277,-7.11738584856878,0 -34.8361077032745,-7.117942406939381,0 -34.8353861890495,-7.118000074433201,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
