name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
PE-43 (EBVG);0;PE;RECIFE;EBVG;EBVG;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;43 (EBVG) Secundária;BAIXO;50;465;415;415;0;0,10752688172043;;116,25;0,43010752688172;-34.8830121734835,-8.086755946171451,0 -34.8828244188521,-8.087013438236809,0 -34.8829826691841,-8.087166324150701,0 -34.8828539231515,-8.08734066773669,0 -34.8824918249351,-8.087944164765011,0 -34.8821739831667,-8.08778323222413,0 -34.8819392898777,-8.08764643956439,0 -34.8820546248648,-8.087413087380041,0 -34.8810394087529,-8.087013438236861,0 -34.8799920061328,-8.086611106884661,0 -34.8784872868753,-8.086093440544721,0 -34.8783075788713,-8.0856374650122,0 -34.8822799304224,-8.087069764626159,0 -34.8825065770843,-8.08652527619614,0 -34.8823831954696,-8.08648537833704,0 -34.8824730494717,-8.086210787189151,0 -34.882703719447,-8.0855274944426,0 -34.8830403366786,-8.084438517582569,0 -34.8831704238158,-8.08410994697824,0 -34.883326913948,-8.084041005824661,0 -34.883518482345,-8.083631025985779,0 -34.8834296629842,-8.083592284567381,0 -34.8834850123579,-8.08349185234165,0 -34.8835460902386,-8.08337681857865,0 -34.8836226484467,-8.083228558427621,0 -34.8837482722204,-8.08297495346979,0 -34.884262166704,-8.083208431382619,0 -34.883858075152,-8.08406753454819,0 -34.8837075361711,-8.08437246818557,0 -34.8835217931968,-8.084286302220971,0 -34.8833863416415,-8.08453239489808,0 -34.8835861662132,-8.084628954422611,0 -34.8832897821168,-8.08524318028701,0 -34.8838490226962,-8.08548994351637,0 -34.8835844898321,-8.08589428652537,0 -34.8835130760171,-8.086003586542731,0 -34.8831690827109,-8.08653332282319,0 -34.8830121734835,-8.086755946171451,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-137 (EBVT);0;PE;RECIFE;EBVT;EBVT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;137 (EBVT) Secundária;ALTO;0;78;78;78;0;0;;19,5;0;-34.895985968989,-8.052272505847,0 -34.895296641272,-8.051282770720499,0 -34.896675296706,-8.050325222103799,0 -34.896812089366,-8.0506765914848,0 -34.896873780173,-8.0511325670173,0 -34.89636684267,-8.0521169377263,0 -34.895985968989,-8.052272505847,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-214 (ECCA);0;PE;OLINDA;ECCA;ECCA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;214 (ECCA) Secundária;BAIXO;8;173;165;165;0;0,046242774566474;;43,25;0,184971098265896;-34.8491709749661,-7.95414190259593,0 -34.850135229107,-7.95336808529512,0 -34.8498120229204,-7.953084441691789,0 -34.8500869493441,-7.95285712447778,0 -34.8506321083266,-7.953435140520531,0 -34.8504262487848,-7.953555839926241,0 -34.850577793594,-7.9538267430367,0 -34.8509747605281,-7.95449729529045,0 -34.851157150741,-7.9545026597085,0 -34.85135026979,-7.954373913675699,0 -34.851736507888,-7.9543846425118,0 -34.853281460281,-7.9545241173806,0 -34.853635511871,-7.955092745691701,0 -34.853399477478,-7.955500441462,0 -34.853871546264,-7.9563051041665,0 -34.853667698379,-7.956401663691,0 -34.853388748642,-7.9558866795601,0 -34.853281460281,-7.9558974083962,0 -34.852444611068,-7.9547386941018,0 -34.852240763183,-7.9547601517739,0 -34.851833067413,-7.954813795954201,0 -34.851017675872,-7.9554575261178,0 -34.850395403381,-7.954931813150801,0 -34.850373945709,-7.954652863413301,0 -34.84947272348,-7.9550069150033,0 -34.848625145431,-7.9552107628884,0 -34.84841056871,-7.9551893052163,0 -34.8481745343171,-7.95493985977792,0 -34.8491709749661,-7.95414190259593,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-214 (ECCA);0;PE;PAULISTA;ECCA;ECCA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;214 (ECCA) Secundária;BAIXO;30;319;289;289;0;9,40438871473354E-02;;79,75;0,376175548589342;-34.8491709749661,-7.95414190259593,0 -34.850135229107,-7.95336808529512,0 -34.8498120229204,-7.953084441691789,0 -34.8500869493441,-7.95285712447778,0 -34.8506321083266,-7.953435140520531,0 -34.8504262487848,-7.953555839926241,0 -34.850577793594,-7.9538267430367,0 -34.8509747605281,-7.95449729529045,0 -34.851157150741,-7.9545026597085,0 -34.85135026979,-7.954373913675699,0 -34.851736507888,-7.9543846425118,0 -34.853281460281,-7.9545241173806,0 -34.853635511871,-7.955092745691701,0 -34.853399477478,-7.955500441462,0 -34.853871546264,-7.9563051041665,0 -34.853667698379,-7.956401663691,0 -34.853388748642,-7.9558866795601,0 -34.853281460281,-7.9558974083962,0 -34.852444611068,-7.9547386941018,0 -34.852240763183,-7.9547601517739,0 -34.851833067413,-7.954813795954201,0 -34.851017675872,-7.9554575261178,0 -34.850395403381,-7.954931813150801,0 -34.850373945709,-7.954652863413301,0 -34.84947272348,-7.9550069150033,0 -34.848625145431,-7.9552107628884,0 -34.84841056871,-7.9551893052163,0 -34.8481745343171,-7.95493985977792,0 -34.8491709749661,-7.95414190259593,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-15 (ECBO);0;PE;CABO DE SANTO AGOSTINHO;ECBO;ECBO;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;15 (ECBO) Secundária;MEDIO;10;226;216;216;0;4,42477876106195E-02;;56,5;0,176991150442478;-35.0306906540072,-8.28348851945738,0 -35.0303892407701,-8.28454095121919,0 -35.0303606165709,-8.284633906525309,0 -35.0303296454388,-8.284735243734611,0 -35.0302683737268,-8.28493188318291,0 -35.0301478419597,-8.28532046821374,0 -35.0304311502867,-8.28539741408483,0 -35.0306168932608,-8.285447286408679,0 -35.0307892251899,-8.28549246486677,0 -35.0307449268317,-8.28564459640933,0 -35.0307059928915,-8.285780299421679,0 -35.0306401949517,-8.286008119549891,0 -35.0306066254296,-8.286121526699811,0 -35.0305730559074,-8.286238957163251,0 -35.0305126223857,-8.28645571317927,0 -35.0301534578347,-8.286356136169591,0 -35.0299851073095,-8.286309365149879,0 -35.0298274856203,-8.28626393523469,0 -35.0297485700019,-8.28624105263903,0 -35.0296545669578,-8.286215152558221,0 -35.0294611964516,-8.286162011292109,0 -35.0294821512093,-8.28608841818229,0 -35.0295121584225,-8.285984650221049,0 -35.0294015173013,-8.285951122608299,0 -35.0294511381674,-8.28578348454505,0 -35.0294781278952,-8.28569145124831,0 -35.0294950593392,-8.28563361611652,0 -35.0295450154821,-8.28546161946344,0 -35.029594971625,-8.285280235078821,0 -35.0296680618206,-8.285013355281841,0 -35.029695554463,-8.284918136861821,0 -35.0297441695013,-8.28474077579077,0 -35.0297537248708,-8.28470037501752,0 -35.0297652918971,-8.284663997557789,0 -35.0297827262555,-8.28461102392987,0 -35.0298913557201,-8.284226126936479,0 -35.0300234545142,-8.28377417471747,0 -35.0301931042344,-8.283217616346869,0 -35.0306906540072,-8.28348851945738,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-243 (ECCA);0;PE;PAULISTA;ECCA;ECCA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;243 (ECCA) Secundária;BAIXO;3;142;139;139;0;2,11267605633803E-02;;35,5;8,45070422535211E-02;-34.85684499147,-7.9671765491345,0 -34.856861084724,-7.9670571908334,0 -34.857064932609,-7.967065237460401,0 -34.857036769414,-7.9671913012841,0 -34.8579111695542,-7.96728651970393,0 -34.8577515781159,-7.968253456053729,0 -34.8576087504859,-7.96876307576656,0 -34.8573774099584,-7.968725524840361,0 -34.8572634160754,-7.96918150037289,0 -34.8575973510977,-7.96931024640558,0 -34.8575343191859,-7.969526164231331,0 -34.8572299722818,-7.970798537132771,0 -34.8569302773339,-7.97083659097317,0 -34.8567539640007,-7.97060642391208,0 -34.856987483823,-7.96990569680694,0 -34.8571165651319,-7.969579808411639,0 -34.8565781116721,-7.969331704077791,0 -34.85662505033,-7.969007156787,0 -34.856650531315,-7.9688059911109,0 -34.856270998739,-7.9687134548999,0 -34.856350123905,-7.968454621730001,0 -34.856610298179,-7.9676124080993,0 -34.856637120269,-7.9672127589561,0 -34.85684499147,-7.9671765491345,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-243 (ECCA);0;PE;OLINDA;ECCA;ECCA;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;243 (ECCA) Secundária;BAIXO;0;2;2;2;0;0;;0,5;0;-34.85684499147,-7.9671765491345,0 -34.856861084724,-7.9670571908334,0 -34.857064932609,-7.967065237460401,0 -34.857036769414,-7.9671913012841,0 -34.8579111695542,-7.96728651970393,0 -34.8577515781159,-7.968253456053729,0 -34.8576087504859,-7.96876307576656,0 -34.8573774099584,-7.968725524840361,0 -34.8572634160754,-7.96918150037289,0 -34.8575973510977,-7.96931024640558,0 -34.8575343191859,-7.969526164231331,0 -34.8572299722818,-7.970798537132771,0 -34.8569302773339,-7.97083659097317,0 -34.8567539640007,-7.97060642391208,0 -34.856987483823,-7.96990569680694,0 -34.8571165651319,-7.969579808411639,0 -34.8565781116721,-7.969331704077791,0 -34.85662505033,-7.969007156787,0 -34.856650531315,-7.9688059911109,0 -34.856270998739,-7.9687134548999,0 -34.856350123905,-7.968454621730001,0 -34.856610298179,-7.9676124080993,0 -34.856637120269,-7.9672127589561,0 -34.85684499147,-7.9671765491345,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-186 (EMAD);0;PE;RECIFE;EMAD;EMAD;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;186 (EMAD) Secundária;MEDIO;9;251;242;242;0;3,58565737051793E-02;;62,75;0,143426294820717;-34.952784167713,-8.02427948426689,0 -34.9524582793178,-8.0242352278181,0 -34.952011691516,-8.024168172592759,0 -34.9520769027228,-8.023818814868539,0 -34.9521246795709,-8.023516395802121,0 -34.9522636515255,-8.02276202451667,0 -34.9523325926791,-8.02237830098948,0 -34.9523720295335,-8.02212868791303,0 -34.9525876959021,-8.022308060640899,0 -34.9533581604417,-8.02272380303819,0 -34.9536304046569,-8.022840479130339,0 -34.953875826782,-8.022914239878251,0 -34.9543022980147,-8.022967884058589,0 -34.9546643962318,-8.022962519640529,0 -34.9549326171333,-8.022930333132321,0 -34.9551632871092,-8.02293301534139,0 -34.95491652388,-8.024633535856809,0 -34.9531851579603,-8.02433849286516,0 -34.952784167713,-8.02427948426689,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-135 (EMAD);0;PE;RECIFE;EMAD;EMAD;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;135 (EMAD) Secundária;BAIXO;31;578;547;547;0;5,36332179930796E-02;;144,5;0,214532871972318;-34.9091279506707,-8.07486020027496,0 -34.9091722071228,-8.07519681750715,0 -34.9091883003803,-8.07538859545252,0 -34.9092100933286,-8.07561222462914,0 -34.9092701915743,-8.076215973114589,0 -34.9093369953426,-8.07679021730087,0 -34.9093716126027,-8.07706539518199,0 -34.9094290286394,-8.077303022136901,0 -34.9094642326328,-8.077514581372951,0 -34.9095200561079,-8.077781964084121,0 -34.9095517397019,-8.078017160287111,0 -34.9095886200759,-8.078316897144511,0 -34.9092701077554,-8.078341707577909,0 -34.9091889709328,-8.07769060133954,0 -34.9085388705228,-8.077692277720169,0 -34.9081487767492,-8.07762471958061,0 -34.9080536421482,-8.077621115362239,0 -34.9079665541743,-8.07764701544305,0 -34.907696321616,-8.07771742342968,0 -34.9074086546992,-8.077765032639689,0 -34.9072316289043,-8.07775698601265,0 -34.9070653319454,-8.07766847311515,0 -34.907274544249,-8.0762951820995,0 -34.907387197026,-8.075474426140699,0 -34.907864630231,-8.0749969929361,0 -34.9086800217675,-8.07447664438636,0 -34.9089200794744,-8.07309396563919,0 -34.9091708660174,-8.072966560710981,0 -34.909254014497,-8.072464987625199,0 -34.9094283580832,-8.072806969274589,0 -34.9093814194256,-8.07305909692202,0 -34.9093492329169,-8.07321064173129,0 -34.9093197286178,-8.073346093286551,0 -34.9092982709457,-8.0734627693787,0 -34.9092714488556,-8.073595538724939,0 -34.9092432856589,-8.073728308070709,0 -34.9092151224645,-8.073874488462041,0 -34.9091950058966,-8.07397238909112,0 -34.9091708660149,-8.07409174739221,0 -34.909149408343,-8.07420305906634,0 -34.9091292917755,-8.07432509957653,0 -34.9090994522002,-8.0745058134089,0 -34.9091111868646,-8.07462081312041,0 -34.9091185629393,-8.074722066510709,0 -34.9091279506707,-8.07486020027496,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
PE-45 (EGOI);0;PE;GOIANA;EGOI;EGOI;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;45 (EGOI) Secundária;BAIXO;2;242;240;240;0;8,26446280991736E-03;;60,5;3,30578512396694E-02;-34.9889785629944,-7.56101802449108,0 -34.9889906329348,-7.56115079383735,0 -34.9905557018949,-7.561296974228701,0 -34.990452436848,-7.56205201606636,0 -34.9903531951147,-7.56290093521955,0 -34.9898727444249,-7.56284628521088,0 -34.9896130730647,-7.56282164241555,0 -34.9893493783909,-7.562785600231909,0 -34.9890591969031,-7.562758610503709,0 -34.988863563283,-7.56274503182057,0 -34.9887183887201,-7.56274268488768,0 -34.9886432868677,-7.56330058436278,0 -34.988255707665,-7.563256998466281,0 -34.9883509260851,-7.5625656590927,0 -34.9884997886852,-7.561597381638301,0 -34.988589642687,-7.56099924902796,0 -34.9889785629944,-7.56101802449108,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
