name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
PI-1 (JKY);322;PI;TERESINA;TSA;JKY;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;1 (JKY) Secundária;Suburbio;113;450;450;450;0;0,2511;2211001;113;1;-42.767699956899,-5.0471270084386,0 -42.768043279653,-5.0470304489141,0 -42.7680399268919,-5.04628881812144,0 -42.7680533379373,-5.04628345370337,0 -42.7680761367139,-5.04628010094213,0 -42.7680942416246,-5.04628144204657,0 -42.768139839178,-5.0462794303899,0 -42.769845724111,-5.0456571578984,0 -42.772152423864,-5.0445306301122,0 -42.772302627569,-5.0462687015538,0 -42.77363300324,-5.0457429885869,0 -42.773590087896,-5.0455927848821,0 -42.773793935781,-5.0455391407018,0 -42.773922681814,-5.0458610057836,0 -42.768172025686,-5.0482535362249,0 -42.768107652674,-5.0482106208806,0 -42.768043279657,-5.0473523139959,0 -42.767152786264,-5.0476741790777,0 -42.767249345789,-5.0481569767003,0 -42.766959667215,-5.0482428073888,0 -42.766680717478,-5.0478565692907,0 -42.765972614298,-5.0480711460119,0 -42.766079902658,-5.0484144687658,0 -42.76356935502,-5.0492084026342,0 -42.762786149993,-5.0495731830608,0 -42.762104868904,-5.0496912002574,0 -42.76176154615,-5.0497502088558,0 -42.761740088478,-5.0492995977412,0 -42.761563062683,-5.0487631559383,0 -42.761418223395,-5.0481784343731,0 -42.761391401305,-5.0480335950863,0 -42.761514782919,-5.0477600097668,0 -42.761686444296,-5.0477546453488,0 -42.761788368239,-5.0476956367504,0 -42.762405276312,-5.0475722551358,0 -42.76241064073,-5.0474971532833,0 -42.762560844435,-5.0474703311932,0 -42.762603759779,-5.0475239753735,0 -42.763381600394,-5.0473898649227,0 -42.763510346421,-5.0472718477263,0 -42.763553261765,-5.0466710329069,0 -42.764502763756,-5.0466012954726,0 -42.764663696297,-5.0469177961363,0 -42.764915823944,-5.0472074747099,0 -42.765157222756,-5.0478994846358,0 -42.766401767734,-5.0475507974639,0 -42.767699956899,-5.0471270084386,0;ATIVAS;Sem Restrição de Vendas
PI-5 (JKY);321;PI;TERESINA;TSA;JKY;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;5 (JKY) Secundária;Classe D+E;63;426;426;426;0;0,1479;2211001;107;0,588785046728972;-42.7577516436343,-5.04762858152503,0 -42.7581315114861,-5.047647021712,0 -42.7580849081046,-5.04747234284991,0 -42.758265286661,-5.04742875695342,0 -42.758296132065,-5.0476580858242,0 -42.758349776245,-5.0475776195537,0 -42.758950591064,-5.0476044416439,0 -42.758955955482,-5.0476849079143,0 -42.759765982605,-5.0477010011684,0 -42.759771347023,-5.0473737716686,0 -42.760012745834,-5.0473576784145,0 -42.759980559326,-5.0476634502422,0 -42.760597467399,-5.0476849079143,0 -42.76078522203,-5.0476205348979,0 -42.760913968063,-5.0476473569881,0 -42.760897874809,-5.0477814674388,0 -42.761423587776,-5.047802925111,0 -42.761369943596,-5.0480175018321,0 -42.76135921476,-5.0481301546108,0 -42.761428952194,-5.0483232736598,0 -42.761536240555,-5.0487577915203,0 -42.761611342407,-5.0489509105693,0 -42.761707901929,-5.0493156909954,0 -42.761718630765,-5.0496965646756,0 -42.7613860368469,-5.05012035369988,0 -42.7610909938554,-5.05021154880639,0 -42.7608817815524,-5.05020618438836,0 -42.7606672048311,-5.05023837089657,0 -42.7601629495363,-5.05048781633496,0 -42.759847789977,-5.05063667893529,0 -42.7597612887363,-5.05051128566384,0 -42.759567499135,-5.05060851574064,0 -42.7591665088873,-5.05077347159504,0 -42.7589955180626,-5.05087070167182,0 -42.7588620781642,-5.05087137222407,0 -42.7586300670845,-5.0503939390194,0 -42.7585965394719,-5.05006402731055,0 -42.7585563063384,-5.04973948001836,0 -42.7585133909951,-5.04942163824943,0 -42.7581083774349,-5.04921108484108,0 -42.7580842375534,-5.04840105771855,0 -42.758137881734,-5.0481703877433,0 -42.758097648598,-5.04790954291797,0 -42.7577670663365,-5.04791993647858,0 -42.7577516436343,-5.04762858152503,0;ATIVAS;Sem Restrição de Vendas
PI-6 (JKY);321;PI;TERESINA;TSA;JKY;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;6 (JKY) Secundária;Classe D+E;65;402;402;402;0;0,1617;2211001;101;0,643564356435644;-42.756233513327,-5.0475910305984,0 -42.75801986453,-5.0476661324508,0 -42.758073508711,-5.0477989017971,0 -42.758084237547,-5.0478418171413,0 -42.758077532024,-5.0479035079487,0 -42.757688611718,-5.0479155778889,0 -42.757712751599,-5.0485271215443,0 -42.758072167607,-5.0485646724705,0 -42.758080214234,-5.0487658381467,0 -42.758080214235,-5.0490018725397,0 -42.7580909430711,-5.04925668239612,0 -42.7585093676772,-5.04943504929557,0 -42.7585093676772,-5.04970125854028,0 -42.7585871517386,-5.05007576197398,0 -42.7586153149332,-5.05043065175426,0 -42.7581600099529,-5.05044179968547,0 -42.7582005783643,-5.05105355288845,0 -42.7577970735456,-5.05116631044086,0 -42.7574740349974,-5.05121469497692,0 -42.7573412656499,-5.05133673548686,0 -42.757120318682,-5.05125727504473,0 -42.7570656686731,-5.05134411156153,0 -42.7567256986798,-5.05136221647226,0 -42.7562160789661,-5.05152851343119,0 -42.7560001611407,-5.05070909857713,0 -42.7558643743083,-5.05068797618119,0 -42.7558362464356,-5.05055231225851,0 -42.7558134961553,-5.05051757208975,0 -42.7558090537463,-5.05043216049644,0 -42.7557930018631,-5.05012422885038,0 -42.7557925304469,-5.05008518288125,0 -42.7557818997348,-5.05001502406839,0 -42.7557740733983,-5.04994805158889,0 -42.7557715922772,-5.04988480803565,0 -42.7557160759529,-5.04983739026462,0 -42.755770832266,-5.0496804714201,0 -42.755588442053,-5.0493827462194,0 -42.755548208918,-5.0492137670515,0 -42.755537480082,-5.0491654872888,0 -42.756562083925,-5.048658549785,0 -42.7564950287,-5.0484547018998,0 -42.756444066728,-5.0482937693579,0 -42.756371647085,-5.0478082895262,0 -42.756258994306,-5.0478163361532,0 -42.756240218843,-5.0476849079109,0 -42.756233513327,-5.0475910305984,0;ATIVAS;Sem Restrição de Vendas
PI-10 (JKY);320;PI;TERESINA;TSA;JKY;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;10 (JKY) Secundária;Classe D+E;87;424;424;424;0;0,2052;2211001;106;0,820754716981132;-42.760287672214,-5.0505106151062,0 -42.760818749599,-5.050296038385,0 -42.761076241665,-5.0502423942047,0 -42.761274725132,-5.0501887500244,0 -42.761500030689,-5.0501297414261,0 -42.761832624607,-5.0499902665573,0 -42.761832624607,-5.049748867746,0 -42.762143760853,-5.0497005879837,0 -42.762224227123,-5.0498776137787,0 -42.763382941417,-5.0494323670822,0 -42.763452678852,-5.0497220456558,0 -42.762401252918,-5.0501994788605,0 -42.76247635477,-5.050478428598,0 -42.762626558475,-5.050819069143,0 -42.762189358406,-5.0509397685486,0 -42.762020379235,-5.0510711967898,0 -42.761371284654,-5.0512750446749,0 -42.760867029359,-5.0514788925601,0 -42.761234491999,-5.0517632067161,0 -42.761438339885,-5.0519992411094,0 -42.7614597975569,-5.05233183502731,0 -42.7606403827006,-5.05269393324442,0 -42.7603765203882,-5.05282469093392,0 -42.7602253108544,-5.05282133817268,0 -42.759859859875,-5.05302920937138,0 -42.7593482285043,-5.05315393209062,0 -42.7592191471949,-5.05321092903221,0 -42.7590686082134,-5.05280658602324,0 -42.7589016407011,-5.05239754914852,0 -42.7581124006974,-5.05266442894555,0 -42.7578616141482,-5.05193486809364,0 -42.7575967460048,-5.05137160420059,0 -42.7575732766728,-5.05124285816794,0 -42.758208960203,-5.0511060655069,0 -42.758721262125,-5.0509263575029,0 -42.758984118608,-5.0508941709947,0 -42.759166508821,-5.0508271157694,0 -42.759772688055,-5.0506179034648,0 -42.759837061071,-5.050652772182,0 -42.759947031641,-5.0505991280017,0 -42.760116010809,-5.0505320727763,0 -42.760287672214,-5.0505106151062,0;ATIVAS;Sem Restrição de Vendas
PI-11 (JKY);320;PI;TERESINA;TSA;JKY;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;11 (JKY) Secundária;Suburbio;68;389;389;389;0;0,1748;2211001;97;0,701030927835052;-42.7580560742877,-5.05292192100331,0 -42.758683711197,-5.0526537001018,0 -42.758930474427,-5.0525464117412,0 -42.759214788582,-5.0532652437572,0 -42.759483009484,-5.0531525909786,0 -42.759536653664,-5.0531043112163,0 -42.759794145729,-5.0530238449459,0 -42.760003358032,-5.0529380142574,0 -42.760239392426,-5.0528360903148,0 -42.760341316368,-5.0528468191509,0 -42.760380208399,-5.0528320670013,0 -42.760425805953,-5.0528092682246,0 -42.76066586366,-5.0527301430587,0 -42.760841548346,-5.0526416301604,0 -42.761144637965,-5.0525128841277,0 -42.761407494448,-5.052378773677,0 -42.76145577421,-5.052553117263,0 -42.761522829436,-5.0526845455047,0 -42.76164621105,-5.0528535246726,0 -42.76170253744,-5.0530734658118,0 -42.761780321498,-5.0532290339335,0 -42.761930525203,-5.053856670843,0 -42.761833965678,-5.0538781285151,0 -42.761764228244,-5.0537708401545,0 -42.76144772758,-5.0539076328142,0 -42.761324345968,-5.0540256500103,0 -42.761302888295,-5.0540497898914,0 -42.7609166501969,-5.05418658255121,0 -42.7608251198156,-5.05420435218659,0 -42.7607687096076,-5.0541658792512,0 -42.7605031290057,-5.05427002439819,0 -42.7605098135736,-5.05437842336099,0 -42.7604407362141,-5.05436288540801,0 -42.7602922036512,-5.05444631153803,0 -42.7599666452934,-5.05458338184834,0 -42.7591565343522,-5.0549338292201,0 -42.7580836088369,-5.05539873147959,0 -42.7579119055506,-5.05460835992012,0 -42.7576046249809,-5.0538957305128,0 -42.7585365249762,-5.05358006803968,0 -42.7580560742877,-5.05292192100331,0;ATIVAS;Sem Restrição de Vendas
PI-2 (JKY);320;PI;TERESINA;TSA;JKY;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;2 (JKY) Secundária;Suburbio;54;396;396;396;0;0,1364;2211001;99;0,545454545454545;-42.7680290736253,-5.04205365999954,0 -42.7680612601335,-5.04325528963826,0 -42.7680827178054,-5.04476805552259,0 -42.7681363619873,-5.04631300791558,0 -42.767653564365,-5.0463130079156,0 -42.767599920184,-5.0452830396539,0 -42.76744971648,-5.0452401243096,0 -42.76750336066,-5.0447036825066,0 -42.765979865939,-5.0451542936212,0 -42.765604356677,-5.0453474126702,0 -42.764552930746,-5.0456370912439,0 -42.7640687920202,-5.04611452444864,0 -42.76351491586,-5.04657049998126,0 -42.7634741798108,-5.04690979942165,0 -42.7634645406222,-5.04714382215821,0 -42.763336884237,-5.04730274304235,0 -42.7626599617372,-5.0474341712841,0 -42.7622378490938,-5.04752804859964,0 -42.7618318297045,-5.04765411242336,0 -42.7617235355159,-5.04771177991721,0 -42.7616098769093,-5.04774798973893,0 -42.7613771952779,-5.04766484125951,0 -42.761328915515,-5.0467582546127,0 -42.761323551097,-5.0460608802688,0 -42.761269906916,-5.045363505925,0 -42.761307457841,-5.0449021659747,0 -42.761350373186,-5.0443603597537,0 -42.761661509431,-5.0443657241718,0 -42.761811713136,-5.0446714959995,0 -42.762133578218,-5.0446232162372,0 -42.762117484964,-5.0441189609424,0 -42.762171129144,-5.0437327228444,0 -42.761731246865,-5.0437810026067,0 -42.761720518029,-5.0435181461232,0 -42.762997249513,-5.0432391963858,0 -42.763404945284,-5.0431426368612,0 -42.763356665521,-5.0427188478369,0 -42.763587335497,-5.0427081190008,0 -42.763614157587,-5.0430889926809,0 -42.764906982332,-5.0428046785254,0 -42.766156891728,-5.0424881778616,0 -42.766151527309,-5.0424935422796,0 -42.7680290736253,-5.04205365999954,0;ATIVAS;Sem Restrição de Vendas
PI-3 (JKY);320;PI;TERESINA;TSA;JKY;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;3 (JKY) Secundária;Suburbio;67;325;325;293;0;0,2062;2211001;81;0,82716049382716;-42.7648640670333,-5.0347312293889,0 -42.7653146781483,-5.03484388216756,0 -42.7659074463406,-5.0348787508847,0 -42.765770653681,-5.03532667979019,0 -42.765765289263,-5.0355466209294,0 -42.765738467173,-5.0359221301915,0 -42.765765289263,-5.0363244615437,0 -42.765588263468,-5.0363941989781,0 -42.765421966509,-5.0370701156499,0 -42.765309313728,-5.0378318630101,0 -42.765395144416,-5.0379016004445,0 -42.765389779998,-5.0380088888051,0 -42.765373686744,-5.0380732618214,0 -42.765813569019,-5.0381912790182,0 -42.765797475765,-5.0384380422476,0 -42.765191296528,-5.0383522115591,0 -42.764992813061,-5.038336118305,0 -42.76349614043,-5.0381429992559,0 -42.763404945319,-5.0379069648628,0 -42.762852410262,-5.0377889476662,0 -42.762975791876,-5.0370969377403,0 -42.762353519385,-5.0370593868141,0 -42.761666873877,-5.0369145475273,0 -42.761108974402,-5.0367428861504,0 -42.760749558394,-5.0368340812569,0 -42.760132650321,-5.0367160640602,0 -42.760073641712,-5.0366785131341,0 -42.76002536195,-5.0368716321832,0 -42.759741047794,-5.0368877254373,0 -42.759837607319,-5.0365175805932,0 -42.758748630435,-5.036340554799,0 -42.758813003452,-5.0360133252992,0 -42.758855918796,-5.0355305276765,0 -42.759006122495,-5.0353588662996,0 -42.759091953184,-5.0349297128572,0 -42.758866647627,-5.0348599754229,0 -42.758882740881,-5.0346936784639,0 -42.759124139692,-5.0347365938082,0 -42.759290436651,-5.034881433095,0 -42.759311894323,-5.0351872049227,0 -42.760733465101,-5.0353910528078,0 -42.760878304386,-5.0352730356113,0 -42.7610472835534,-5.03455152138623,0 -42.7610352136129,-5.03449184223565,0 -42.7603747196429,-5.03437348976287,0 -42.7603525914186,-5.03431951030645,0 -42.7603928245538,-5.03416260107908,0 -42.7608065552944,-5.03416394218359,0 -42.7610647179121,-5.03428330048476,0 -42.7612162627215,-5.03396411761199,0 -42.7615864075658,-5.03406067713655,0 -42.7615924425361,-5.03436611368811,0 -42.7619900800226,-5.0343872360841,0 -42.7621630825041,-5.03413443788443,0 -42.7623910702705,-5.03413846119793,0 -42.7624380089261,-5.03453811034116,0 -42.7626083291963,-5.03450055941496,0 -42.7631152666998,-5.03461321219353,0 -42.763345936675,-5.03445764407071,0 -42.7636517085026,-5.03464539870179,0 -42.7639239527165,-5.03466015085132,0 -42.764292756455,-5.03470708950904,0 -42.7644345782639,-5.03448848947417,0 -42.7646863706425,-5.03449251278753,0 -42.7647983528834,-5.03450055941426,0 -42.7648640670333,-5.0347312293889,0;ATIVAS;Sem Restrição de Vendas
PI-7 (JKY);320;PI;TERESINA;TSA;JKY;PRATA;Sem Restrição de Vendas;Sem Restrição de Vendas;7 (JKY) Secundária;Classe D+E;49;390;390;390;0;0,1256;2211001;98;0,5;-42.755524068968,-5.049193721191,0 -42.755564302103,-5.0493358782688,0 -42.755585759775,-5.0494270733753,0 -42.755741327898,-5.0496872476497,0 -42.755711823599,-5.0498374513546,0 -42.7557748555108,-5.04989176608716,0 -42.755820453064,-5.04994943358098,0 -42.7557815610333,-5.05000911273152,0 -42.755786925451,-5.0501137188831,0 -42.7558057009136,-5.05044832445749,0 -42.7558405696302,-5.05059115208732,0 -42.7558606861977,-5.05068972326866,0 -42.755848616258,-5.0506984404479,0 -42.755709141389,-5.0509317926322,0 -42.755448967114,-5.0509961656486,0 -42.7551713584801,-5.05118794359266,0 -42.7551948278087,-5.05135759331284,0 -42.7551328017251,-5.05139011509714,0 -42.7549998647407,-5.05137016616759,0 -42.754905819787,-5.05124963439998,0 -42.7543143927,-5.051524560824,0 -42.753933519017,-5.0516559890652,0 -42.753643840443,-5.0517525485898,0 -42.753386348378,-5.0518678835774,0 -42.753305882105,-5.0525867155931,0 -42.753217369209,-5.0526604763409,0 -42.753166407237,-5.052681934013,0 -42.75292903174,-5.0527100972077,0 -42.7526581286288,-5.05265242971399,0 -42.7522249518731,-5.05268193401279,0 -42.7520816213289,-5.05273189015564,0 -42.7519490196208,-5.0527282021182,0 -42.7517119793992,-5.05274228371544,0 -42.7516586704951,-5.05260884381685,0 -42.7516415714127,-5.05208916582013,0 -42.7516590057707,-5.05161575592903,0 -42.751719355473,-5.05114234603794,0 -42.751740813145,-5.05084730304629,0 -42.7517274020999,-5.0505468956366,0 -42.7520452438682,-5.05043290175347,0 -42.752456962952,-5.05033500112442,0 -42.752802967915,-5.0502947679892,0 -42.753028273472,-5.0501928440466,0 -42.754036784062,-5.0497690550223,0 -42.755524068968,-5.049193721191,0;ATIVAS;Sem Restrição de Vendas
PI-8 (JKY);320;PI;TERESINA;TSA;JKY;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;8 (JKY) Secundária;Classe D+E;51;417;417;417;0;0,1223;2211001;104;0,490384615384615;-42.7561999856367,-5.05157142876192,0 -42.757055610312,-5.0513353943686,0 -42.757146805419,-5.0513005256514,0 -42.757353335513,-5.0513783097129,0 -42.757543772353,-5.0513434409957,0 -42.757653742923,-5.051584839807,0 -42.757795899998,-5.0519791245313,0 -42.757999747883,-5.0524941086622,0 -42.758029252182,-5.0526764988752,0 -42.757203131805,-5.0528588890873,0 -42.75721654285,-5.0530305504642,0 -42.7570740504959,-5.05310129372699,0 -42.7570577896037,-5.05310380829795,0 -42.757040187607,-5.053122416123,0 -42.757007330547,-5.0531284510933,0 -42.756840363036,-5.05319885908,0 -42.756587564836,-5.053288713082,0 -42.756403833518,-5.053383931502,0 -42.756232172139,-5.0534737855044,0 -42.756116837152,-5.0535140186396,0 -42.755963951238,-5.0535944849101,0 -42.755851298459,-5.0536561757174,0 -42.755843251832,-5.0536695867625,0 -42.75576814998,-5.0536964088526,0 -42.755703776963,-5.0537312775698,0 -42.755597159155,-5.05379296837688,0 -42.755395993478,-5.0538834929318,0 -42.755237072594,-5.0539478659482,0 -42.755136489756,-5.054008215651,0 -42.754942029602,-5.0539867579795,0 -42.754384130127,-5.0541664659835,0 -42.753885239251,-5.0544293224662,0 -42.7529504894093,-5.05476728080204,0 -42.753013521321,-5.05507305262971,0 -42.752801626806,-5.0551535189,0 -42.7527453004167,-5.05492284892469,0 -42.752619236593,-5.0547136366215,0 -42.752570956831,-5.0545044243184,0 -42.752705067282,-5.0544025003758,0 -42.752780169134,-5.0533081590977,0 -42.752882093076,-5.0527234375325,0 -42.75317177165,-5.0526858866063,0 -42.754228562001,-5.0522674619999,0 -42.7538128196032,-5.05212128160864,0 -42.7536652981069,-5.05179271100436,0 -42.7548830209987,-5.05143597720548,0 -42.7551602943571,-5.05139926446974,0 -42.7553973345802,-5.05122844128325,0 -42.7560618518666,-5.05097799001678,0 -42.7561999856367,-5.05157142876192,0;ATIVAS;Sem Restrição de Vendas
PI-9 (JKY);320;PI;TERESINA;TSA;JKY;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;9 (JKY) Secundária;Suburbio;74;446;446;446;0;0,1659;2211001;112;0,660714285714286;-42.7575236557992,-5.0538137555018,0 -42.757579982183,-5.0538969039772,0 -42.757676541707,-5.0540873408176,0 -42.757773101231,-5.0543153285839,0 -42.757840156457,-5.0544896721699,0 -42.757907211682,-5.054701566682,0 -42.757960855862,-5.0548946857319,0 -42.758001088997,-5.0550502538548,0 -42.758044004342,-5.0552836060391,0 -42.758068144223,-5.0553613901005,0 -42.757950127027,-5.0554820895062,0 -42.757735550306,-5.0555357336865,0 -42.757655084035,-5.0555464625225,0 -42.757526338003,-5.0555786490307,0 -42.757258117101,-5.0557073950634,0 -42.75709718456,-5.0557878613339,0 -42.756786048314,-5.0558683276043,0 -42.756657302282,-5.0559487938748,0 -42.756346166036,-5.0560614466534,0 -42.756195962331,-5.0560668110714,0 -42.755906283758,-5.0561472773419,0 -42.755705118088,-5.0562572479116,0 -42.7553483842899,-5.05645036696122,0 -42.7554806507219,-5.05688505245969,0 -42.7557077164788,-5.05770321002827,0 -42.7558748935376,-5.05789234767333,0 -42.755871090249,-5.05809520020746,0 -42.7559657481292,-5.05848630504813,0 -42.7561123188029,-5.05889375198064,0 -42.7562741383195,-5.05959176577205,0 -42.7557730087215,-5.05970742048346,0 -42.7547741076073,-5.05990740491695,0 -42.7549553784597,-5.05890575971177,0 -42.754967881247,-5.05849934283658,0 -42.7546656573218,-5.05798691649586,0 -42.7541216089417,-5.05785617976115,0 -42.7543547096689,-5.05721152758822,0 -42.754398840389,-5.05705281625167,0 -42.7543732336749,-5.05690483375118,0 -42.7543483394224,-5.05634249186739,0 -42.7541598304201,-5.05634609608575,0 -42.7539844810057,-5.05636319516822,0 -42.7538651227044,-5.05606144665403,0 -42.7546952663944,-5.05570605395954,0 -42.7548877148912,-5.05562759934584,0 -42.755450308232,-5.05540966986338,0 -42.7551284431517,-5.0547605752826,0 -42.7548736332953,-5.05414366720925,0 -42.7552848213226,-5.05394529053126,0 -42.7556050633781,-5.05381082942664,0 -42.7556845801421,-5.05375199350122,0 -42.7565044163728,-5.05335777996921,0 -42.7568836641785,-5.05319360145584,0 -42.7569789840948,-5.05315173138471,0 -42.757041375032,-5.05312546271879,0 -42.7570558076623,-5.05311105847384,0 -42.757071764187,-5.05310909936638,0 -42.7572527526883,-5.05303323267844,0 -42.7575236557992,-5.0538137555018,0;ATIVAS;Sem Restrição de Vendas
