name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
RN-217 (ALM);0;RN;NATAL;ALM;ALM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;217 (ALM) Secundária;MEDIO;15;452;437;437;0;0,0331;;113;0,1327;-35.198667424185,-5.8273615231904,0 -35.197801741226,-5.8277128925713,0 -35.19484594689,-5.828799187222399,0 -35.194693060976,-5.8286328902635,0 -35.19506320582,-5.8284853687677,0 -35.1955285690842,-5.82832510677901,0 -35.195372330409,-5.827800399640431,0 -35.1951805524644,-5.82725021151621,0 -35.195886643988,-5.82616794017875,0 -35.1960629992313,-5.826084121147051,0 -35.1965903885793,-5.82590223384825,0 -35.1966807664503,-5.825898556288229,0 -35.1967818731573,-5.82614298306209,0 -35.1969492178541,-5.826099418120361,0 -35.1970250740779,-5.826106165552409,0 -35.1973484479023,-5.82671913413134,0 -35.1974000804254,-5.826843186298249,0 -35.1977132283274,-5.826692312041151,0 -35.197886230809,-5.82662056295,0 -35.198282527191,-5.826306073943101,0 -35.198290573818,-5.8264254322442,0 -35.198297279341,-5.8264898052605,0 -35.198667424185,-5.8273615231904,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-126 (ALM);0;RN;NATAL;ALM;ALM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;126 (ALM) Secundária;BAIXO;17;481;464;464;0;0,0353;;120,25;0,1413;-35.2620758116158,-5.82268372178089,0 -35.261766016474,-5.82247585058221,0 -35.261943042269,-5.822076201438999,0 -35.262112021447,-5.8217811584474,0 -35.262197852135,-5.821762382984301,0 -35.262272953988,-5.8215907216073,0 -35.26221126318,-5.8215075731278,0 -35.2626417577254,-5.820623785257499,0 -35.2628563344467,-5.82073241472263,0 -35.2629495412097,-5.82082360982913,0 -35.263445079325,-5.8211240172388,0 -35.263571143149,-5.821158885956,0 -35.263691842555,-5.8212715387346,0 -35.264241695403,-5.821671187877801,0 -35.2643074095237,-5.82167655229583,0 -35.2645099163041,-5.82182809710518,0 -35.2644140273321,-5.82199841737761,0 -35.2643342316141,-5.8221794664861,0 -35.2640727162349,-5.82274138927476,0 -35.2638903260228,-5.823151767254149,0 -35.2635993063443,-5.82300826907176,0 -35.263479948044,-5.823232233524401,0 -35.2633565664301,-5.823433399200591,0 -35.2625897061083,-5.82291481085136,0 -35.2629250450993,-5.82238316768795,0 -35.2628982858733,-5.82233298104271,0 -35.2627187035975,-5.82221919670715,0 -35.2623155340538,-5.82288254052415,0 -35.2621314674577,-5.822764858603611,0 -35.2620758116158,-5.82268372178089,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-43 (ALM);0;RN;NATAL;ALM;ALM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;43 (ALM) Secundária;BAIXO;11;410;399;399;0;0,0268;;102,5;0,1073;-35.249934792554,-5.8305412530878,0 -35.250063538587,-5.8309248089769,0 -35.25073409084,-5.830661952493501,0 -35.250768959558,-5.8307129144648,0 -35.250825285946,-5.8306767046431,0 -35.250880271231,-5.830659270284501,0 -35.250872224604,-5.8305922150591,0 -35.251113623415,-5.830577462909501,0 -35.251194089686,-5.8306927978972,0 -35.251171290909,-5.8307544887045,0 -35.251145809924,-5.8308470249156,0 -35.250716656482,-5.831002593038401,0 -35.2509902418004,-5.83165168762007,0 -35.2503337711441,-5.831887051461001,0 -35.2504546381879,-5.832197349516379,0 -35.2506089071158,-5.83215154241554,0 -35.2506934386092,-5.832336405289981,0 -35.2501865849245,-5.832526423034869,0 -35.2500474453319,-5.83208754658474,0 -35.249335318839,-5.8323839306809,0 -35.2493071556444,-5.83243891596573,0 -35.249219983851,-5.8324563503243,0 -35.248930305277,-5.8322900533654,0 -35.248662084376,-5.8323866128899,0 -35.248645991122,-5.8324456214883,0 -35.248533338343,-5.8324456214883,0 -35.2484287321919,-5.83220958709497,0 -35.248918235337,-5.832036584613509,0 -35.2486533671967,-5.83121381699819,0 -35.2484568953883,-5.83121180534145,0 -35.2481712401285,-5.831314399836249,0 -35.2481310069936,-5.83118766546027,0 -35.248066633977,-5.831013321874301,0 -35.2481269836794,-5.830999910829259,0 -35.248420685567,-5.8308899402597,0 -35.248688906468,-5.830864459274,0 -35.248757302798,-5.8309194445588,0 -35.248774737156,-5.830944925544501,0 -35.248906165398,-5.8308966457822,0 -35.248883366621,-5.8307933807351,0 -35.249187797345,-5.830682069061,0 -35.24956598881,-5.830527842042899,0 -35.249598175318,-5.8305922150592,0 -35.249629020722,-5.8306485414486,0 -35.249934792554,-5.8305412530878,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-189 (ALM);0;RN;NATAL;ALM;ALM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;189 (ALM) Secundária;ALTO;21;375;354;354;0;0,056;;93,75;0,224;-35.214526951396,-5.8418333529864,0 -35.215004384601,-5.840422511044501,0 -35.215100944126,-5.840166360083599,0 -35.215615928257,-5.8402857183847,0 -35.215799659575,-5.8403983711635,0 -35.215998143042,-5.8402106165324,0 -35.21605715164,-5.8401167392169,0 -35.216415226544,-5.839483737889301,0 -35.216605663384,-5.839271843377099,0 -35.21688729533,-5.838982164803501,0 -35.217058956707,-5.838877558652,0 -35.217359364116,-5.8396258949671,0 -35.217686593616,-5.8404788374339,0 -35.217889770949,-5.8409656583701,0 -35.217887088739,-5.8411366491948,0 -35.217873677694,-5.8412828295861,0 -35.21725676962,-5.8422806113397,0 -35.216988548718,-5.8427955954706,0 -35.216473564587,-5.8437021821176,0 -35.2174795186961,-5.844282000269491,0 -35.2164925915072,-5.84525342093756,0 -35.2154440992395,-5.84464816370954,0 -35.216045416973,-5.84359321737637,0 -35.2156279981951,-5.84337696427455,0 -35.2148897201638,-5.84299273783317,0 -35.2142553777318,-5.8426158874666,0 -35.214274153195,-5.8423235266841,0 -35.214526951396,-5.8418333529864,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-23 (SAT);0;RN;NATAL;SAT;SAT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;23 (SAT) Secundária;ALTO;3;440;437;437;0;0,0068;;110;0,0272;-35.226461272593,-5.871780887249401,0 -35.226890426036,-5.8721456676754,0 -35.2255419454535,-5.873354673388871,0 -35.2255808374842,-5.873441174629601,0 -35.2255496568044,-5.8734673261675,0 -35.2254795840939,-5.873411670330439,0 -35.2248117140491,-5.87393201887933,0 -35.2257833442648,-5.87523356080379,0 -35.2261356356551,-5.874973973262581,0 -35.2264505856667,-5.87538062129493,0 -35.2259273453613,-5.87578324601377,0 -35.2257266825993,-5.87545987218942,0 -35.2256552687843,-5.875180587175739,0 -35.2247473410327,-5.87396420538751,0 -35.2242994121275,-5.87333925068703,0 -35.225914101954,-5.872220769527799,0 -35.225903373118,-5.871941819790301,0 -35.226343255396,-5.871695056560899,0 -35.226461272593,-5.871780887249401,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-163 (ALM);0;RN;NATAL;ALM;ALM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;163 (ALM) Secundária;BAIXO;27;429;402;402;0;0,0629;;107,25;0,2517;-35.24383544922,-5.8395642042154,0 -35.241614580156,-5.841688513755199,0 -35.241485834123,-5.8416724205011,0 -35.240423679353,-5.840588808059099,0 -35.241555571557,-5.8394140005106,0 -35.241126418115,-5.8388561010355,0 -35.241518020631,-5.8386951684946,0 -35.241861343385,-5.838665664195401,0 -35.24198204279,-5.838598608970001,0 -35.242078602315,-5.8385771512979,0 -35.242188572885,-5.838689804076501,0 -35.242416560651,-5.8385181426996,0 -35.242663323881,-5.8383920788758,0 -35.242703557016,-5.8383277058595,0 -35.24277597666,-5.8383893966668,0 -35.24274647236,-5.838534235953599,0 -35.242816209795,-5.8385825157159,0 -35.242918133737,-5.838528871535601,0 -35.243331193926,-5.8389151096337,0 -35.243687927724,-5.8392933011048,0 -35.243875682356,-5.839186012744199,0 -35.244058072569,-5.8393737673753,0 -35.24383544922,-5.8395642042154,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-60 (CTO);0;RN;NATAL;CTO;CTO;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;60 (CTO) Secundária;ALTO;0;16;16;16;0;0;;4;0;-35.2076075911864,-5.804851720899621,0 -35.2076525181875,-5.80498046693233,0 -35.2076893985615,-5.8050837319794,0 -35.207724937831,-5.80517760929492,0 -35.2077685237274,-5.80528489765552,0 -35.207847648893,-5.80547801670452,0 -35.2075083494529,-5.80562151488681,0 -35.2072428107607,-5.80487720188519,0 -35.2071985543121,-5.804755161375011,0 -35.2062450290075,-5.8021775585117,0 -35.2066098094334,-5.80207831677815,0 -35.2067600131382,-5.80252758678815,0 -35.2071744144309,-5.80366819617173,0 -35.2073635101665,-5.80418653306386,0 -35.2074225187646,-5.80436355885886,0 -35.2074976206169,-5.80457277116202,0 -35.2075526059016,-5.80471358713532,0 -35.2076075911864,-5.804851720899621,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-226 (ALM);0;RN;NATAL;ALM;ALM;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;226 (ALM) Secundária;ALTO;17;492;475;475;0;0,0345;;123;0,1382;-35.213266313082,-5.7991111278552,0 -35.212585702542,-5.8003201335687,0 -35.213643833998,-5.8010188490171,0 -35.21389730275,-5.801177099348999,0 -35.213753804567,-5.801446661355,0 -35.213693454864,-5.801563337447199,0 -35.213543251159,-5.8018583804388,0 -35.213425904514,-5.802085697652801,0 -35.213391035796,-5.8021487295646,0 -35.213208645583,-5.8024974167365,0 -35.213134884835,-5.8026395738143,0 -35.213106721641,-5.8026878535766,0 -35.213067829611,-5.802734792234499,0 -35.212813019754,-5.8032256364842,0 -35.2128143608585,-5.80324642360405,0 -35.2130101621166,-5.80372955650286,0 -35.2131357230261,-5.80396121135176,0 -35.2133001759664,-5.8038562489693,0 -35.2134118229166,-5.80400037579433,0 -35.2132166922108,-5.80413842573957,0 -35.2134138345734,-5.804533883931191,0 -35.2133709192292,-5.80461904406742,0 -35.2136552333848,-5.80530703067975,0 -35.2127043902892,-5.80715641379549,0 -35.2124472334999,-5.807129926981469,0 -35.2124287933129,-5.8070766180773,0 -35.2125047333557,-5.80688634887531,0 -35.2114890143293,-5.80573584884599,0 -35.2114201150853,-5.80552814528539,0 -35.211139321329,-5.804872512819321,0 -35.2108952403089,-5.804513096811259,0 -35.2112600207344,-5.80395519733618,0 -35.2101173996943,-5.80307006836125,0 -35.211461186411,-5.8015090227145,0 -35.211800485852,-5.8011093735713,0 -35.212088823323,-5.8007284998911,0 -35.21269768477,-5.799623429777001,0 -35.213035643106,-5.7989045977611,0 -35.213266313082,-5.7991111278552,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-49 (SAT);0;RN;NATAL;SAT;SAT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;49 (SAT) Secundária;BAIXO;0;112;112;112;0;0;;28;0;-35.261855459766,-5.8555305882678,0 -35.261863506391,-5.8555882557616,0 -35.2620230978279,-5.855675427554589,0 -35.2619144683624,-5.8558993920073,0 -35.2615738278172,-5.85622393929801,0 -35.261284149244,-5.856736241219899,0 -35.260826832608,-5.856441198228199,0 -35.260585433796,-5.8563392742857,0 -35.2605961626324,-5.85628697120986,0 -35.2608643835338,-5.85577332818354,0 -35.2608952289375,-5.855680121420279,0 -35.2610199516567,-5.855478620468029,0 -35.2611272400178,-5.85519480922668,0 -35.261261350469,-5.8549968286738,0 -35.261400825338,-5.854964642165601,0 -35.261486656027,-5.854919044612301,0 -35.261915809469,-5.8551550790056,0 -35.261753535824,-5.8554715796694,0 -35.261855459766,-5.8555305882678,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RN-37 (SAT);0;RN;NATAL;SAT;SAT;;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;37 (SAT) Secundária;ALTO;5;375;370;370;0;0,0133;;93,75;0,0533;-35.2194839333935,-5.843452601074089,0 -35.2209484195157,-5.843280939697141,0 -35.2223485326215,-5.84315755808245,0 -35.2232497548504,-5.84521749460595,0 -35.222219786589,-5.845700292228601,0 -35.222831330244,-5.8468697353592,0 -35.2216994380397,-5.847540287612899,0 -35.2214365815568,-5.84742763483428,0 -35.2209779238152,-5.84769049131777,0 -35.2216592049053,-5.8492193504563,0 -35.2204870795662,-5.850050835250951,0 -35.2189153050827,-5.85093059980777,0 -35.219679734652,-5.852565406202391,0 -35.2182990675616,-5.8532906084648,0 -35.2177321156311,-5.852317469506579,0 -35.2169023072172,-5.85270689272794,0 -35.2161097144533,-5.851153223156079,0 -35.2158870911054,-5.85103252375042,0 -35.2158240591937,-5.85061812245763,0 -35.2150921514088,-5.849091610252031,0 -35.2148457234556,-5.849201245545519,0 -35.2146172327752,-5.849116588323491,0 -35.214143571427,-5.84936662049509,0 -35.2133748670871,-5.84790272110618,0 -35.2151923989709,-5.84679195129789,0 -35.216919741577,-5.8454562112085,0 -35.2171390121637,-5.845202742456551,0 -35.217391810363,-5.8449304982415,0 -35.217922887748,-5.8445388957254,0 -35.218710116092,-5.84382542812749,0 -35.218863002006,-5.8440078183405,0 -35.2194839333935,-5.843452601074089,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
