name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
RO-2 (ETCN);319;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;2 (ETCN) Secundária;Suburbio;177;421;421;421;0;0,4204;1100205;104;1,70192307692308;-63.844986875587,-8.758719017381811,0 -63.8448632155864,-8.758687203014199,0 -63.8446242205982,-8.75872244387196,0 -63.84388140291379,-8.75854705422601,0 -63.8435830575859,-8.758480193023241,0 -63.843287394467,-8.7584160140295,0 -63.8432596467597,-8.758461076035299,0 -63.8432153534151,-8.758540536477391,0 -63.8431734070034,-8.75861195029243,0 -63.840868397134,-8.75819211079,0 -63.840975685495,-8.7577689118549,0 -63.8403409143,-8.7576303489494,0 -63.84055846806599,-8.756634954401701,0 -63.839113079423,-8.7562981762444,0 -63.83914883315,-8.7560657092352,0 -63.83943388893579,-8.75489830315121,0 -63.8403718680793,-8.755110365390079,0 -63.84048640905501,-8.75513601410243,0 -63.8405612639884,-8.75515445446668,0 -63.8405864980549,-8.755159819061991,0 -63.8406103910169,-8.75516451310504,0 -63.8409372334209,-8.755238609151229,0 -63.8412680991385,-8.755313375749679,0 -63.84127000715599,-8.7553408684364,0 -63.8418974367869,-8.75549241333438,0 -63.8419077510658,-8.755461568107981,0 -63.8419511784002,-8.75546961508957,0 -63.8419448282482,-8.755494016485679,0 -63.8420142505009,-8.755531828926861,0 -63.84256347298561,-8.755665791855311,0 -63.8431830682917,-8.755810277425701,0 -63.84319849601721,-8.75575762063349,0 -63.84325215024469,-8.755766300932221,0 -63.84325217033911,-8.75583328239644,0 -63.84388789406461,-8.75597529195193,0 -63.843964953791,-8.755699158501701,0 -63.84514512592099,-8.7559822924788,0 -63.8452089087668,-8.755576983872899,0 -63.84563149076369,-8.755658925366429,0 -63.84558382802071,-8.75595010597057,0 -63.8454908357983,-8.756165567846301,0 -63.84545685217429,-8.75634616100483,0 -63.8454032079939,-8.75651693724795,0 -63.8453012840512,-8.756942523347471,0 -63.8451710629178,-8.75763095246394,0 -63.8451059388853,-8.75797888863041,0 -63.8450408148528,-8.758332189214901,0 -63.844986875587,-8.758719017381811,0;ATIVAS;Sem Restrição de Vendas
RO-3 (ETCN);319;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;3 (ETCN) Secundária;Suburbio;133;399;399;399;0;0,3333;1100205;137;0,970802919708029;-63.8401632783748,-8.76215134617892,0 -63.840139315559,-8.76225549674685,0 -63.839960598393,-8.762211800272199,0 -63.839995590828,-8.7620585624793,0 -63.840002645191,-8.762033447413801,0 -63.84041275513499,-8.759982707658001,0 -63.84070295672301,-8.760036351837799,0 -63.840712642856,-8.760044173830501,0 -63.842616983251,-8.760456817565199,0 -63.843346477775,-8.7606155565534,0 -63.84305110083599,-8.7618999278055,0 -63.843365700898,-8.761988677892001,0 -63.84339223565951,-8.76218091460264,0 -63.8433782938886,-8.76222175466563,0 -63.8432941705422,-8.762247378036299,0 -63.8431817293514,-8.762765568081971,0 -63.842146101921,-8.7625321668231,0 -63.842123986933,-8.7626309385175,0 -63.842098281318,-8.762750149299,0 -63.840940462233,-8.7624998086721,0 -63.840729610454,-8.7624301449979,0 -63.840619341484,-8.762392520310501,0 -63.84034805587601,-8.7622988676543,0 -63.8403142998718,-8.762293670322981,0 -63.84023937030091,-8.76227888341146,0 -63.8402559049753,-8.76217841203187,0 -63.8401632783748,-8.76215134617892,0;ATIVAS;Sem Restrição de Vendas
RO-1 (ETCN);319;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;1 (ETCN) Secundária;Suburbio;170;419;419;419;0;0,4057;1100205;144;1,18055555555556;-63.8449800813383,-8.75875638757504,0 -63.8448607488817,-8.75927556989687,0 -63.8447414164251,-8.75980816326377,0 -63.8445724889463,-8.76058769473749,0 -63.8443208499782,-8.76052864226495,0 -63.84425696564121,-8.760802183710251,0 -63.8442579429997,-8.76080343706634,0 -63.8440587320408,-8.76075766401623,0 -63.8435677739119,-8.76065002466194,0 -63.8426207263714,-8.76044547478941,0 -63.8407212668723,-8.760033692835339,0 -63.8407541102225,-8.759884876892629,0 -63.8407896357817,-8.75972264990485,0 -63.84080839753461,-8.75963518949335,0 -63.8406367224474,-8.759578574485531,0 -63.8406860114476,-8.75931618892646,0 -63.8407487114929,-8.75894718555905,0 -63.8408794760015,-8.758209178824229,0 -63.8411494481946,-8.758256988848981,0 -63.8414408780598,-8.75831016329176,0 -63.8420197144768,-8.75841785328182,0 -63.84259653923701,-8.758518837749349,0 -63.8431733639972,-8.75862652773942,0 -63.8432331252038,-8.758528046323971,0 -63.84324873892989,-8.75850203938182,0 -63.8432669578958,-8.75847108362343,0 -63.8432965922826,-8.758428155613039,0 -63.8435833395882,-8.758490366488269,0 -63.843730120779,-8.758523783339889,0 -63.8438586205893,-8.758553603570659,0 -63.8441664781187,-8.7586232694822,0 -63.8442358536404,-8.758640156368211,0 -63.8443065702666,-8.758657043254219,0 -63.8443909113672,-8.75867795472492,0 -63.8444763089433,-8.758700204757799,0 -63.8446297265707,-8.758732055653271,0 -63.8446997298618,-8.758727864533389,0 -63.844783144198,-8.758714285681959,0 -63.84486742375131,-8.75870996100732,0 -63.84493701764701,-8.758736490033259,0 -63.8449800813383,-8.75875638757504,0;ATIVAS;Sem Restrição de Vendas
RO-5 (ETCN);317;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;5 (ETCN) Secundária;Suburbio;172;383;383;372;0;0,4491;1100205;132;1,3030303030303;-63.838191539926,-8.761662580716299,0 -63.838153539742,-8.761828730152899,0 -63.837810082835,-8.763331518187499,0 -63.837680438285,-8.763298741590001,0 -63.837619337525,-8.763338974725301,0 -63.837595499401,-8.7633866577067,0 -63.837488204329,-8.7635267293465,0 -63.83745840498501,-8.763651894612099,0 -63.8372175709129,-8.76361490326822,0 -63.8371346719928,-8.76389949125948,0 -63.8371210714438,-8.763952189905449,0 -63.837064675499,-8.76401526533412,0 -63.83704472501261,-8.764017358385081,0 -63.8370071086707,-8.7641500276894,0 -63.8369851257198,-8.764230966329441,0 -63.8369618728569,-8.76431444479346,0 -63.8369224231163,-8.76446202207034,0 -63.8368836083317,-8.764596265271321,0 -63.83621270018401,-8.764448383191001,0 -63.835506367354,-8.764427515608199,0 -63.835074236699,-8.764391761798001,0 -63.83478517498099,-8.764388757737001,0 -63.834496086419,-8.764418583888199,0 -63.834648087321,-8.7635751632716,0 -63.834630196872,-8.763435098313799,0 -63.8346605326498,-8.76320501842773,0 -63.8346951063629,-8.76295863066507,0 -63.834785174988,-8.762758591552799,0 -63.834949084741,-8.762544014831599,0 -63.83510108564801,-8.7617959736014,0 -63.83513431825741,-8.761650383340299,0 -63.83566240492339,-8.761748874038171,0 -63.835682212981,-8.7616797266726,0 -63.835747793028,-8.761438327902001,0 -63.836486902538,-8.7615873514283,0 -63.836573323397,-8.7612773953611,0 -63.838191539926,-8.761662580716299,0;ATIVAS;Sem Restrição de Vendas
RO-4 (ETCN);317;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;4 (ETCN) Secundária;Suburbio;101;301;301;301;0;0,3355;1100205;104;0,971153846153846;-63.8433513592918,-8.76280807831785,0 -63.8432445268602,-8.7632709068747,0 -63.8430465926235,-8.764133453030921,0 -63.8429327325245,-8.76411674298191,0 -63.8426863992626,-8.7640566364768,0 -63.8424173301433,-8.76398909847355,0 -63.842318205748,-8.763964103662939,0 -63.8422784118854,-8.76406662105081,0 -63.84225474675651,-8.764187764919891,0 -63.8422388556811,-8.76426480394324,0 -63.84222430571019,-8.76433849020532,0 -63.8420102849213,-8.764290553628451,0 -63.8417962641324,-8.76424328760384,0 -63.8413871519376,-8.76414787551083,0 -63.8413236513743,-8.76413542569097,0 -63.8412629725532,-8.764123400025349,0 -63.84119643816661,-8.76411038700534,0 -63.841133995435,-8.76409793655184,0 -63.8410714107775,-8.764085698810741,0 -63.84100882612,-8.764074306835809,0 -63.8408825291381,-8.764051240953259,0 -63.8406527634552,-8.763997673253609,0 -63.8404810372714,-8.76392232915798,0 -63.8402858115901,-8.763878039617801,0 -63.840171645133,-8.7638633210412,0 -63.840058889547,-8.76384874215576,0 -63.83994970798391,-8.76383483584943,0 -63.83984123249191,-8.763822061027991,0 -63.83968653433611,-8.763786877586501,0 -63.83953776413939,-8.76375296659223,0 -63.8396128405539,-8.763496958202991,0 -63.8396883436583,-8.76323953513366,0 -63.83977219985751,-8.76285611817786,0 -63.8398441690868,-8.76252808698889,0 -63.8399202691923,-8.762201465422381,0 -63.8399582836411,-8.76221207121014,0 -63.84014078359759,-8.762256822384339,0 -63.84016397381789,-8.7621536302722,0 -63.8402553423894,-8.762178959532809,0 -63.8402374588132,-8.762281030987451,0 -63.840343999494,-8.7623033805055,0 -63.840938551216,-8.762501555484,0 -63.84191310511099,-8.762716132205201,0 -63.842099357632,-8.762751926246899,0 -63.842147047305,-8.7625358609194,0 -63.8433513592918,-8.76280807831785,0;ATIVAS;Sem Restrição de Vendas
RO-10 (ETCN);316;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;10 (ETCN) Secundária;Suburbio;117;377;377;377;0;0,3103;1100205;130;0,9;-63.847993984732,-8.765591382978,0 -63.846336379572,-8.7659266591026,0 -63.845850899741,-8.765974938864799,0 -63.845065012499,-8.7660580873443,0 -63.844877257868,-8.7660500407172,0 -63.844423964545,-8.766127824778801,0 -63.844265714213,-8.7662431597664,0 -63.843962624594,-8.7664496898606,0 -63.843707814738,-8.766506016249901,0 -63.8430010526624,-8.766493275757069,0 -63.84306534185949,-8.76620401627863,0 -63.8429654086189,-8.766179310619041,0 -63.8429861747839,-8.76610900740619,0 -63.8430826923988,-8.76613469793941,0 -63.8432903959589,-8.76520749181061,0 -63.84339148171069,-8.76475302502068,0 -63.84328358566199,-8.76472320640015,0 -63.8432990712282,-8.76465784851017,0 -63.8434051442126,-8.76468873582337,0 -63.8435126840301,-8.76421943306481,0 -63.84326860300991,-8.76416243612357,0 -63.84305603794569,-8.764132261272479,0 -63.8432089238587,-8.763465732332421,0 -63.84336180977169,-8.7627998739446,0 -63.8431871309096,-8.762761820104201,0 -63.8432337342911,-8.76256082206613,0 -63.8438352196626,-8.76270063221102,0 -63.8437869399002,-8.76290380954385,0 -63.844448104422,-8.7630888819658,0 -63.844346180479,-8.7634429335557,0 -63.8477619736528,-8.764385730025831,0 -63.84767748406839,-8.764704912898511,0 -63.848152235064,-8.76484438776737,0 -63.847993984732,-8.765591382978,0;ATIVAS;Sem Restrição de Vendas
RO-11 (ETCN);316;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;11 (ETCN) Secundária;Suburbio;166;484;484;484;0;0,343;1100205;119;1,39495798319328;-63.8505333661961,-8.76008749008205,0 -63.8504911214099,-8.760281950233869,0 -63.8508347794429,-8.76036040484667,0 -63.850674182181,-8.7610557675329,0 -63.850448876624,-8.761002123352601,0 -63.8503000140237,-8.761613667009421,0 -63.850212842231,-8.761596903203049,0 -63.850116282707,-8.7620562314968,0 -63.850066661841,-8.762335181234301,0 -63.8484358787582,-8.761983811853669,0 -63.8484908640436,-8.76172900199729,0 -63.8482970744423,-8.761676698921461,0 -63.848387598995,-8.761291801928,0 -63.84464055299709,-8.76034766435524,0 -63.8449570536593,-8.758987784384921,0 -63.8464725017511,-8.75935524702005,0 -63.8465341925587,-8.7591353058808,0 -63.8505333661961,-8.76008749008205,0;ATIVAS;Sem Restrição de Vendas
RO-12 (ETCN);316;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;12 (ETCN) Secundária;Suburbio;158;483;483;477;0;0,3271;1100205;119;1,32773109243697;-63.85258713368389,-8.76053407788266,0 -63.85251290350161,-8.76081698389474,0 -63.8528936765013,-8.760901574036909,0 -63.85288700462161,-8.760925412161271,0 -63.8525664806469,-8.762201070784849,0 -63.8522314727574,-8.76212006807055,0 -63.8521678373322,-8.76240840554987,0 -63.8522071987986,-8.76249825951094,0 -63.85208421933531,-8.76293975117208,0 -63.85146677495,-8.7628260254853,0 -63.85140508414201,-8.7631747126575,0 -63.851244151601,-8.7631398439403,0 -63.851032257087,-8.7642395496368,0 -63.8509035110542,-8.764212727546649,0 -63.8508203625751,-8.764625787734911,0 -63.849886953837,-8.7644353508948,0 -63.8493598997651,-8.764325380325159,0 -63.8480067253166,-8.764051795005621,0 -63.84769827127981,-8.76396328210819,0 -63.84786054492541,-8.763233721256119,0 -63.847911506897,-8.76324713230118,0 -63.84797722101779,-8.76297891139971,0 -63.84775392711751,-8.76291587948783,0 -63.8478779792846,-8.76242369413357,0 -63.8480120897348,-8.761892616748611,0 -63.84843319655031,-8.761989846825429,0 -63.8494765758571,-8.76221582293496,0 -63.8500733673616,-8.76234993338565,0 -63.85022491217089,-8.761616349220141,0 -63.85031074286,-8.7616378068922,0 -63.850463628774,-8.76102089881884,0 -63.85068625212201,-8.761071860790119,0 -63.8507278263617,-8.76089751720418,0 -63.8507854938554,-8.76064538955675,0 -63.8508954644249,-8.760173320770109,0 -63.85258713368389,-8.76053407788266,0;ATIVAS;Sem Restrição de Vendas
RO-6 (ETCN);316;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;6 (ETCN) Secundária;Suburbio;177;491;491;491;0;0,3605;1100205;169;1,04733727810651;-63.84299046596301,-8.766477240187101,0 -63.84245938857801,-8.766337765318401,0 -63.84233868917299,-8.7658656965317,0 -63.84230918486999,-8.765706105095299,0 -63.842281021675,-8.765547854763399,0 -63.842095949253,-8.7653292547287,0 -63.841896124672,-8.765264881712,0 -63.841311403107,-8.764993978601501,0 -63.8399957795711,-8.76435695396057,0 -63.83971548873559,-8.76441596255736,0 -63.839408375803,-8.764468265633139,0 -63.8391616125739,-8.764503134350379,0 -63.83900068003291,-8.764533979754001,0 -63.838512517996,-8.764615787128649,0 -63.83838645417299,-8.7646332214872,0 -63.837914385386,-8.7646412681143,0 -63.837815143652,-8.764630539278199,0 -63.837300159523,-8.764668090203701,0 -63.837176777908,-8.7646385859045,0 -63.83688844043699,-8.7645983527688,0 -63.8370483762809,-8.76402268030234,0 -63.8370662506812,-8.764022008579669,0 -63.83712531025391,-8.76395784567754,0 -63.8371411616662,-8.763896498136569,0 -63.837223716562,-8.763618005373701,0 -63.837459673847,-8.763654067673141,0 -63.8374891899066,-8.76352801183611,0 -63.8375971841906,-8.763387477783519,0 -63.8376211791568,-8.763340328242521,0 -63.83768304485099,-8.763304186919401,0 -63.8378204678725,-8.76333830462135,0 -63.837892927707,-8.763147948244301,0 -63.838190652899,-8.7617927621391,0 -63.83817187743201,-8.7617873977212,0 -63.83819841449449,-8.761658732131011,0 -63.83778884621509,-8.761558122475369,0 -63.8378273544249,-8.76140307739268,0 -63.8380889669959,-8.761471245737241,0 -63.8380665873451,-8.761542565685589,0 -63.83821691174461,-8.761584890940551,0 -63.83878909397441,-8.761732372204881,0 -63.8398835156744,-8.76200922982267,0 -63.8399964913896,-8.76203526381363,0 -63.839994438455,-8.762058300830899,0 -63.839959569737,-8.7622111867448,0 -63.839919336602,-8.762200457908699,0 -63.83984021143601,-8.7625357340356,0 -63.839685984412,-8.763241155006201,0 -63.839533098498,-8.763766867973199,0 -63.839538462913,-8.7637541274811,0 -63.839840211427,-8.763822523810999,0 -63.839979686296,-8.7638392876173,0 -63.840286799224,-8.7638788502008,0 -63.840480588825,-8.763923106649999,0 -63.84065225020201,-8.7639982085024,0 -63.84088157907,-8.764051852683201,0 -63.841054581551,-8.764083368639101,0 -63.841395892645,-8.764150423865299,0 -63.841835774918,-8.7642536889143,0 -63.84220323755001,-8.7643375079465,0 -63.842226706872,-8.764342872364301,0 -63.842281692153,-8.7640699575973,0 -63.8423199136307,-8.763968704207031,0 -63.8425569538524,-8.764029389185991,0 -63.8429334689428,-8.764122931225369,0 -63.8432714272762,-8.76417087571142,0 -63.84349941503999,-8.7642241846155,0 -63.8433948088884,-8.76467479572996,0 -63.84329221439349,-8.764648644192061,0 -63.8432737742066,-8.764728104634109,0 -63.8433746923207,-8.764753920895879,0 -63.84320571315099,-8.765525055987499,0 -63.843076967109,-8.766121847492601,0 -63.8429834250683,-8.7660960312308,0 -63.8429614644814,-8.766187058699231,0 -63.8430561799866,-8.766212372046789,0 -63.842997841938,-8.766450418096801,0 -63.84299046596301,-8.766477240187101,0;ATIVAS;Sem Restrição de Vendas
RO-7 (ETCN);316;RO;PORTO VELHO;PVO;ETCN;BRONZE;Sem Restrição de Vendas;Sem Restrição de Vendas;7 (ETCN) Secundária;Suburbio;144;375;375;375;0;0,384;1100205;129;1,11627906976744;-63.8384698122319,-8.75732535693078,0 -63.83807586276901,-8.7591127139631,0 -63.838198573827,-8.7591368538442,0 -63.838090614891,-8.7598744613222,0 -63.838173092817,-8.759893236785301,0 -63.83814627072501,-8.7600052190111,0 -63.83828172228,-8.7600374055193,0 -63.83795134116949,-8.761427976720331,0 -63.8378236613548,-8.761396329940339,0 -63.83778111815269,-8.761558813123051,0 -63.836558402984,-8.7612511050982,0 -63.836476595606,-8.7615568769259,0 -63.83575776359199,-8.761414719847901,0 -63.836939276664,-8.756762428310701,0 -63.837756009304,-8.7569407952102,0 -63.83850702782701,-8.7570990455421,0 -63.83877290182311,-8.757136596469829,0 -63.83873484799641,-8.75726098391366,0 -63.8388737361388,-8.75729149404158,0 -63.8388482970661,-8.757421916455121,0 -63.8384698122319,-8.75732535693078,0;ATIVAS;Sem Restrição de Vendas
