name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
RR-170 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;170 (BT) Secundária;BAIXO;30;207;177;177;0;0,144927536231884;;51,75;0,579710144927536;-60.740061737533,2.8521542251118,0 -60.739949084755,2.8530420362957,0 -60.739737190242,2.853095680476,0 -60.739739872451,2.853270024062,0 -60.7399356737095,2.85331562161524,0 -60.73982570313991,2.85396203398777,0 -60.7397532834966,2.85475328564719,0 -60.7397050037344,2.85532459616738,0 -60.7404050602868,2.855356782675559,0 -60.74109707021229,2.85535141825754,0 -60.74126873159,2.8538064658649,0 -60.741444416279,2.853523492814,0 -60.741500742669,2.853469848633699,0 -60.74152488255,2.8532499074944,0 -60.741390772099,2.8532391786584,0 -60.741481967205,2.851911485196,0 -60.740693397755,2.8518524765977,0 -60.74036616825501,2.8519436717042,0 -60.740087218518,2.851932942868201,0 -60.740061737533,2.8521542251118,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-117 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;117 (BT) Secundária;BAIXO;173;402;229;229;0;0,430348258706468;;100,5;1,72139303482587;-60.7416460018457,2.81908508261475,0 -60.7419987809252,2.81909610441838,0 -60.742175170465,2.81906138218497,0 -60.7427461628575,2.81918886035507,0 -60.7430385975177,2.81906141580616,0 -60.7435831598253,2.81905735287193,0 -60.74387023006741,2.81903183226558,0 -60.7439963677686,2.8191082356018,0 -60.7446082069342,2.81913489920912,0 -60.7447800160663,2.81903960154768,0 -60.74492358812611,2.81902950364316,0 -60.7450154907236,2.81912101421544,0 -60.74515969639701,2.81911596526319,0 -60.7451658791223,2.817958512831849,0 -60.74503217782531,2.81768019402585,0 -60.7452201370331,2.81754103462284,0 -60.74522421149081,2.817104583972109,0 -60.745308752219,2.81697390514908,0 -60.74520014832601,2.81657463071521,0 -60.74526052360089,2.816489174736081,0 -60.74529253990159,2.816171281312779,0 -60.74527627644009,2.81523647981605,0 -60.74491652001719,2.81527124522316,0 -60.7446207961957,2.815265674184971,0 -60.7443512136345,2.814970217953011,0 -60.7440266252333,2.81514641726734,0 -60.743034125677,2.81516085756013,0 -60.74292667287491,2.81446017729365,0 -60.7426259365821,2.81447502312057,0 -60.7425179904553,2.81508407192163,0 -60.7417549275627,2.8151434552293,0 -60.74182548330441,2.81639831453073,0 -60.74150443653,2.816494459537731,0 -60.74151680198081,2.81692278394503,0 -60.74169710100521,2.81696404121911,0 -60.7416997146201,2.81795482448254,0 -60.7416460018457,2.81908508261475,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-144 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;144 (BT) Secundária;BAIXO;180;445;265;265;0;0,404494382022472;;111,25;1,61797752808989;-60.762510731422,2.815113469053,0 -60.761113300525,2.8152180752046,0 -60.75660450717099,2.8155372580774,0 -60.75658304949901,2.815826936651,0 -60.756368472778,2.8162775477655,0 -60.756330921851,2.817334338117401,0 -60.756658151352,2.817350431371501,0 -60.756695702278,2.8178171357401,0 -60.756491854393,2.8178761443385,0 -60.7564543034659,2.81836967079727,0 -60.7624356295697,2.81855742542832,0 -60.76245976945081,2.81678984968741,0 -60.762510731422,2.815113469053,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-47 (BT);0;RR;BOA VISTA;BT;BT;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;47 (BT) Secundária;MEDIO;258;436;178;178;0;0,591743119266055;;109;2,36697247706422;-60.725713636812,2.8036637107106,0 -60.725976493301,2.8033633033011,0 -60.726148154678,2.8031916419242,0 -60.72633590930599,2.8032721081945,0 -60.726523663937,2.8031058112355,0 -60.726394917905,2.8028375903341,0 -60.72642173999499,2.8028000394079,0 -60.726502206265,2.8027410308095,0 -60.726604130208,2.802649835703,0 -60.72684552901901,2.8024352589818,0 -60.726985003886,2.8022689620228,0 -60.727065470156,2.8021402159901,0 -60.727188851771,2.8020865718098,0 -60.727242495951,2.8020436564655,0 -60.72735514873,2.801947096941,0 -60.72824027770501,2.8011638919086,0 -60.728476312098,2.8008205691547,0 -60.728503134188,2.8005845347614,0 -60.728803541598,2.8003270426961,0 -60.72890010112199,2.8001875678273,0 -60.72827782863,2.7983851233693,0 -60.727097656664,2.796518305895,0 -60.72671141856599,2.796346644518,0 -60.72643246882801,2.796346644518,0 -60.7262339853601,2.79631445800988,0 -60.7252683901153,2.79684553539481,0 -60.7249518894516,2.7981973687383,0 -60.7245334648453,2.79955456649984,0 -60.7238736414274,2.80163596069542,0 -60.7238039039933,2.80229578411306,0 -60.72365906470689,2.80286977684223,0 -60.7232781910265,2.80357788002215,0 -60.724147226747,2.8038246432515,0 -60.72489824527199,2.8042430678579,0 -60.725713636812,2.8036637107106,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-101 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;101 (BT) Secundária;BAIXO;233;445;212;212;0;0,523595505617978;;111,25;2,09438202247191;-60.731920268394,2.8271645555498,0 -60.731992688038,2.827188695431,0 -60.732282366611,2.8271726021769,0 -60.732319917538,2.8267997751238,0 -60.73229041323799,2.8266012916567,0 -60.73229577765601,2.8264349946978,0 -60.73242720589801,2.8263491640093,0 -60.73300924525301,2.8272289285659,0 -60.73318358884001,2.8271699199676,0 -60.73326673731899,2.8271243224143,0 -60.73334988579899,2.8271243224143,0 -60.73365565762801,2.8270223984716,0 -60.73374417052501,2.8271565089224,0 -60.733945336201,2.827092135906,0 -60.734347667554,2.8270653138159,0 -60.73453810439401,2.8270465383528,0 -60.734645392754,2.8269982585905,0 -60.734661486008,2.826933885574101,0 -60.73473927007,2.8268856058119,0 -60.734878744941,2.8268695125579,0 -60.734927024703,2.8268400082587,0 -60.734994079929,2.8267354021072,0 -60.735028948646,2.826703215599,0 -60.73518183456,2.8266468892097,0 -60.735026266437,2.826343799591,0 -60.734956529006,2.8260004768374,0 -60.734570290908,2.8251314411165,0 -60.73479559646899,2.825104619026301,0 -60.735101368296,2.8251260766984,0 -60.735085275042,2.8249275932313,0 -60.734940435755,2.824879313469,0 -60.734988715518,2.8247666606904,0 -60.7350021265629,2.82455476617826,0 -60.7346775792719,2.82385470962537,0 -60.73502333277769,2.82374248510961,0 -60.7348797088669,2.82331354579866,0 -60.7357253171683,2.82303030230025,0 -60.735523648578,2.82256043114386,0 -60.7351342253567,2.82262700179046,0 -60.7330642305494,2.82344850164292,0 -60.7328831814409,2.82341780292256,0 -60.7325800918222,2.82343150733424,0 -60.7323467396379,2.82341331860435,0 -60.7323333285928,2.82356737798464,0 -60.7322554228327,2.8237056437907,0 -60.7321576439022,2.82371590530882,0 -60.732151944208,2.82385504490146,0 -60.732051696646,2.82388421392448,0 -60.731979277003,2.8250241527559,0 -60.731920268394,2.8271645555498,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-141 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;141 (BT) Secundária;BAIXO;108;288;180;180;0;0,375;;72;1,5;-60.7459359959503,2.85092551784453,0 -60.7460868702076,2.84966622071204,0 -60.7461582840227,2.84902986662326,0 -60.7462283567333,2.84844581561027,0 -60.745744218006,2.8483801014894,0 -60.7454371050732,2.85087321476873,0 -60.7459359959503,2.85092551784453,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-65 (CE);0;RR;BOA VISTA;CE;CE;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;65 (CE) Secundária;MEDIO;114;252;138;138;0;0,452380952380952;;63;1,80952380952381;-60.688546895987,2.8075182437905,0 -60.688954591759,2.8067725896847,0 -60.68931937218499,2.8063756227505,0 -60.689437389382,2.8060859441768,0 -60.689373016365,2.8059035539638,0 -60.687313079842,2.8047662973415,0 -60.686216056355,2.80435323715323,0 -60.6856769323421,2.80508816242324,0 -60.685124397284,2.8057962656031,0 -60.683815479285,2.8073841333399,0 -60.683903992182,2.80748605728244,0 -60.683965682989,2.807620167733,0 -60.684362649923,2.8078293800361,0 -60.684555768972,2.8080707788475,0 -60.6850653886854,2.8084945678718,0 -60.6856876611766,2.80911549925875,0 -60.6859941035567,2.80915707349849,0 -60.6860564649163,2.80924022197796,0 -60.6860484182894,2.80942395329548,0 -60.686379671103,2.8095567226417,0 -60.687082409864,2.808703780175,0 -60.686948299414,2.8083980083473,0 -60.68750083447091,2.80789643526154,0 -60.688214302069,2.8072822093972,0 -60.688546895987,2.8075182437905,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-7 (BT);0;RR;BOA VISTA;BT;BT;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;7 (BT) Secundária;MEDIO;210;473;263;263;0;0,443974630021142;;118,25;1,77589852008457;-60.702503427949,2.8225767961277,0 -60.70254366109099,2.822445367886099,0 -60.70257048318099,2.82241452248252,0 -60.7027032525271,2.822398429228389,0 -60.702811881992,2.8224078169599,0 -60.703544125053,2.822418545796,0 -60.703643366787,2.8223917237058,0 -60.7037680895065,2.82239708812387,0 -60.70380094656689,2.82243463905014,0 -60.70398668954131,2.82243061573668,0 -60.70398937175,2.8216487518088,0 -60.704150304291,2.8214449039237,0 -60.704193219635,2.821283971382801,0 -60.70418249079899,2.8211874118582,0 -60.704171761963,2.8208870044486,0 -60.70393572756999,2.8209084621207,0 -60.70390354106101,2.819996511055599,0 -60.703721150848,2.8197765699164,0 -60.703646048995,2.8189826360479,0 -60.703420743436,2.818998729301999,0 -60.702857479543,2.819009458138,0 -60.702718004674,2.8190952888265,0 -60.702020630327,2.8191435685887,0 -60.700271830049,2.8192615857854,0 -60.70021801823061,2.81925596991027,0 -60.7002554015188,2.81963659213328,0 -60.7004911006359,2.81964145363711,0 -60.7005226165918,2.81981747360368,0 -60.7005695552495,2.82056648047109,0 -60.7004019171861,2.82069857926507,0 -60.700436115351,2.8213117993011,0 -60.7006356046465,2.82133409516354,0 -60.7006634325651,2.82189283282895,0 -60.700711712327,2.8223944059147,0 -60.700969204392,2.822458778931101,0 -60.701226696458,2.8225338807835,0 -60.702503427949,2.8225767961277,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-180 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;180 (BT) Secundária;BAIXO;81;237;156;156;0;0,341772151898734;;59,25;1,36708860759494;-60.7508703030061,2.85110866369534,0 -60.7510018988854,2.85088805200397,0 -60.7504239666615,2.8505108663613,0 -60.75078480759279,2.84987887086222,0 -60.7517346448593,2.84843450130791,0 -60.7509306527071,2.84791314693065,0 -60.7488231069737,2.84658712984893,0 -60.7485294050866,2.84723689498282,0 -60.7478803105067,2.8488958412583,0 -60.7492750591938,2.849797063487041,0 -60.7491382665347,2.85004382671645,0 -60.749599606485,2.8503442341261,0 -60.7508703030061,2.85110866369534,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
RR-163 (BT);0;RR;BOA VISTA;BT;BT;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;163 (BT) Secundária;BAIXO;162;438;276;276;0;0,36986301369863;;109,5;1,47945205479452;-60.745400608256,2.85091487409426,0 -60.745507896616,2.8500780248817,0 -60.74570906229241,2.84853307248907,0 -60.74362364478321,2.84827021600564,0 -60.74365985460471,2.84791884662471,0 -60.7438707432886,2.84775053800901,0 -60.74408884040909,2.84569898338874,0 -60.7439269858589,2.845633436905941,0 -60.743981510139,2.84519296789428,0 -60.744139787974,2.84515870948441,0 -60.7443597566164,2.843089995536749,0 -60.7432359660454,2.842275824610871,0 -60.74286593121379,2.84506776321565,0 -60.74263011684539,2.84506191683819,0 -60.742600162019,2.84543426193182,0 -60.74278612501821,2.845488765257191,0 -60.7425816903999,2.847683315145559,0 -60.74169865690079,2.84762346835692,0 -60.74160821616561,2.84806117134053,0 -60.7418077892802,2.84809587241965,0 -60.7415992475294,2.85026443840817,0 -60.74133890561679,2.85034926326825,0 -60.7412931404253,2.8508404427941,0 -60.7413700443868,2.85085058489693,0 -60.7413675926801,2.85088448969526,0 -60.74161592751629,2.85090498344851,0 -60.741607461794,2.85099768729759,0 -60.74178096718951,2.85102216245484,0 -60.7419861561793,2.85084513665988,0 -60.7428491569298,2.85095443667723,0 -60.7430362410087,2.85101545693232,0 -60.74325484104399,2.8510060692008,0 -60.7453335530308,2.85118980051829,0 -60.7453952438378,2.85112676860647,0 -60.745400608256,2.85091487409426,0;ATIVAS;SEM RESTRIÇÃO DE VENDAS
