name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
SC-29 (JNE);0;SC;JOINVILLE;JNE;JNE;;Bloqueado;Bloqueado;29 (JNE) SECUNDÁRIA;;0;1;1;1;1;0;0;0,25;0;-48.824561516123,-26.3675566292432,0 -48.823789039927,-26.3676156378422,0 -48.8237246669101,-26.3666500425967,0 -48.8222896850878,-26.366773424211,0 -48.8222870028785,-26.3667305088672,0 -48.82116047509499,-26.3668109751372,0 -48.8211484051587,-26.3667546487477,0 -48.81909249195299,-26.366853890481,0 -48.8191380894984,-26.3657823479821,0 -48.819423744759,-26.365790394609,0 -48.819670507988,-26.365785030191,0 -48.820507357201,-26.365744797056,0 -48.820472488484,-26.365374652212,0 -48.820882866467,-26.364940134349,0 -48.820813129034,-26.363883343994,0 -48.822543153849,-26.363883343994,0 -48.823122510999,-26.364073780825,0 -48.823396096319,-26.364095238497,0 -48.823439011663,-26.364620951464,0 -48.823825249771,-26.364596811577,0 -48.824133703807,-26.364572671696,0 -48.824342916111,-26.364559260651,0 -48.824994692901,-26.36445197229,0 -48.825059065918,-26.36477920179,0 -48.824415335754,-26.364856985851,0 -48.824452886681,-26.365999606887,0 -48.824466297727,-26.367016164097,0 -48.824561516123,-26.3675566292432,0;ATIVAS;Bloqueado
SC-402 (ESRT);0;SC;FLORIANOPOLIS;ESRT;ESRT;;Bloqueado;Bloqueado;402 (ESRT) SECUNDÁRIA;;0;2;2;2;2;0;0;0,5;0;-48.5803494334043,-27.5979552254484,0 -48.5804962843477,-27.5994706735418,0 -48.5803809493598,-27.5997308478161,0 -48.5774090617712,-27.5980115518373,0 -48.5762262075955,-27.5972658977312,0 -48.57850876746709,-27.5962412938874,0 -48.5795038670116,-27.5973409995836,0 -48.5796466946418,-27.5974858388704,0 -48.57968491612031,-27.5977580830856,0 -48.5800785302933,-27.5979565665527,0 -48.5801445796904,-27.5978653714462,0 -48.58026108814471,-27.5978931993648,0 -48.5803494334043,-27.5979552254484,0;ATIVAS;Bloqueado
SC-6 (JVL);0;SC;JOINVILLE;JVL;JVL;;Bloqueado;Bloqueado;6 (JVL) SECUNDÁRIA;;0;1;1;1;1;0;0;0,25;0;-48.8208147279549,-26.2171850795332,0 -48.8218131802612,-26.216464235859,0 -48.8221732668221,-26.2161779100452,0 -48.82424929660011,-26.220812767225,0 -48.8225648693382,-26.2245464021736,0 -48.8210708789169,-26.2239777738621,0 -48.8207879058658,-26.2238141591121,0 -48.8203956327973,-26.223634451108,0 -48.8206390432654,-26.2231757933664,0 -48.82132032435399,-26.221359937864,0 -48.818176775389,-26.21867772885,0 -48.8189298055698,-26.2182411993328,0 -48.8189817733694,-26.2183085898343,0 -48.8208147279549,-26.2171850795332,0;ATIVAS;Bloqueado
SC-232 (FLRT);0;SC;JOINVILLE;FLRT;FLRT;;Bloqueado;Bloqueado;232 (FLRT) SECUNDÁRIA;;0;384;384;384;384;0;0;96;0;-48.8127834024859,-26.3524124508341,0 -48.81190095571969,-26.3511544948058,0 -48.8126171055265,-26.3503310566379,0 -48.814199608845,-26.3511732702686,0 -48.81359342960799,-26.3518465047316,0 -48.8127834024859,-26.3524124508341,0;ATIVAS;Bloqueado
SC-22 (INVR);0;SC;FLORIANOPOLIS;INVR;INVR;;Bloqueado;Bloqueado;22 (INVR) SECUNDÁRIA;;0;14;14;14;14;0;0;3,5;0;-48.400384534266,-27.4560455683473,0 -48.4055129179024,-27.4560241106753,0 -48.40550218906699,-27.4595968130828,0 -48.3990648874314,-27.4595807198288,0 -48.3990514763864,-27.458317399383,0 -48.4017672130137,-27.4582986239198,0 -48.4031291046408,-27.4582946006062,0 -48.4038234614995,-27.458299294472,0 -48.40448294964089,-27.4582986239197,0 -48.4045003840001,-27.4574470225574,0 -48.397938359645,-27.457375944019,0 -48.3979383596449,-27.4563459757572,0 -48.3989790567426,-27.4563513401752,0 -48.3989924677876,-27.4560482505565,0 -48.400384534266,-27.4560455683473,0;ATIVAS;Bloqueado
SC-1002 (ESRT);0;SC;FLORIANOPOLIS;ESRT;ESRT;MEDIO;Sem Restrição de Vendas;Sem Restrição de Vendas;1002 (ESRT) SECUNDÁRIA;MEDIO;9;891;882;882;0;1,01010101010101E-02;0;222,75;4,04040404040404E-02;-48.5811774432721,-27.5970348715766,0 -48.5810600128087,-27.5972393481046,0 -48.5810261080103,-27.5973020237856,0 -48.5809466056588,-27.5974210258559,0 -48.5808646306457,-27.597518842666,0 -48.5806881077649,-27.5976998079557,0 -48.58059213497359,-27.5977721856896,0 -48.5803734511199,-27.5978834554543,0 -48.5803117603126,-27.5978998839845,0 -48.5802561044755,-27.5978878140441,0 -48.5802584514084,-27.5978891551486,0 -48.58019441366821,-27.5978723913424,0 -48.58014512807969,-27.5978596508485,0 -48.5801116004667,-27.5979075953349,0 -48.5800784081297,-27.597954869269,0 -48.57969149948,-27.5977523624885,0 -48.5796492546867,-27.597485482692,0 -48.5796928405829,-27.597233355045,0 -48.5801273584439,-27.596890032291,0 -48.5806691646639,-27.596439421176,0 -48.5816776752539,-27.595742046833,0 -48.5817534476578,-27.5957702100274,0 -48.5819224268261,-27.5958191603413,0 -48.58189225197491,-27.596122920513,0 -48.5817044973439,-27.59602099657,0 -48.5813423991269,-27.596388459205,0 -48.5813786089484,-27.5965923070902,0 -48.58122438192999,-27.5966425985095,0 -48.581068813807,-27.5966687500477,0 -48.5809715837303,-27.5967599451538,0 -48.5808904469077,-27.5968471169465,0 -48.5808126628464,-27.5969463586802,0 -48.5807945579355,-27.5969613203773,0 -48.5807921287409,-27.5969636329766,0 -48.5807871818608,-27.5969691155473,0 -48.58077035551101,-27.5969825447009,0 -48.5807724143187,-27.5969821071937,0 -48.5807714743889,-27.5969851908297,0 -48.5807721853461,-27.596987131536,0 -48.5807768166686,-27.5969844714655,0 -48.58077836270209,-27.5969821538677,0 -48.5807899039917,-27.5969790238168,0 -48.5807968735981,-27.5969771636779,0 -48.5808083028072,-27.5969804058089,0 -48.58081342334389,-27.5969871204645,0 -48.5808293039885,-27.5969995966317,0 -48.5808468610137,-27.5970077142092,0 -48.5808706656187,-27.5970120727988,0 -48.5808783769693,-27.5970057025522,0 -48.58088977635761,-27.5969966500971,0 -48.5809132456864,-27.5969798862911,0 -48.5809236392464,-27.5969775393581,0 -48.5809300094931,-27.5969822332238,0 -48.5809353739112,-27.5969839096045,0 -48.580948282042,-27.5969679839884,0 -48.5809471085755,-27.5969704985594,0 -48.580950796613,-27.5969637930367,0 -48.58100309968741,-27.5969255715587,0 -48.5811774432721,-27.5970348715766,0;ATIVAS;Sem Restrição de Vendas
SC-32 (FNS);0;SC;FLORIANOPOLIS;FNS;FNS;ALTO;Sem Restrição de Vendas;Sem Restrição de Vendas;32 (FNS) SECUNDÁRIA;ALTO;36;511;475;475;0;7,04500978473581E-02;0;127,75;0,281800391389432;-48.5430402657192,-27.5911849387814,0 -48.5435539087457,-27.5911876209905,0 -48.54364108053879,-27.5917951413325,0 -48.5433990530847,-27.5918047805212,0 -48.5434024477555,-27.5918854982487,0 -48.5432630567057,-27.5918873422675,0 -48.5432346420539,-27.5914593622915,0 -48.54287698624561,-27.591473946803,0 -48.54283038286389,-27.5916435965232,0 -48.5405555343431,-27.5916731008223,0 -48.54046953601659,-27.5917656370333,0 -48.53783275691689,-27.5917535670928,0 -48.53783275691689,-27.5909609743282,0 -48.5394882247028,-27.5907611078471,0 -48.5401056775999,-27.5900650326983,0 -48.5426012216312,-27.5900622666702,0 -48.5433061396879,-27.5900620990322,0 -48.5435242368084,-27.5911334738956,0 -48.5433477558371,-27.5911371200235,0 -48.5433335485112,-27.5909986090736,0 -48.5430302074354,-27.5910099246429,0 -48.5430402657192,-27.5911849387814,0;ATIVAS;Sem Restrição de Vendas
SC-54 (CAHE);0;SC;FLORIANOPOLIS;CAHE;CAHE;MEDIO;Sem Restrição de Vendas;Sem Restrição de Vendas;54 (CAHE) SECUNDÁRIA;MEDIO;8;511;503;503;0;1,56555772994129E-02;0;127,75;6,26223091976517E-02;-48.4843215346352,-27.6575750112786,0 -48.4850618243178,-27.6569634676296,0 -48.48359096794939,-27.6556553878207,0 -48.4834954142533,-27.6557108760198,0 -48.4829210024292,-27.6552587561629,0 -48.4825011109898,-27.6549202110938,0 -48.4826062619651,-27.6548103243432,0 -48.48366774618239,-27.6538403705078,0 -48.4847258776387,-27.6539501734392,0 -48.48502259701089,-27.6537523186148,0 -48.4853085875471,-27.6540801767573,0 -48.4861970692832,-27.6534377038791,0 -48.4869544580539,-27.6542054862096,0 -48.48852187394709,-27.6532995701149,0 -48.4889268875087,-27.6537823677376,0 -48.4849143028267,-27.6563706994311,0 -48.4863170981416,-27.6573362946764,0 -48.48536759615079,-27.6584467292084,0 -48.4843215346352,-27.6575750112786,0;ATIVAS;Sem Restrição de Vendas
SC-23 (RBIL);0;SC;FLORIANOPOLIS;RBIL;RBIL;MEDIO;Sem Restrição de Vendas;Sem Restrição de Vendas;23 (RBIL) SECUNDÁRIA;MEDIO;38;340;302;302;0;0,111764705882353;0;85;0,447058823529412;-48.5652747376816,-27.6838920019686,0 -48.56541823586401,-27.6843070738135,0 -48.56551211317959,-27.6846242450293,0 -48.5650397091169,-27.6848254107054,0 -48.56500450512361,-27.6847878597793,0 -48.5626139863391,-27.6853001617014,0 -48.56182876964999,-27.6854671292126,0 -48.5615468024273,-27.6855264730871,0 -48.5612634941001,-27.6855831347526,0 -48.56063116332489,-27.6857108749571,0 -48.5599384828468,-27.685848002893,0 -48.5599039494058,-27.6856944464268,0 -48.5596105827947,-27.6857588194431,0 -48.55893801888429,-27.6858902476848,0 -48.5587938501498,-27.6858982943118,0 -48.5587903297504,-27.6855130620421,0 -48.5578909515401,-27.6856267206491,0 -48.5569303854368,-27.685764183861,0 -48.5567030682227,-27.6857977114736,0 -48.5565987973473,-27.6858231924592,0 -48.5564717276952,-27.68563946114161,0 -48.55761636039231,-27.6851177714881,0 -48.5589541121385,-27.6849206291254,0 -48.56043871482811,-27.6847087346135,0 -48.5612822695633,-27.6846094928799,0 -48.5621204598804,-27.6845048867284,0 -48.562476523127,-27.6844264321147,0 -48.562796376552,-27.6843721173822,0 -48.5652747376816,-27.6838920019686,0;ATIVAS;Sem Restrição de Vendas
SC-26 (CABJ);0;SC;FLORIANOPOLIS;CABJ;CABJ;ALTO;Sem Restrição de Vendas;Sem Restrição de Vendas;26 (CABJ) SECUNDÁRIA;ALTO;5;568;563;563;0;8,80281690140845E-03;0;142;3,52112676056338E-02;-48.4594133066658,-27.4274056786141,0 -48.4614839720254,-27.4274727338393,0 -48.4629162716395,-27.4275451534826,0 -48.4628743621237,-27.4284108364422,0 -48.4637953656443,-27.4284208947261,0 -48.4637678730021,-27.4292268985353,0 -48.4620358365301,-27.4292825543725,0 -48.4619915800814,-27.429783456906,0 -48.4610585066204,-27.429743894323,0 -48.4610963928228,-27.429075353726,0 -48.4593663680081,-27.4290217095457,0 -48.4594133066658,-27.4274056786141,0;ATIVAS;Sem Restrição de Vendas
