name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
SE-84 (GGU);0;SE;ARACAJU;GGU;GGU;;Bloqueado;Bloqueado;84 (GGU) SECUNDÁRIA;;0;43;43;43;43;0;0;10,75;0;-37.080841016019,-10.956188994764,0 -37.081141423429,-10.958195287107,0 -37.078684519971,-10.958602982878,0 -37.078384112561,-10.956543046354,0 -37.080841016019,-10.956188994764,0;ATIVAS;Bloqueado
SE-25 (GGU);0;SE;ARACAJU;GGU;GGU;BAIXO;Sem Restrição de Vendas;Sem Restrição de Vendas;25 (GGU) SECUNDÁRIA;BAIXO;9;348;339;339;0;2,58620689655172E-02;0;87;0,103448275862069;-37.074193160971,-10.963506396149,0 -37.074753742655,-10.963079924916,0 -37.074898581942,-10.963208670948,0 -37.074961613853,-10.963269020651,0 -37.075007211407,-10.963301207159,0 -37.074688028534,-10.963636483286,0 -37.074701439579,-10.963664646481,0 -37.0748496316282,-10.9640951410286,0 -37.0749958120191,-10.9641152575965,0 -37.0752670504062,-10.9644988134841,0 -37.0752912741065,-10.9645253002977,0 -37.0753161683591,-10.9645601690145,0 -37.0750456843439,-10.9647199280886,0 -37.0752658350308,-10.9653751414593,0 -37.0750862318006,-10.9654211161981,0 -37.074897188452,-10.9648727930473,0 -37.0745042972182,-10.9649896577322,0 -37.0744526646948,-10.9650493368827,0 -37.0738230161274,-10.9652887240364,0 -37.0736640952434,-10.9647703871442,0 -37.07377607747,-10.964624877305,0 -37.073613803825,-10.96427216682,0 -37.074193160971,-10.963506396149,0;ATIVAS;Sem Restrição de Vendas
SE-82 (GGU);0;SE;ARACAJU;GGU;GGU;ALTO;Sem Restrição de Vendas;Sem Restrição de Vendas;82 (GGU) SECUNDÁRIA;ALTO;0;36;36;36;0;0;0;9;0;-37.0513119064388,-10.9392951012299,0 -37.0507486425458,-10.9393460632019,0 -37.050694998365,-10.9387506128,0 -37.051266308885,-10.9386942864109,0 -37.0513119064388,-10.9392951012299,0;ATIVAS;Sem Restrição de Vendas
SE-78 (AJU);0;SE;ARACAJU;AJU;AJU;BAIXO;Sem Restrição de Vendas;Sem Restrição de Vendas;78 (AJU) SECUNDÁRIA;BAIXO;39;481;442;442;0;8,10810810810811E-02;0;120,25;0,324324324324324;-37.083114683662,-10.91528367243,0 -37.083223313126,-10.91540437183,0 -37.083278298411,-10.915518365713,0 -37.083283662829,-10.915554575535,0 -37.083352059159,-10.915628336282,0 -37.083521038327,-10.915727578016,0 -37.084254622492,-10.915675274941,0 -37.084858119521,-10.915699414822,0 -37.085024416479,-10.915675274941,0 -37.085035145316,-10.915661863896,0 -37.085067331824,-10.91559480867,0 -37.085169255766,-10.91559480867,0 -37.085179984602,-10.915640406224,0 -37.085815668139,-10.915597490879,0 -37.085904181036,-10.915557257744,0 -37.085968554054,-10.916141979312,0 -37.086008787189,-10.916437022304,0 -37.0861053467141,-10.9166703744881,0 -37.0863004774197,-10.9170016273012,0 -37.0862005651336,-10.9173650666225,0 -37.0857063681225,-10.9177848323334,0 -37.0855665579775,-10.917654074644,0 -37.0855382271448,-10.9174049644818,0 -37.085359105874,-10.9174151904037,0 -37.0851813257077,-10.9174307807436,0 -37.0848970115511,-10.9171370788581,0 -37.0843833685252,-10.9173677488334,0 -37.0843417942852,-10.9173476322657,0 -37.0840715617266,-10.9174663200154,0 -37.0839568972908,-10.9176037832283,0 -37.0833534002625,-10.9179517998474,0 -37.0832950622168,-10.917955823161,0 -37.0832484588349,-10.9178381412404,0 -37.083109319242,-10.917834453203,0 -37.083117365869,-10.917756669142,0 -37.083052992853,-10.917729847052,0 -37.082991302045,-10.917515270331,0 -37.082857191595,-10.917402617552,0 -37.082884013685,-10.91727387152,0 -37.082902789149,-10.917118303397,0 -37.082878649267,-10.917080752471,0 -37.082867920432,-10.917019061664,0 -37.083157599007,-10.916418246845,0 -37.083077132737,-10.915978364566,0 -37.082993984258,-10.915895216086,0 -37.082983255421,-10.915787927726,0 -37.082894742524,-10.915688685993,0 -37.082715034519,-10.915342681028,0 -37.08284914497,-10.915224663831,0 -37.082774043117,-10.915058366872,0 -37.082854509388,-10.915012769319,0 -37.083114683662,-10.91528367243,0;ATIVAS;Sem Restrição de Vendas
SE-23 (AJU);0;SE;ARACAJU;AJU;AJU;BAIXO;Sem Restrição de Vendas;Sem Restrição de Vendas;23 (AJU) SECUNDÁRIA;BAIXO;36;437;401;401;0;8,23798627002288E-02;0;109,25;0,329519450800915;-37.0816005610584,-10.8969640237959,0 -37.0826855146107,-10.8962814015913,0 -37.0829818987061,-10.8961633843944,0 -37.0830891870669,-10.8962223929933,0 -37.083444579761,-10.895994405227,0 -37.083822771233,-10.8959233266875,0 -37.0840065025502,-10.8959467960163,0 -37.0840856277159,-10.8961110813184,0 -37.0842371725252,-10.8961372328561,0 -37.084609329026,-10.8968959627311,0 -37.0842323110199,-10.8971236990411,0 -37.0842985699643,-10.897257453261,0 -37.0838498447779,-10.8975132479911,0 -37.083641722122,-10.8971705538801,0 -37.0833667957,-10.8973073465405,0 -37.0833755128796,-10.897387812811,0 -37.083349361342,-10.897374401766,0 -37.08311064474,-10.897462914663,0 -37.08220405809,-10.897795508585,0 -37.081978752533,-10.897916207991,0 -37.082075312057,-10.898181746683,0 -37.081147267738,-10.898696730814,0 -37.081085576931,-10.898594806872,0 -37.080986335195,-10.898409734452,0 -37.080911233343,-10.898240755284,0 -37.080983652986,-10.897945712292,0 -37.080994381822,-10.897803555215,0 -37.081015839493,-10.89744413921,0 -37.081482543862,-10.897159825054,0 -37.0816005610584,-10.8969640237959,0;ATIVAS;Sem Restrição de Vendas
SE-72 (GGU);0;SE;ARACAJU;GGU;GGU;ALTO;Sem Restrição de Vendas;Sem Restrição de Vendas;72 (GGU) SECUNDÁRIA;ALTO;0;62;62;62;0;0;0;15,5;0;-37.056189873882,-10.942243442171,0 -37.056415179439,-10.94243656122,0 -37.056232789226,-10.943155393236,0 -37.0565010101275,-10.9443167897393,0 -37.0563910395579,-10.9446581008364,0 -37.0560986787753,-10.94473655545,0 -37.055685618587,-10.943584546678,0 -37.05556760139,-10.94279061281,0 -37.056189873882,-10.942243442171,0;ATIVAS;Sem Restrição de Vendas
SE-134 (AJU);0;SE;ARACAJU;AJU;AJU;ALTO;Sem Restrição de Vendas;Sem Restrição de Vendas;134 (AJU) SECUNDÁRIA;ALTO;11;520;509;509;0;2,11538461538462E-02;0;130;8,46153846153846E-02;-37.050325684169,-10.917564555986,0 -37.050196938136,-10.917569920404,0 -37.050089649776,-10.917586013658,0 -37.049140147785,-10.917559191568,0 -37.049124054531,-10.917516276223,0 -37.048861198047,-10.917349979264,0 -37.047504000286,-10.917355343682,0 -37.047316245654,-10.917457267625,0 -37.047128491023,-10.917419716699,0 -37.047418169597,-10.916051790101,0 -37.047809772113,-10.91602765022,0 -37.0489362999,-10.916024968011,0 -37.049314491371,-10.91602765022,0 -37.049895189622,-10.916023626908,0 -37.050068192103,-10.916015580281,0 -37.050089649776,-10.916016921385,0 -37.050093673089,-10.916134938582,0 -37.050124518493,-10.916129574164,0 -37.050395421603,-10.916114822014,0 -37.050383351662,-10.916228815897,0 -37.050377987244,-10.916472896917,0 -37.050361893991,-10.916856452806,0 -37.050367258407,-10.917181000097,0 -37.050364576198,-10.917417034491,0 -37.050375305034,-10.91752700506,0 -37.050325684169,-10.917564555986,0;ATIVAS;Sem Restrição de Vendas
SE-41 (GGU);0;SE;ARACAJU;GGU;GGU;ALTO;Sem Restrição de Vendas;Sem Restrição de Vendas;41 (GGU) SECUNDÁRIA;ALTO;56;2084;2028;2028;0;2,68714011516315E-02;0;521;0,107485604606526;-37.065874785175,-10.929859131597,0 -37.0660196244614,-10.9297075867872,0 -37.0664809644116,-10.9295748174411,0 -37.0673339068793,-10.9292985499127,0 -37.0681372284788,-10.9290115535479,0 -37.0678649842638,-10.9298859536867,0 -37.0678757130999,-10.9301139414529,0 -37.0680366456408,-10.9310178458909,0 -37.068315595381,-10.932198017855,0 -37.0682458579463,-10.9322865307526,0 -37.065493911497,-10.932637900133,0 -37.0652377605361,-10.9327478707029,0 -37.065157964818,-10.9326124191477,0 -37.0648850500507,-10.9327451884941,0 -37.0647697150631,-10.932597666998,0 -37.0644626021308,-10.9327438473891,0 -37.0643761008901,-10.9326372295807,0 -37.0639975741429,-10.9328145906518,0 -37.0639102347118,-10.9326833300481,0 -37.0637585222644,-10.9327612817476,0 -37.0633588731211,-10.9321779012869,0 -37.063187211744,-10.9321899712275,0 -37.0630209147849,-10.9319351613713,0 -37.064785808317,-10.931382626314,0 -37.066432684652,-10.930899828692,0 -37.066346853964,-10.930476039667,0 -37.066121548406,-10.930449217577,0 -37.065992802374,-10.930202454345,0 -37.065874785175,-10.929859131597,0;ATIVAS;Sem Restrição de Vendas
SE-199 (AJU);0;SE;ARACAJU;AJU;AJU;BAIXO;Sem Restrição de Vendas;Sem Restrição de Vendas;199 (AJU) SECUNDÁRIA;BAIXO;25;492;467;467;0;5,08130081300813E-02;0;123;0,203252032520325;-37.048927252297,-10.887270671475,0 -37.050053780083,-10.886873704541,0 -37.050437335973,-10.886710089791,0 -37.050332729822,-10.886439186681,0 -37.050220077043,-10.886187059034,0 -37.050456111436,-10.886074406255,0 -37.051314418321,-10.887549621213,0 -37.051679198748,-10.888558131802,0 -37.051668469912,-10.888955098736,0 -37.05164701224,-10.888987285245,0 -37.051455234295,-10.889062387097,0 -37.05136135698,-10.888818306077,0 -37.051274185187,-10.888583612788,0 -37.051152144677,-10.888682854522,0 -37.05010608316,-10.889445942986,0 -37.049714480644,-10.889582735646,0 -37.049459670788,-10.889040929425,0 -37.049186085469,-10.888670784581,0 -37.048858855968,-10.887707871544,0 -37.048829351669,-10.887514752495,0 -37.048793141846,-10.887289446938,0 -37.048927252297,-10.887270671475,0;ATIVAS;Sem Restrição de Vendas
SE-80 (AJU);0;SE;ARACAJU;AJU;AJU;BAIXO;Sem Restrição de Vendas;Sem Restrição de Vendas;80 (AJU) SECUNDÁRIA;BAIXO;35;459;424;424;0;7,62527233115468E-02;0;114,75;0,305010893246187;-37.073037855956,-10.903574703105,0 -37.074153654906,-10.903381584056,0 -37.074657910201,-10.903392312892,0 -37.07667493138,-10.903639076122,0 -37.077887289855,-10.903703449138,0 -37.079448335503,-10.903569338687,0 -37.080199354027,-10.903547881015,0 -37.080183260773,-10.903896568187,0 -37.080035739277,-10.903985081085,0 -37.078466647003,-10.904186246761,0 -37.075910501812,-10.904524205097,0 -37.072614066924,-10.904966769584,0 -37.072372668113,-10.904988227256,0 -37.072324388351,-10.904725370773,0 -37.072420947875,-10.904671726592,0 -37.072340481605,-10.904092369445,0 -37.072262697544,-10.904014585378,0 -37.072201006737,-10.904060182931,0 -37.07216613802,-10.90406286514,0 -37.072112493839,-10.903968987825,0 -37.071546547737,-10.90403604305,0 -37.071530454483,-10.90408968723,0 -37.071468763676,-10.904087005021,0 -37.07142853054,-10.903952894571,0 -37.070361011353,-10.904100416066,0 -37.070350282517,-10.903936801317,0 -37.072247945395,-10.903644440533,0 -37.073037855956,-10.903574703105,0;ATIVAS;Sem Restrição de Vendas
