name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
SP-151 (JSI);0;SP;SAO JOSE DOS CAMPOS;JSI;JSI;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;151 (JSI) Secundária;BAIXO;29;414;385;385;0;0,070;;103,5;0,280;-45.7793678934879,-23.1703140997498,0 -45.77788999632129,-23.1708884277552,0 -45.77700754955501,-23.169412206969,0 -45.77622434452299,-23.168757747969,0 -45.7757335002733,-23.1682534926741,0 -45.7751353676629,-23.1677921527235,0 -45.7755752499413,-23.1673790925352,0 -45.7761110211921,-23.1668979712931,0 -45.7765234108281,-23.1661754512397,0 -45.77713361337899,-23.1662109905092,0 -45.77742195084809,-23.1661472880451,0 -45.77788899049269,-23.166303191444,0 -45.7793678934879,-23.1703140997498,0;ATIVAS;Sem restrição de vendas
SP-362 (PVP);0;SP;SAO PAULO;PVP;PVP;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;362 (PVP) Secundária;MEDIO;8;257;249;249;0;0,031;;64,25;0,124;-46.55971446971171,-23.6079253200799,0 -46.5594382021833,-23.6084376220015,0 -46.5589191947391,-23.6097398344785,0 -46.55853386551151,-23.6097839201325,0 -46.5579880581783,-23.609644859624,0 -46.5578691543124,-23.6097500509305,0 -46.5574757784577,-23.6096788015969,0 -46.5573144580855,-23.6096405674919,0 -46.55729797699999,-23.6095084560714,0 -46.5572552030162,-23.6095040911684,0 -46.5571017879105,-23.6092073654829,0 -46.5570893287286,-23.6092001498596,0 -46.5570667102508,-23.6091802351164,0 -46.5570189334711,-23.6091696136057,0 -46.5569013353696,-23.608757978341,0 -46.55735211412221,-23.6084054354935,0 -46.5574146431198,-23.6084035914748,0 -46.5575092328971,-23.6084046392127,0 -46.5576024815699,-23.6084056869506,0 -46.5578317266217,-23.6084404718488,0 -46.55805418233189,-23.6081291679651,0 -46.5585892830304,-23.6076758746416,0 -46.5586093995981,-23.6075873617441,0 -46.5587891076013,-23.6076356415067,0 -46.55971446971171,-23.6079253200799,0;ATIVAS;Sem restrição de vendas
SP-109 (JSI);0;SP;SAO JOSE DOS CAMPOS;JSI;JSI;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;109 (JSI) Secundária;MEDIO;7;475;468;468;0;0,014;;118,7;0,058;-45.8490928745201,-23.1731105720918,0 -45.8491210377148,-23.1731794980331,0 -45.8490861689977,-23.1733141380952,0 -45.8490083849363,-23.1735270918301,0 -45.84886488675419,-23.1739079655102,0 -45.8481728768281,-23.1742030085021,0 -45.8474513626029,-23.1745101214347,0 -45.84542897700599,-23.174428314059,0 -45.845458481305,-23.1734144390521,0 -45.8452197647025,-23.173399107745,0 -45.8452492690013,-23.1728163064415,0 -45.8446815402105,-23.17278935736,0 -45.8446256554057,-23.1726137996607,0 -45.8446397370032,-23.17251791068839,0 -45.84464174866011,-23.172416657298,0 -45.8446528127723,-23.1722151563457,0 -45.8446531480484,-23.1721611768893,0 -45.8446518069438,-23.1719942093781,0 -45.8446377253463,-23.1719553173474,0 -45.84470478057201,-23.171338409274,0 -45.8456998801161,-23.1715650559355,0 -45.8456529414587,-23.1719579995562,0 -45.8460646605423,-23.1720505357677,0 -45.84651393055231,-23.1721524597102,0 -45.8475184178287,-23.1723697186404,0 -45.8487393991834,-23.1726331884571,0 -45.8486531288502,-23.1729730376874,0 -45.84894760901451,-23.1730462495816,0 -45.8490928745201,-23.1731105720918,0;ATIVAS;Sem restrição de vendas
SP-38 (PPF);0;SP;CAMPINAS;PPF;PPF;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;38 (PPF) Secundária;MEDIO;0;144;144;144;0;0;;36;0;-47.0979250966684,-22.9347012766103,0 -47.0993225275656,-22.9380433090423,0 -47.09888800970491,-22.9380754955504,0 -47.0980109273567,-22.9365090854857,0 -47.0975522696156,-22.9364688523505,0 -47.0974248646875,-22.9361369289849,0 -47.0969219504973,-22.9355260558817,0 -47.0969380437516,-22.9350928791258,0 -47.0971848069808,-22.9338979550098,0 -47.09749594322639,-22.9338429697251,0 -47.09772124878349,-22.9341889746883,0 -47.0979250966684,-22.9347012766103,0;ATIVAS;Sem restrição de vendas
SP-233 (SPCB);0;SP;SAO JOSE DOS CAMPOS;SPCB;SPCB;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;233 (SPCB) Secundária;BAIXO;5;322;317;317;0;0,015;;80,5;0,062;-45.8955361643179,-23.2905321445201,0 -45.8963971534115,-23.290518733475,0 -45.8967324295384,-23.2894458498691,0 -45.89690409091499,-23.28895232341,0 -45.8973600664477,-23.2879706349106,0 -45.8977194824562,-23.2878794398041,0 -45.89840612796401,-23.288018914673,0 -45.897955516849,-23.289370748017,0 -45.898438314472,-23.289714070771,0 -45.898846010242,-23.289681884263,0 -45.898867467914,-23.290271970246,0 -45.89895866302071,-23.2903095211724,0 -45.89946291831579,-23.2913394894339,0 -45.8988191881525,-23.2917203631137,0 -45.8986475267752,-23.2922661926484,0 -45.8982545831545,-23.2922353472448,0 -45.89825592425899,-23.2909358169765,0 -45.8973446437464,-23.2909244175884,0 -45.8973225155221,-23.2918155815336,0 -45.89488438752721,-23.2918169226388,0 -45.89500508693299,-23.290604564164,0 -45.8955361643179,-23.2905321445201,0;ATIVAS;Sem restrição de vendas
SP-90 (PVP);0;SP;SAO PAULO;PVP;PVP;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;90 (PVP) Secundária;MEDIO;6;258;252;252;0;0,023;;64,5;0,093;-46.5422820251911,-23.571501540765,0 -46.54245821279579,-23.5718172032385,0 -46.5425815105914,-23.57185936421151,0 -46.54267664519239,-23.5720544110983,0 -46.54229158056069,-23.5721782956273,0 -46.5423551992058,-23.5725882545115,0 -46.5426143613386,-23.5730254287912,0 -46.5420929294555,-23.57310281954719,0 -46.5418314140767,-23.5731363471601,0 -46.5414615206897,-23.5731937631969,0 -46.5410956506163,-23.5732458148156,0 -46.5409758732199,-23.5731805197899,0 -46.54087487128659,-23.5731299769138,0 -46.5408306194045,-23.5731438047707,0 -46.54084463786921,-23.5732919175663,0 -46.5407908621727,-23.5733192038696,0 -46.54077874911259,-23.5733227765217,0 -46.54056725987,-23.5733225394378,0 -46.5405764967569,-23.5733822807958,0 -46.54042688623,-23.5734356371178,0 -46.54024158706999,-23.5732629034206,0 -46.5400703762203,-23.5731452319775,0 -46.53996132766011,-23.5725552298132,0 -46.5387123402685,-23.5725861590358,0 -46.5386073988409,-23.5723933752626,0 -46.54066934702101,-23.5718750383703,0 -46.541179637286,-23.5717509862034,0 -46.5422820251911,-23.571501540765,0;ATIVAS;Sem restrição de vendas
SP-164 (SPCB);0;SP;SAO JOSE DOS CAMPOS;SPCB;SPCB;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;164 (SPCB) Secundária;ALTO;0;257;257;257;0;0;;64,25;0;-45.8857306888889,-23.2353450463937,0 -45.8858728459674,-23.238011162155,0 -45.886044507344,-23.2397250937157,0 -45.8846041611032,-23.2398015366725,0 -45.8835044554074,-23.2398404287031,0 -45.8834655633766,-23.2393475727966,0 -45.883434717973,-23.2388466702631,0 -45.88341594250989,-23.238344426625,0 -45.8833931437333,-23.2379253314665,0 -45.8837056210834,-23.2379038737943,0 -45.8836747756798,-23.2367733226945,0 -45.883630519231,-23.235680322521,0 -45.8852358213263,-23.2355569409062,0 -45.8852344802215,-23.2353772329021,0 -45.8857306888889,-23.2353450463937,0;ATIVAS;Sem restrição de vendas
SP-153 (PPF);0;SP;CAMPINAS;PPF;PPF;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;153 (PPF) Secundária;MEDIO;3;304;301;301;0;0,009;;76;0,039;-47.037794142835,-22.933443188669,0 -47.037941664327,-22.934364527465,0 -47.0387838779577,-22.93361887335911,0 -47.0394711940178,-22.9344141483319,0 -47.03964587287989,-22.9345603287231,0 -47.0401357113013,-22.9351101815711,0 -47.0389045773647,-22.9363681375989,0 -47.038297057023,-22.936381548644,0 -47.0376949010995,-22.9362662136565,0 -47.037457525602,-22.9360516369355,0 -47.0370930804524,-22.9365153238187,0 -47.0368493347085,-22.9370239377029,0 -47.0361418182619,-22.9367787670351,0 -47.0366560480214,-22.9359602741904,0 -47.0364372803488,-22.9357529059058,0 -47.035726159684,-22.935051172972,0 -47.036463767163,-22.934396713973,0 -47.03640475856499,-22.9343336820615,0 -47.036994844548,-22.933913916351,0 -47.03728586422599,-22.933712750675,0 -47.037794142835,-22.933443188669,0;ATIVAS;Sem restrição de vendas
SP-147 (JSI);0;SP;SAO JOSE DOS CAMPOS;JSI;JSI;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;147 (JSI) Secundária;MEDIO;0;38;38;38;0;0;;9,5;0;-45.836275397799,-23.172014578855,0 -45.8359803548048,-23.1733556833525,0 -45.8326329579557,-23.1732698526656,0 -45.8318712105972,-23.1726797666875,0 -45.8319999566299,-23.1697937097869,0 -45.8328596046193,-23.1698245551906,0 -45.832860945724,-23.1719367947898,0 -45.83591329958249,-23.170871957811,0 -45.8361600628122,-23.1711670008061,0 -45.8358650198201,-23.1718938794489,0 -45.836275397799,-23.172014578855,0;ATIVAS;Sem restrição de vendas
SP-148 (JSI);0;SP;SAO JOSE DOS CAMPOS;JSI;JSI;BAIXO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;148 (JSI) Secundária;BAIXO;3;231;228;228;0;0,012;;57,75;0,051;-45.784983517213,-23.167586037527,0 -45.784406842275,-23.167548486601,0 -45.78383017888999,-23.1675432463,0 -45.783828837786,-23.1675432463,0 -45.782214628976,-23.167530239304,0 -45.78209209589501,-23.165276655565,0 -45.78343856482,-23.163887271295,0 -45.78386235384501,-23.164048203836,0 -45.784988881631,-23.16727758349,0 -45.784983517213,-23.167586037527,0;ATIVAS;Sem restrição de vendas
