name;aging;uf;city;locality;station;cell_classification;cell_sales_status;survey_sales_status;cell;majority_group;hc;hp;hp_viable;hp_viable_total;blocked_hp_sale;ocup;cod_city_ibge;hc_expected;achievement;coordinates;cell_status;cell_status_sales
TO-119 (PMJ);0;TO;PALMAS;PMJ;PMJ;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;119 (PMJ) Secundária;MEDIO;34;350;316;316;0;0,097;;87,5;0,388;-48.328710243863,-10.2659399030196,0 -48.3247445978347,-10.2659264919739,0 -48.3247449331108,-10.2656207201463,0 -48.324949116272,-10.2656260845644,0 -48.3250087954224,-10.2617797968371,0 -48.3288577653584,-10.2618012545094,0 -48.3288463659702,-10.2624248681054,0 -48.3287464536845,-10.262423527001,0 -48.3287256665647,-10.2640315113055,0 -48.3281275758639,-10.2640384682851,0 -48.3281208912962,-10.26459984625,0 -48.325553357194,-10.2645881744498,0 -48.3255557093656,-10.265071841695,0 -48.3280981134743,-10.2650914867805,0 -48.32809819729329,-10.2656579357969,0 -48.3287099085868,-10.2656750348794,0 -48.328710243863,-10.2659399030196,0;ATIVAS;Sem restrição de vendas
TO-108 (GUR);0;TO;GURUPI;GUR;GUR;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;108 (GUR) Secundária;ALTO;66;233;167;167;0;0,283;;58,25;1,133;-49.0711025979343,-11.731841472143,0 -49.07060245138331,-11.7324276177246,0 -49.0692633780103,-11.7314895657963,0 -49.0690604448821,-11.7317555480971,0 -49.0687294100788,-11.7315130683041,0 -49.0686324236633,-11.7316479428359,0 -49.06790423547031,-11.7311522242102,0 -49.068027441537,-11.7309803230672,0 -49.0679237462465,-11.730907015936,0 -49.0686275895647,-11.7299109522036,0 -49.0671436574238,-11.7287559678542,0 -49.0672677095908,-11.7286060365611,0 -49.0674021553176,-11.728696026769,0 -49.0675580587166,-11.7285258427025,0 -49.06823531649211,-11.7290164354945,0 -49.06817228458041,-11.7290948901082,0 -49.0704325485896,-11.7306654911245,0 -49.0703690975826,-11.7307480528707,0 -49.0707213889729,-11.7310022759939,0 -49.0708001788625,-11.7309047106408,0 -49.07138731613239,-11.7313009242764,0 -49.0712402987599,-11.7314914380848,0 -49.0714888360233,-11.7316724929683,0 -49.0712642010229,-11.7319581482318,0 -49.0711025979343,-11.731841472143,0;ATIVAS;Sem restrição de vendas
TO-108 (GUR);0;TO;GURUPI;GUR;GUR;ALTO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;108 (GUR) Secundária;ALTO;66;233;167;167;0;0,283;;58,25;1,133;-49.0661981080468,-11.7276773188849,0 -49.0672830615935,-11.7284618650213,0 -49.0670805548126,-11.7287139926694,0 -49.06600498899721,-11.7279120121737,0 -49.0661981080468,-11.7276773188849,0;ATIVAS;Sem restrição de vendas
TO-93 (PXC);0;TO;PORTO NACIONAL;PXC;PXC;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;93 (PXC) Secundária;MEDIO;21;207;186;186;0;0,101;;51,75;0,405;-48.4052717423508,-10.6887785913577,0 -48.4051255619594,-10.688855034314,0 -48.4050424134792,-10.6886914195644,0 -48.4051885938705,-10.6886216821303,0 -48.4052717423508,-10.6887785913577,0;ATIVAS;Sem restrição de vendas
TO-75 (GUR);0;TO;GURUPI;GUR;GUR;BAIXO;BLOQUEADO;BLOQUEADO;75 (GUR) Secundária;BAIXO;8;249;241;241;249;0,032;;62,25;0,128;-49.06349863987909,-11.7501233842335,0 -49.06522061806681,-11.749067934986,0 -49.0677355242946,-11.7474805701632,0 -49.06787265223051,-11.7475843381244,0 -49.0681281326393,-11.7473171230513,0 -49.06837154310729,-11.7475296881157,0 -49.0680275498011,-11.7479092206913,0 -49.0677838040569,-11.7476822387534,0 -49.0674979811586,-11.7479841549056,0 -49.0676681337931,-11.7481573250252,0 -49.0674833966472,-11.7483494382459,0 -49.0676533816436,-11.74851875269,0 -49.06777569658039,-11.750088052228,0 -49.06770439989749,-11.7500920692283,0 -49.0677281252499,-11.7504995201231,0 -49.06779041192361,-11.7504954086923,0 -49.0678013820076,-11.7505995461153,0 -49.06762594434181,-11.7506103757629,0 -49.0676359685078,-11.7507503966642,0 -49.0677546832564,-11.7507426705376,0 -49.06777491923931,-11.7509688248967,0 -49.0676483525014,-11.7509782545378,0 -49.0676708160019,-11.7512955095728,0 -49.0657724825716,-11.7514074917992,0 -49.0657624242877,-11.751266675826,0 -49.0659562138891,-11.7512519236764,0 -49.0659414617396,-11.7509843733273,0 -49.0657771764374,-11.7509984549246,0 -49.06575102489951,-11.7507195051871,0 -49.0634738294458,-11.7508455690108,0 -49.06349863987909,-11.7501233842335,0;ATIVAS;Bloqueado
TO-75 (GUR);0;TO;GURUPI;GUR;GUR;BAIXO;BLOQUEADO;BLOQUEADO;75 (GUR) Secundária;BAIXO;8;249;241;241;249;0,032;;62,25;0,128;-49.0630442132676,-11.7500128147624,0 -49.0632147160881,-11.7500291927864,0 -49.063192455822,-11.7501670773769,0 -49.0633497003256,-11.750196581676,0 -49.0631183597985,-11.7509100492738,0 -49.0619569632951,-11.7515470739155,0 -49.0615720663007,-11.7508765216612,0 -49.0630442132676,-11.7500128147624,0;ATIVAS;Bloqueado
TO-116 (GUR);0;TO;GURUPI;GUR;GUR;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;116 (GUR) Secundária;MEDIO;15;224;209;209;0;0,066;;56;0,267;-49.0736509848109,-11.7233140012834,0 -49.0728243718633,-11.7243486278144,0 -49.0724984834681,-11.7247469358529,0 -49.0714604685792,-11.7239952467766,0 -49.0713726262339,-11.7241105817644,0 -49.0703681389585,-11.7233991258235,0 -49.0701730082525,-11.7236324780077,0 -49.06951083790189,-11.7231701322288,0 -49.0696082356167,-11.7230060145647,0 -49.0695607940447,-11.7229679607244,0 -49.0708288083562,-11.7213324837775,0 -49.0721909409632,-11.7223794568253,0 -49.0727028133125,-11.7217098161035,0 -49.0728441112453,-11.72181356311,0 -49.07233009103331,-11.7224823970736,0 -49.0730079355427,-11.7229885802061,0 -49.07310349044901,-11.7228789942086,0 -49.0736509848109,-11.7233140012834,0;ATIVAS;Sem restrição de vendas
TO-116 (GUR);0;TO;GURUPI;GUR;GUR;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;116 (GUR) Secundária;MEDIO;15;224;209;209;0;0,066;;56;0,267;-49.0692613034795,-11.7235788338172,0 -49.0694550930807,-11.7237142853726,0 -49.0695761277625,-11.7235520117272,0 -49.0699278324195,-11.7237799994935,0 -49.0695094078125,-11.7243513100131,0 -49.0690172224585,-11.7239865295878,0 -49.0692613034795,-11.7235788338172,0;ATIVAS;Sem restrição de vendas
TO-48 (PIT);0;TO;PARAISO DO TOCANTINS;PIT;PIT;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;48 (PIT) Secundária;MEDIO;10;205;195;195;0;0,048;;51,25;0,195;-48.89733478428679,-10.1770849948914,0 -48.897763183358,-10.1773113292467,0 -48.8972876779912,-10.1781769283871,0 -48.89710335994049,-10.1780665387224,0 -48.8970028609215,-10.1782525331537,0 -48.8971831556581,-10.1783555467435,0 -48.8970697485076,-10.1785551198577,0 -48.8968851789987,-10.1784513518958,0 -48.8968046289086,-10.1786140446361,0 -48.8964652456485,-10.1784521900856,0 -48.8961615483416,-10.1790137147337,0 -48.8955078227585,-10.1786867576457,0 -48.8954200432773,-10.1788466214939,0 -48.8956252951311,-10.178953511714,0 -48.89525970794631,-10.1796134294278,0 -48.8956643338445,-10.1798243285889,0 -48.89503055719089,-10.1808791282388,0 -48.8960241060834,-10.1813794021296,0 -48.89589762316461,-10.181615520342,0 -48.8956097886097,-10.1814735309023,0 -48.8955035060775,-10.1816857606907,0 -48.8952104747427,-10.1815442741654,0 -48.8950602710381,-10.1814705134179,0 -48.8947779685393,-10.1813394204523,0 -48.8949033618107,-10.181079581454,0 -48.8941228389873,-10.1806725562359,0 -48.89461368323721,-10.1797907800223,0 -48.8943954184786,-10.1796653867509,0 -48.89460429550561,-10.1792690903689,0 -48.8946686685192,-10.1793063060178,0 -48.8951675593931,-10.1783537865404,0 -48.8944835960935,-10.177964866233,0 -48.89477461577189,-10.1774190366988,0 -48.8945506220029,-10.1773025793378,0 -48.8946523447593,-10.17710015767,0 -48.8951012334229,-10.177328881533,0 -48.895411305137,-10.1768665016416,0 -48.8967748731448,-10.1766867936375,0 -48.8967985101143,-10.1768794097734,0 -48.89749940486,-10.1767944172762,0 -48.89733478428679,-10.1770849948914,0;ATIVAS;Sem restrição de vendas
TO-48 (PIT);0;TO;PARAISO DO TOCANTINS;PIT;PIT;MEDIO;SEM RESTRIÇÃO DE VENDAS;SEM RESTRIÇÃO DE VENDAS;48 (PIT) Secundária;MEDIO;10;205;195;195;0;0,048;;51,25;0,195;-48.894621845251,-10.1770938039461,0 -48.89448646488799,-10.1773527737243,0 -48.89407670453419,-10.1771271064278,0 -48.89421444002679,-10.1768764045033,0 -48.894621845251,-10.1770938039461,0;ATIVAS;Sem restrição de vendas
