name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
AC-460 (RBCR),113,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,460 (RBCR) Secundária,Comunidade,62,183,183,183,0.3388,1200401,66,0.939393939,"-67.7970552444709,-10.0436411797821,0 -67.7971665561449,-10.0434561073608,0 -67.7976855635896,-10.0437162816351,0 -67.79764264823601,-10.0437994301112,0 -67.7991433441799,-10.0444860756197,0 -67.7997495234177,-10.0456796586307,0 -67.7990119159405,-10.046394467332,0 -67.79682591559479,-10.0454664230119,0 -67.79694393279109,-10.04520088432,0 -67.7966354787542,-10.0451049953472,0 -67.7965308726025,-10.0453252717623,0 -67.7960641682338,-10.0451660156018,0 -67.79653070496219,-10.0438104942201,0 -67.7963176369832,-10.0437122583148,0 -67.7965094149281,-10.0433742999788,0 -67.7970552444709,-10.0436411797821,0",ATIVAS,Sem restrição de Venda,AC-460 (RBCR) Secundária
AC-16 (RBCR),113,AC,RIO BRANCO,RBO,RBCR,BRONZE,Sem Restrição de Vendas,16 (RBCR) Secundária,Comunidade,57,185,185,185,0.3081,1200401,70,0.814285714,"-67.7969385683737,-10.0452055781855,0 -67.7967588603705,-10.0455998629118,0 -67.79657378794769,-10.0455341487906,0 -67.79649198057299,-10.045880153754,0 -67.79673069717509,-10.0476209074039,0 -67.7972698211878,-10.0486240535764,0 -67.79672265054811,-10.0489539652843,0 -67.79640547933271,-10.0492476671717,0 -67.79620364310421,-10.0491631775879,0 -67.7960252762044,-10.0492570549037,0 -67.7952058613505,-10.0488802045368,0 -67.795014083406,-10.0492785125751,0 -67.7937547862731,-10.0489284842988,0 -67.79371924700359,-10.0487631931683,0 -67.79404178263761,-10.0483524799128,0 -67.7948477864467,-10.0479293614407,0 -67.79385671021571,-10.0465151667375,0 -67.79301382603271,-10.0471391156097,0 -67.7929393947327,-10.0470174103756,0 -67.79328766280931,-10.04670191554,0 -67.7933179214797,-10.0466003268736,0 -67.7935609966715,-10.0463602691666,0 -67.7938213385839,-10.0460484623686,0 -67.7939475700456,-10.045806393005,0 -67.79421126471939,-10.0455938279407,0 -67.7954543009598,-10.0458044651675,0 -67.7960750647087,-10.0451728887636,0 -67.79653791340191,-10.0453346594947,0 -67.7966374904116,-10.045111030318,0 -67.7969385683737,-10.0452055781855,0",ATIVAS,Sem restrição de Venda,AC-16 (RBCR) Secundária
AC-262 (RBCE),204,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,262 (RBCE) Secundária,Classe D+E,100,259,259,249,0.3861,1200401,39,2.564102564,"-67.80670583247451,-9.943883121014281,0 -67.80620425938901,-9.94422242045469,0 -67.805616855615,-9.944545626641,0 -67.80513942240999,-9.944652915001599,0 -67.804908752435,-9.944341778755801,0 -67.80298829077999,-9.945087432862,0 -67.802762985223,-9.9442988634116,0 -67.80197441577199,-9.944454431534499,0 -67.801421880715,-9.944840669632599,0 -67.8013018518616,-9.94468376040524,0 -67.8012032806804,-9.944521486759839,0 -67.8010825812748,-9.944367930293749,0 -67.80100211500439,-9.94417950511046,0 -67.80125424265201,-9.944072216749859,0 -67.80149161815,-9.943971633911801,0 -67.8015385568073,-9.944073557854351,0 -67.80300036072011,-9.943432509899811,0 -67.8032498061586,-9.9433131515986,0 -67.8037547320059,-9.943173676729829,0 -67.8044970333511,-9.942896068096809,0 -67.80443903058109,-9.94280554354255,0 -67.8045796789163,-9.94273144751852,0 -67.8049323055827,-9.942729938775949,0 -67.80503280460169,-9.942658692598989,0 -67.8055001795223,-9.94240254163808,0 -67.80569195746691,-9.94309723377293,0 -67.80670583247451,-9.943883121014281,0",ATIVAS,Sem restrição de Venda,AC-262 (RBCE) Secundária
AC-26 (RBCE),204,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,26 (RBCE) Secundária,Classe D+E,122,308,308,308,0.3961,1200401,69,1.768115942,"-67.80353546139369,-9.9448862671867,0 -67.8040491044203,-9.94467705488354,0 -67.8044132142941,-9.944555014373361,0 -67.8047585487049,-9.944438338281209,0 -67.80491495501811,-9.94435418397337,0 -67.8049989416879,-9.944472536446151,0 -67.80513204631031,-9.944675713779031,0 -67.8055699169321,-9.944569766522941,0 -67.8061727434083,-9.944249242545659,0 -67.8067018091366,-9.94388848543316,0 -67.8068050741829,-9.943976998330649,0 -67.80744343992799,-9.944486618043401,0 -67.80700355765001,-9.9449157714858,0 -67.80743271108901,-9.945457577707501,0 -67.806987464393,-9.9458169937155,0 -67.807290554011,-9.9462112784406,0 -67.807143032515,-9.9462595582029,0 -67.80711889263399,-9.946281015875,0 -67.80681580301599,-9.946380257608499,0 -67.806217670405,-9.946712851526399,0 -67.806129157507,-9.9465197324773,0 -67.803373187736,-9.9462863802923,0 -67.80334100122801,-9.946313202382401,0 -67.802938669876,-9.9462649226202,0 -67.80302450056401,-9.9452349543584,0 -67.8029909729517,-9.94508877396712,0 -67.8030660748036,-9.945065975190451,0 -67.80320957298601,-9.945024400950761,0 -67.8033228963231,-9.944970756770569,0 -67.80353546139369,-9.9448862671867,0",ATIVAS,Sem restrição de Venda,AC-26 (RBCE) Secundária
AC-263 (RBCE),204,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,263 (RBCE) Secundária,Suburbio,124,359,359,359,0.3454,1200401,54,2.296296296,"-67.80273765114229,-9.94882675289718,0 -67.80272993979059,-9.9491730931361,0 -67.8027175345732,-9.94951541006149,0 -67.8029515573089,-9.95022887765932,0 -67.80303202357869,-9.95044814824616,0 -67.80309639659529,-9.950606398578049,0 -67.80301525977281,-9.950643278952009,0 -67.8028241523805,-9.95098056673559,0 -67.80279062476799,-9.95119648456131,0 -67.8024204799235,-9.951320536728259,0 -67.802050335079,-9.951441906686201,0 -67.801428062588,-9.951710127587701,0 -67.801363689572,-9.951610885854111,0 -67.8008627870382,-9.95182479202308,0 -67.8003672489224,-9.952049427028109,0 -67.8005174526274,-9.9523391056017,0 -67.79999576297401,-9.9525898921446,0 -67.799346668395,-9.951201848979879,0 -67.79980532613681,-9.95100537716953,0 -67.799990398559,-9.95093362807838,0 -67.7993097880212,-9.94970115303598,0 -67.799421770248,-9.949623368974599,0 -67.79935739723101,-9.949521445032,0 -67.7993446567389,-9.949509375091431,0 -67.79898188796901,-9.949108384843701,0 -67.799346668395,-9.948786519761899,0 -67.79996089426,-9.948413022156601,0 -67.800263983878,-9.948850892778299,0 -67.800682408485,-9.948722146745601,0 -67.80273765114229,-9.94882675289718,0",ATIVAS,Sem restrição de Venda,AC-263 (RBCE) Secundária
AC-112 (RBCE),243,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,112 (RBCE) Secundária,Suburbio,154,404,404,404,0.3812,1200401,91,1.692307692,"-67.83030761209599,-9.992903563352669,0 -67.83270550695551,-9.994399565430641,0 -67.83258212534049,-9.994584637852681,0 -67.8324748369796,-9.99474020597555,0 -67.8341404887786,-9.996070581646959,0 -67.8324480148865,-9.998320955010239,0 -67.83095000115151,-9.99731512662974,0 -67.8307179900719,-9.997138771386989,0 -67.83092753765121,-9.996876585455739,0 -67.8308465684667,-9.99680181887943,0 -67.83152357478581,-9.99602649283605,0 -67.8314148195922,-9.9959600243439,0 -67.83164475615099,-9.995714895585641,0 -67.8316940103095,-9.99575594595643,0 -67.8320197153506,-9.995356705430989,0 -67.8319095614269,-9.99526189562874,0 -67.83130539384361,-9.994802902611029,0 -67.83032772865511,-9.994046854944941,0 -67.8306408765573,-9.99376723465514,0 -67.8303552212973,-9.993640835555301,0 -67.8298496248982,-9.993348139496529,0 -67.8290717842841,-9.992892834516219,0 -67.8293128478234,-9.99280432161892,0 -67.83030761209599,-9.992903563352669,0",ATIVAS,Sem restrição de Venda,AC-112 (RBCE) Secundária
AC-113 (RBCE),243,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,113 (RBCE) Secundária,Suburbio,94,436,436,436,0.2156,1200401,98,0.959183673,"-67.83371334699849,-9.99186957178142,0 -67.833148742001,-9.992788228368999,0 -67.83470777599101,-9.99402003285913,0 -67.8351828622629,-9.994300658977339,0 -67.8359313662161,-9.994655548757629,0 -67.83680182686049,-9.99509316792223,0 -67.83649676749459,-9.995601656078129,0 -67.83513590265041,-9.9948138619538,0 -67.8341518881726,-9.99607125220323,0 -67.8333110156466,-9.995384606695451,0 -67.83248623637471,-9.994738194322879,0 -67.83272092966391,-9.994397553778001,0 -67.83218616424141,-9.99406697151692,0 -67.83155886260781,-9.9936773806575,0 -67.83030425934071,-9.99289283452064,0 -67.82933195857289,-9.992797616100621,0 -67.8298439252186,-9.992169308638889,0 -67.8301104697394,-9.992194119072289,0 -67.8302050176072,-9.99253610072169,0 -67.8319839927363,-9.99219747183353,0 -67.83371334699849,-9.99186957178142,0",ATIVAS,Sem restrição de Venda,AC-113 (RBCE) Secundária
AC-115 (RBCE),241,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,115 (RBCE) Secundária,Classe D+E,144,367,367,367,0.3924,1200401,55,2.618181818,"-67.838765685867,-9.998245308340699,0 -67.8386423042523,-9.99838210100048,0 -67.83800058574541,-9.99805788898581,0 -67.83800025046931,-9.997946744949751,0 -67.8380294194923,-9.99785974079483,0 -67.8371107629046,-9.99735347384328,0 -67.8369786641105,-9.997551286758121,0 -67.8363074413045,-9.99733738058919,0 -67.8362397155268,-9.99666079336518,0 -67.8362095406754,-9.996635982931799,0 -67.834769194435,-9.9953056072604,0 -67.8351366570697,-9.994846949518861,0 -67.836515312503,-9.99562479013319,0 -67.8368666818847,-9.995002517641669,0 -67.840273087333,-9.996593067587501,0 -67.839060728858,-9.997424552382199,0 -67.838765685867,-9.998245308340699,0",ATIVAS,Sem restrição de Venda,AC-115 (RBCE) Secundária
AC-114 (RBCE),242,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,114 (RBCE) Secundária,Suburbio,169,420,420,420,0.4024,1200401,95,1.778947368,"-67.83479392530801,-9.995330572136,0 -67.8360699862466,-9.99651275575933,0 -67.8362289071304,-9.996660947807429,0 -67.83629529180369,-9.99734021724043,0 -67.8369856253489,-9.99756116420803,0 -67.8371126950011,-9.99736770988283,0 -67.83799313011031,-9.997871294625361,0 -67.8379679844009,-9.998047985144209,0 -67.8386723995435,-9.99842852354819,0 -67.83834852280479,-9.99898508191877,0 -67.8380246460661,-10.0004830956536,0 -67.83774636688069,-10.0003691017704,0 -67.8375467099472,-10.0002346560436,0 -67.8376367315872,-10.0000680238085,0 -67.83781945707629,-9.999766945846581,0 -67.8353840112906,-9.998547881849349,0 -67.8351815045099,-9.9985358119088,0 -67.83502392473019,-9.998439252384291,0 -67.8351721167779,-9.99824076891711,0 -67.83352255823399,-9.9969345331269,0 -67.83418238165299,-9.9960601329882,0 -67.834764421009,-9.995303750046,0 -67.83479392530801,-9.995330572136,0",ATIVAS,Sem restrição de Venda,AC-114 (RBCE) Secundária
AC-79 (RBCE),242,AC,RIO BRANCO,RBO,RBCE,BRONZE,Sem Restrição de Vendas,79 (RBCE) Secundária,Classe D+E,146,424,424,424,0.3443,1200401,96,1.520833333,"-67.83244935607649,-9.99833771883225,0 -67.8326009008816,-9.99836454092183,0 -67.8327712211498,-9.998343083249139,0 -67.8332766499111,-9.998745749877489,0 -67.83328452890009,-9.99916316865542,0 -67.8336959127078,-9.999418649064051,0 -67.83354772065989,-9.999688211069991,0 -67.8337809052061,-9.99980254022924,0 -67.8340207952749,-9.99992089270201,0 -67.83438674916739,-10.0000969126686,0 -67.83447777663579,-10.0001401632889,0 -67.8346375357103,-10.0002082243427,0 -67.83488836416269,-10.0003248166158,0 -67.83497289565631,-10.0003502137824,0 -67.8350561279547,-10.00037552713,0 -67.8353064115835,-10.0005334421857,0 -67.83559558724301,-10.0006672173603,0 -67.83586447869639,-10.0007912695272,0 -67.83603815172989,-10.0008160799605,0 -67.8364471886042,-10.0009864002329,0 -67.83586783146001,-10.0025179415799,0 -67.8344281557703,-10.0019318789106,0 -67.8342947158727,-10.0018735408646,0 -67.8341673109454,-10.0018004506691,0 -67.83396614527111,-10.0016938328612,0 -67.8337757084319,-10.0016194015613,0 -67.83358594214501,-10.0015536874406,0 -67.83330498075151,-10.0014433815951,0 -67.8329998794769,-10.0013330757495,0 -67.8328396174883,-10.0012692056474,0 -67.83268203770859,-10.0012160643814,0 -67.83273988318371,-10.0010868050912,0 -67.8328108036859,-10.0011116905417,0 -67.83286309027081,-10.0010092062319,0 -67.8327839409648,-10.0009810117735,0 -67.83282754754769,-10.0008905112622,0 -67.8327055070375,-10.0008462548134,0 -67.832625040767,-10.0007946222899,0 -67.8304926846002,-9.999666753399151,0 -67.83183378910699,-9.9979206353304,0 -67.83244935607649,-9.99833771883225,0",ATIVAS,Sem restrição de Venda,AC-79 (RBCE) Secundária
