name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
DF-39 (ETSN),105,DF,BRASILIA,SAMB,ETSN,PRATA,Sem Restrição de Vendas,39 (ETSN) Secundária,Suburbio,53,225,225,225,0.2356,5300108,58,0.913793103,"-48.09927161243001,-15.869799227658,0 -48.1000628640891,-15.8702471565632,0 -48.100811200404,-15.870813102665,0 -48.10061472859369,-15.871189953032,0 -48.1003964638351,-15.8716459285648,0 -48.1002190315715,-15.8715631446556,0 -48.1002681629499,-15.8714664817099,0 -48.1001320593825,-15.87140190184,0 -48.09980067815771,-15.872044907156,0 -48.0996766259909,-15.8719798635871,0 -48.0994669945926,-15.8724625773908,0 -48.0994591994226,-15.8725248549313,0 -48.0993926471114,-15.8726896431477,0 -48.0981477668528,-15.8720911752607,0 -48.09832076933429,-15.8717284064917,0 -48.09927161243001,-15.869799227658,0",ATIVAS,Sem restrição de Venda,DF-39 (ETSN) Secundária
DF-65 (ETSN),104,DF,BRASILIA,SAMB,ETSN,PRATA,Sem Restrição de Vendas,65 (ETSN) Secundária,Suburbio,48,252,252,252,0.1905,5300108,61,0.786885246,"-48.1218013891268,-15.883903928675,0 -48.1230141451712,-15.8844372757895,0 -48.12310493068671,-15.8842365461676,0 -48.1234727346085,-15.8843951199886,0 -48.1245399245309,-15.8849392613553,0 -48.1245114260606,-15.8851082405227,0 -48.1256955375224,-15.8856644636193,0 -48.1254951681274,-15.8860532162894,0 -48.12452131670771,-15.8855984142244,0 -48.12434849287131,-15.8859621787569,0 -48.12396056738709,-15.885769405053,0 -48.1237030753233,-15.8854924669745,0 -48.1229721733663,-15.8851417681459,0 -48.1230117359488,-15.8850613018755,0 -48.1227145051921,-15.8849320492981,0 -48.1227344096264,-15.8849045827478,0 -48.1225828759421,-15.8848390188377,0 -48.1226442733146,-15.8847193202256,0 -48.12164783266901,-15.884271391324,0 -48.121508357802,-15.884384044105,0 -48.1201471367266,-15.8837892642564,0 -48.1202344761579,-15.8836072093204,0 -48.1201057720348,-15.8835497932839,0 -48.1202794869781,-15.8832040397784,0 -48.1201709413322,-15.883156933483,0 -48.1203503140604,-15.8827961763721,0 -48.1209638693727,-15.8830583623032,0 -48.1208924555577,-15.8832102423887,0 -48.12119118658679,-15.8833420059065,0 -48.1209886798055,-15.8837027630191,0 -48.1217437216439,-15.8840320041758,0 -48.1218013891268,-15.883903928675,0",ATIVAS,Sem restrição de Venda,DF-65 (ETSN) Secundária
DF-4 (ETPA),104,DF,BRASILIA,PRNA,ETPA,PRATA,Sem Restrição de Vendas,4 (ETPA) Secundária,Suburbio,64,255,255,255,0.251,5300108,65,0.984615385,"-47.78333586669509,-15.7724816456828,0 -47.7833369711421,-15.7726598567093,0 -47.7837341848344,-15.7726597316521,0 -47.783741758609,-15.7735791559644,0 -47.7833320093408,-15.7735851091247,0 -47.78332493895661,-15.7734084922184,0 -47.78298639062821,-15.7734088299145,0 -47.78298455695351,-15.7736258098517,0 -47.7817655699249,-15.7736575153428,0 -47.7816856020026,-15.7732324448527,0 -47.7816521099855,-15.77110375026,0 -47.78209982531399,-15.7710997625425,0 -47.7821277633779,-15.7725200509187,0 -47.7823152924098,-15.7725161493039,0 -47.7823174153049,-15.7726583368064,0 -47.78251533945799,-15.7726570261266,0 -47.7825088564121,-15.772493472226,0 -47.78333586669509,-15.7724816456828,0",ATIVAS,Sem restrição de Venda,DF-4 (ETPA) Secundária
DF-289 (ETCL),226,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,289 (ETCL) Secundária,Carente de Fibra,58,379,379,379,0.153,5300108,63,0.920634921,"-48.089204388318,-15.809801866562,0 -48.088227910283,-15.809456027097,0 -48.0921311949575,-15.8026438867425,0 -48.092236471666,-15.802799454864,0 -48.092491952074,-15.803246042672,0 -48.092992854609,-15.803889102288,0 -48.0926683073157,-15.8041030084574,0 -48.0924993281448,-15.8038294231377,0 -48.09189113147961,-15.8049004682213,0 -48.09176858013321,-15.8048459986155,0 -48.091615729815,-15.805109110049,0 -48.0904617093921,-15.8061270083664,0 -48.09032625783641,-15.8060418482297,0 -48.08996874669499,-15.806672612771,0 -48.09078176772799,-15.8071101125206,0 -48.09064110760551,-15.8072872881557,0 -48.0907297763537,-15.8073772919977,0 -48.089204388318,-15.809801866562,0",ATIVAS,Sem restrição de Venda,DF-289 (ETCL) Secundária
DF-55 (ETCL),225,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,55 (ETCL) Secundária,Carente de Fibra,101,383,383,383,0.2637,5300108,64,1.578125,"-48.1086714565637,-15.8025813102879,0 -48.1096015125395,-15.8032424748104,0 -48.1091964989782,-15.8037829399269,0 -48.10940772293821,-15.8039425313632,0 -48.10641437767771,-15.8078759908834,0 -48.1054876744635,-15.8072215318837,0 -48.1084743142014,-15.8032907545724,0 -48.1082651018982,-15.8031298220315,0 -48.1086714565637,-15.8025813102879,0",ATIVAS,Sem restrição de Venda,DF-55 (ETCL) Secundária
DF-48 (ETCL),225,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,48 (ETCL) Secundária,Carente de Fibra,157,424,412,412,0.3703,5300108,71,2.211267606,"-48.1133076548556,-15.8063115924624,0 -48.11090171336859,-15.8105635643035,0 -48.109882473943,-15.8100271225002,0 -48.1122743338327,-15.8057657629278,0 -48.1133076548556,-15.8063115924624,0",ATIVAS,Sem restrição de Venda,DF-48 (ETCL) Secundária
DF-83 (ETCL),225,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,83 (ETCL) Secundária,Carente de Fibra,133,429,412,412,0.31,5300108,72,1.847222222,"-48.1119176000312,-15.8111073821938,0 -48.1143074482614,-15.8068342879654,0 -48.1142187677257,-15.8067876845837,0 -48.1145689636401,-15.8061188087106,0 -48.1154976785114,-15.8066103235125,0 -48.1127383559895,-15.8115432411635,0 -48.1119176000312,-15.8111073821938,0",ATIVAS,Sem restrição de Venda,DF-83 (ETCL) Secundária
DF-41 (ETCL),223,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,41 (ETCL) Secundária,Carente de Fibra,110,408,408,408,0.2696,5300108,68,1.617647059,"-48.1060100346777,-15.8083949982675,0 -48.1045079976296,-15.8103637396846,0 -48.103012666104,-15.8123338222061,0 -48.10281502082721,-15.8121936767849,0 -48.1023880466796,-15.8127817511113,0 -48.10149193741159,-15.8121497556121,0 -48.1019060872473,-15.8115673809797,0 -48.1020799279191,-15.8116847276239,0 -48.1050866842241,-15.8077391981629,0 -48.1060100346777,-15.8083949982675,0",ATIVAS,Sem restrição de Venda,DF-41 (ETCL) Secundária
DF-295 (ETCL),218,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,295 (ETCL) Secundária,Carente de Fibra,114,394,394,372,0.2893,5300108,66,1.727272727,"-48.1226618588043,-15.8158595860088,0 -48.1205898523408,-15.8210295438858,0 -48.1197261810376,-15.8207076788034,0 -48.1217214092685,-15.8155196160166,0 -48.1226618588043,-15.8158595860088,0",ATIVAS,Sem restrição de Venda,DF-295 (ETCL) Secundária
DF-38 (ETCL),223,DF,BRASILIA,CLND,ETCL,PRATA,Sem Restrição de Vendas,38 (ETCL) Secundária,Carente de Fibra,149,407,407,407,0.3661,5300108,68,2.191176471,"-48.1105691194448,-15.8111697435366,0 -48.10818530618529,-15.8154277503405,0 -48.10716807841649,-15.8148926496413,0 -48.1095391511823,-15.8106467127672,0 -48.1097644567396,-15.8107620477563,0 -48.1101064383891,-15.8101484924448,0 -48.1113710999397,-15.810818374147,0 -48.1110613047986,-15.8114285767008,0 -48.1105691194448,-15.8111697435366,0",ATIVAS,Sem restrição de Venda,DF-38 (ETCL) Secundária
DF-210 (ETTG),208,DF,BRASILIA,TAGA,ETTG,PRATA,Sem Restrição de Vendas,210 (ETTG) Secundária,Carente de Fibra,67,298,298,298,0.2248,5300108,50,1.34,"-48.0635291489904,-15.8017695504279,0 -48.059005603486,-15.8003184753508,0 -48.0593891593751,-15.799199994192,0 -48.0639033171479,-15.8006550925827,0 -48.0635291489904,-15.8017695504279,0",ATIVAS,Sem restrição de Venda,DF-210 (ETTG) Secundária
DF-211 (ETTG),205,DF,BRASILIA,TAGA,ETTG,PRATA,Sem Restrição de Vendas,211 (ETTG) Secundária,Carente de Fibra,63,355,355,337,0.1775,5300108,59,1.06779661,"-48.0603927135155,-15.7962813310394,0 -48.0606704629588,-15.7954753540685,0 -48.0603632427768,-15.7953722231197,0 -48.0606996118663,-15.7943826958731,0 -48.06549907636159,-15.795949468062,0 -48.0648750066728,-15.7977184653294,0 -48.0603927135155,-15.7962813310394,0",ATIVAS,Sem restrição de Venda,DF-211 (ETTG) Secundária
