name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
GO-10 (CTO),287,GO,GOIANIA,GNA,CTO,BRONZE,Sem Restrição de Vendas,10 (CTO) Secundária,Nobre,136,476,476,476,0.2857,5208707,71,1.915492958,"-49.2637671382449,-16.6701092198041,0 -49.2620085924006,-16.6696402430476,0 -49.2626791446531,-16.667380481939,0 -49.2631565778571,-16.6675065457519,0 -49.26339261225,-16.6667930781539,0 -49.2637851367755,-16.6668836027077,0 -49.26379678762081,-16.6668467223333,0 -49.2640722169589,-16.6669151186624,0 -49.2640410362789,-16.6670116781853,0 -49.2650005965535,-16.6672986745465,0 -49.2652862518176,-16.6670747100966,0 -49.2656905948268,-16.6670954972157,0 -49.26562421015839,-16.6677512973234,0 -49.2652077972191,-16.6676969825992,0 -49.2650896732378,-16.6680585170566,0 -49.26529486222829,-16.6685459017588,0 -49.2649812053655,-16.6690517059621,0 -49.264777861637,-16.6689548674434,0 -49.2644165455726,-16.6690489227447,0 -49.2644312977253,-16.6692251712032,0 -49.2646264284309,-16.6693472117137,0 -49.26448494191129,-16.6696275025591,0 -49.26424220199531,-16.6695530712594,0 -49.2637671382449,-16.6701092198041,0",ATIVAS,Sem restrição de Venda,GO-10 (CTO) Secundária
GO-09 (CDL),261,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,09 (CDL) Secundária,Defesa Oi,179,406,406,398,0.4409,5201405,140,1.278571429,"-49.289450158801,-16.8252725292732,0 -49.2890766255996,-16.8264819592533,0 -49.2882018723866,-16.826504634887,0 -49.2882450788727,-16.8269550629706,0 -49.288312279669,-16.8269509481416,0 -49.2883177168725,-16.8270387447291,0 -49.2882413467011,-16.8270460750462,0 -49.2883076431057,-16.8277377189102,0 -49.2889069402834,-16.8275036346022,0 -49.2892409464981,-16.8275765468166,0 -49.28940817567251,-16.828076286227,0 -49.2886680904288,-16.828331342369,0 -49.2879977426194,-16.8286239494373,0 -49.2868081829217,-16.8294487287093,0 -49.28631867977739,-16.828869371562,0 -49.2860745987565,-16.8289498378332,0 -49.2859740159185,-16.8285635997347,0 -49.2865225276627,-16.8284361948066,0 -49.2864018282573,-16.8265519429743,0 -49.2860238503638,-16.8265529993087,0 -49.2864138981984,-16.8250700224918,0 -49.289450158801,-16.8252725292732,0",ATIVAS,Sem restrição de Venda,GO-09 (CDL) Secundária
GO-80 (CDL),251,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,80 (CDL) Secundária,Classe D+E,122,422,422,422,0.2891,5201405,106,1.150943396,"-49.30545144771829,-16.827283903028,0 -49.3051387418807,-16.827134951437,0 -49.30519886309611,-16.8267969041104,0 -49.3054674192736,-16.8268227203721,0 -49.30565282697181,-16.8259674309726,0 -49.30540174706221,-16.8257812269936,0 -49.3056779726813,-16.8243597819442,0 -49.3059928388739,-16.8244119592915,0 -49.3060864228228,-16.8238150420571,0 -49.30582029739709,-16.8237048200303,0 -49.3065050988861,-16.8199767171376,0 -49.3084858895571,-16.8213600664371,0 -49.30839973393569,-16.8214780836338,0 -49.309452176041,-16.8222177027697,0 -49.3093424873533,-16.82235236063,0 -49.30919365998821,-16.8223242658615,0 -49.30906629029519,-16.8223444508553,0 -49.3089442850203,-16.8223927990438,0 -49.30884641962641,-16.8224813803675,0 -49.30877068245699,-16.8225961132291,0 -49.3087324962138,-16.8227296215537,0 -49.30875197746439,-16.8228577654604,0 -49.3088210795817,-16.8230020026211,0 -49.30545144771829,-16.827283903028,0",ATIVAS,Sem restrição de Venda,GO-80 (CDL) Secundária
GO-82 (CDL),251,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,82 (CDL) Secundária,Classe D+E,228,662,662,652,0.3444,5201405,166,1.373493976,"-49.3138803549418,-16.8253786272895,0 -49.3133170910497,-16.8280742473509,0 -49.3130513847194,-16.8280522867648,0 -49.3124799065613,-16.8276279948264,0 -49.3115139760401,-16.828833983055,0 -49.3119022257956,-16.8291243321816,0 -49.30973365980821,-16.831577212327,0 -49.3109299250276,-16.8330732144044,0 -49.3103854365963,-16.8335928924004,0 -49.3086171903013,-16.8314343846938,0 -49.3087231375575,-16.8313022859,0 -49.3081097079738,-16.830682988984,0 -49.3095060073136,-16.8287183127899,0 -49.3092318352608,-16.8285135428953,0 -49.3094592362939,-16.8281947791176,0 -49.3091811247467,-16.8279870755568,0 -49.3112636924086,-16.8254020966178,0 -49.3113651134369,-16.825475522089,0 -49.3122991927267,-16.8242252774123,0 -49.3138803549418,-16.8253786272895,0",ATIVAS,Sem restrição de Venda,GO-82 (CDL) Secundária
GO-83 (CDL),251,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,83 (CDL) Secundária,Classe D+E,147,490,490,490,0.3,5201405,123,1.195121951,"-49.3091763447819,-16.8279823001593,0 -49.3066229679027,-16.8261021531761,0 -49.3089959056455,-16.8231289663924,0 -49.3091414351296,-16.8231551781752,0 -49.3092762357777,-16.8231411568228,0 -49.3094043309033,-16.8230842201262,0 -49.3094975573116,-16.8229897325033,0 -49.3095679849434,-16.8228791516264,0 -49.3095954972308,-16.8227471130774,0 -49.3095841174876,-16.8226083690058,0 -49.3095271401911,-16.8224803537702,0 -49.3096667722206,-16.8223038099347,0 -49.3122911461034,-16.8242239363126,0 -49.3113637723363,-16.8254689842098,0 -49.3112617416049,-16.8253961477545,0 -49.3091763447819,-16.8279823001593,0",ATIVAS,Sem restrição de Venda,GO-83 (CDL) Secundária
GO-84 (CDL),251,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,84 (CDL) Secundária,Classe D+E,216,612,612,569,0.3529,5201405,153,1.411764706,"-49.3092221381334,-16.8285148589724,0 -49.3094980703861,-16.8287190421343,0 -49.3081056686326,-16.8306834249633,0 -49.3087192239449,-16.8313025751958,0 -49.3075947078156,-16.8326850653506,0 -49.3040099354673,-16.8292683920704,0 -49.3065734567352,-16.8260706960116,0 -49.30945549031971,-16.8281960113778,0 -49.3092221381334,-16.8285148589724,0",ATIVAS,Sem restrição de Venda,GO-84 (CDL) Secundária
GO-87 (CDL),251,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,87 (CDL) Secundária,Defesa Oi,120,400,400,400,0.3,5201405,100,1.2,"-49.3145585977667,-16.816163030529,0 -49.3155567147962,-16.8149771588684,0 -49.3154578083388,-16.8148983689786,0 -49.3162504011024,-16.8139240565539,0 -49.3169088834156,-16.8150425377132,0 -49.31736016508231,-16.8152048113586,0 -49.3179774084318,-16.8144142302514,0 -49.3178930864859,-16.8141624378801,0 -49.3177926712859,-16.8140501203776,0 -49.3182459646093,-16.8138824823142,0 -49.3183358186112,-16.8140125694514,0 -49.3191884258021,-16.8169358420017,0 -49.3194497735432,-16.8169826130214,0 -49.31938255068,-16.8171997043137,0 -49.3174171620243,-16.8169073435312,0 -49.3174708062044,-16.8165982189423,0 -49.3145585977667,-16.816163030529,0",ATIVAS,Sem restrição de Venda,GO-87 (CDL) Secundária
GO-37 (EMD),251,GO,APARECIDA DE GOIANIA,ACG,EMD,BRONZE,Sem Restrição de Vendas,37 (EMD) Secundária,Defesa Oi,164,503,503,478,0.326,5201405,173,0.947976879,"-49.369395524269,-16.8324664235016,0 -49.3709833920073,-16.8343198299316,0 -49.368110746152,-16.8364951014429,0 -49.3657235801291,-16.8365004658601,0 -49.3648424744675,-16.8379300832648,0 -49.3637363984428,-16.8375083059175,0 -49.36347030993329,-16.8371708035318,0 -49.3658382026541,-16.835273564783,0 -49.3658911134178,-16.8353365757402,0 -49.367321121508,-16.8342117786022,0 -49.36725948006509,-16.8341394513744,0 -49.369395524269,-16.8324664235016,0",ATIVAS,Sem restrição de Venda,GO-37 (EMD) Secundária
GO-63 (EMD),251,GO,APARECIDA DE GOIANIA,ACG,EMD,BRONZE,Sem Restrição de Vendas,63 (EMD) Secundária,Defesa Oi,117,451,451,451,0.2594,5201405,113,1.03539823,"-49.3753312528223,-16.8130381776992,0 -49.3755991384479,-16.8115803970998,0 -49.37884729356561,-16.812154389829,0 -49.3788729002798,-16.8120194830974,0 -49.3800485879287,-16.8122110514944,0 -49.3798653595252,-16.8136676586275,0 -49.37985580415549,-16.8138059600298,0 -49.37983551994969,-16.8139496258502,0 -49.3796643614868,-16.8153069912498,0 -49.3786115944485,-16.8155215679713,0 -49.3773576617352,-16.8152754752952,0 -49.37767483294949,-16.8136487155267,0 -49.377216342846,-16.8135692550846,0 -49.3772493675444,-16.8134012817449,0 -49.3753312528223,-16.8130381776992,0",ATIVAS,Sem restrição de Venda,GO-63 (EMD) Secundária
GO-66 (EMD),251,GO,APARECIDA DE GOIANIA,ACG,EMD,BRONZE,Sem Restrição de Vendas,66 (EMD) Secundária,Defesa Oi,106,434,434,417,0.2442,5201405,109,0.972477064,"-49.374936632816,-16.8150205816228,0 -49.3747314438264,-16.8149869701912,0 -49.3747599422973,-16.8148355930199,0 -49.3744773045223,-16.8147888220002,0 -49.3745195493143,-16.8145456629893,0 -49.3726492650294,-16.8142019250447,0 -49.3725952417794,-16.8144575622002,0 -49.3716163221386,-16.8142834437449,0 -49.3717665970361,-16.8131759761918,0 -49.3725591897999,-16.8133114277477,0 -49.37298499048131,-16.8111918120736,0 -49.3722322955766,-16.8110466375107,0 -49.3723754584829,-16.8103623389358,0 -49.3757103031661,-16.8109664226979,0 -49.3751057365711,-16.8142502692068,0 -49.37500861183879,-16.8142328006959,0 -49.3749922359808,-16.8143286725921,0 -49.3750574735236,-16.8143427456513,0 -49.374936632816,-16.8150205816228,0",ATIVAS,Sem restrição de Venda,GO-66 (EMD) Secundária
GO-68 (EMD),251,GO,APARECIDA DE GOIANIA,ACG,EMD,BRONZE,Sem Restrição de Vendas,68 (EMD) Secundária,Carente de Fibra,110,399,399,393,0.2757,5201405,100,1.1,"-49.3718406784512,-16.8231767243169,0 -49.3734553682775,-16.821092647912,0 -49.3772238719443,-16.8256094878929,0 -49.3760812509035,-16.8267655199782,0 -49.3718406784512,-16.8231767243169,0",ATIVAS,Sem restrição de Venda,GO-68 (EMD) Secundária
GO-73 (EMD),248,GO,APARECIDA DE GOIANIA,ACG,EMD,BRONZE,Sem Restrição de Vendas,73 (EMD) Secundária,Defesa Oi,65,472,472,472,0.1377,5201405,118,0.550847458,"-49.3681991991515,-16.8431621027644,0 -49.36858141393609,-16.8423044664318,0 -49.36947894812781,-16.8426814844364,0 -49.3696844723935,-16.8422136066014,0 -49.3703288731094,-16.8424660695249,0 -49.3708572682854,-16.841174585884,0 -49.3711912033079,-16.84130735523,0 -49.3707546737907,-16.8423500639844,0 -49.3714178499697,-16.8426363897966,0 -49.3732202944281,-16.8384548259416,0 -49.3738398847101,-16.8387096357988,0 -49.3743334111696,-16.8375616503405,0 -49.37616804213571,-16.8378553522276,0 -49.3763316568855,-16.8374543619799,0 -49.3765770790103,-16.8378258479284,0 -49.37684664101629,-16.8376957607911,0 -49.3776673969744,-16.838972492282,0 -49.37761911721219,-16.8406354618716,0 -49.3771108386041,-16.8417083454775,0 -49.3768546876433,-16.841617150371,0 -49.3750495609765,-16.8458215130017,0 -49.3681991991515,-16.8431621027644,0",ATIVAS,Sem restrição de Venda,GO-73 (EMD) Secundária
GO-74 (EMD),248,GO,APARECIDA DE GOIANIA,ACG,EMD,BRONZE,Sem Restrição de Vendas,74 (EMD) Secundária,Classe D+E,88,364,364,355,0.2418,5201405,91,0.967032967,"-49.3612013757202,-16.8302254378711,0 -49.3600989878151,-16.8316496908584,0 -49.36044365167349,-16.8318414688031,0 -49.3599621951553,-16.8327359855098,0 -49.35889467596759,-16.8330766260545,0 -49.35882762074229,-16.832731962196,0 -49.3583863973592,-16.8327420204795,0 -49.35849837958549,-16.8318565562283,0 -49.3557058647249,-16.8316015787337,0 -49.3561013229167,-16.829537535078,0 -49.3557357881194,-16.8294228287333,0 -49.3557833135105,-16.8291042745034,0 -49.35609042644259,-16.8288729339759,0 -49.3562848865961,-16.8290331959645,0 -49.3581543862793,-16.8275512754838,0 -49.3609975278348,-16.8255583941858,0 -49.3614655733079,-16.8261937424462,0 -49.36204090714149,-16.8257669359367,0 -49.363390058276,-16.8275257944981,0 -49.36356708407089,-16.827427893869,0 -49.3638889491524,-16.8278650939381,0 -49.3612013757202,-16.8302254378711,0",ATIVAS,Sem restrição de Venda,GO-74 (EMD) Secundária
GO-100 (CDL),243,GO,APARECIDA DE GOIANIA,ACG,CDL,BRONZE,Sem Restrição de Vendas,100 (CDL) Secundária,Defesa Oi,105,280,280,280,0.375,5201405,96,1.09375,"-49.3292381614338,-16.8054753542047,0 -49.3277066200883,-16.8056993186584,0 -49.3276254832666,-16.8052138388271,0 -49.3245533481169,-16.8056869134424,0 -49.3246366642346,-16.8061936833082,0 -49.32261981069351,-16.8065019697076,0 -49.3224454671073,-16.8054552376393,0 -49.3257941824979,-16.8049866818712,0 -49.3257886598432,-16.8049482203465,0 -49.3276254832683,-16.8046666681899,0 -49.3276375532099,-16.8047310412071,0 -49.32908594607979,-16.8045271933237,0 -49.3292381614338,-16.8054753542047,0",ATIVAS,Sem restrição de Venda,GO-100 (CDL) Secundária
