name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
MS-79 (DOCE),243,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,79 (DOCE) Secundária,Suburbio,89,354,354,354,0.2514,5003702,80,1.1125,"-54.7670581936808,-22.2112637758387,0 -54.7672432661028,-22.2106924653182,0 -54.766250848767,-22.210378646864,0 -54.7675544023479,-22.2069025039803,0 -54.7683966159788,-22.2071895003451,0 -54.7685401141613,-22.2071063518658,0 -54.7685837000578,-22.2070265561476,0 -54.7686956822842,-22.207072824253,0 -54.7689974307983,-22.2063177824153,0 -54.769533872601,-22.206526994718,0 -54.76880431174899,-22.208286523832,0 -54.769501686093,-22.208511829389,0 -54.768182039258,-22.211526632322,0 -54.7681552171679,-22.2115963697564,0 -54.7670581936808,-22.2112637758387,0",ATIVAS,Sem restrição de Venda,MS-79 (DOCE) Secundária
MS-148 (DOCE),230,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,148 (DOCE) Secundária,Suburbio,114,423,423,423,0.2695,5003702,71,1.605633803,"-54.8415157056862,-22.2393657792843,0 -54.84050719508699,-22.2401999462814,0 -54.84137891301751,-22.2410890985698,0 -54.8413856185404,-22.2410958040924,0 -54.84127631852321,-22.2411930341693,0 -54.84136281976411,-22.241274170992,0 -54.8410503424142,-22.2415034998628,0 -54.8407915092446,-22.2417328287336,0 -54.8404924429397,-22.2419836152766,0 -54.8401665545447,-22.2422558594916,0 -54.83947186241049,-22.242843263266,0 -54.8390453911778,-22.2432107259012,0 -54.8380583382616,-22.2440636683681,0 -54.8373837626944,-22.2447006930092,0 -54.8367594785462,-22.2442413647154,0 -54.8361888385783,-22.2437391210774,0 -54.8370444632541,-22.2429156829099,0 -54.836663589573,-22.24280839455,0 -54.837221489049,-22.242271952747,0 -54.83706055650801,-22.242111020206,0 -54.839946613412,-22.239868693475,0 -54.83969448576501,-22.239616565828,0 -54.84076468716161,-22.2386295129103,0 -54.8415157056862,-22.2393657792843,0",ATIVAS,Sem restrição de Venda,MS-148 (DOCE) Secundária
MS-191 (DOCE),230,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,191 (DOCE) Secundária,Suburbio,100,386,386,386,0.2591,5003702,64,1.5625,"-54.84845519066759,-22.2354948520764,0 -54.84877169133141,-22.2364068031423,0 -54.848610758791,-22.236653566371,0 -54.8487824201679,-22.2368419915543,0 -54.8485893011188,-22.2370518744097,0 -54.8488789796924,-22.2374179959402,0 -54.8496192693805,-22.2382360696897,0 -54.849393963823,-22.238649129878,0 -54.8496997356505,-22.2398507595166,0 -54.84893262387219,-22.2404220700367,0 -54.8482875526041,-22.240388542424,0 -54.8470148444266,-22.2402423620328,0 -54.8459513485523,-22.2401364147767,0 -54.8450943827721,-22.240105569373,0 -54.84420120717019,-22.2393330931767,0 -54.846314787874,-22.237479686748,0 -54.84632216394881,-22.2374032437908,0 -54.8463533446285,-22.2373797744618,0 -54.84575202689499,-22.2367632016643,0 -54.8456828971486,-22.2366909915685,0 -54.84584175516849,-22.2365597728743,0 -54.8460106086078,-22.2364180348917,0 -54.8466527462098,-22.2370800376042,0 -54.84845519066759,-22.2354948520764,0",ATIVAS,Sem restrição de Venda,MS-191 (DOCE) Secundária
MS-151 (DOCE),229,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,151 (DOCE) Secundária,Suburbio,104,512,512,512,0.2031,5003702,85,1.223529412,"-54.8399096727351,-22.2398480772989,0 -54.8399351537209,-22.239869534971,0 -54.838487431405,-22.2409920394436,0 -54.837763570247,-22.2415519505754,0 -54.83704373240259,-22.2421105206027,0 -54.8372100293617,-22.2422741353527,0 -54.8366467654688,-22.2428119182608,0 -54.8370128869993,-22.2429259121434,0 -54.8361679911593,-22.2437345981611,0 -54.8359641432741,-22.2441503405586,0 -54.8355430364588,-22.2439277172109,0 -54.8354424536207,-22.2438740730305,0 -54.8352453112581,-22.2437667846698,0 -54.8351648449876,-22.2437185049071,0 -54.8349073529218,-22.2436246275919,0 -54.834659248588,-22.2435039281862,0 -54.83448624610651,-22.2434207797067,0 -54.8343360424018,-22.2433617711084,0 -54.833995401857,-22.2431766986862,0 -54.8340490460375,-22.2430533170716,0 -54.83469009399201,-22.241503000261,0 -54.834400415418,-22.241084575655,0 -54.835033416746,-22.239314317705,0 -54.836449623106,-22.2391426563284,0 -54.8368734121304,-22.2383379936232,0 -54.83762912451999,-22.2376251965778,0 -54.8382470384216,-22.2381995245832,0 -54.8381353914712,-22.2383286058922,0 -54.83825072645909,-22.2384379059095,0 -54.83856186270501,-22.2387188673038,0 -54.8389179259515,-22.2390668839233,0 -54.8391423933184,-22.2392638586477,0 -54.8393775895213,-22.2394608333721,0 -54.8395797610257,-22.2395060956491,0 -54.8399096727351,-22.2398480772989,0",ATIVAS,Sem restrição de Venda,MS-151 (DOCE) Secundária
MS-140 (DOCE),229,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,140 (DOCE) Secundária,Suburbio,118,317,317,317,0.3722,5003702,53,2.226415094,"-54.839641512126,-22.231054284083,0 -54.8396837569085,-22.2311012227341,0 -54.83969146825471,-22.2311300564777,0 -54.8396938151829,-22.2311642546393,0 -54.8396780572048,-22.2312732193805,0 -54.8397065556755,-22.2313660908676,0 -54.8397994271626,-22.2314321402645,0 -54.8398440188874,-22.231507577393,0 -54.8405467576506,-22.2324463505511,0 -54.8402054465558,-22.2328768450996,0 -54.839856088834,-22.2332939286031,0 -54.8396307832772,-22.2333904881278,0 -54.8407707221083,-22.2344875116146,0 -54.8386008150154,-22.2365206260476,0 -54.83750110931899,-22.235383369426,0 -54.83871346779399,-22.234294392566,0 -54.838091195309,-22.233688213333,0 -54.8384036726658,-22.2334012169713,0 -54.8383178419772,-22.2333046574466,0 -54.83836343953039,-22.2332550365796,0 -54.8382601744831,-22.2331370193826,0 -54.8380797959269,-22.2329331714974,0 -54.837945014924,-22.2327749211655,0 -54.837873601109,-22.2326897610294,0 -54.8378129161301,-22.2326327640881,0 -54.8377611997876,-22.2326701473763,0 -54.8376947312954,-22.2325774435272,0 -54.8377361378971,-22.2325435806385,0 -54.8376687473956,-22.2324409861439,0 -54.8378779596986,-22.2323524732463,0 -54.8375990099609,-22.2319380719537,0 -54.8373334712683,-22.2315464694376,0 -54.8374655700625,-22.2314660031672,0 -54.83733749458199,-22.2312554497592,0 -54.8372468023896,-22.2312970239989,0 -54.8371799986213,-22.2312152166239,0 -54.8370949642136,-22.2310529429785,0 -54.8373706869184,-22.2308906693331,0 -54.837383092135,-22.2308839638104,0 -54.838973642081,-22.2299559194915,0 -54.839040697306,-22.230051137911,0 -54.839641512126,-22.231054284083,0",ATIVAS,Sem restrição de Venda,MS-140 (DOCE) Secundária
MS-142 (DOCE),229,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,142 (DOCE) Secundária,Suburbio,170,522,522,522,0.3257,5003702,87,1.954022989,"-54.8476829605806,-22.2320547266514,0 -54.84713176664441,-22.2328064157549,0 -54.8469024377899,-22.2325710519409,0 -54.846738823045,-22.232721255649,0 -54.845006116021,-22.231020735134,0 -54.844823725808,-22.231149481166,0 -54.84297300159369,-22.232622013918,0 -54.8409439104737,-22.2345397933639,0 -54.8397094237745,-22.2333743735471,0 -54.8398589569269,-22.2333032950083,0 -54.8401835042179,-22.2329183980145,0 -54.84055431961419,-22.2324453233994,0 -54.8403457778634,-22.2321546389974,0 -54.840038162017,-22.2317627850241,0 -54.839800283605,-22.2314245752311,0 -54.8397072444798,-22.2313438575035,0 -54.8396893072071,-22.2312309532678,0 -54.8396926599684,-22.2311870320951,0 -54.8400319594071,-22.2308665081105,0 -54.8406770306735,-22.2304065092569,0 -54.8412201779983,-22.2300242944713,0 -54.8417137044563,-22.2297708257185,0 -54.8422380763189,-22.2293148501861,0 -54.8427839058535,-22.2288803323258,0 -54.8426377254623,-22.2286818488588,0 -54.843707926859,-22.228145407056,0 -54.844099529367,-22.227769897785,0 -54.84458232699,-22.227823541965,0 -54.845354803186,-22.228150771465,0 -54.845612295252,-22.228408263531,0 -54.84526360808,-22.228727446403,0 -54.84564716396901,-22.229054675903,0 -54.845923431497,-22.228858874645,0 -54.846103139496,-22.229124413332,0 -54.8464357334144,-22.229553566775,0 -54.8467817383772,-22.2296098931644,0 -54.8465631383427,-22.2297761901227,0 -54.84658996042629,-22.2300698920028,0 -54.8468048724219,-22.2301895855783,0 -54.8470117377905,-22.2303146435719,0 -54.84748984154411,-22.2307256921,0 -54.848691471183,-22.22969035942,0 -54.848947622144,-22.2294851704304,0 -54.84939488049729,-22.2290754630034,0 -54.85002234976869,-22.2285090139871,0 -54.84981296982749,-22.2292032032077,0 -54.8496275621293,-22.2297198637192,0 -54.8495216148724,-22.2300631864715,0 -54.8494183498245,-22.2302670343551,0 -54.8493083792466,-22.2303662760815,0 -54.8492198663479,-22.2304447306926,0 -54.84907402123261,-22.2305028172813,0 -54.8491566667978,-22.2305036973809,0 -54.8491883503918,-22.2305421284068,0 -54.8491903620482,-22.23054698991,0 -54.84928356881111,-22.2306430465197,0 -54.848565407347,-22.2313734455614,0 -54.8476829605806,-22.2320547266514,0",ATIVAS,Sem restrição de Venda,MS-142 (DOCE) Secundária
MS-87 (DOCE),216,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,87 (DOCE) Secundária,Suburbio,113,474,474,474,0.2384,5003702,119,0.949579832,"-54.744085132086,-22.242552574756,0 -54.74356005406399,-22.241854986852,0 -54.742115217051,-22.240341510168,0 -54.7423767324297,-22.2401550966415,0 -54.7420910771694,-22.2398426192913,0 -54.7431307684401,-22.2389853182332,0 -54.7436692219024,-22.2386084678632,0 -54.74389218052799,-22.2388032632912,0 -54.74420258335729,-22.2391318129409,0 -54.74416161680569,-22.2391680018079,0 -54.7442781671694,-22.2392806126772,0 -54.74441416354851,-22.2391685885414,0 -54.7444623175824,-22.2392134736331,0 -54.7447139423162,-22.2389779421545,0 -54.7448423530741,-22.2390781897175,0 -54.7452017690846,-22.2387824761759,0 -54.7455350335548,-22.2390245455394,0 -54.7455658789584,-22.2388582485805,0 -54.7460741575658,-22.2389212804946,0 -54.74621899685129,-22.2382091540034,0 -54.7485766585815,-22.2385927099065,0 -54.747771995882,-22.242133225821,0 -54.7445962604077,-22.2415672797189,0 -54.7444514211213,-22.2418515938746,0 -54.744094687322,-22.242540921592,0 -54.744085132086,-22.242552574756,0",ATIVAS,Sem restrição de Venda,MS-87 (DOCE) Secundária
MS-336 (DOCE),216,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,336 (DOCE) Secundária,Suburbio,114,390,390,390,0.2923,5003702,98,1.163265306,"-54.74276274450929,-22.2500699759818,0 -54.7421216965546,-22.2506278754569,0 -54.742574989878,-22.2511401773788,0 -54.7421163321366,-22.2515854240756,0 -54.74274665125559,-22.2522693873744,0 -54.7419849038954,-22.2528970242839,0 -54.7416885197992,-22.2531558574539,0 -54.7417998314733,-22.2532859445911,0 -54.740861058318,-22.2540664674145,0 -54.7407041490906,-22.2539186106426,0 -54.7408932448261,-22.2537707538706,0 -54.7408288718097,-22.2537075543207,0 -54.7407430411212,-22.2537623719674,0 -54.7405740619533,-22.253607977311,0 -54.74064782270121,-22.2535093223107,0 -54.740169048392,-22.2529546917778,0 -54.7401368618837,-22.2527226806979,0 -54.7400000692237,-22.2523069383004,0 -54.7399356962071,-22.2521191836692,0 -54.73895668991679,-22.2508826853133,0 -54.73772287376999,-22.249560356269,0 -54.73797500141739,-22.2493645550106,0 -54.7383290530074,-22.2497534753177,0 -54.74072158344859,-22.2478249670364,0 -54.7408235073914,-22.2479376198147,0 -54.741180241191,-22.2476398946148,0 -54.7418990732067,-22.2483158112865,0 -54.7420465947021,-22.2485625745159,0 -54.7422531247963,-22.2487758101324,0 -54.742463678204,-22.2488019616703,0 -54.7426930070748,-22.2491204739907,0 -54.7422249616018,-22.2495160998203,0 -54.74276274450929,-22.2500699759818,0",ATIVAS,Sem restrição de Venda,MS-336 (DOCE) Secundária
MS-335 (DOCE),216,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,335 (DOCE) Secundária,Suburbio,77,307,307,307,0.2508,5003702,77,1,"-54.7439373046973,-22.243855307698,0 -54.743446460448,-22.2455826503035,0 -54.7428858787641,-22.2478960555788,0 -54.7427236051188,-22.2482802820201,0 -54.7425385326969,-22.2487959367032,0 -54.74225388326511,-22.2487617385382,0 -54.741941908829,-22.2483624246711,0 -54.7421315074787,-22.2481723231072,0 -54.7419058666452,-22.2478672218317,0 -54.7410445422752,-22.2469934922451,0 -54.740364937566,-22.2462119635934,0 -54.7402888298851,-22.2462766718859,0 -54.7400558129768,-22.2460255500668,0 -54.7401391290943,-22.2459516216809,0 -54.739897897921,-22.2456657987827,0 -54.7386104375938,-22.2443381053205,0 -54.7390744597534,-22.2440189224476,0 -54.739911308966,-22.2437493604417,0 -54.74012152709759,-22.2439129751916,0 -54.7403223574976,-22.2437815469498,0 -54.74068110295341,-22.244165102839,0 -54.7413811595062,-22.2436621886487,0 -54.7419658810714,-22.2431820732351,0 -54.7422314197639,-22.2430519860979,0 -54.7424272210219,-22.2432739388939,0 -54.7428590566733,-22.2437238794562,0 -54.7430012137512,-22.2437533837554,0 -54.7439373046973,-22.243855307698,0",ATIVAS,Sem restrição de Venda,MS-335 (DOCE) Secundária
MS-89 (DOCE),216,MS,DOURADOS,DOS,DOCE,BRONZE,Sem Restrição de Vendas,89 (DOCE) Secundária,Suburbio,81,383,383,383,0.2115,5003702,96,0.84375,"-54.7421243786842,-22.2481669485631,0 -54.7419486939941,-22.248343974358,0 -54.74118292332059,-22.2476211190285,0 -54.7408174723426,-22.2479061037367,0 -54.74072594196011,-22.2478045150704,0 -54.7383223474067,-22.2497306764194,0 -54.7379857301752,-22.2493471205305,0 -54.7377349436322,-22.2495295107436,0 -54.737160950903,-22.24885895849,0 -54.73657086492,-22.2493310272761,0 -54.7364652529401,-22.249209322042,0 -54.736335501079,-22.2493021935291,0 -54.7361842915458,-22.2491362318463,0 -54.7363031469327,-22.2490425221688,0 -54.73530083895151,-22.2479671239919,0 -54.7390599548856,-22.2449348867008,0 -54.73916590214139,-22.2450435161661,0 -54.7392275929488,-22.2449928894709,0 -54.7396956384219,-22.2454760223696,0 -54.7401227802075,-22.2459551319548,0 -54.7400456666982,-22.2460225224562,0 -54.7402897477185,-22.2462880611485,0 -54.7403601557051,-22.2462277114456,0 -54.7409468889271,-22.2469022870128,0 -54.7417005896601,-22.2476834803883,0 -54.7418923676045,-22.2478675469818,0 -54.7421243786842,-22.2481669485631,0",ATIVAS,Sem restrição de Venda,MS-89 (DOCE) Secundária
