name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
MT-19 (EROI),254,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,19 (EROI) Secundária,Suburbio,121,332,332,332,0.3645,5107602,114,1.061403509,"-54.62237553920931,-16.4389978164103,0 -54.6219339386408,-16.4391612635222,0 -54.62190405715591,-16.4390886762407,0 -54.6217588406834,-16.4391327650514,0 -54.6216075892407,-16.4391768538621,0 -54.62014628824181,-16.4396214300063,0 -54.6199126007813,-16.4397863858607,0 -54.6196356627005,-16.4398775809673,0 -54.6191394540327,-16.4400613122848,0 -54.6191682877796,-16.440130379167,0 -54.61886318650411,-16.440232973662,0 -54.6182073863997,-16.4383862727555,0 -54.6180907103076,-16.4380349033745,0 -54.6190187546268,-16.4377479070099,0 -54.6189563932672,-16.4375635051401,0 -54.6188967141166,-16.4373817854793,0 -54.6191267135395,-16.4372905903729,0 -54.61907239880689,-16.4371336811455,0 -54.6193862172615,-16.4370129817398,0 -54.6193593951713,-16.4369432443053,0 -54.62093653407219,-16.4364252426894,0 -54.6209821316254,-16.4365506359609,0 -54.6210297408354,-16.4366777056129,0 -54.6213992151274,-16.4365519770653,0 -54.6214582237258,-16.4367420786293,0 -54.6219007882134,-16.4365999215516,0 -54.6222628864305,-16.4364765399369,0 -54.6224422591583,-16.4369618521306,0 -54.621677494313,-16.4372272231849,0 -54.6218699428098,-16.4378759824904,0 -54.62245064106149,-16.4376701229485,0 -54.6226303490656,-16.4380952530772,0 -54.6221073183077,-16.4383058064848,0 -54.62237553920931,-16.4389978164103,0",ATIVAS,Sem restrição de Venda,MT-19 (EROI) Secundária
MT-35 (EROI),242,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,35 (EROI) Secundária,Suburbio,122,384,384,384,0.3177,5107602,87,1.402298851,"-54.636940690381,-16.423694852954,0 -54.638716312743,-16.423721675037,0 -54.638759228087,-16.423228148578,0 -54.63954243312,-16.423238877414,0 -54.639520975448,-16.423786048053,0 -54.640314909316,-16.423807505725,0 -54.640239807464,-16.424987677692,0 -54.641001554824,-16.4250198642,0 -54.64085671554,-16.427337292787,0 -54.640508028368,-16.427294377443,0 -54.640508028368,-16.427557233927,0 -54.6404120555767,-16.4274200221719,0 -54.6400585907199,-16.4273991512331,0 -54.6399696587273,-16.4273967204811,0 -54.6399008433022,-16.4273929486247,0 -54.6399024358639,-16.4274756780088,0 -54.639826244364,-16.4274685533912,0 -54.6398297647633,-16.427381899422,0 -54.6397855502241,-16.4273781676113,0 -54.6397279246398,-16.4273677302781,0 -54.6393089133002,-16.4273468556116,0 -54.6389483238257,-16.4273332694734,0 -54.6389523471399,-16.427208546757,0 -54.6366872216287,-16.4270717541,0 -54.63671806703221,-16.426784757735,0 -54.636889728409,-16.425124470359,0 -54.636940690381,-16.423694852954,0",ATIVAS,Sem restrição de Venda,MT-35 (EROI) Secundária
MT-197 (EROI),240,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,197 (EROI) Secundária,Suburbio,163,450,450,450,0.3622,5107602,113,1.442477876,"-54.63498019207201,-16.417868694533,0 -54.638080825693,-16.419939359892,0 -54.637630214579,-16.420615276564,0 -54.6374800108741,-16.4228341339716,0 -54.6369006537269,-16.4228267578968,0 -54.6368684672186,-16.4250328748116,0 -54.6363011800117,-16.4249939827808,0 -54.63583481091921,-16.4249682503381,0 -54.6358458750313,-16.4248365706392,0 -54.6356225811308,-16.4248159511574,0 -54.6350666933123,-16.4248102514632,0 -54.63504724729731,-16.423699146379,0 -54.6351317368814,-16.4221250249635,0 -54.6347119711707,-16.4221065847766,0 -54.6341111563512,-16.4220743982684,0 -54.634282817728,-16.418523153532,0 -54.63498019207201,-16.417868694533,0",ATIVAS,Sem restrição de Venda,MT-197 (EROI) Secundária
MT-200 (EROI),238,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,200 (EROI) Secundária,Suburbio,118,340,340,340,0.3471,5107602,33,3.575757576,"-54.65968870150601,-16.431016883094,0 -54.66152065026319,-16.4312006144113,0 -54.66132283734829,-16.4326342551295,0 -54.6614599652842,-16.4326563833538,0 -54.661327363576,-16.4336598648014,0 -54.6615614701315,-16.4336895367386,0 -54.66152831970451,-16.4338974917563,0 -54.6613186254419,-16.4338727232324,0 -54.6610713802531,-16.4357871918263,0 -54.6608869783833,-16.4357831685129,0 -54.6608755789951,-16.4364912716929,0 -54.6600427530961,-16.4372315613811,0 -54.658975233908,-16.4362793771813,0 -54.65968870150601,-16.431016883094,0",ATIVAS,Sem restrição de Venda,MT-200 (EROI) Secundária
MT-43 (EROI),238,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,43 (EROI) Secundária,Suburbio,117,352,352,352,0.3324,5107602,79,1.481012658,"-54.65073197719839,-16.4417951456666,0 -54.6503350098828,-16.4421731081651,0 -54.6498361186247,-16.4418697895737,0 -54.6496235215277,-16.4420775485912,0 -54.64981459688759,-16.4424690389263,0 -54.6496288218808,-16.4426016960913,0 -54.649556050945,-16.4425446430592,0 -54.6494443879785,-16.4426686391356,0 -54.64944447231701,-16.442997648529,0 -54.64910659831959,-16.4430423437668,0 -54.6488982252458,-16.4431820256613,0 -54.6478188053028,-16.4431910938183,0 -54.6478196450406,-16.4430922030625,0 -54.6474793428667,-16.4430955872269,0 -54.6474759962953,-16.4431814807218,0 -54.6472225399231,-16.443174900812,0 -54.6472256038999,-16.4430986251,0 -54.6470219468986,-16.4430484173035,0 -54.6470677353357,-16.4427004843063,0 -54.6475231332992,-16.4387231028272,0 -54.6483952628587,-16.4387795912194,0 -54.64837689902531,-16.4389701900624,0 -54.64861066283919,-16.4389783986923,0 -54.648643260977,-16.4387961704822,0 -54.64937946429949,-16.4388605142865,0 -54.6496529865669,-16.4388779194329,0 -54.6496555766158,-16.4389375959064,0 -54.6496179335295,-16.4389463104087,0 -54.649484403569,-16.4391785168881,0 -54.6496184239578,-16.4392645429762,0 -54.6496720878869,-16.4392895183171,0 -54.6509992704693,-16.4404903341446,0 -54.65067929275989,-16.4408544951735,0 -54.6506618552973,-16.4408386599763,0 -54.6508172803774,-16.440982632523,0 -54.65039107289879,-16.4414452154841,0 -54.65073197719839,-16.4417951456666,0",ATIVAS,Sem restrição de Venda,MT-43 (EROI) Secundária
MT-53 (EROI),234,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,53 (EROI) Secundária,Suburbio,153,514,514,514,0.2977,5107602,129,1.186046512,"-54.6772430241414,-16.4463211777857,0 -54.6754560023851,-16.4475362184693,0 -54.6753239035911,-16.4473705920627,0 -54.6752581894703,-16.4472934785535,0 -54.67491788420151,-16.44754569002,0 -54.67502550783819,-16.4476845781555,0 -54.675080493123,-16.4477578359892,0 -54.6746030599184,-16.4480899269929,0 -54.6746781617708,-16.44818799526,0 -54.6745601445741,-16.4482691320826,0 -54.67445822063149,-16.4481450799156,0 -54.6742402911491,-16.4480957943249,0 -54.6736213714189,-16.447871494596,0 -54.6733896956152,-16.4477450954962,0 -54.6732921302622,-16.4476421657253,0 -54.67277446392231,-16.4469179692912,0 -54.67239291969,-16.4471680852818,0 -54.6719057634777,-16.4475238132524,0 -54.6720462441749,-16.4477239731002,0 -54.6721116230197,-16.4478114801692,0 -54.67199058833789,-16.4479928645539,0 -54.6716288253971,-16.4479764360236,0 -54.671136975319,-16.4483006480383,0 -54.6709555909344,-16.4480683016823,0 -54.6705376692423,-16.4481325070606,0 -54.6704912334987,-16.4480424854206,0 -54.6698030792484,-16.4474958176957,0 -54.6698739901492,-16.4473930555629,0 -54.66955933350421,-16.4471159498439,0 -54.66942036154969,-16.4471633914159,0 -54.66877797249071,-16.4463399532483,0 -54.67304603758571,-16.4434250626014,0 -54.67322641614199,-16.443280893867,0 -54.6743596494509,-16.4424829366852,0 -54.6772430241414,-16.4463211777857,0",ATIVAS,Sem restrição de Venda,MT-53 (EROI) Secundária
MT-213 (EROI),233,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,213 (EROI) Secundária,Suburbio,220,494,494,486,0.4453,5107602,124,1.774193548,"-54.67459434273169,-16.4545099619032,0 -54.67336052658479,-16.4539762023092,0 -54.67207776012341,-16.4534236672521,0 -54.6721340865127,-16.4533090028167,0 -54.6722205877534,-16.4531715396047,0 -54.67237347366719,-16.4528952720761,0 -54.6725692749253,-16.452517080605,0 -54.6728723645442,-16.4518438461421,0 -54.6733913719886,-16.4520738455651,0 -54.6734329462284,-16.4519980731604,0 -54.6735751033063,-16.4520611050721,0 -54.67405588927221,-16.4510425361987,0 -54.6738939509029,-16.4509811806675,0 -54.6745130382712,-16.4496684069927,0 -54.674697607779,-16.4496752801533,0 -54.6754714250798,-16.4480351093407,0 -54.67583352329699,-16.447608638108,0 -54.67631632091999,-16.447082925141,0 -54.676809847378,-16.447254586518,0 -54.676734745526,-16.447415519059,0 -54.677035152936,-16.447522807419,0 -54.67709952595201,-16.447651553452,0 -54.67636996510001,-16.449572015107,0 -54.676938593411,-16.449883151352,0 -54.676359236264,-16.451363730728,0 -54.6765362620591,-16.4519645455478,0 -54.676498711133,-16.452651191056,0 -54.6762123853205,-16.4534048917891,0 -54.6757007539507,-16.453198361695,0 -54.6750422716372,-16.4547030809523,0 -54.67459434273169,-16.4545099619032,0",ATIVAS,Sem restrição de Venda,MT-213 (EROI) Secundária
MT-136 (EROI),232,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,136 (EROI) Secundária,Classe D+E,200,492,492,492,0.4065,5107602,123,1.62601626,"-54.6812002396864,-16.4673452197445,0 -54.681227061777,-16.4673774062523,0 -54.680143449335,-16.469898682726,0 -54.6768175101566,-16.4685522138013,0 -54.67849120858131,-16.4648990451226,0 -54.67964522901,-16.4653758077751,0 -54.679785039155,-16.4654559387695,0 -54.67955738666469,-16.4659035323988,0 -54.6792817896885,-16.4664875834117,0 -54.67965260508489,-16.4666773496995,0 -54.6799221670908,-16.4667940257917,0 -54.6802668309493,-16.4669428883921,0 -54.6805994248672,-16.4670877276789,0 -54.68103126051851,-16.4672567068469,0 -54.6812002396864,-16.4673452197445,0",ATIVAS,Sem restrição de Venda,MT-136 (EROI) Secundária
MT-251 (EROI),230,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,251 (EROI) Secundária,Suburbio,198,484,484,477,0.4091,5107602,121,1.636363636,"-54.6665605209805,-16.4594482987108,0 -54.6667442522731,-16.4590540140157,0 -54.6687039412347,-16.4598995804077,0 -54.6706770412413,-16.4607773333078,0 -54.6704254165081,-16.4613342269545,0 -54.67085373176031,-16.4615182935482,0 -54.6704135142057,-16.4624818771368,0 -54.67115849775979,-16.4628319054133,0 -54.6706401608679,-16.4637130110748,0 -54.6703142724731,-16.4644613473904,0 -54.66970943434071,-16.4642655461327,0 -54.6664800546831,-16.4629619925509,0 -54.6655909023952,-16.4625154047503,0 -54.66576792818839,-16.4621378838336,0 -54.6659248374141,-16.4619440942343,0 -54.6661420963534,-16.4614210634668,0 -54.66638081296491,-16.4609114437442,0 -54.6659449539998,-16.4607397823668,0 -54.6660995162943,-16.4604115470386,0 -54.6661306969741,-16.4601302503682,0 -54.6662788890222,-16.4598492889739,0 -54.6664465270857,-16.4599203675129,0 -54.6664961479528,-16.4598077147344,0 -54.66655113324951,-16.4596896975213,0 -54.66664501056481,-16.4594925551591,0 -54.6665605209805,-16.4594482987108,0",ATIVAS,Sem restrição de Venda,MT-251 (EROI) Secundária
MT-317 (EROI),213,MT,RONDONOPOLIS,ROI,EROI,BRONZE,Sem Restrição de Vendas,317 (EROI) Secundária,Suburbio,63,213,213,213,0.2958,5107602,53,1.188679245,"-54.6067733905491,-16.4684041715049,0 -54.6067814371733,-16.4683485156707,0 -54.60693993896219,-16.4683641060107,0 -54.6071438497117,-16.4683871143348,0 -54.6071311720831,-16.4685080232881,0 -54.60747321659681,-16.4684455361999,0 -54.6076248242704,-16.4684608331732,0 -54.60772658057509,-16.4685684568099,0 -54.6077699150145,-16.468571139019,0 -54.60781123779719,-16.4685765034371,0 -54.60785189002771,-16.4685791856461,0 -54.60789501491949,-16.4685832089595,0 -54.60793545760239,-16.4685845500641,0 -54.60797535546101,-16.468587902825,0 -54.6079735114421,-16.4686331651019,0 -54.6079618605965,-16.468707428764,0 -54.60795268241261,-16.4687948520141,0 -54.6079408220195,-16.4688930041002,0 -54.6079277462501,-16.4689754820271,0 -54.6079227171078,-16.4690163857142,0 -54.6079153410331,-16.469080758731,0 -54.6079052827494,-16.4691732949425,0 -54.6078963979322,-16.4692393443395,0 -54.60788793221,-16.4693048908223,0 -54.6078754431743,-16.4693865305591,0 -54.6078576735398,-16.4695233232188,0 -54.6078494592747,-16.4695695913243,0 -54.60803704626781,-16.4695917195486,0 -54.60795624472141,-16.4702756828473,0 -54.6077584318063,-16.4704138166115,0 -54.607427849545,-16.4703568196699,0 -54.60732525505,-16.4703970528052,0 -54.60723808325671,-16.4704299098656,0 -54.60711637802281,-16.4704751721427,0 -54.60690414823461,-16.4705512798236,0 -54.60656820155571,-16.4706746614379,0 -54.6063294849537,-16.470759821574,0 -54.60629729844531,-16.4704305804178,0 -54.6054296038288,-16.4703058576986,0 -54.6045552036897,-16.4701777822181,0 -54.6041186741722,-16.4701613536879,0 -54.6038481063377,-16.470121958743,0 -54.6032550028692,-16.4700289196178,0 -54.6033418393869,-16.4693975946716,0 -54.6034253231434,-16.4687448120534,0 -54.6041079453385,-16.468893674653,0 -54.6048214129361,-16.468911109011,0 -54.6052009455118,-16.4689679383146,0 -54.6056837431346,-16.469036837559,0 -54.6066533616937,-16.4691800004655,0 -54.6066704607772,-16.4690797529026,0 -54.6066843747369,-16.4689994542697,0 -54.6066969475921,-16.4689111090098,0 -54.6067073411529,-16.4688420421275,0 -54.6067170641613,-16.4687769985588,0 -54.6067257813388,-16.4687226838257,0 -54.6067348337945,-16.4686626693988,0 -54.6067444729831,-16.468594356888,0 -54.60675679438081,-16.4685166566455,0 -54.6067666850267,-16.4684544629238,0 -54.6067733905491,-16.4684041715049,0",ATIVAS,Sem restrição de Venda,MT-317 (EROI) Secundária
