name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
RO-35 (ETCN),247,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,35 (ETCN) Secundária,Suburbio,172,391,391,391,0.4399,1100205,135,1.274074074,"-63.8496177348115,-8.73771116059949,0 -63.85115732278679,-8.737188129841581,0 -63.8522114309297,-8.736713378845909,0 -63.852251664065,-8.736753611981101,0 -63.8536531182748,-8.73810678642918,0 -63.85333795871309,-8.739604800163979,0 -63.8511197718588,-8.739113955914251,0 -63.8510661276782,-8.73939827006985,0 -63.8507362159695,-8.7393338970535,0 -63.8507858368364,-8.73904690068891,0 -63.8493173274008,-8.738749175488261,0 -63.8495372685391,-8.73773530048055,0 -63.8496177348115,-8.73771116059949,0",ATIVAS,Sem restrição de Venda,RO-35 (ETCN) Secundária
RO-36 (ETCN),247,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,36 (ETCN) Secundária,Suburbio,84,301,301,301,0.2791,1100205,104,0.807692308,"-63.850460946555,-8.741405904292909,0 -63.8501095771737,-8.74132812023138,0 -63.848980367179,-8.741084039211101,0 -63.849422931667,-8.7387880682938,0 -63.850773548962,-8.739052063857001,0 -63.85073163273301,-8.739336653102001,0 -63.851068920514,-8.7394030377753,0 -63.85112457634699,-8.7391187236204,0 -63.85203753324299,-8.7393343061699,0 -63.851535960157,-8.741651734758729,0 -63.851020976026,-8.741537740875611,0 -63.850460946555,-8.741405904292909,0",ATIVAS,Sem restrição de Venda,RO-36 (ETCN) Secundária
RO-57 (ETCN),243,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,57 (ETCN) Secundária,Suburbio,121,274,274,274,0.4416,1100205,69,1.753623188,"-63.8261896371809,-8.750385940075541,0 -63.825889229771,-8.751887977123941,0 -63.8253588229384,-8.751773312688551,0 -63.8253353536095,-8.751924186945629,0 -63.8245581835474,-8.75175051391192,0 -63.8237783312764,-8.751574158669181,0 -63.82351312786,-8.75151649117536,0 -63.8232479244437,-8.75145882368153,0 -63.8227282464471,-8.751343488693889,0 -63.821688890454,-8.75110745430058,0 -63.8216727972,-8.75120669603411,0 -63.8182127475695,-8.750410079956721,0 -63.8147956132832,-8.7496456503875,0 -63.8149672746603,-8.749103173614261,0 -63.8212704658453,-8.750594146550419,0 -63.82132947444369,-8.750217128545771,0 -63.8214300572819,-8.750237077475321,0 -63.8215118646578,-8.749323785305711,0 -63.8233411312066,-8.74974757433003,0 -63.8261896371809,-8.750385940075541,0",ATIVAS,Sem restrição de Venda,RO-57 (ETCN) Secundária
RO-59 (ETCN),242,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,59 (ETCN) Secundária,Suburbio,186,396,396,387,0.4697,1100205,136,1.367647059,"-63.8329273462444,-8.75069975852867,0 -63.8328817486913,-8.747811019419579,0 -63.83288577200491,-8.74742478132139,0 -63.8331415038707,-8.747438360004541,0 -63.8331504725071,-8.748236484824529,0 -63.8337433559506,-8.74827497871485,0 -63.8337796810234,-8.74856962356608,0 -63.8340669078904,-8.748576873912331,0 -63.8342068437638,-8.74865574762117,0 -63.8348193094286,-8.748746439813489,0 -63.83498393000689,-8.74822810292136,0 -63.8365577161464,-8.748588860033861,0 -63.8368192315254,-8.74767422675979,0 -63.8371930644068,-8.74774899333609,0 -63.8372664898787,-8.747598454355121,0 -63.8374321162854,-8.747616559265969,0 -63.8374066352999,-8.747776150702361,0 -63.8367334008371,-8.75039801001444,0 -63.8370794058,-8.75048518180744,0 -63.836891651169,-8.75138908624549,0 -63.836072571591,-8.751368969677889,0 -63.8360085338507,-8.75102430581947,0 -63.835827149466,-8.75098541378876,0 -63.8356243074091,-8.75134214758774,0 -63.8329273462444,-8.75069975852867,0",ATIVAS,Sem restrição de Venda,RO-59 (ETCN) Secundária
RO-19 (EDPO),239,RO,PORTO VELHO,PVO,EDPO,BRONZE,Sem Restrição de Vendas,19 (EDPO) Secundária,Comunidade,241,432,432,356,0.5579,1100205,97,2.484536082,"-63.9181992666676,-8.730072432881339,0 -63.9181778089952,-8.73064106119252,0 -63.91812952923281,-8.731912428265581,0 -63.91661139893039,-8.732591027146359,0 -63.916375364537,-8.734471255665801,0 -63.9148947851609,-8.73579090250111,0 -63.9143958942859,-8.739481622105989,0 -63.9111396925419,-8.739331418401131,0 -63.910957302329,-8.7359196485342,0 -63.912963594672,-8.734600001698899,0 -63.9158711092434,-8.730785900479511,0 -63.9160105841117,-8.730622285729501,0 -63.9161125080542,-8.730047957724169,0 -63.9163083093123,-8.730057680731839,0 -63.9163116620735,-8.7299564273415,0 -63.9181992666676,-8.730072432881339,0",ATIVAS,Sem restrição de Venda,RO-19 (EDPO) Secundária
RO-16 (EDPO),239,RO,PORTO VELHO,PVO,EDPO,BRONZE,Sem Restrição de Vendas,16 (EDPO) Secundária,Suburbio,187,336,336,327,0.5565,1100205,83,2.253012048,"-63.9103462448437,-8.73987744333207,0 -63.9102677902295,-8.74072770358978,0 -63.9101839711976,-8.741630266923281,0 -63.9096401533198,-8.74141870768722,0 -63.90914260354741,-8.74123195888456,0 -63.909079571636,-8.741649042386401,0 -63.9077116450382,-8.741099189538311,0 -63.9073133369997,-8.741441171187709,0 -63.90651806202699,-8.74207283141072,0 -63.90628605094731,-8.741834114808411,0 -63.905941387089,-8.741396914738999,0 -63.9071906259375,-8.74048429312167,0 -63.9071497222499,-8.74042997838912,0 -63.9076016744686,-8.740079950112669,0 -63.9082198398275,-8.74086877102015,0 -63.9086475683463,-8.739825643170439,0 -63.90913288054,-8.738973203617901,0 -63.9091164520099,-8.73866307320054,0 -63.9092230698183,-8.73842905046398,0 -63.909570415886,-8.7384384381955,0 -63.9103462448437,-8.73987744333207,0",ATIVAS,Sem restrição de Venda,RO-16 (EDPO) Secundária
RO-69 (ETCN),239,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,69 (ETCN) Secundária,Suburbio,83,209,209,209,0.3971,1100205,52,1.596153846,"-63.8489656150326,-8.74101966619495,0 -63.84547471999949,-8.74024953693158,0 -63.8438546657544,-8.73988995328555,0 -63.8422104716281,-8.73955719172965,0 -63.8425641879419,-8.7390284612776,0 -63.8426700513789,-8.738671643659581,0 -63.8427276350537,-8.738389927893991,0 -63.84336457587569,-8.738431418314679,0 -63.84344030637081,-8.73817187268298,0 -63.8430025929098,-8.73797287582431,0 -63.8435320724944,-8.73684743244678,0 -63.84425815223731,-8.73603258311061,0 -63.8447186932877,-8.736008985433839,0 -63.8447208621052,-8.738601497607419,0 -63.84468547999649,-8.73980194330227,0 -63.8456638157346,-8.74003328382981,0 -63.848594129083,-8.73809874057784,0 -63.849260658024,-8.73762130737318,0 -63.8495275378209,-8.73767092823997,0 -63.8492871448381,-8.738780021667599,0 -63.84940080344509,-8.738804161548719,0 -63.8489656150326,-8.74101966619495,0",ATIVAS,Sem restrição de Venda,RO-69 (ETCN) Secundária
RO-84 (ETCN),236,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,84 (ETCN) Secundária,Suburbio,156,321,321,321,0.486,1100205,111,1.405405405,"-63.83477383813791,-8.77694928306359,0 -63.8341877754684,-8.77973475712561,0 -63.83358561954489,-8.77959125894329,0 -63.8337680097572,-8.778854992568659,0 -63.8301242288105,-8.778129455030189,0 -63.83060300312,-8.7759635712506,0 -63.8332060869689,-8.77654829281586,0 -63.8331953581327,-8.77661601859349,0 -63.8337901379817,-8.776726994991479,0 -63.83386892787151,-8.776746273368779,0 -63.83389357066689,-8.776751889243901,0 -63.83477383813791,-8.77694928306359,0",ATIVAS,Sem restrição de Venda,RO-84 (ETCN) Secundária
RO-91 (ETCN),234,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,91 (ETCN) Secundária,Suburbio,186,329,329,329,0.5653,1100205,113,1.646017699,"-63.82672184663699,-8.7760614718764,0 -63.823369085369,-8.7753748263686,0 -63.82395380693399,-8.772585328993101,0 -63.82715100008,-8.7733309830992,0 -63.826780855236,-8.774811562475501,0 -63.826780855236,-8.7748330201476,0 -63.827016889629,-8.7748866643279,0 -63.82695788103099,-8.7751066054671,0 -63.826845228252,-8.7755357589095,0 -63.82672184663699,-8.7760614718764,0",ATIVAS,Sem restrição de Venda,RO-91 (ETCN) Secundária
RO-98 (ETCN),233,RO,PORTO VELHO,PVO,ETCN,BRONZE,Sem Restrição de Vendas,98 (ETCN) Secundária,Suburbio,225,518,518,503,0.4344,1100205,130,1.730769231,"-63.82503455445101,-8.767851091911,0 -63.82464295191801,-8.7677706256422,0 -63.82094150348,-8.7669552341015,0 -63.82081275744699,-8.7676257863553,0 -63.822164590791,-8.7679583802731,0 -63.8220147223626,-8.768664807072341,0 -63.8216703937805,-8.768586687734739,0 -63.8215570704501,-8.768891789010089,0 -63.82109036608561,-8.76880729942563,0 -63.82061159177619,-8.768717445423601,0 -63.8202280358876,-8.768657095720769,0 -63.8198485033146,-8.76858333497259,0 -63.8183491484754,-8.76833456008648,0 -63.81396776004961,-8.76735622434831,0 -63.814300353967,-8.7658340707323,0 -63.817363436665,-8.766504622985799,0 -63.817781861272,-8.7647504582901,0 -63.819391186683,-8.765034772445301,0 -63.81928926274101,-8.765533663322101,0 -63.821263368576,-8.765876986076,0 -63.821209724395,-8.7665743604199,0 -63.825120385139,-8.767309285690001,0 -63.82503455445101,-8.767851091911,0",ATIVAS,Sem restrição de Venda,RO-98 (ETCN) Secundária
