name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
RS-02 (VNR),278,RS,PORTO ALEGRE,PAE,VNR,BRONZE,Sem Restrição de Vendas,02 (VNR) Secundária,Defesa Oi,164,420,420,420,0.3905,4314902,95,1.726315789,"-51.13626757921849,-30.1646785513064,0 -51.13551440643259,-30.1646947088935,0 -51.1355068657338,-30.1642278957391,0 -51.1358495039883,-30.1642239045531,0 -51.1363162107801,-30.1642396810865,0 -51.1365879746403,-30.1643092627262,0 -51.1373526246313,-30.1643168243126,0 -51.1373523513368,-30.1653479282735,0 -51.136263368988,-30.1653535774578,0 -51.13626757921849,-30.1646785513064,0",ATIVAS,Sem restrição de Venda,RS-02 (VNR) Secundária
RS-3 (VNR),277,RS,PORTO ALEGRE,PAE,VNR,BRONZE,Sem Restrição de Vendas,3 (VNR) Secundária,Defesa Oi,160,340,340,340,0.4706,4314902,77,2.077922078,"-51.136256456373,-30.164790004496,0 -51.136249750851,-30.165420323615,0 -51.13495046188639,-30.1654173731688,0 -51.1349479137554,-30.16472308339,0 -51.1352801054409,-30.1647137761213,0 -51.1362513132267,-30.1646952018206,0 -51.1362551152677,-30.1647906750485,0 -51.136256456373,-30.164790004496,0",ATIVAS,Sem restrição de Venda,RS-3 (VNR) Secundária
RS-47 (VAO),277,RS,VIAMAO,VAO,VAO,BRONZE,Sem Restrição de Vendas,47 (VAO) Secundária,Suburbio,139,525,525,525,0.2648,4323002,118,1.177966102,"-51.0152315048888,-30.0873223836134,0 -51.0151710128008,-30.0873568251754,0 -51.0151144728343,-30.0873097730156,0 -51.0150507703701,-30.0872212601181,0 -51.0150648519673,-30.0871810269828,0 -51.01520969125369,-30.0870093656059,0 -51.0153920814671,-30.086794788885,0 -51.0156200692339,-30.08656411891,0 -51.0161001846474,-30.0863589299203,0 -51.0164971515815,-30.08621006732,0 -51.0164280846993,-30.0860001844645,0 -51.01635097119011,-30.0858358991623,0 -51.0161860153356,-30.0853893113611,0 -51.0162088141122,-30.085095609474,0 -51.01581553521541,-30.0848833796857,0 -51.0153954342285,-30.0846791965245,0 -51.015235591335,-30.0847862334279,0 -51.01506501960549,-30.0850059231101,0 -51.01506079722171,-30.0851322907778,0 -51.0152040963339,-30.085180874384,0 -51.0153809230586,-30.0852924899022,0 -51.0155604319924,-30.0854550673915,0 -51.0157500725517,-30.0858747073737,0 -51.0157228523211,-30.0859584635412,0 -51.0156419879103,-30.0860153976185,0 -51.0155235725732,-30.0860079586794,0 -51.0154269135136,-30.0859122216291,0 -51.0153678053802,-30.0857950269067,0 -51.0152510297529,-30.0856121180634,0 -51.015133633341,-30.0854777482976,0 -51.0148123890439,-30.0853192386505,0 -51.0146719921657,-30.0856046424536,0 -51.014516843138,-30.0856298719822,0 -51.0144079622158,-30.0855625652997,0 -51.01442862360719,-30.0854229647024,0 -51.01450829359679,-30.0852484953878,0 -51.0146148275861,-30.0850442284075,0 -51.0147455014565,-30.0848989700255,0 -51.01419413986591,-30.0845816311715,0 -51.01441659557601,-30.084191872674,0 -51.01456604490951,-30.0842886836556,0 -51.01498208067339,-30.0839273817194,0 -51.0150185838618,-30.0839617056129,0 -51.0152065061309,-30.0837620486794,0 -51.015037610782,-30.0835877889125,0 -51.0152442246952,-30.0835462984918,0 -51.01543818193459,-30.0835377489505,0 -51.01561604591989,-30.0836150300977,0 -51.0161109134831,-30.0836083245752,0 -51.0167774424235,-30.0833414447779,0 -51.0170416400116,-30.083490307378,0 -51.0171271354239,-30.0837152776591,0 -51.0172054223996,-30.083971260982,0 -51.01725152286701,-30.083883921551,0 -51.0173729743606,-30.0838976219326,0 -51.01748990419321,-30.0839881924263,0 -51.017452185629,-30.084145604568,0 -51.0175821889472,-30.0841076345467,0 -51.0177175566834,-30.0840964866155,0 -51.01804679784,-30.0840911221974,0 -51.0182808205764,-30.08410319213811,0 -51.0183542460482,-30.0842314352566,0 -51.0183740273396,-30.0843113986129,0 -51.01848869177489,-30.0843157572025,0 -51.0188293323198,-30.0842171860212,0 -51.018964448599,-30.0843559903379,0 -51.0190641932468,-30.0844629434225,0 -51.01908347162409,-30.0846074474333,0 -51.0191283986253,-30.084970886755,0 -51.0191364452521,-30.0852283788203,0 -51.01909621211659,-30.0854429555414,0 -51.01895405503901,-30.0859177065374,0 -51.0185919568216,-30.0859793973443,0 -51.0185691580449,-30.0861121666906,0 -51.0185517236862,-30.0862556648729,0 -51.019605831829,-30.086773331213,0 -51.02126075479119,-30.086341495561,0 -51.0211641952667,-30.0862368894098,0 -51.0207806393776,-30.0858935666563,0 -51.02033807489029,-30.0855126929758,0 -51.0203447804128,-30.0854976055501,0 -51.0203575209056,-30.0854800035535,0 -51.0203702613985,-30.0854717892884,0 -51.020390377966,-30.085452343273,0 -51.0204145178472,-30.0854375911233,0 -51.0204440221465,-30.0854161334512,0 -51.0204802319682,-30.0853819352863,0 -51.020537899462,-30.0853423727033,0 -51.0203099116957,-30.0851254490492,0 -51.0203783080256,-30.085069457936,0 -51.0204426810418,-30.085024195659,0 -51.02053655835749,-30.0851130438325,0 -51.0210113093531,-30.085539515066,0 -51.02133786830069,-30.0858808261632,0 -51.0212460026419,-30.0859539163588,0 -51.0216791793978,-30.0863683176516,0 -51.0214042529737,-30.0864809704303,0 -51.0211494431173,-30.0865507078647,0 -51.0199256852545,-30.0868886662002,0 -51.01984857174549,-30.0869101238726,0 -51.0197828576248,-30.0869282287838,0 -51.0198103502665,-30.0870127183675,0 -51.0198076680576,-30.0870576453684,0 -51.019811020819,-30.0871019018171,0 -51.0197959333934,-30.087128053355,0 -51.0197600588479,-30.08715688710191,0 -51.01972250792189,-30.0871783447739,0 -51.0197077557724,-30.0871944380283,0 -51.0196889803089,-30.0871971202373,0 -51.0195314005291,-30.0873473239421,0 -51.01943282934769,-30.0874492478847,0 -51.01930274221041,-30.0875761498988,0 -51.0192383691942,-30.0876333144784,0 -51.01921288820851,-30.0876649980724,0 -51.0191632673419,-30.0876980227709,0 -51.0191625967898,-30.0877127749204,0 -51.01914650353599,-30.0877295387268,0 -51.01918120461501,-30.0877494876562,0 -51.0192333400525,-30.0877788243172,0 -51.0192571446571,-30.0877945822949,0 -51.0192881576989,-30.0878220749373,0 -51.0193205118453,-30.0878442031617,0 -51.0193490103162,-30.0878750485654,0 -51.0192336753287,-30.0879977596279,0 -51.0191163286844,-30.088109071302,0 -51.0190318391005,-30.088103706884,0 -51.0188802942912,-30.0880688381668,0 -51.0186670586745,-30.0879840133068,0 -51.0183934733549,-30.0879756314038,0 -51.0183344647565,-30.0879692611574,0 -51.0181976720967,-30.0880292755841,0 -51.0180444509067,-30.0880440277337,0 -51.0179200634635,-30.0880218995093,0 -51.0179401800311,-30.0874572945114,0 -51.01795761438971,-30.0872279656405,0 -51.017969013778,-30.08705563371119,0 -51.01799234297191,-30.0870030333398,0 -51.0180196954793,-30.0869557973864,0 -51.0180542839267,-30.0869109463465,0 -51.0180972542771,-30.0868821885605,0 -51.0188684443752,-30.0867971043853,0 -51.01867979392819,-30.0866309593484,0 -51.0187410368276,-30.0866437758022,0 -51.0186185484095,-30.0865519861044,0 -51.0185385274276,-30.0864899443049,0 -51.01835859415991,-30.0863628589369,0 -51.0182936606038,-30.0864409625583,0 -51.01817776507651,-30.0863916612515,0 -51.0182184382616,-30.0862920213775,0 -51.0180659923977,-30.0862936348939,0 -51.0180650703883,-30.0863879313046,0 -51.0179483314319,-30.0863811629177,0 -51.017809464251,-30.0863790883967,0 -51.0178080602823,-30.0864977132813,0 -51.01756123418859,-30.0864721694314,0 -51.01754300354929,-30.0865598860481,0 -51.0174601274818,-30.086563175945,0 -51.0173510998762,-30.08657183026,0 -51.0172421477614,-30.0865746467943,0 -51.0171237407526,-30.08657212362669,0 -51.0170257772593,-30.0865707196579,0 -51.0169496067143,-30.086634694534,0 -51.0168600565563,-30.0866437155573,0 -51.0167904710439,-30.0866395088896,0 -51.0167289321585,-30.0866581009986,0 -51.0165873827686,-30.0867207347701,0 -51.01652227633571,-30.0867431354062,0 -51.0164558287983,-30.086766877147,0 -51.0163920006058,-30.0867929029563,0 -51.0163442656671,-30.0868135643476,0 -51.0163060441889,-30.0868289870498,0 -51.01624636503839,-30.0868551385881,0 -51.01613371226,-30.0869047594543,0 -51.01598149689849,-30.0869691324708,0 -51.0158721968813,-30.0870093656062,0 -51.015755520789,-30.0870589864726,0 -51.0155664250532,-30.0871474993701,0 -51.0153706237949,-30.0872614932533,0 -51.01535184833229,-30.0872440588953,0 -51.0153141550206,-30.0872671847512,0 -51.0152799270356,-30.0872891349943,0 -51.0152315048888,-30.0873223836134,0",ATIVAS,Sem restrição de Venda,RS-47 (VAO) Secundária
RS-24 (VAO),274,RS,VIAMAO,VAO,VAO,BRONZE,Sem Restrição de Vendas,24 (VAO) Secundária,Suburbio,143,381,381,381,0.3753,4323002,86,1.662790698,"-51.0310635715962,-30.09009450674739,0 -51.0312754661084,-30.0898168981141,0 -51.031646952057,-30.0894353538817,0 -51.032106950903,-30.0890108943051,0 -51.0336532444002,-30.090088471777,0 -51.0334252566339,-30.0903680920665,0 -51.03370822968499,-30.0905746221603,0 -51.0338912904503,-30.0903452932902,0 -51.0349407047271,-30.0910238921706,0 -51.0350694507599,-30.0908066332403,0 -51.0348987952113,-30.0907550007168,0 -51.0350687802076,-30.0905793160263,0 -51.03521764280811,-30.0906477123561,0 -51.0362637043244,-30.0895406305849,0 -51.0361309349782,-30.0894152373141,0 -51.0365144908665,-30.0890269875589,0 -51.036768630171,-30.089287161834,0 -51.0377422720437,-30.0903224945135,0 -51.0373761505132,-30.090781152255,0 -51.03679008784359,-30.0916045904223,0 -51.0361544043071,-30.0913377106253,0 -51.0355053097255,-30.0911781191889,0 -51.0340542346484,-30.0931361317698,0 -51.03243686261251,-30.092275142676,0 -51.0304815322406,-30.0912719965044,0 -51.0301382094867,-30.0910896062913,0 -51.03053115310711,-30.0906564295357,0 -51.0310635715962,-30.09009450674739,0",ATIVAS,Sem restrição de Venda,RS-24 (VAO) Secundária
RS-44 (VAO),274,RS,VIAMAO,VAO,VAO,BRONZE,Sem Restrição de Vendas,44 (VAO) Secundária,Carente de Fibra,183,523,523,523,0.3499,4323002,118,1.550847458,"-51.00364804267031,-30.0787648558593,0 -51.00288629530999,-30.0790806859708,0 -51.0028541088018,-30.0792516767954,0 -51.0027253627691,-30.0793086737369,0 -51.0025510191831,-30.0792074203466,0 -51.00222915410111,-30.0792731344677,0 -51.00219294427921,-30.0791772454954,0 -51.0020682215598,-30.0792275369144,0 -51.0018402337939,-30.0793395191408,0 -51.001707464448,-30.0794273614861,0 -51.0016082227135,-30.07949844002439,0 -51.001353412858,-30.07991015910889,0 -51.00138761102291,-30.080187767742,0 -51.0014110803517,-30.0804707407931,0 -51.0015800595192,-30.0808060169197,0 -51.00179463624001,-30.0812029838536,0 -51.000252366057,-30.0808113813381,0 -50.9992760419756,-30.080253481863,0 -50.998948812476,-30.079518556593,0 -50.99928408860261,-30.078966021535,0 -50.9992954879909,-30.0788466632339,0 -50.9993575140744,-30.0788433104726,0 -50.9993390738874,-30.0784268975231,0 -50.99933236836489,-30.0780674815151,0 -50.9993967413814,-30.0780755281422,0 -50.9995858371168,-30.0780755281425,0 -50.9997722506432,-30.0780782103518,0 -50.9997896850017,-30.0775377452357,0 -50.9998165070918,-30.0774411857114,0 -51.00008338688879,-30.0774146988975,0 -51.00008070467981,-30.0773533433663,0 -51.00056082009339,-30.0772990286338,0 -51.0013279318717,-30.07721453905,0 -51.00130915640869,-30.0768578052512,0 -51.00147360934891,-30.0768484175196,0 -51.0014740284441,-30.0768470764151,0 -51.0016407444981,-30.0768356770268,0 -51.0016415826884,-30.076836347579,0 -51.0016464441923,-30.0769409537306,0 -51.0019730031399,-30.0769302248946,0 -51.0019877552894,-30.07664322853,0 -51.00222186184499,-30.076595535501,0 -51.00222529842529,-30.0768965296439,0 -51.0032701864747,-30.0767367705694,0 -51.00328125058689,-30.0768222659818,0 -51.00364804267031,-30.0787648558593,0",ATIVAS,Sem restrição de Venda,RS-44 (VAO) Secundária
RS-40 (VNR),259,RS,PORTO ALEGRE,PAE,VNR,BRONZE,Sem Restrição de Vendas,40 (VNR) Secundária,Defesa Oi,98,303,303,303,0.3234,4314902,76,1.289473684,"-51.15071892743529,-30.1706627011189,0 -51.1503514648002,-30.1709309220203,0 -51.1499866843742,-30.171228647221,0 -51.1498579383415,-30.1713144779093,0 -51.1497318745178,-30.1714137196429,0 -51.1487528682273,-30.17067342995441,0 -51.14819765096129,-30.170200020063,0 -51.1479649693292,-30.1700367405892,0 -51.1478566751402,-30.16993766649369,0 -51.1477483809513,-30.1698332279802,0 -51.1476652324717,-30.169774889934,0 -51.1476182938139,-30.1697239279629,0 -51.1476370692769,-30.1697105169181,0 -51.1476719379941,-30.169675648201,0 -51.1478295177738,-30.1695542782431,0 -51.1479870975535,-30.1694275438672,0 -51.1482995749037,-30.1692169904594,0 -51.148416250996,-30.1691123843081,0 -51.1490049958747,-30.1695670187361,0 -51.1492936686199,-30.1697651669271,0 -51.1494192295294,-30.169838760037,0 -51.149550154857,-30.1699110120424,0 -51.149777136795,-30.1700353994855,0 -51.1501013488096,-30.1701758801826,0 -51.1500537395996,-30.1702472939977,0 -51.1503239721578,-30.1704139262327,0 -51.15071892743529,-30.1706627011189,0",ATIVAS,Sem restrição de Venda,RS-40 (VNR) Secundária
RS-15 (AVA),255,RS,ALVORADA,AVA,AVA,BRONZE,Sem Restrição de Vendas,15 (AVA) Secundária,Suburbio,166,440,440,440,0.3773,4300604,109,1.52293578,"-51.069265604018,-29.982848390965,0 -51.06896519660809,-29.9853589386035,0 -51.06863796710831,-29.9853166938113,0 -51.0672432184207,-29.9852119096782,0 -51.0670594871033,-29.985295906691,0 -51.0668293808916,-29.9852718380022,0 -51.06717884540449,-29.9821027368591,0 -51.0675939172484,-29.98132154348241,0 -51.068000942467,-29.9813510477817,0 -51.0679271817189,-29.981638714698,0 -51.067806482313,-29.982086643604,0 -51.067774295805,-29.982295855907,0 -51.06868088245201,-29.982408508686,0 -51.06883913278299,-29.9824299663578,0 -51.06910198926661,-29.9824675172838,0 -51.0693058371517,-29.982491657165,0 -51.069265604018,-29.982848390965,0",ATIVAS,Sem restrição de Venda,RS-15 (AVA) Secundária
RS-125 (AVA),252,RS,ALVORADA,AVA,AVA,BRONZE,Sem Restrição de Vendas,125 (AVA) Secundária,Suburbio,99,369,369,369,0.2683,4300604,83,1.192771084,"-51.0419848552245,-29.9959150067782,0 -51.04213195785919,-29.9955848687682,0 -51.04254728139539,-29.9956329222294,0 -51.0435630008899,-29.9934652447431,0 -51.0438823514007,-29.9929153918951,0 -51.0438891407423,-29.9927772581309,0 -51.0439750552498,-29.992610961172,0 -51.0452504456371,-29.9930964410034,0 -51.0437443852743,-29.99625608322321,0 -51.043385975095,-29.9961327016085,0 -51.0433132201757,-29.9962943047017,0 -51.04271600957419,-29.9960678256778,0 -51.0427826457045,-29.9959171190587,0 -51.0426443443021,-29.995875880095,0 -51.0424799452245,-29.9958248925968,0 -51.04241009657169,-29.9959792497049,0 -51.0419848552245,-29.9959150067782,0",ATIVAS,Sem restrição de Venda,RS-125 (AVA) Secundária
RS-112 (AVA),252,RS,ALVORADA,AVA,AVA,BRONZE,Sem Restrição de Vendas,112 (AVA) Secundária,Suburbio,135,400,400,400,0.3375,4300604,99,1.363636364,"-51.060467958453,-29.980899095536,0 -51.06084346771599,-29.980319738389,0 -51.062329411511,-29.980807900429,0 -51.064137220388,-29.981499910355,0 -51.06433033943701,-29.980909824371,0 -51.065070629125,-29.980963468552,0 -51.064780950551,-29.98271226883,0 -51.064544916157,-29.984992146493,0 -51.06430888176399,-29.984933137894,0 -51.064121127133,-29.9850565195089,0 -51.0639873519584,-29.9850977584728,0 -51.0637972503945,-29.9851631373179,0 -51.063481420283,-29.985309988262,0 -51.06332585216,-29.985138326885,0 -51.06261774897901,-29.985061883927,0 -51.06127932668199,-29.98567610979,0 -51.060799211268,-29.985783398151,0 -51.0608427971644,-29.9852174520497,0 -51.0608558729334,-29.9849981814628,0 -51.0608648415698,-29.9848262686288,0 -51.0606310702904,-29.9848112650222,0 -51.0606335848614,-29.9846508353955,0 -51.0608153045225,-29.984662234784,0 -51.0609064996296,-29.9837341904652,0 -51.06168702245281,-29.9837435781967,0 -51.06226369739101,-29.9840801954279,0 -51.0622878372721,-29.9826572835454,0 -51.06230258942169,-29.9821925908335,0 -51.06138929725211,-29.9816527962692,0 -51.06029495597389,-29.9811163544657,0 -51.060467958453,-29.980899095536,0",ATIVAS,Sem restrição de Venda,RS-112 (AVA) Secundária
RS-116 (AVA),252,RS,ALVORADA,AVA,AVA,BRONZE,Sem Restrição de Vendas,116 (AVA) Secundária,Suburbio,160,466,466,466,0.3433,4300604,59,2.711864407,"-51.0500609875086,-29.9979002772727,0 -51.04990005496759,-29.9977996944343,0 -51.049721688068,-29.9976776539239,0 -51.0496251285432,-29.9976199864303,0 -51.0496827960368,-29.9975381790557,0 -51.0479648411631,-29.9967737494864,0 -51.048254519737,-29.996186345712,0 -51.0499899089692,-29.996773749486,0 -51.0499469936252,-29.996870309011,0 -51.05033591393211,-29.9969561396987,0 -51.0505183041451,-29.9967643617543,0 -51.05060949925149,-29.9966738372001,0 -51.0506872833129,-29.996585994855,0 -51.0507918894649,-29.9963620304024,0 -51.0508884489899,-29.9961568414129,0 -51.0513725877167,-29.9962601064595,0 -51.0515187681078,-29.9972753225719,0 -51.051553636825,-29.997275322572,0 -51.0516153276323,-29.9972632526315,0 -51.0516662896036,-29.9972565471089,0 -51.0519506037591,-29.9972297250189,0 -51.0522912443042,-29.9972632526316,0 -51.0529430210949,-29.9972270428099,0 -51.0532749444606,-29.9972072615184,0 -51.0535237193467,-29.99720625569,0 -51.0540427267912,-29.9972042440333,0 -51.05443164709861,-29.9971787630476,0 -51.0544906556963,-29.99792173494451,0 -51.0532326996682,-29.9979257582582,0 -51.0526090860721,-29.9979545920052,0 -51.0519908368941,-29.9979834257522,0 -51.0518050939199,-29.9982350504853,0 -51.0513645410893,-29.9983391537225,0 -51.0513068735957,-29.9983327834759,0 -51.0511271655916,-29.9982764570868,0 -51.0509501397965,-29.9983683227457,0 -51.05094477537909,-29.9983683227459,0 -51.0500609875086,-29.9979002772727,0",ATIVAS,Sem restrição de Venda,RS-116 (AVA) Secundária
