name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
SC-315 (BNU),234,SC,BLUMENAU,BNU,BNU,BRONZE,Sem Restrição de Vendas,315 (BNU) Secundária,Suburbio,224,461,461,446,0.4859,4202404,77,2.909090909,"-49.0543498501812,-26.9375818107205,0 -49.0547307238612,-26.9380377862531,0 -49.0536900267632,-26.9384454820234,0 -49.05294705486611,-26.9388370845395,0 -49.0527002916368,-26.9398147497253,0 -49.05233819341979,-26.9398107264117,0 -49.0523207590612,-26.9392360631302,0 -49.051831255916,-26.939243439205,0 -49.05176688289999,-26.940614048012,0 -49.051852713586,-26.940732065204,0 -49.05105877971799,-26.942201915744,0 -49.04642392254,-26.942330661777,0 -49.045876751894,-26.94008833503599,0 -49.041767607683,-26.940152708052,0 -49.041102419847,-26.93906909561,0 -49.040694724073,-26.93595773315,0 -49.04116679286,-26.935335460659,0 -49.042679558744,-26.935292545315,0 -49.04628444766001,-26.936183038708,0 -49.04753972147599,-26.934090915675,0 -49.048194180476,-26.933254066463,0 -49.048312197672,-26.933157506938,0 -49.048505316721,-26.933114591594,0 -49.048655520426,-26.933136049266,0 -49.050511609065,-26.934176746364,0 -49.052346240031,-26.935195985789,0 -49.052378426539,-26.93565732574,0 -49.05188490008,-26.936869684215,0 -49.05220676516,-26.936934057229,0 -49.052893410667,-26.93714863395,0 -49.0543498501812,-26.9375818107205,0",ATIVAS,Sem restrição de Venda,SC-315 (BNU) Secundária
SC-73 (BNU),229,SC,BLUMENAU,BNU,BNU,OURO,Sem Restrição de Vendas,73 (BNU) Secundária,Centro Regional,49,240,240,240,0.2042,4202404,36,1.361111111,"-49.080473546193,-26.919053499642,0 -49.0795135836844,-26.9190574424921,0 -49.07828486363701,-26.920319502297,0 -49.07740509908,-26.919675772133,0 -49.076525334523,-26.919525568428,0 -49.074744347737,-26.918345396462,0 -49.074036244557,-26.918559973183,0 -49.073392514394,-26.918216650429,0 -49.073306683705,-26.918216650429,0 -49.07309210698401,-26.918173735085,0 -49.073177937673,-26.918109362068,0 -49.072791699574,-26.917830412331,0 -49.07289898793501,-26.917744581642,0 -49.07167321841489,-26.9169057207731,0 -49.07186432580789,-26.9167340593962,0 -49.07228342096651,-26.9167045550971,0 -49.07255566518099,-26.916328375283,0 -49.072834614919,-26.916414205971,0 -49.072941903279,-26.91630691761,0 -49.073328141377,-26.916371290627,0 -49.07334959904999,-26.916564409676,0 -49.073778752492,-26.916564409676,0 -49.07392160697,-26.9165248739415,0 -49.074186448262,-26.916714613381,0 -49.07555973927799,-26.916972105446,0 -49.075967435048,-26.916392748299,0 -49.07598889272,-26.916178171578,0 -49.076332215474,-26.916049425545,0 -49.076525334523,-26.916264002266,0 -49.077233437703,-26.916264002266,0 -49.077340726064,-26.916435663643,0 -49.07753384511301,-26.91650003666,0 -49.077619675801,-26.916435663643,0 -49.07961523930799,-26.916972105446,0 -49.080194596456,-26.917658750954,0 -49.080280427144,-26.918517057839,0 -49.08064520757,-26.918903295937,0 -49.080473546193,-26.919053499642,0",ATIVAS,Sem restrição de Venda,SC-73 (BNU) Secundária
SC-13 (RSL),229,SC,RIO DO SUL,RSL,RSL,BRONZE,Sem Restrição de Vendas,13 (RSL) Secundária,BL Crescente,40,126,126,126,0.3175,4214805,28,1.428571429,"-49.64435639725699,-27.238588777315,0 -49.649173644648,-27.240906205904,0 -49.6521258976283,-27.2408208990845,0 -49.6560911140843,-27.2406816861502,0 -49.6580093492959,-27.2406335373551,0 -49.6605026904583,-27.2424119074156,0 -49.6581659297955,-27.2430221427083,0 -49.65804897539801,-27.2439656261002,0 -49.65828017677291,-27.2447324107878,0 -49.6573121650183,-27.2460599407048,0 -49.657322289727,-27.246547391307,0 -49.6573646009439,-27.2476249278924,0 -49.65733211237211,-27.2482548912916,0 -49.6572137931118,-27.2490779737398,0 -49.65595579932591,-27.2508827206658,0 -49.6534639893931,-27.2510244980026,0 -49.6534988486708,-27.2520007271487,0 -49.6564895022829,-27.2522581242788,0 -49.6564806136308,-27.2531431308673,0 -49.6520889954483,-27.2533790428742,0 -49.6519035871601,-27.25294368089,0 -49.6518546356657,-27.2526415852328,0 -49.65182780413599,-27.2512762459089,0 -49.6517902343308,-27.2503909270635,0 -49.6517848510338,-27.2495056082181,0 -49.6523104129689,-27.2477552889762,0 -49.65229938206921,-27.2468402999828,0 -49.6522287592963,-27.2462047474135,0 -49.65217959419551,-27.2458696022539,0 -49.6519265812096,-27.2455988301107,0 -49.6516950258958,-27.2453280579674,0 -49.6511657715748,-27.24498525908241,0 -49.650346943454,-27.2448800661976,0 -49.6495032210807,-27.2449486301656,0 -49.6480518107275,-27.2452359618063,0 -49.6468257059316,-27.2450190381522,0 -49.6448700402836,-27.2443407745475,0 -49.6435490523437,-27.2435803682917,0 -49.6431601320364,-27.2424136073701,0 -49.6431185577966,-27.2420313925855,0 -49.643098441229,-27.241155651342,0 -49.64309039460179,-27.2399513394942,0 -49.6433076535321,-27.2396482498757,0 -49.6437824045278,-27.2390662105196,0 -49.644174007044,-27.238717523348,0 -49.64435639725699,-27.238588777315,0",ATIVAS,Sem restrição de Venda,SC-13 (RSL) Secundária
SC-14 (RSL),227,SC,RIO DO SUL,RSL,RSL,BRONZE,Sem Restrição de Vendas,14 (RSL) Secundária,BL Crescente,107,480,480,480,0.2229,4214805,108,0.990740741,"-49.6959649682585,-27.2601863592025,0 -49.6947852253731,-27.260174503803,0 -49.6947786271208,-27.2604880406168,0 -49.6938446014665,-27.2604691243332,0 -49.6938225268772,-27.2601927159842,0 -49.69188350430009,-27.2602028815385,0 -49.69193800697131,-27.2577623932685,0 -49.6919316773247,-27.2572515663856,0 -49.6904846786029,-27.2572311548347,0 -49.6905819090071,-27.2549194126181,0 -49.6936759169958,-27.2549283042191,0 -49.69366077620091,-27.2559646226371,0 -49.69417362785769,-27.2559756398313,0 -49.6941774370393,-27.2578030290459,0 -49.6941539140144,-27.2584828882405,0 -49.6950437098427,-27.258499410658,0 -49.69502308364841,-27.2592133074194,0 -49.69597376565519,-27.2592350333289,0 -49.6959649682585,-27.2601863592025,0",ATIVAS,Sem restrição de Venda,SC-14 (RSL) Secundária
SC-82 (RSL),224,SC,RIO DO SUL,RSL,RSL,BRONZE,Sem Restrição de Vendas,82 (RSL) Secundária,BL Crescente,75,363,363,363,0.2066,4214805,82,0.914634146,"-49.69343411199,-27.241815347711,0 -49.693817990072,-27.241092653464,0 -49.6953923393701,-27.2405188751928,0 -49.698043004926,-27.2405019237761,0 -49.7047468111377,-27.2432666375667,0 -49.70735220197469,-27.2444005682762,0 -49.6992298290431,-27.2516978930423,0 -49.69840306463199,-27.252815408238,0 -49.697477165556,-27.256768125999,0 -49.696370379116,-27.256835717536,0 -49.696212236178,-27.258507270063,0 -49.694224611904,-27.25839440249799,0 -49.69426967249201,-27.255909819115,0 -49.693705121191,-27.255887074035,0 -49.6937133289053,-27.254914934194,0 -49.6905707458229,-27.2548993237994,0 -49.6905129172393,-27.2560672110801,0 -49.6904759563205,-27.25725682435201,0 -49.69192070044199,-27.25731014668,0 -49.69160462935,-27.263069814991,0 -49.687448492785,-27.263318294546,0 -49.684873358652,-27.254870624869,0 -49.686319176702,-27.25035314020201,0 -49.68722276027,-27.250036854325,0 -49.687516301067,-27.249020619287,0 -49.687651913712,-27.248907537591,0 -49.687764781277,-27.24832024121,0 -49.687516301067,-27.248252649019,0 -49.687539046147,-27.247552270941,0 -49.688239210093,-27.247145862579,0 -49.691559355281,-27.2438933086,0 -49.69343411199,-27.241815347711,0",ATIVAS,Sem restrição de Venda,SC-82 (RSL) Secundária
SC-331 (BNU),221,SC,BLUMENAU,BNU,BNU,OURO,Sem Restrição de Vendas,331 (BNU) Secundária,Centro Regional,65,294,294,294,0.2211,4202404,29,2.24137931,"-49.07855015627201,-26.909732804676,0 -49.078539427436,-26.910419450184,0 -49.078249748862,-26.91043017902,0 -49.078249748862,-26.911503062626,0 -49.078678902304,-26.911513791462,0 -49.0786748789906,-26.9128763536417,0 -49.0789591512367,-26.9128462940414,0 -49.0789577682227,-26.9128645142034,0 -49.0789469555676,-26.9129854441114,0 -49.07928621309839,-26.9127967989032,0 -49.0793196988016,-26.9130010973156,0 -49.0789716402724,-26.9131752208766,0 -49.07870941243169,-26.9132903358393,0 -49.0777783506274,-26.9136707904243,0 -49.07777902117971,-26.9139314676129,0 -49.077481295979,-26.913992823144,0 -49.077455144441,-26.9137634942732,0 -49.076625671303,-26.9139572838743,0 -49.0766672455437,-26.9140732894144,0 -49.0767343426785,-26.9142580265603,0 -49.0768329348145,-26.9143986748955,0 -49.0767236557519,-26.9144615391693,0 -49.07660031604669,-26.9145342940888,0 -49.0764072389071,-26.9141564378939,0 -49.0763798300836,-26.914141015192,0 -49.0762478151086,-26.9139458844862,0 -49.0762347393393,-26.9137413660488,0 -49.075535353339,-26.912232623478,0 -49.077434357321,-26.911814198872,0 -49.077380713141,-26.910977349659,0 -49.07711249223999,-26.910977349659,0 -49.077133949912,-26.910086856266,0 -49.078185375846,-26.909507499119,0 -49.07855015627201,-26.909732804676,0",ATIVAS,Sem restrição de Venda,SC-331 (BNU) Secundária
SC-8 (BNU),217,SC,BLUMENAU,BNU,BNU,BRONZE,Sem Restrição de Vendas,8 (BNU) Secundária,Suburbio,66,212,212,208,0.3113,4202404,35,1.885714286,"-49.06098965855201,-26.9049899217,0 -49.059767912348,-26.90368368591299,0 -49.058906923256,-26.902752959385,0 -49.058206866703,-26.900623285428,0 -49.056559990369,-26.899860196962,0 -49.056486229619,-26.899107837333,0 -49.05810628386399,-26.898496293677,0 -49.05806336852001,-26.896262013567,0 -49.05875269623701,-26.896213733805,0 -49.05950371476,-26.898456060541,0 -49.061214964112,-26.899555766237,0 -49.061992804727,-26.900355064523,0 -49.063677231987,-26.902305030477,0 -49.064302186687,-26.902962171686,0 -49.062333445269,-26.904147708069,0 -49.06098965855201,-26.9049899217,0",ATIVAS,Sem restrição de Venda,SC-8 (BNU) Secundária
SC-58 (RSL),217,SC,RIO DO SUL,RSL,RSL,BRONZE,Sem Restrição de Vendas,58 (RSL) Secundária,BL Crescente,77,459,459,459,0.1678,4214805,104,0.740384615,"-49.61923853033801,-27.196270506671,0 -49.61876431631801,-27.197241895578,0 -49.619667683787,-27.199929897601,0 -49.6206052232309,-27.199650733405,0 -49.6213711012979,-27.1994091201351,0 -49.6211197254025,-27.1985280680057,0 -49.6236903542601,-27.1979137349125,0 -49.624230228714,-27.1989812541,0 -49.62420769842,-27.19970394834,0 -49.623033105658,-27.200359051044,0 -49.62106801167899,-27.200494448902,0 -49.62068413360999,-27.200991408667,0 -49.622829900822,-27.205192606147,0 -49.622174798773,-27.205734627155,0 -49.621632777766,-27.205531422973,0 -49.62068413360999,-27.205847708851,0 -49.6199613326324,-27.2058306503682,0 -49.6185949612642,-27.2045995698007,0 -49.61826735588801,-27.203543584243,0 -49.611581575352,-27.203159492043,0 -49.611581575352,-27.202775614629,0 -49.60968428704,-27.201939838038,0 -49.609639011667,-27.200923388215,0 -49.614743792388,-27.201059000859,0 -49.614788852975,-27.199184244151,0 -49.616595804016,-27.197919314118,0 -49.616370068886,-27.19660932317,0 -49.614698515704,-27.195841353228,0 -49.614585649449,-27.194870179106,0 -49.61609905838201,-27.194824903405,0 -49.617567191942,-27.19597696571,0 -49.618244825594,-27.19586388385,0 -49.61923853033801,-27.196270506671,0",ATIVAS,Sem restrição de Venda,SC-58 (RSL) Secundária
SC-36 (BNU),216,SC,BLUMENAU,BNU,BNU,BRONZE,Sem Restrição de Vendas,36 (BNU) Secundária,Suburbio,113,219,219,204,0.516,4202404,37,3.054054054,"-49.048590205425,-26.917889651148,0 -49.04893401095601,-26.918101787049,0 -49.048785282515,-26.919118612462,0 -49.04912656676401,-26.92060112295,0 -49.0465945614541,-26.9238296441134,0 -49.040719021518,-26.92168387690201,0 -49.03886593726799,-26.919245427383,0 -49.038944043508,-26.918269961464,0 -49.04547876250399,-26.917372816245,0 -49.04822920675899,-26.917762916731,0 -49.048590205425,-26.917889651148,0",ATIVAS,Sem restrição de Venda,SC-36 (BNU) Secundária
SC-24 (RSL),216,SC,RIO DO SUL,RSL,RSL,BRONZE,Sem Restrição de Vendas,24 (RSL) Secundária,BL Crescente,96,458,458,458,0.2096,4214805,74,1.297297297,"-49.650030500405,-27.220091942028,0 -49.649365312569,-27.219190719799,0 -49.648614294045,-27.216615799144,0 -49.6498839713132,-27.2163374126477,0 -49.64993394087999,-27.21651923962,0 -49.650406009667,-27.216422680095,0 -49.65039528083099,-27.216347578243,0 -49.6503872342041,-27.2160632640879,0 -49.651693469994,-27.215854051784,0 -49.652144081108,-27.215778949932,0 -49.65205825042,-27.215671661571,0 -49.652305013649,-27.215660932735,0 -49.652208454125,-27.215414169506,0 -49.653238422386,-27.215918424801,0 -49.65362466048501,-27.21646559544,0 -49.653592473976,-27.216562154964,0 -49.6535535819457,-27.2165883065019,0 -49.6536635525155,-27.2169671685255,0 -49.6536689169334,-27.21704025872121,0 -49.65369976233701,-27.217216613964,0 -49.653538829796,-27.217313173488,0 -49.65387142371401,-27.217645767406,0 -49.65394652556601,-27.217774513439,0 -49.653978712075,-27.21798909016,0 -49.654311305992,-27.218010547832,0 -49.654482967369,-27.218364599422,0 -49.654440052025,-27.218461158947,0 -49.65331352423901,-27.218890312389,0 -49.653377897255,-27.219083431438,0 -49.65260542105899,-27.219362381176,0 -49.652508861534,-27.219265821651,0 -49.65200460624,-27.219416025356,0 -49.651725656502,-27.21935165234,0 -49.651639825814,-27.219469669536,0 -49.651489622109,-27.219523313717,0 -49.651543266289,-27.219619873241,0 -49.651543266289,-27.219630602077,0 -49.650030500405,-27.220091942028,0",ATIVAS,Sem restrição de Venda,SC-24 (RSL) Secundária
