name,aging,uf,city,locality,station,cell_classification,cell_sales_status,cell,majority_group,hc,hp,hp_viable,hp_viable_total,ocup,cod_city_ibge,hc_expected,achievement,coordinates,cell_status,cell_status_sales,Despriorizar
TO-4 (PMJ),251,TO,PALMAS,PMJ,PMJ,BRONZE,Sem Restrição de Vendas,4 (PMJ) Secundária,Suburbio,193,622,622,622,0.3103,1721000,153,1.261437908,"-48.337310283049,-10.1655745685523,0 -48.3390372116276,-10.1652941209735,0 -48.33909253218949,-10.1656924290152,0 -48.3401308823578,-10.165534849244,0 -48.3404721934635,-10.1679233563759,0 -48.340326683633,-10.1679461551567,0 -48.3404869456387,-10.1685630632386,0 -48.3394493045093,-10.1688093666027,0 -48.3379483117727,-10.169042929474,0 -48.3378842947184,-10.1686153547566,0 -48.3386201012317,-10.1684757403898,0 -48.3384493153235,-10.1676171246874,0 -48.3377065214076,-10.1677246237373,0 -48.337310283049,-10.1655745685523,0",ATIVAS,Sem restrição de Venda,TO-4 (PMJ) Secundária
TO-8 (PMJ),251,TO,PALMAS,PMJ,PMJ,BRONZE,Sem Restrição de Vendas,8 (PMJ) Secundária,Suburbio,143,409,409,409,0.3496,1721000,141,1.014184397,"-48.3411496886248,-10.1674326534397,0 -48.3421932574699,-10.167166817501,0 -48.3422581172799,-10.1674220554486,0 -48.3424814799477,-10.1673713931523,0 -48.3425353824225,-10.1675783421918,0 -48.3438450363818,-10.1673194402398,0 -48.3439962459071,-10.1683644959105,0 -48.3444285577374,-10.1682946632444,0 -48.3445165944493,-10.1689170309623,0 -48.3444170174333,-10.1689299585586,0 -48.344438139823,-10.1691091831137,0 -48.344163578106,-10.1691414946772,0 -48.34420295115419,-10.1693670945161,0 -48.341704473513,-10.1698817434119,0 -48.34154255296039,-10.1690891506651,0 -48.34141006550961,-10.1682207855079,0 -48.34180240976979,-10.1679163547762,0 -48.3412579213395,-10.1678546639691,0 -48.3411496886248,-10.1674326534397,0",ATIVAS,Sem restrição de Venda,TO-8 (PMJ) Secundária
TO-192 (PMJ),226,TO,PALMAS,PMJ,PMJ,PRATA,Sem Restrição de Vendas,192 (PMJ) Secundária,Centro Regional,46,333,333,333,0.1381,1721000,56,0.821428571,"-48.346606194978,-10.1846019923928,0 -48.3454313874317,-10.1845698058851,0 -48.34542334080651,-10.1819238066923,0 -48.34428004921429,-10.1819160953415,0 -48.34427803755361,-10.1843310892853,0 -48.342994600538,-10.1843377948088,0 -48.3427599072471,-10.1841057837299,0 -48.342754542829,-10.1832206547549,0 -48.3425533771529,-10.1832206547549,0 -48.3425667881949,-10.1815442741228,0 -48.34373086690771,-10.1815120876147,0 -48.343745619057,-10.180842205913,0 -48.3446488529427,-10.180837176771,0 -48.3446659520251,-10.1817036979208,0 -48.3455703593772,-10.1816997584263,0 -48.3455681800824,-10.1810896396944,0 -48.34665983915101,-10.1810748875443,0 -48.346606194978,-10.1846019923928,0",ATIVAS,Sem restrição de Venda,TO-192 (PMJ) Secundária
TO-193 (PMJ),225,TO,PALMAS,PMJ,PMJ,PRATA,Sem Restrição de Vendas,193 (PMJ) Secundária,Centro Regional,63,424,424,424,0.1486,1721000,71,0.887323944,"-48.3421872556243,-10.1810520887727,0 -48.3421805500899,-10.1832461357377,0 -48.33770796656249,-10.1832447946342,0 -48.33771601319039,-10.1827713847433,0 -48.3372533321381,-10.1827740669552,0 -48.3372674137389,-10.1818238944143,0 -48.3374997600966,-10.1818289235575,0 -48.33749204874739,-10.1810386777278,0 -48.3421872556243,-10.1810520887727,0",ATIVAS,Sem restrição de Venda,TO-193 (PMJ) Secundária
TO-23 (TQT),152,TO,PALMAS,PMJ,TQT,BRONZE,Sem Restrição de Vendas,23 (TQT) Secundária,Suburbio,54,217,217,217,0.2488,1721000,67,0.805970149,"-48.3223620050487,-10.3028677033291,0 -48.3223210805587,-10.3055655068579,0 -48.321964068652,-10.3055580505821,0 -48.321965131649,-10.3053266298536,0 -48.3216510350867,-10.3053218557869,0 -48.3216596132122,-10.3050485656429,0 -48.32088337945161,-10.3050534070965,0 -48.3208810309739,-10.3056602653095,0 -48.3201878808004,-10.3056625468718,0 -48.3201867405526,-10.3052987069037,0 -48.3194556522057,-10.3052933154833,0 -48.3194509765616,-10.3031838264921,0 -48.3191677488052,-10.3031863644158,0 -48.3191668235477,-10.30288849493,0 -48.3223620050487,-10.3028677033291,0",ATIVAS,Sem restrição de Venda,TO-23 (TQT) Secundária
TO-121 (TQT),151,TO,PALMAS,PMJ,TQT,BRONZE,Sem Restrição de Vendas,121 (TQT) Secundária,Suburbio,58,240,240,240,0.2417,1721000,76,0.763157895,"-48.3180332928868,-10.3088167682585,0 -48.3175655826897,-10.3088171035346,0 -48.31756591796589,-10.308741666406,0 -48.3173285424679,-10.3087416664061,0 -48.3173428376436,-10.3072515925101,0 -48.3170036863657,-10.3072429821201,0 -48.31700819647359,-10.3069254251218,0 -48.3173580823651,-10.3069272232008,0 -48.3173602008106,-10.3063283488457,0 -48.3166573908563,-10.3063301113256,0 -48.31666972488011,-10.3052008152274,0 -48.31651352811451,-10.3051998513084,0 -48.316513570024,-10.3050057683403,0 -48.31666180398161,-10.3050027927646,0 -48.3166747540221,-10.3031982109198,0 -48.3163595944632,-10.3031874820838,0 -48.3163575828064,-10.3028931096443,0 -48.3191638439877,-10.3028689697632,0 -48.3191651850922,-10.3031854704266,0 -48.3188097923978,-10.3031888231873,0 -48.31881582736779,-10.3049222007627,0 -48.3184788748612,-10.3049208596579,0 -48.31848105415651,-10.3051183372963,0 -48.31811912357789,-10.3051220253336,0 -48.3180931815874,-10.3069442510835,0 -48.3177956659341,-10.3069432452555,0 -48.3177840150884,-10.3071685508136,0 -48.3180537447318,-10.3071779385469,0 -48.3180332928868,-10.3088167682585,0",ATIVAS,Sem restrição de Venda,TO-121 (TQT) Secundária
TO-120 (TQT),152,TO,PALMAS,PMJ,TQT,BRONZE,Sem Restrição de Vendas,120 (TQT) Secundária,Suburbio,73,279,279,279,0.2616,1721000,80,0.9125,"-48.3229802921494,-10.3089207038511,0 -48.3201857656327,-10.308909304462,0 -48.32018677146171,-10.3056705370758,0 -48.32088515163409,-10.3056641668293,0 -48.3208868908789,-10.3050584276419,0 -48.3216546208224,-10.3050521936014,0 -48.32164822438259,-10.3053240030052,0 -48.3219610108155,-10.305331614821,0 -48.321960801268,-10.3055641707245,0 -48.32232113928541,-10.3055719658944,0 -48.3223043754799,-10.3069861605974,0 -48.3229816332567,-10.3069982305377,0 -48.3229802921494,-10.3089207038511,0",ATIVAS,Sem restrição de Venda,TO-120 (TQT) Secundária
TO-25 (TQT),148,TO,PALMAS,PMJ,TQT,BRONZE,Sem Restrição de Vendas,25 (TQT) Secundária,Suburbio,45,188,188,188,0.2394,1721000,60,0.75,"-48.31150838746469,-10.3088452012781,0 -48.3104103581499,-10.3087711052542,0 -48.3104527705803,-10.3082807639187,0 -48.3111512345717,-10.3083038141524,0 -48.3111818285185,-10.3069133402353,0 -48.3126020581928,-10.3068798126223,0 -48.31260541095391,-10.3066122622733,0 -48.3128984422887,-10.3066075684078,0 -48.3129111827812,-10.3051618577483,0 -48.3132216484743,-10.3051618577478,0 -48.31318946196631,-10.3086178840647,0 -48.31392572834181,-10.3086138607497,0 -48.31393696009229,-10.3071336166494,0 -48.3146422134255,-10.3071319402686,0 -48.314639866493,-10.3069260807263,0 -48.315259278794,-10.306923012735,0 -48.315235316894,-10.3088907988299,0 -48.31150838746469,-10.3088452012781,0",ATIVAS,Sem restrição de Venda,TO-25 (TQT) Secundária
TO-228 (PMJ),162,TO,PALMAS,PMJ,PMJ,BRONZE,Sem Restrição de Vendas,228 (PMJ) Secundária,Comunidade,59,240,240,240,0.2458,1721000,56,1.053571429,"-48.3565768610942,-10.1621559840807,0 -48.3593878161423,-10.1616919619211,0 -48.3598142873755,-10.1638457757598,0 -48.3573520195002,-10.1643258911731,0 -48.35763901586471,-10.1660371405249,0 -48.3556327235217,-10.1662946325904,0 -48.3554288756365,-10.1642776114113,0 -48.3569255482668,-10.1640952211981,0 -48.3565768610942,-10.1621559840807,0",ATIVAS,Sem restrição de Venda,TO-228 (PMJ) Secundária
TO-153 (TQT),130,TO,PALMAS,PMJ,TQT,BRONZE,Sem Restrição de Vendas,153 (TQT) Secundária,Defesa Oi,47,244,244,244,0.1926,1721000,73,0.643835616,"-48.2927635311487,-10.3453427552925,0 -48.2926924526098,-10.3448168746876,0 -48.2929781078699,-10.3447785693901,0 -48.2930250465276,-10.3452623309317,0 -48.29317692204651,-10.3452474269942,0 -48.2931145652535,-10.3447567869192,0 -48.2933442294004,-10.3447241708385,0 -48.2928802072409,-10.3403350710619,0 -48.2932315766216,-10.3397610783325,0 -48.2940630614161,-10.3403511643155,0 -48.2941120117307,-10.3407095744952,0 -48.2942602037788,-10.3406978398308,0 -48.2944466173054,-10.3422407805668,0 -48.29482614988109,-10.3421938419091,0 -48.29490795725599,-10.3428006916988,0 -48.29455323511381,-10.3428506478417,0 -48.2947124912741,-10.34444270653,0 -48.2945909536781,-10.3444582130509,0 -48.2946598529222,-10.3451040386902,0 -48.2927635311487,-10.3453427552925,0",ATIVAS,Sem restrição de Venda,TO-153 (TQT) Secundária
